Orthogroup	MFC_MF29_genes	MHP_F72C_genes
OG0000198	DR095_RS02110	EHI52_RS00735
OG0000199	DR095_RS02115	EHI52_RS00740
OG0000200	DR095_RS02130	EHI52_RS00755
OG0000201	DR095_RS02140	EHI52_RS00765
OG0000202	DR095_RS02195	EHI52_RS00820
OG0000203	DR095_RS02200	EHI52_RS00825
OG0000204	DR095_RS03925	EHI52_RS00830
OG0000205	DR095_RS02490	EHI52_RS00835
OG0000206	DR095_RS02470	EHI52_RS00855
OG0000207	DR095_RS02455	EHI52_RS00870
OG0000208	DR095_RS02450	EHI52_RS00875
OG0000209	DR095_RS02445	EHI52_RS00880
OG0000210	DR095_RS02400	EHI52_RS00925
OG0000211	DR095_RS02390	EHI52_RS01005
OG0000212	DR095_RS02380	EHI52_RS01015
OG0000213	DR095_RS02375	EHI52_RS01020
OG0000214	DR095_RS02370	EHI52_RS01025
OG0000215	DR095_RS02365	EHI52_RS01030
OG0000216	DR095_RS02360	EHI52_RS01035
OG0000217	DR095_RS02355	EHI52_RS01040
OG0000218	DR095_RS03910	EHI52_RS01050
OG0000219	DR095_RS02340	EHI52_RS01055
OG0000220	DR095_RS02335	EHI52_RS01060
OG0000221	DR095_RS02330	EHI52_RS01065
OG0000222	DR095_RS02325	EHI52_RS01070
OG0000223	DR095_RS02320	EHI52_RS01075
OG0000224	DR095_RS02310	EHI52_RS01085
OG0000225	DR095_RS02300	EHI52_RS01095
OG0000226	DR095_RS02295	EHI52_RS01100
OG0000227	DR095_RS02290	EHI52_RS01105
OG0000228	DR095_RS04045	EHI52_RS03905
OG0000229	DR095_RS02280	EHI52_RS01115
OG0000230	DR095_RS02275	EHI52_RS01120
OG0000231	DR095_RS02265	EHI52_RS01130
OG0000232	DR095_RS02255	EHI52_RS01140
OG0000233	DR095_RS02245	EHI52_RS01165
OG0000234	DR095_RS02215	EHI52_RS01200
OG0000235	DR095_RS02205	EHI52_RS01210
OG0000236	DR095_RS01540	EHI52_RS01215
OG0000237	DR095_RS01560	EHI52_RS01220
OG0000238	DR095_RS01565	EHI52_RS01230
OG0000239	DR095_RS01595	EHI52_RS02935
OG0000240	DR095_RS01600	EHI52_RS02940
