Orthogroup	MFC_MF29_genes	MFC_Ms42_genes
OG0000383	DR095_RS02950	MYF_RS01855
OG0000384	DR095_RS00655	MYF_RS00470
OG0000385	DR095_RS00005	MYF_RS00475
OG0000386	DR095_RS00025	MYF_RS00495
OG0000387	DR095_RS00050	MYF_RS00520
OG0000388	DR095_RS03755	MYF_RS00525
OG0000389	DR095_RS00090	MYF_RS00560
OG0000390	DR095_RS00190	MYF_RS00670
OG0000391	DR095_RS00200	MYF_RS00680
OG0000392	DR095_RS00225	MYF_RS00705
OG0000393	DR095_RS00280	MYF_RS00760
OG0000394	DR095_RS00345	MYF_RS00825
OG0000395	DR095_RS00350	MYF_RS00830
OG0000396	DR095_RS02695	MYF_RS01200
OG0000397	DR095_RS02740	MYF_RS01245
OG0000398	DR095_RS02745	MYF_RS01250
OG0000399	DR095_RS02790	MYF_RS01295
OG0000400	DR095_RS01760	MYF_RS02580
OG0000401	DR095_RS01820	MYF_RS02640
OG0000402	DR095_RS01830	MYF_RS02650
OG0000403	DR095_RS01840	MYF_RS02660
OG0000404	DR095_RS03865	MYF_RS02685
OG0000405	DR095_RS01875	MYF_RS02700
OG0000406	DR095_RS01905	MYF_RS02730
OG0000407	DR095_RS03880	MYF_RS02735
OG0000408	DR095_RS01915	MYF_RS02740
OG0000409	DR095_RS01920	MYF_RS02745
OG0000410	DR095_RS02965	MYF_RS02780
OG0000411	DR095_RS02975	MYF_RS02790
OG0000412	DR095_RS02980	MYF_RS02795
OG0000413	DR095_RS01965	MYF_RS01890
OG0000414	DR095_RS01975	MYF_RS01900
OG0000415	DR095_RS01980	MYF_RS01905
OG0000416	DR095_RS01990	MYF_RS01915
OG0000417	DR095_RS02020	MYF_RS01945
OG0000418	DR095_RS02025	MYF_RS01950
OG0000419	DR095_RS02085	MYF_RS02010
OG0000420	DR095_RS02120	MYF_RS02045
OG0000421	DR095_RS02155	MYF_RS02075
OG0000422	DR095_RS02165	MYF_RS02085
OG0000423	DR095_RS02480	MYF_RS02140
OG0000424	DR095_RS02475	MYF_RS02145
OG0000425	DR095_RS02465	MYF_RS02155
OG0000426	DR095_RS03585	MYF_RS02160
OG0000427	DR095_RS03920	MYF_RS02185
OG0000428	DR095_RS02410	MYF_RS02210
OG0000429	DR095_RS02315	MYF_RS02300
OG0000430	DR095_RS02270	MYF_RS02345
OG0000431	DR095_RS02260	MYF_RS02355
OG0000432	DR095_RS02240	MYF_RS02375
OG0000433	DR095_RS02230	MYF_RS02385
OG0000434	DR095_RS02225	MYF_RS02390
OG0000435	DR095_RS02210	MYF_RS02405
OG0000436	DR095_RS01570	MYF_RS02440
OG0000437	DR095_RS01580	MYF_RS02450
OG0000438	DR095_RS03840	MYF_RS02455
OG0000439	DR095_RS01590	MYF_RS02460
OG0000440	DR095_RS03855	MYF_RS02475
OG0000441	DR095_RS01745	MYF_RS02515
OG0000442	DR095_RS01025	MYF_RS00090
OG0000443	DR095_RS00965	MYF_RS00150
OG0000444	DR095_RS00950	MYF_RS00165
OG0000445	DR095_RS00925	MYF_RS00190
OG0000446	DR095_RS00900	MYF_RS00220
OG0000447	DR095_RS00895	MYF_RS00225
OG0000448	DR095_RS00865	MYF_RS00255
OG0000449	DR095_RS00840	MYF_RS00280
OG0000450	DR095_RS00830	MYF_RS00290
OG0000451	DR095_RS00790	MYF_RS00330
OG0000452	DR095_RS00765	MYF_RS00355
OG0000453	DR095_RS00730	MYF_RS00390
OG0000455	DR095_RS03825	MYF_RS02975
OG0000456	DR095_RS02615	MYF_RS02860
OG0000457	DR095_RS02640	MYF_RS02835
OG0000458	DR095_RS00570	MYF_RS01095
OG0000459	DR095_RS00545	MYF_RS01070
OG0000460	DR095_RS00535	MYF_RS01060
OG0000461	DR095_RS00490	MYF_RS01010
OG0000462	DR095_RS00495	MYF_RS01015
OG0000463	DR095_RS00500	MYF_RS01020
OG0000464	DR095_RS00505	MYF_RS01030
OG0000465	DR095_RS00510	MYF_RS01035
OG0000466	DR095_RS00760	MYF_RS00360
OG0000467	DR095_RS03790	MYF_RS03505
OG0000468	DR095_RS02785	MYF_RS01290
OG0000469	DR095_RS03050	MYF_RS01425
OG0000470	DR095_RS02485	MYF_RS02135
OG0000471	DR095_RS02405	MYF_RS02215
OG0000472	DR095_RS02665	MYF_RS03535
OG0000473	DR095_RS02510	MYF_RS02960
OG0000474	DR095_RS02505	MYF_RS02965
OG0000475	DR095_RS02500	MYF_RS02970
OG0000476	DR095_RS01220	MYF_RS03040
OG0000477	DR095_RS00465	MYF_RS00930
OG0000478	DR095_RS02565	MYF_RS02905
OG0000479	DR095_RS01415	MYF_RS01680
OG0000480	DR095_RS03245	MYF_RS03350
OG0000481	DR095_RS02190	MYF_RS02110
OG0000482	DR095_RS02050	MYF_RS01975
OG0000483	DR095_RS02855	MYF_RS01375
OG0000484	DR095_RS03800	MYF_RS00160
OG0000485	DR095_RS01575	MYF_RS02445
OG0000486	DR095_RS02000	MYF_RS01925
OG0000487	DR095_RS04010	MYF_RS01445
OG0000488	DR095_RS02885	MYF_RS01405
OG0000489	DR095_RS01065	MYF_RS00050
OG0000490	DR095_RS01125	MYF_RS03140
OG0000491	DR095_RS01435	MYF_RS01700
OG0000492	DR095_RS01510	MYF_RS01775
OG0000493	DR095_RS00065	MYF_RS00535
OG0000494	DR095_RS00115	MYF_RS00585
OG0000495	DR095_RS00255	MYF_RS00735
OG0000496	DR095_RS00265	MYF_RS00745
OG0000497	DR095_RS00270	MYF_RS00750
OG0000498	DR095_RS00340	MYF_RS00820
OG0000499	DR095_RS00400	MYF_RS00865
OG0000500	DR095_RS02750	MYF_RS01255
OG0000501	DR095_RS01770	MYF_RS02590
OG0000502	DR095_RS02060	MYF_RS01985
OG0000503	DR095_RS02135	MYF_RS02055
OG0000504	DR095_RS02430	MYF_RS02190
OG0000505	DR095_RS02395	MYF_RS02225
OG0000506	DR095_RS02385	MYF_RS02235
OG0000507	DR095_RS02350	MYF_RS02270
OG0000508	DR095_RS00905	MYF_RS00215
OG0000509	DR095_RS00870	MYF_RS00250
OG0000510	DR095_RS00860	MYF_RS00260
OG0000511	DR095_RS00725	MYF_RS00395
OG0000512	DR095_RS00530	MYF_RS01055
