Orthogroup	MFC_MF29_genes	MHP_NCTC10127_genes
OG0000172	DR095_RS01780	EXC50_RS01915
OG0000173	DR095_RS01785	EXC50_RS01920
OG0000174	DR095_RS01790	EXC50_RS01925
OG0000175	DR095_RS01805	EXC50_RS01940
OG0000176	DR095_RS01845	EXC50_RS01990
OG0000177	DR095_RS01850	EXC50_RS01995
OG0000178	DR095_RS01855	EXC50_RS02000
OG0000179	DR095_RS01865	EXC50_RS02010
OG0000180	DR095_RS01870	EXC50_RS02015
OG0000181	DR095_RS03870	EXC50_RS02060
OG0000182	DR095_RS01895	EXC50_RS02070
OG0000183	DR095_RS01930	EXC50_RS02105
OG0000184	DR095_RS02970	EXC50_RS02150
OG0000185	DR095_RS02985	EXC50_RS02135
OG0000186	DR095_RS01970	EXC50_RS02565
OG0000187	DR095_RS01985	EXC50_RS02550
OG0000188	DR095_RS01995	EXC50_RS02540
OG0000189	DR095_RS03890	EXC50_RS01150
OG0000190	DR095_RS02010	EXC50_RS01145
OG0000191	DR095_RS02030	EXC50_RS01125
OG0000192	DR095_RS02040	EXC50_RS02870
OG0000193	DR095_RS02055	EXC50_RS02880
OG0000194	DR095_RS02065	EXC50_RS03395
OG0000195	DR095_RS02070	EXC50_RS03390
OG0000196	DR095_RS03895	EXC50_RS03370
OG0000197	DR095_RS02095	EXC50_RS03365
OG0000198	DR095_RS02110	EXC50_RS03350
OG0000199	DR095_RS02115	EXC50_RS03345
OG0000200	DR095_RS02130	EXC50_RS03330
OG0000201	DR095_RS02140	EXC50_RS03320
OG0000202	DR095_RS02195	EXC50_RS03265
OG0000203	DR095_RS02200	EXC50_RS03260
OG0000204	DR095_RS03925	EXC50_RS03255
OG0000205	DR095_RS02490	EXC50_RS03250
OG0000206	DR095_RS02470	EXC50_RS03230
OG0000207	DR095_RS02455	EXC50_RS03215
OG0000208	DR095_RS02450	EXC50_RS03210
OG0000209	DR095_RS02445	EXC50_RS03205
OG0000210	DR095_RS02400	EXC50_RS03160
OG0000211	DR095_RS02390	EXC50_RS03150
OG0000212	DR095_RS02380	EXC50_RS03140
OG0000213	DR095_RS02375	EXC50_RS03135
OG0000214	DR095_RS02370	EXC50_RS03130
OG0000215	DR095_RS02365	EXC50_RS03125
OG0000216	DR095_RS02360	EXC50_RS03120
OG0000217	DR095_RS02355	EXC50_RS03115
OG0000218	DR095_RS03910	EXC50_RS03105
OG0000219	DR095_RS02340	EXC50_RS03100
OG0000220	DR095_RS02335	EXC50_RS03095
OG0000221	DR095_RS02330	EXC50_RS03090
OG0000222	DR095_RS02325	EXC50_RS03085
OG0000223	DR095_RS02320	EXC50_RS03080
OG0000224	DR095_RS02310	EXC50_RS03070
OG0000225	DR095_RS02300	EXC50_RS03060
OG0000226	DR095_RS02295	EXC50_RS03055
OG0000227	DR095_RS02290	EXC50_RS03050
OG0000228	DR095_RS04045	EXC50_RS03045
OG0000229	DR095_RS02280	EXC50_RS03040
OG0000230	DR095_RS02275	EXC50_RS03035
OG0000231	DR095_RS02265	EXC50_RS03025
OG0000232	DR095_RS02255	EXC50_RS03015
OG0000233	DR095_RS02245	EXC50_RS02995
OG0000234	DR095_RS02215	EXC50_RS02960
OG0000235	DR095_RS02205	EXC50_RS02950
OG0000236	DR095_RS01540	EXC50_RS02945
OG0000237	DR095_RS01560	EXC50_RS02940
OG0000238	DR095_RS01565	EXC50_RS02930
OG0000239	DR095_RS01595	EXC50_RS01785
OG0000240	DR095_RS01600	EXC50_RS01790
OG0000241	DR095_RS01705	EXC50_RS01800
OG0000242	DR095_RS01710	EXC50_RS01805
OG0000243	DR095_RS01715	EXC50_RS01810
OG0000244	DR095_RS01725	EXC50_RS01820
OG0000245	DR095_RS01735	EXC50_RS01830
OG0000246	DR095_RS01030	EXC50_RS00140
OG0000247	DR095_RS01020	EXC50_RS00150
OG0000248	DR095_RS00995	EXC50_RS00160
OG0000249	DR095_RS00990	EXC50_RS00165
OG0000250	DR095_RS00975	EXC50_RS00180
OG0000251	DR095_RS00945	EXC50_RS00215
OG0000252	DR095_RS00935	EXC50_RS00225
OG0000253	DR095_RS00930	EXC50_RS00230
OG0000254	DR095_RS00920	EXC50_RS00240
OG0000255	DR095_RS00915	EXC50_RS00250
OG0000256	DR095_RS00910	EXC50_RS00255
OG0000257	DR095_RS00885	EXC50_RS00280
OG0000258	DR095_RS00875	EXC50_RS00290
OG0000259	DR095_RS00845	EXC50_RS00320
OG0000260	DR095_RS00835	EXC50_RS00330
OG0000261	DR095_RS03795	EXC50_RS00340
OG0000262	DR095_RS00810	EXC50_RS00360
OG0000263	DR095_RS00795	EXC50_RS00375
OG0000264	DR095_RS00780	EXC50_RS00390
OG0000265	DR095_RS00770	EXC50_RS00400
OG0000266	DR095_RS00755	EXC50_RS00420
OG0000267	DR095_RS00740	EXC50_RS00435
OG0000268	DR095_RS00735	EXC50_RS03665
OG0000269	DR095_RS00720	EXC50_RS03650
OG0000270	DR095_RS03930	EXC50_RS02335
OG0000271	DR095_RS02520	EXC50_RS02330
OG0000272	DR095_RS02525	EXC50_RS02325
OG0000273	DR095_RS02530	EXC50_RS02320
OG0000274	DR095_RS02550	EXC50_RS02300
OG0000275	DR095_RS03935	EXC50_RS02295
OG0000276	DR095_RS02560	EXC50_RS02290
OG0000277	DR095_RS03940	EXC50_RS02280
OG0000278	DR095_RS02575	EXC50_RS02275
OG0000279	DR095_RS02585	EXC50_RS02265
OG0000280	DR095_RS02590	EXC50_RS02260
OG0000281	DR095_RS02595	EXC50_RS02255
OG0000282	DR095_RS02620	EXC50_RS02230
OG0000283	DR095_RS02625	EXC50_RS02225
OG0000284	DR095_RS02630	EXC50_RS02220
OG0000285	DR095_RS03955	EXC50_RS02215
OG0000286	DR095_RS00590	EXC50_RS01270
OG0000287	DR095_RS00565	EXC50_RS01365
OG0000288	DR095_RS00555	EXC50_RS01375
OG0000289	DR095_RS00550	EXC50_RS01380
OG0000290	DR095_RS03370	EXC50_RS01490
OG0000291	DR095_RS00450	EXC50_RS01480
OG0000292	DR095_RS00455	EXC50_RS01475
OG0000293	DR095_RS00460	EXC50_RS01470
OG0000294	DR095_RS00470	EXC50_RS01460
OG0000295	DR095_RS00475	EXC50_RS01455
OG0000296	DR095_RS00515	EXC50_RS01415
OG0000297	DR095_RS00520	EXC50_RS01410
OG0000298	DR095_RS00980	EXC50_RS00175
OG0000299	DR095_RS00960	EXC50_RS00200
OG0000300	DR095_RS00785	EXC50_RS00385
OG0000301	DR095_RS00750	EXC50_RS00425
OG0000302	DR095_RS00745	EXC50_RS00430
OG0000303	DR095_RS00045	EXC50_RS03525
OG0000304	DR095_RS00080	EXC50_RS03010
OG0000305	DR095_RS00210	EXC50_RS01720
OG0000306	DR095_RS00290	EXC50_RS01645
OG0000307	DR095_RS00330	EXC50_RS01610
OG0000308	DR095_RS00430	EXC50_RS01510
OG0000309	DR095_RS00485	EXC50_RS01445
OG0000310	DR095_RS00560	EXC50_RS01370
OG0000311	DR095_RS00610	EXC50_RS01330
OG0000312	DR095_RS00630	EXC50_RS01315
OG0000313	DR095_RS02705	EXC50_RS00540
OG0000314	DR095_RS02775	EXC50_RS00900
OG0000315	DR095_RS02805	EXC50_RS00930
OG0000316	DR095_RS02815	EXC50_RS00940
OG0000317	DR095_RS02840	EXC50_RS01030
OG0000318	DR095_RS04005	EXC50_RS00945
OG0000319	DR095_RS01290	EXC50_RS01080
OG0000320	DR095_RS01355	EXC50_RS01215
OG0000321	DR095_RS01420	EXC50_RS02755
OG0000322	DR095_RS01465	EXC50_RS02710
OG0000323	DR095_RS02955	EXC50_RS02580
OG0000324	DR095_RS02035	EXC50_RS01120
OG0000325	DR095_RS02075	EXC50_RS03385
OG0000326	DR095_RS02170	EXC50_RS03290
OG0000327	DR095_RS02175	EXC50_RS03285
OG0000328	DR095_RS02440	EXC50_RS03200
OG0000329	DR095_RS02420	EXC50_RS03180
OG0000330	DR095_RS02235	EXC50_RS02985
OG0000331	DR095_RS01720	EXC50_RS01815
OG0000332	DR095_RS01815	EXC50_RS01950
OG0000333	DR095_RS01825	EXC50_RS01960
OG0000334	DR095_RS01890	EXC50_RS02065
OG0000335	DR095_RS03875	EXC50_RS02075
OG0000336	DR095_RS03950	EXC50_RS02245
OG0000337	DR095_RS01160	EXC50_RS02415
OG0000338	DR095_RS01120	EXC50_RS02455
OG0000339	DR095_RS01375	EXC50_RS01185
OG0000340	DR095_RS01400	EXC50_RS02775
OG0000341	DR095_RS02015	EXC50_RS01140
OG0000342	DR095_RS02105	EXC50_RS03355
OG0000343	DR095_RS01835	EXC50_RS01970
OG0000344	DR095_RS00060	EXC50_RS03510
OG0000345	DR095_RS02305	EXC50_RS03065
OG0000346	DR095_RS03945	EXC50_RS02250
OG0000347	DR095_RS01490	EXC50_RS02685
OG0000348	DR095_RS03905	EXC50_RS03280
OG0000349	DR095_RS02540	EXC50_RS02310
OG0000350	DR095_RS00295	EXC50_RS01600
OG0000351	DR095_RS00660	EXC50_RS03590
