Orthogroup	MFC_Ms42_genes	MHP_4284_genes
OG0000197	MYF_RS02020	ABLE99_RS00955
OG0000198	MYF_RS02035	ABLE99_RS00940
OG0000199	MYF_RS02040	ABLE99_RS00935
OG0000200	MYF_RS02050	ABLE99_RS00920
OG0000201	MYF_RS02060	ABLE99_RS00910
OG0000202	MYF_RS02115	ABLE99_RS00855
OG0000203	MYF_RS02120	ABLE99_RS00850
OG0000204	MYF_RS02125	ABLE99_RS00845
OG0000205	MYF_RS02130	ABLE99_RS00840
OG0000206	MYF_RS02150	ABLE99_RS00820
OG0000207	MYF_RS02165	ABLE99_RS00805
OG0000208	MYF_RS02170	ABLE99_RS00800
OG0000209	MYF_RS02175	ABLE99_RS00795
OG0000210	MYF_RS02220	ABLE99_RS00750
OG0000211	MYF_RS02230	ABLE99_RS00740
OG0000212	MYF_RS02240	ABLE99_RS00730
OG0000213	MYF_RS02245	ABLE99_RS00725
OG0000214	MYF_RS02250	ABLE99_RS00720
OG0000215	MYF_RS02255	ABLE99_RS00715
OG0000216	MYF_RS02260	ABLE99_RS00710
OG0000217	MYF_RS02265	ABLE99_RS00705
OG0000218	MYF_RS02275	ABLE99_RS00695
OG0000219	MYF_RS02280	ABLE99_RS00690
OG0000220	MYF_RS02285	ABLE99_RS00685
OG0000221	MYF_RS02290	ABLE99_RS00680
OG0000222	MYF_RS03240	ABLE99_RS00675
OG0000223	MYF_RS02295	ABLE99_RS00670
OG0000224	MYF_RS02305	ABLE99_RS00660
OG0000225	MYF_RS02315	ABLE99_RS00650
OG0000226	MYF_RS02320	ABLE99_RS00645
OG0000227	MYF_RS02325	ABLE99_RS00640
OG0000228	MYF_RS03530	ABLE99_RS00635
OG0000229	MYF_RS02335	ABLE99_RS00630
OG0000230	MYF_RS02340	ABLE99_RS00625
OG0000231	MYF_RS02350	ABLE99_RS00615
OG0000232	MYF_RS02360	ABLE99_RS00605
OG0000233	MYF_RS02370	ABLE99_RS01065
OG0000234	MYF_RS02400	ABLE99_RS01100
OG0000235	MYF_RS02410	ABLE99_RS01110
OG0000236	MYF_RS02415	ABLE99_RS01115
OG0000237	MYF_RS02430	ABLE99_RS01120
OG0000238	MYF_RS02435	ABLE99_RS01125
OG0000239	MYF_RS02465	ABLE99_RS02835
OG0000240	MYF_RS02470	ABLE99_RS02840
OG0000241	MYF_RS02480	ABLE99_RS02850
OG0000242	MYF_RS02485	ABLE99_RS02855
OG0000243	MYF_RS02490	ABLE99_RS02860
OG0000244	MYF_RS02500	ABLE99_RS02870
OG0000245	MYF_RS02510	ABLE99_RS02880
OG0000246	MYF_RS00085	ABLE99_RS00140
OG0000247	MYF_RS00095	ABLE99_RS00150
OG0000248	MYF_RS00120	ABLE99_RS00160
OG0000249	MYF_RS00125	ABLE99_RS00165
OG0000250	MYF_RS00140	ABLE99_RS00185
OG0000251	MYF_RS00170	ABLE99_RS00210
OG0000252	MYF_RS00180	ABLE99_RS00220
OG0000253	MYF_RS00185	ABLE99_RS00225
OG0000254	MYF_RS00195	ABLE99_RS00235
OG0000255	MYF_RS00205	ABLE99_RS00240
OG0000256	MYF_RS00210	ABLE99_RS00245
OG0000257	MYF_RS00235	ABLE99_RS00270
OG0000258	MYF_RS00245	ABLE99_RS00280
OG0000259	MYF_RS00275	ABLE99_RS00310
OG0000260	MYF_RS00285	ABLE99_RS00320
OG0000261	MYF_RS00295	ABLE99_RS00330
OG0000262	MYF_RS00310	ABLE99_RS00345
OG0000263	MYF_RS00325	ABLE99_RS00360
OG0000264	MYF_RS00340	ABLE99_RS00375
OG0000265	MYF_RS00350	ABLE99_RS00385
OG0000266	MYF_RS00365	ABLE99_RS00400
OG0000267	MYF_RS00380	ABLE99_RS00415
OG0000268	MYF_RS00385	ABLE99_RS00420
OG0000269	MYF_RS00400	ABLE99_RS00435
OG0000270	MYF_RS02955	ABLE99_RS03355
OG0000271	MYF_RS02950	ABLE99_RS03350
OG0000272	MYF_RS02945	ABLE99_RS03345
OG0000273	MYF_RS02940	ABLE99_RS03340
OG0000274	MYF_RS02920	ABLE99_RS03320
OG0000275	MYF_RS02915	ABLE99_RS03315
OG0000276	MYF_RS02910	ABLE99_RS03310
OG0000277	MYF_RS02900	ABLE99_RS03300
OG0000278	MYF_RS02895	ABLE99_RS03295
OG0000279	MYF_RS02885	ABLE99_RS03285
OG0000280	MYF_RS02880	ABLE99_RS03280
OG0000281	MYF_RS03275	ABLE99_RS03275
OG0000282	MYF_RS02855	ABLE99_RS03250
OG0000283	MYF_RS02850	ABLE99_RS03245
OG0000284	MYF_RS02845	ABLE99_RS03240
OG0000285	MYF_RS02840	ABLE99_RS03235
OG0000286	MYF_RS01115	ABLE99_RS02325
OG0000287	MYF_RS01090	ABLE99_RS02415
OG0000288	MYF_RS01080	ABLE99_RS02425
OG0000289	MYF_RS01075	ABLE99_RS02430
OG0000290	MYF_RS00905	ABLE99_RS02540
OG0000291	MYF_RS00915	ABLE99_RS02530
OG0000292	MYF_RS00920	ABLE99_RS02525
OG0000293	MYF_RS00925	ABLE99_RS02520
OG0000294	MYF_RS00935	ABLE99_RS02510
OG0000295	MYF_RS00940	ABLE99_RS02505
OG0000296	MYF_RS01040	ABLE99_RS02465
OG0000297	MYF_RS01045	ABLE99_RS02460
OG0000298	MYF_RS00135	ABLE99_RS00175
OG0000299	MYF_RS00155	ABLE99_RS00195
OG0000300	MYF_RS00335	ABLE99_RS00370
OG0000301	MYF_RS00370	ABLE99_RS00405
OG0000302	MYF_RS00375	ABLE99_RS00410
OG0000303	MYF_RS00515	ABLE99_RS00555
OG0000304	MYF_RS00545	ABLE99_RS00600
OG0000305	MYF_RS00690	ABLE99_RS02775
OG0000306	MYF_RS00770	ABLE99_RS02700
OG0000307	MYF_RS00810	ABLE99_RS02660
OG0000308	MYF_RS00895	ABLE99_RS02560
OG0000309	MYF_RS01005	ABLE99_RS02495
OG0000310	MYF_RS01085	ABLE99_RS02420
OG0000311	MYF_RS01140	ABLE99_RS02385
OG0000312	MYF_RS01160	ABLE99_RS02370
OG0000313	MYF_RS01210	ABLE99_RS01550
OG0000314	MYF_RS01280	ABLE99_RS01870
OG0000315	MYF_RS01310	ABLE99_RS01900
OG0000316	MYF_RS01320	ABLE99_RS01910
OG0000317	MYF_RS01360	ABLE99_RS02005
OG0000318	MYF_RS01450	ABLE99_RS01915
OG0000319	MYF_RS01555	ABLE99_RS02065
OG0000320	MYF_RS01620	ABLE99_RS02265
OG0000321	MYF_RS01685	ABLE99_RS01300
OG0000322	MYF_RS01730	ABLE99_RS01345
OG0000323	MYF_RS01860	ABLE99_RS01475
OG0000324	MYF_RS01960	ABLE99_RS02105
OG0000325	MYF_RS02000	ABLE99_RS00975
OG0000326	MYF_RS02090	ABLE99_RS00880
OG0000327	MYF_RS02095	ABLE99_RS00875
OG0000328	MYF_RS02180	ABLE99_RS00790
OG0000329	MYF_RS02200	ABLE99_RS00770
