Orthogroup	MFC_Ms42_genes	MHP_131B_genes
OG0000150	MYF_RS00740	NB627_RS03025
OG0000151	MYF_RS00795	NB627_RS02970
OG0000152	MYF_RS00800	NB627_RS02965
OG0000153	MYF_RS00805	NB627_RS02960
OG0000154	MYF_RS00815	NB627_RS02950
OG0000155	MYF_RS00835	NB627_RS02910
OG0000156	MYF_RS00855	NB627_RS02905
OG0000157	MYF_RS00860	NB627_RS02895
OG0000158	MYF_RS00870	NB627_RS02885
OG0000159	MYF_RS01165	NB627_RS02645
OG0000160	MYF_RS01170	NB627_RS02640
OG0000161	MYF_RS01175	NB627_RS02635
OG0000162	MYF_RS01185	NB627_RS02625
OG0000163	MYF_RS01190	NB627_RS02620
OG0000164	MYF_RS01220	NB627_RS01735
OG0000165	MYF_RS01265	NB627_RS02080
OG0000166	MYF_RS01285	NB627_RS02100
OG0000167	MYF_RS01300	NB627_RS02115
OG0000168	MYF_RS01305	NB627_RS02120
OG0000169	MYF_RS02560	NB627_RS03235
OG0000170	MYF_RS02585	NB627_RS03255
OG0000171	MYF_RS02595	NB627_RS03265
OG0000172	MYF_RS02600	NB627_RS03270
OG0000173	MYF_RS02605	NB627_RS03275
OG0000174	MYF_RS02610	NB627_RS03280
OG0000175	MYF_RS02625	NB627_RS03295
OG0000176	MYF_RS02670	NB627_RS03350
OG0000177	MYF_RS02675	NB627_RS03355
OG0000178	MYF_RS02680	NB627_RS03365
OG0000179	MYF_RS02690	NB627_RS03370
OG0000180	MYF_RS02695	NB627_RS03375
OG0000181	MYF_RS02710	NB627_RS03415
OG0000182	MYF_RS02720	NB627_RS03425
OG0000183	MYF_RS02755	NB627_RS03460
OG0000184	MYF_RS02785	NB627_RS03505
OG0000185	MYF_RS02800	NB627_RS03490
OG0000186	MYF_RS01895	NB627_RS01655
OG0000187	MYF_RS01910	NB627_RS01670
OG0000188	MYF_RS01920	NB627_RS01680
OG0000189	MYF_RS01930	NB627_RS02465
OG0000190	MYF_RS01935	NB627_RS02460
OG0000191	MYF_RS01955	NB627_RS02435
OG0000192	MYF_RS01965	NB627_RS01335
OG0000193	MYF_RS01980	NB627_RS01315
OG0000194	MYF_RS01990	NB627_RS00800
OG0000195	MYF_RS01995	NB627_RS00805
OG0000196	MYF_RS02015	NB627_RS00830
OG0000197	MYF_RS02020	NB627_RS00840
OG0000198	MYF_RS02035	NB627_RS00850
OG0000199	MYF_RS02040	NB627_RS00855
OG0000200	MYF_RS02050	NB627_RS00875
OG0000201	MYF_RS02060	NB627_RS00880
OG0000202	MYF_RS02115	NB627_RS00940
OG0000203	MYF_RS02120	NB627_RS00945
OG0000204	MYF_RS02125	NB627_RS00950
OG0000205	MYF_RS02130	NB627_RS00955
OG0000206	MYF_RS02150	NB627_RS00975
OG0000207	MYF_RS02165	NB627_RS00990
OG0000208	MYF_RS02170	NB627_RS00995
OG0000209	MYF_RS02175	NB627_RS01000
OG0000210	MYF_RS02220	NB627_RS01045
OG0000211	MYF_RS02230	NB627_RS01055
OG0000212	MYF_RS02240	NB627_RS01065
OG0000213	MYF_RS02245	NB627_RS01070
OG0000214	MYF_RS02250	NB627_RS01075
OG0000215	MYF_RS02255	NB627_RS01080
OG0000216	MYF_RS02260	NB627_RS01085
OG0000217	MYF_RS02265	NB627_RS01090
OG0000218	MYF_RS02275	NB627_RS01100
OG0000219	MYF_RS02280	NB627_RS01105
OG0000220	MYF_RS02285	NB627_RS01110
OG0000221	MYF_RS02290	NB627_RS01115
OG0000222	MYF_RS03240	NB627_RS01120
OG0000223	MYF_RS02295	NB627_RS01125
OG0000224	MYF_RS02305	NB627_RS01135
OG0000225	MYF_RS02315	NB627_RS01145
OG0000226	MYF_RS02320	NB627_RS01150
OG0000227	MYF_RS02325	NB627_RS01155
OG0000228	MYF_RS03530	NB627_RS01160
OG0000229	MYF_RS02335	NB627_RS01165
OG0000230	MYF_RS02340	NB627_RS01170
OG0000231	MYF_RS02350	NB627_RS01180
OG0000232	MYF_RS02360	NB627_RS01190
OG0000233	MYF_RS02370	NB627_RS01210
OG0000234	MYF_RS02400	NB627_RS01245
OG0000235	MYF_RS02410	NB627_RS01255
OG0000236	MYF_RS02415	NB627_RS01260
OG0000237	MYF_RS02430	NB627_RS01265
OG0000238	MYF_RS02435	NB627_RS01270
OG0000239	MYF_RS02465	NB627_RS03130
OG0000240	MYF_RS02470	NB627_RS03135
OG0000241	MYF_RS02480	NB627_RS03145
OG0000242	MYF_RS02485	NB627_RS03150
OG0000243	MYF_RS02490	NB627_RS03155
OG0000244	MYF_RS02500	NB627_RS03165
OG0000245	MYF_RS02510	NB627_RS03175
OG0000246	MYF_RS00085	NB627_RS00140
OG0000247	MYF_RS00095	NB627_RS00150
OG0000248	MYF_RS00120	NB627_RS00160
OG0000249	MYF_RS00125	NB627_RS00165
OG0000250	MYF_RS00140	NB627_RS00180
OG0000251	MYF_RS00170	NB627_RS00215
OG0000252	MYF_RS00180	NB627_RS00220
OG0000253	MYF_RS00185	NB627_RS00225
OG0000254	MYF_RS00195	NB627_RS00235
OG0000255	MYF_RS00205	NB627_RS00240
OG0000256	MYF_RS00210	NB627_RS00245
OG0000257	MYF_RS00235	NB627_RS00270
OG0000258	MYF_RS00245	NB627_RS00280
OG0000259	MYF_RS00275	NB627_RS00310
OG0000260	MYF_RS00285	NB627_RS00320
OG0000261	MYF_RS00295	NB627_RS00330
OG0000262	MYF_RS00310	NB627_RS00360
OG0000263	MYF_RS00325	NB627_RS00375
OG0000264	MYF_RS00340	NB627_RS00395
OG0000265	MYF_RS00350	NB627_RS00400
OG0000266	MYF_RS00365	NB627_RS00415
OG0000267	MYF_RS00380	NB627_RS00430
OG0000268	MYF_RS00385	NB627_RS00530
OG0000269	MYF_RS00400	NB627_RS00545
OG0000270	MYF_RS02955	NB627_RS03700
OG0000271	MYF_RS02950	NB627_RS03690
OG0000272	MYF_RS02945	NB627_RS03685
OG0000273	MYF_RS02940	NB627_RS03680
OG0000274	MYF_RS02920	NB627_RS03665
OG0000275	MYF_RS02915	NB627_RS03655
OG0000276	MYF_RS02910	NB627_RS03650
OG0000277	MYF_RS02900	NB627_RS03640
OG0000278	MYF_RS02895	NB627_RS03635
OG0000279	MYF_RS02885	NB627_RS03625
OG0000280	MYF_RS02880	NB627_RS03620
OG0000281	MYF_RS03275	NB627_RS03615
OG0000282	MYF_RS02855	NB627_RS03590
OG0000283	MYF_RS02850	NB627_RS03585
OG0000284	MYF_RS02845	NB627_RS03580
OG0000285	MYF_RS02840	NB627_RS03575
OG0000286	MYF_RS01115	NB627_RS02605
OG0000287	MYF_RS01090	NB627_RS02705
OG0000288	MYF_RS01080	NB627_RS02715
OG0000289	MYF_RS01075	NB627_RS02720
OG0000290	MYF_RS00905	NB627_RS02840
OG0000291	MYF_RS00915	NB627_RS02825
