Orthogroup	MFC_Ms42_genes	MHP_111A_genes
OG0000193	MYF_RS01980	NB623_RS01325
OG0000194	MYF_RS01990	NB623_RS00690
OG0000195	MYF_RS01995	NB623_RS00695
OG0000196	MYF_RS02015	NB623_RS00720
OG0000197	MYF_RS02020	NB623_RS00730
OG0000198	MYF_RS02035	NB623_RS00740
OG0000199	MYF_RS02040	NB623_RS00745
OG0000200	MYF_RS02050	NB623_RS00760
OG0000201	MYF_RS02060	NB623_RS00770
OG0000202	MYF_RS02115	NB623_RS00830
OG0000203	MYF_RS02120	NB623_RS00835
OG0000204	MYF_RS02125	NB623_RS00840
OG0000205	MYF_RS02130	NB623_RS00845
OG0000206	MYF_RS02150	NB623_RS00865
OG0000207	MYF_RS02165	NB623_RS00880
OG0000208	MYF_RS02170	NB623_RS00885
OG0000209	MYF_RS02175	NB623_RS00890
OG0000210	MYF_RS02220	NB623_RS00935
OG0000211	MYF_RS02230	NB623_RS01070
OG0000212	MYF_RS02240	NB623_RS01080
OG0000213	MYF_RS02245	NB623_RS01085
OG0000214	MYF_RS02250	NB623_RS01090
OG0000215	MYF_RS02255	NB623_RS01095
OG0000216	MYF_RS02260	NB623_RS01100
OG0000217	MYF_RS02265	NB623_RS01105
OG0000218	MYF_RS02275	NB623_RS01115
OG0000219	MYF_RS02280	NB623_RS01120
OG0000220	MYF_RS02285	NB623_RS01125
OG0000221	MYF_RS02290	NB623_RS01130
OG0000222	MYF_RS03240	NB623_RS01135
OG0000223	MYF_RS02295	NB623_RS01140
OG0000224	MYF_RS02305	NB623_RS01150
OG0000225	MYF_RS02315	NB623_RS01160
OG0000226	MYF_RS02320	NB623_RS01165
OG0000227	MYF_RS02325	NB623_RS01170
OG0000228	MYF_RS03530	NB623_RS01175
OG0000229	MYF_RS02335	NB623_RS01180
OG0000230	MYF_RS02340	NB623_RS01185
OG0000231	MYF_RS02350	NB623_RS01195
OG0000232	MYF_RS02360	NB623_RS01205
OG0000233	MYF_RS02370	NB623_RS01225
OG0000234	MYF_RS02400	NB623_RS01260
OG0000235	MYF_RS02410	NB623_RS01270
OG0000236	MYF_RS02415	NB623_RS01275
OG0000237	MYF_RS02430	NB623_RS01280
OG0000238	MYF_RS02435	NB623_RS01285
OG0000239	MYF_RS02465	NB623_RS03105
OG0000240	MYF_RS02470	NB623_RS03110
OG0000241	MYF_RS02480	NB623_RS03120
OG0000242	MYF_RS02485	NB623_RS03125
OG0000243	MYF_RS02490	NB623_RS03130
OG0000244	MYF_RS02500	NB623_RS03140
OG0000245	MYF_RS02510	NB623_RS03145
OG0000246	MYF_RS00085	NB623_RS00130
OG0000247	MYF_RS00095	NB623_RS00140
OG0000248	MYF_RS00120	NB623_RS00150
OG0000249	MYF_RS00125	NB623_RS00155
OG0000250	MYF_RS00140	NB623_RS00175
OG0000251	MYF_RS00170	NB623_RS00205
OG0000252	MYF_RS00180	NB623_RS00210
OG0000253	MYF_RS00185	NB623_RS00215
OG0000254	MYF_RS00195	NB623_RS00225
OG0000255	MYF_RS00205	NB623_RS00230
OG0000256	MYF_RS00210	NB623_RS00240
OG0000257	MYF_RS00235	NB623_RS00260
OG0000258	MYF_RS00245	NB623_RS00270
OG0000259	MYF_RS00275	NB623_RS00300
OG0000260	MYF_RS00285	NB623_RS00310
OG0000261	MYF_RS00295	NB623_RS00320
OG0000262	MYF_RS00310	NB623_RS00340
OG0000263	MYF_RS00325	NB623_RS00350
OG0000264	MYF_RS00340	NB623_RS00365
OG0000265	MYF_RS00350	NB623_RS00375
OG0000266	MYF_RS00365	NB623_RS00390
OG0000267	MYF_RS00380	NB623_RS00405
OG0000268	MYF_RS00385	NB623_RS00410
OG0000269	MYF_RS00400	NB623_RS00425
OG0000270	MYF_RS02955	NB623_RS03685
OG0000271	MYF_RS02950	NB623_RS03675
OG0000272	MYF_RS02945	NB623_RS03670
OG0000273	MYF_RS02940	NB623_RS03665
OG0000274	MYF_RS02920	NB623_RS03650
OG0000275	MYF_RS02915	NB623_RS03640
OG0000276	MYF_RS02910	NB623_RS03635
OG0000277	MYF_RS02900	NB623_RS03625
OG0000278	MYF_RS02895	NB623_RS03620
OG0000279	MYF_RS02885	NB623_RS03615
OG0000280	MYF_RS02880	NB623_RS03605
OG0000281	MYF_RS03275	NB623_RS03600
OG0000282	MYF_RS02855	NB623_RS03570
OG0000283	MYF_RS02850	NB623_RS03565
OG0000284	MYF_RS02845	NB623_RS03560
OG0000285	MYF_RS02840	NB623_RS03555
OG0000286	MYF_RS01115	NB623_RS02575
OG0000287	MYF_RS01090	NB623_RS02675
OG0000288	MYF_RS01080	NB623_RS02685
OG0000289	MYF_RS01075	NB623_RS02690
OG0000290	MYF_RS00905	NB623_RS02810
OG0000291	MYF_RS00915	NB623_RS02800
OG0000292	MYF_RS00920	NB623_RS02795
OG0000293	MYF_RS00925	NB623_RS02790
OG0000294	MYF_RS00935	NB623_RS02780
OG0000295	MYF_RS00940	NB623_RS02775
OG0000296	MYF_RS01040	NB623_RS02730
OG0000297	MYF_RS01045	NB623_RS02725
OG0000298	MYF_RS00135	NB623_RS00165
OG0000299	MYF_RS00155	NB623_RS00185
OG0000300	MYF_RS00335	NB623_RS00360
OG0000301	MYF_RS00370	NB623_RS00395
OG0000302	MYF_RS00375	NB623_RS00400
OG0000303	MYF_RS00515	NB623_RS00555
OG0000304	MYF_RS00545	NB623_RS01210
OG0000305	MYF_RS00690	NB623_RS03045
OG0000306	MYF_RS00770	NB623_RS02970
OG0000307	MYF_RS00810	NB623_RS02930
OG0000308	MYF_RS00895	NB623_RS02835
OG0000309	MYF_RS01005	NB623_RS02765
OG0000310	MYF_RS01085	NB623_RS02680
OG0000311	MYF_RS01140	NB623_RS02635
OG0000312	MYF_RS01160	NB623_RS02620
OG0000313	MYF_RS01210	NB623_RS01715
OG0000314	MYF_RS01280	NB623_RS02140
OG0000315	MYF_RS01310	NB623_RS02110
OG0000316	MYF_RS01320	NB623_RS02100
OG0000317	MYF_RS01360	NB623_RS02005
OG0000318	MYF_RS01450	NB623_RS02095
OG0000319	MYF_RS01555	NB623_RS02370
OG0000320	MYF_RS01620	NB623_RS02500
OG0000321	MYF_RS01685	NB623_RS01450
OG0000322	MYF_RS01730	NB623_RS01500
OG0000323	MYF_RS01860	NB623_RS01630
OG0000324	MYF_RS01960	NB623_RS02410
OG0000325	MYF_RS02000	NB623_RS00705
OG0000326	MYF_RS02090	NB623_RS00805
OG0000327	MYF_RS02095	NB623_RS00810
OG0000328	MYF_RS02180	NB623_RS00895
OG0000329	MYF_RS02200	NB623_RS00915
OG0000330	MYF_RS02380	NB623_RS01235
OG0000331	MYF_RS02495	NB623_RS03135
OG0000332	MYF_RS02635	NB623_RS03270
OG0000333	MYF_RS02645	NB623_RS03280
OG0000334	MYF_RS02715	NB623_RS03380
OG0000335	MYF_RS02725	NB623_RS03390
OG0000336	MYF_RS02870	NB623_RS03590
OG0000337	MYF_RS03105	NB623_RS03765
OG0000338	MYF_RS03145	NB623_RS03805
OG0000339	MYF_RS01640	NB623_RS02475
OG0000340	MYF_RS01665	NB623_RS01430
OG0000341	MYF_RS01940	NB623_RS02435
OG0000342	MYF_RS02030	NB623_RS00735
OG0000343	MYF_RS02655	NB623_RS03290
OG0000344	MYF_RS00530	NB623_RS00570
OG0000345	MYF_RS02310	NB623_RS01155
OG0000346	MYF_RS02875	NB623_RS03595
OG0000347	MYF_RS01755	NB623_RS01525
OG0000348	MYF_RS02100	NB623_RS00815
OG0000349	MYF_RS02930	NB623_RS03655
OG0000350	MYF_RS03360	NB623_RS02920
OG0000351	MYF_RS00465	NB623_RS00480
OG0000352	MYF_RS01260	NB623_RS02160
OG0000353	MYF_RS01725	NB623_RS01490
OG0000354	MYF_RS00580	NB623_RS00630
OG0000355	MYF_RS01235	NB623_RS02185
OG0000356	MYF_RS01315	NB623_RS02105
OG0000357	MYF_RS02615	NB623_RS03245
OG0000358	MYF_RS02620	NB623_RS03250
OG0000359	MYF_RS02070	NB623_RS00780
OG0000360	MYF_RS00240	NB623_RS00265
OG0000361	MYF_RS00270	NB623_RS00295
OG0000362	MYF_RS01065	NB623_RS02705
OG0000363	MYF_RS01795	NB623_RS01565
OG0000365	MYF_RS01420	NB623_RS02060
OG0000366	MYF_RS01390	NB623_RS02035
OG0000367	MYF_RS01380	NB623_RS02025
OG0000368	MYF_RS00060	NB623_RS00060
OG0000369	MYF_RS00025	NB623_RS00025
OG0000370	MYF_RS00020	NB623_RS00020
OG0000371	MYF_RS00015	NB623_RS00015
OG0000372	MYF_RS00010	NB623_RS00010
OG0000373	MYF_RS03135	NB623_RS03795
OG0000374	MYF_RS03125	NB623_RS03785
OG0000375	MYF_RS01550	NB623_RS02365
OG0000376	MYF_RS01605	NB623_RS02515
OG0000377	MYF_RS01615	NB623_RS02505
OG0000378	MYF_RS01650	NB623_RS01410
OG0000379	MYF_RS01720	NB623_RS01485
OG0000380	MYF_RS01745	NB623_RS01515
OG0000381	MYF_RS01785	NB623_RS01555
OG0000382	MYF_RS01815	NB623_RS01585
OG0000383	MYF_RS01855	NB623_RS01625
OG0000384	MYF_RS00470	NB623_RS00510
OG0000385	MYF_RS00475	NB623_RS00520
OG0000386	MYF_RS00495	NB623_RS00535
OG0000387	MYF_RS00520	NB623_RS00560
OG0000388	MYF_RS00525	NB623_RS00565
OG0000389	MYF_RS00560	NB623_RS00610
OG0000390	MYF_RS00670	NB623_RS03065
OG0000391	MYF_RS00680	NB623_RS03055
OG0000392	MYF_RS00705	NB623_RS03030
OG0000393	MYF_RS00760	NB623_RS02975
OG0000394	MYF_RS00825	NB623_RS02895
OG0000395	MYF_RS00830	NB623_RS02890
OG0000396	MYF_RS01200	NB623_RS02580
OG0000397	MYF_RS01245	NB623_RS02175
OG0000398	MYF_RS01250	NB623_RS02170
OG0000399	MYF_RS01295	NB623_RS02125
OG0000400	MYF_RS02580	NB623_RS03210
OG0000401	MYF_RS02640	NB623_RS03275
OG0000402	MYF_RS02650	NB623_RS03285
OG0000403	MYF_RS02660	NB623_RS03295
OG0000404	MYF_RS02685	NB623_RS03325
OG0000405	MYF_RS02700	NB623_RS03340
OG0000406	MYF_RS02730	NB623_RS03395
OG0000407	MYF_RS02735	NB623_RS03400
OG0000408	MYF_RS02740	NB623_RS03405
OG0000409	MYF_RS02745	NB623_RS03410
OG0000410	MYF_RS02780	NB623_RS03495
OG0000411	MYF_RS02790	NB623_RS03480
OG0000413	MYF_RS01890	NB623_RS01640
OG0000414	MYF_RS01900	NB623_RS01650
OG0000415	MYF_RS01905	NB623_RS01655
OG0000416	MYF_RS01915	NB623_RS01665
OG0000417	MYF_RS01945	NB623_RS02430
OG0000418	MYF_RS01950	NB623_RS02420
OG0000419	MYF_RS02010	NB623_RS00715
OG0000420	MYF_RS02045	NB623_RS00750
OG0000421	MYF_RS02075	NB623_RS00790
OG0000422	MYF_RS02085	NB623_RS00800
OG0000423	MYF_RS02140	NB623_RS00855
OG0000424	MYF_RS02145	NB623_RS00860
OG0000425	MYF_RS02155	NB623_RS00870
OG0000426	MYF_RS02160	NB623_RS00875
OG0000427	MYF_RS02185	NB623_RS00900
OG0000428	MYF_RS02210	NB623_RS00925
OG0000429	MYF_RS02300	NB623_RS01145
OG0000430	MYF_RS02345	NB623_RS01190
OG0000431	MYF_RS02355	NB623_RS01200
OG0000432	MYF_RS02375	NB623_RS01230
OG0000433	MYF_RS02385	NB623_RS01245
OG0000434	MYF_RS02390	NB623_RS01255
OG0000435	MYF_RS02405	NB623_RS01265
OG0000436	MYF_RS02440	NB623_RS01290
