Orthogroup	MHP_MHP699_genes	MHP_J_genes
OG0000240	DR100_RS03125	MHJ_RS02930
OG0000241	DR100_RS03135	MHJ_RS02940
OG0000242	DR100_RS03140	MHJ_RS02945
OG0000243	DR100_RS03145	MHJ_RS02950
OG0000244	DR100_RS03155	MHJ_RS02960
OG0000245	DR100_RS03165	MHJ_RS02970
OG0000246	DR100_RS01055	MHJ_RS00115
OG0000247	DR100_RS00705	MHJ_RS00125
OG0000248	DR100_RS00695	MHJ_RS00135
OG0000249	DR100_RS00690	MHJ_RS00140
OG0000250	DR100_RS00675	MHJ_RS00155
OG0000251	DR100_RS00640	MHJ_RS00185
OG0000252	DR100_RS00630	MHJ_RS00195
OG0000253	DR100_RS00625	MHJ_RS00200
OG0000254	DR100_RS00615	MHJ_RS00210
OG0000255	DR100_RS00605	MHJ_RS00220
OG0000256	DR100_RS00600	MHJ_RS00225
OG0000257	DR100_RS00575	MHJ_RS00250
OG0000258	DR100_RS00565	MHJ_RS00260
OG0000259	DR100_RS00535	MHJ_RS00290
OG0000260	DR100_RS00525	MHJ_RS00300
OG0000261	DR100_RS04575	MHJ_RS00310
OG0000262	DR100_RS00500	MHJ_RS00325
OG0000263	DR100_RS00485	MHJ_RS00340
OG0000264	DR100_RS00470	MHJ_RS00355
OG0000265	DR100_RS00460	MHJ_RS00365
OG0000266	DR100_RS00445	MHJ_RS00380
OG0000267	DR100_RS00430	MHJ_RS00395
OG0000268	DR100_RS00425	MHJ_RS00400
OG0000269	DR100_RS00410	MHJ_RS00415
OG0000270	DR100_RS04660	MHJ_RS03460
OG0000271	DR100_RS01315	MHJ_RS03455
OG0000272	DR100_RS01320	MHJ_RS03450
OG0000273	DR100_RS01325	MHJ_RS03445
OG0000274	DR100_RS01345	MHJ_RS03425
OG0000275	DR100_RS04670	MHJ_RS03420
OG0000276	DR100_RS01355	MHJ_RS03415
OG0000277	DR100_RS01365	MHJ_RS03405
OG0000278	DR100_RS01370	MHJ_RS03400
OG0000279	DR100_RS01380	MHJ_RS03390
OG0000280	DR100_RS01385	MHJ_RS03385
OG0000281	DR100_RS01390	MHJ_RS03705
OG0000282	DR100_RS04680	MHJ_RS03360
OG0000283	DR100_RS01420	MHJ_RS03355
OG0000284	DR100_RS01425	MHJ_RS03350
OG0000285	DR100_RS04685	MHJ_RS03345
OG0000286	DR100_RS02690	MHJ_RS02375
OG0000287	DR100_RS01950	MHJ_RS02475
OG0000288	DR100_RS01940	MHJ_RS02485
OG0000289	DR100_RS01935	MHJ_RS02495
OG0000290	DR100_RS01825	MHJ_RS02605
OG0000291	DR100_RS01835	MHJ_RS02595
OG0000292	DR100_RS01840	MHJ_RS02590
OG0000293	DR100_RS01845	MHJ_RS02585
OG0000294	DR100_RS01855	MHJ_RS02570
OG0000295	DR100_RS01860	MHJ_RS02565
OG0000296	DR100_RS01900	MHJ_RS02525
OG0000297	DR100_RS01905	MHJ_RS02520
OG0000298	DR100_RS00680	MHJ_RS00150
OG0000299	DR100_RS00655	MHJ_RS00170
OG0000300	DR100_RS00475	MHJ_RS00350
OG0000301	DR100_RS00440	MHJ_RS00385
OG0000302	DR100_RS00435	MHJ_RS00390
OG0000303	DR100_RS02635	MHJ_RS00545
OG0000304	DR100_RS03515	MHJ_RS01050
OG0000305	DR100_RS01710	MHJ_RS02850
OG0000306	DR100_RS01785	MHJ_RS02775
OG0000307	DR100_RS03300	MHJ_RS02730
OG0000308	DR100_RS01805	MHJ_RS02625
OG0000309	DR100_RS01870	MHJ_RS02555
OG0000310	DR100_RS01945	MHJ_RS02480
OG0000311	DR100_RS02750	MHJ_RS02435
OG0000312	DR100_RS02735	MHJ_RS02420
OG0000313	DR100_RS03420	MHJ_RS01555
OG0000314	DR100_RS01965	MHJ_RS01910
OG0000315	DR100_RS02805	MHJ_RS01940
OG0000316	DR100_RS02795	MHJ_RS01950
OG0000317	DR100_RS02550	MHJ_RS02040
OG0000318	DR100_RS04815	MHJ_RS01955
OG0000319	DR100_RS03005	MHJ_RS02180
OG0000320	DR100_RS02255	MHJ_RS02305
OG0000321	DR100_RS00255	MHJ_RS01305
OG0000322	DR100_RS00300	MHJ_RS01350
OG0000323	DR100_RS02395	MHJ_RS01480
OG0000324	DR100_RS03205	MHJ_RS02220
OG0000325	DR100_RS00800	MHJ_RS00680
OG0000326	DR100_RS00895	MHJ_RS00770
OG0000327	DR100_RS00900	MHJ_RS00775
OG0000328	DR100_RS00985	MHJ_RS00860
OG0000329	DR100_RS01005	MHJ_RS00880
OG0000330	DR100_RS00020	MHJ_RS01075
OG0000331	DR100_RS03150	MHJ_RS02955
