Orthogroup	MHP_112B_genes	MFC_MF29_genes
OG0000219	NBX26_RS01125	DR095_RS02340
OG0000220	NBX26_RS01130	DR095_RS02335
OG0000221	NBX26_RS01135	DR095_RS02330
OG0000222	NBX26_RS01140	DR095_RS02325
OG0000223	NBX26_RS01145	DR095_RS02320
OG0000224	NBX26_RS01155	DR095_RS02310
OG0000225	NBX26_RS01165	DR095_RS02300
OG0000226	NBX26_RS01170	DR095_RS02295
OG0000227	NBX26_RS01175	DR095_RS02290
OG0000228	NBX26_RS01180	DR095_RS04045
OG0000229	NBX26_RS01185	DR095_RS02280
OG0000230	NBX26_RS01190	DR095_RS02275
OG0000231	NBX26_RS01200	DR095_RS02265
OG0000232	NBX26_RS01210	DR095_RS02255
OG0000233	NBX26_RS01230	DR095_RS02245
OG0000234	NBX26_RS01265	DR095_RS02215
OG0000235	NBX26_RS01275	DR095_RS02205
OG0000236	NBX26_RS01280	DR095_RS01540
OG0000237	NBX26_RS01285	DR095_RS01560
OG0000238	NBX26_RS01295	DR095_RS01565
OG0000239	NBX26_RS03115	DR095_RS01595
OG0000240	NBX26_RS03120	DR095_RS01600
OG0000241	NBX26_RS03130	DR095_RS01705
OG0000242	NBX26_RS03135	DR095_RS01710
OG0000243	NBX26_RS03140	DR095_RS01715
OG0000244	NBX26_RS03150	DR095_RS01725
OG0000245	NBX26_RS03160	DR095_RS01735
OG0000246	NBX26_RS00130	DR095_RS01030
OG0000247	NBX26_RS00140	DR095_RS01020
OG0000248	NBX26_RS00150	DR095_RS00995
OG0000249	NBX26_RS00155	DR095_RS00990
OG0000250	NBX26_RS00180	DR095_RS00975
OG0000251	NBX26_RS00210	DR095_RS00945
OG0000252	NBX26_RS00215	DR095_RS00935
OG0000253	NBX26_RS00220	DR095_RS00930
OG0000254	NBX26_RS00230	DR095_RS00920
OG0000255	NBX26_RS00235	DR095_RS00915
OG0000256	NBX26_RS00240	DR095_RS00910
OG0000257	NBX26_RS00265	DR095_RS00885
OG0000258	NBX26_RS00280	DR095_RS00875
OG0000259	NBX26_RS00305	DR095_RS00845
OG0000260	NBX26_RS00315	DR095_RS00835
OG0000261	NBX26_RS00325	DR095_RS03795
OG0000262	NBX26_RS00340	DR095_RS00810
OG0000263	NBX26_RS00355	DR095_RS00795
OG0000264	NBX26_RS00370	DR095_RS00780
OG0000265	NBX26_RS00380	DR095_RS00770
OG0000266	NBX26_RS00395	DR095_RS00755
OG0000267	NBX26_RS00410	DR095_RS00740
OG0000268	NBX26_RS00415	DR095_RS00735
OG0000269	NBX26_RS00430	DR095_RS00720
OG0000270	NBX26_RS03690	DR095_RS03930
OG0000271	NBX26_RS03685	DR095_RS02520
OG0000272	NBX26_RS03680	DR095_RS02525
OG0000273	NBX26_RS03675	DR095_RS02530
OG0000274	NBX26_RS03660	DR095_RS02550
OG0000275	NBX26_RS03650	DR095_RS03935
OG0000276	NBX26_RS03645	DR095_RS02560
OG0000277	NBX26_RS03635	DR095_RS03940
OG0000278	NBX26_RS03630	DR095_RS02575
OG0000279	NBX26_RS03620	DR095_RS02585
OG0000280	NBX26_RS03615	DR095_RS02590
OG0000281	NBX26_RS03610	DR095_RS02595
OG0000282	NBX26_RS03585	DR095_RS02620
OG0000283	NBX26_RS03580	DR095_RS02625
OG0000284	NBX26_RS03575	DR095_RS02630
OG0000285	NBX26_RS03570	DR095_RS03955
OG0000286	NBX26_RS02585	DR095_RS00590
OG0000287	NBX26_RS02680	DR095_RS00565
OG0000288	NBX26_RS02690	DR095_RS00555
OG0000289	NBX26_RS02695	DR095_RS00550
OG0000290	NBX26_RS02815	DR095_RS03370
OG0000291	NBX26_RS02800	DR095_RS00450
OG0000292	NBX26_RS02795	DR095_RS00455
OG0000293	NBX26_RS02785	DR095_RS00460
OG0000294	NBX26_RS02775	DR095_RS00470
OG0000295	NBX26_RS02770	DR095_RS00475
OG0000296	NBX26_RS02730	DR095_RS00515
OG0000297	NBX26_RS02725	DR095_RS00520
OG0000298	NBX26_RS00165	DR095_RS00980
OG0000299	NBX26_RS00190	DR095_RS00960
OG0000300	NBX26_RS00365	DR095_RS00785
OG0000301	NBX26_RS00400	DR095_RS00750
OG0000302	NBX26_RS00405	DR095_RS00745
OG0000303	NBX26_RS00560	DR095_RS00045
OG0000304	NBX26_RS01215	DR095_RS00080
OG0000305	NBX26_RS03055	DR095_RS00210
OG0000306	NBX26_RS02980	DR095_RS00290
OG0000307	NBX26_RS02940	DR095_RS00330
OG0000308	NBX26_RS02850	DR095_RS00430
OG0000309	NBX26_RS02760	DR095_RS00485
OG0000310	NBX26_RS02685	DR095_RS00560
OG0000311	NBX26_RS02645	DR095_RS00610
OG0000312	NBX26_RS02630	DR095_RS00630
OG0000313	NBX26_RS01720	DR095_RS02705
OG0000314	NBX26_RS02145	DR095_RS02775
OG0000315	NBX26_RS02115	DR095_RS02805
OG0000316	NBX26_RS02105	DR095_RS02815
OG0000317	NBX26_RS02005	DR095_RS02840
OG0000318	NBX26_RS02100	DR095_RS04005
OG0000319	NBX26_RS02380	DR095_RS01290
OG0000320	NBX26_RS02510	DR095_RS01355
OG0000321	NBX26_RS01455	DR095_RS01420
OG0000322	NBX26_RS01510	DR095_RS01465
OG0000323	NBX26_RS01640	DR095_RS02955
OG0000324	NBX26_RS02420	DR095_RS02035
OG0000325	NBX26_RS00710	DR095_RS02075
OG0000326	NBX26_RS00805	DR095_RS02170
OG0000327	NBX26_RS00810	DR095_RS02175
OG0000328	NBX26_RS00895	DR095_RS02440
OG0000329	NBX26_RS00920	DR095_RS02420
OG0000330	NBX26_RS01240	DR095_RS02235
OG0000331	NBX26_RS03145	DR095_RS01720
OG0000332	NBX26_RS03285	DR095_RS01815
OG0000333	NBX26_RS03295	DR095_RS01825
OG0000334	NBX26_RS03400	DR095_RS01890
OG0000335	NBX26_RS03410	DR095_RS03875
OG0000336	NBX26_RS03600	DR095_RS03950
OG0000337	NBX26_RS03765	DR095_RS01160
OG0000338	NBX26_RS03805	DR095_RS01120
OG0000339	NBX26_RS02485	DR095_RS01375
OG0000340	NBX26_RS01435	DR095_RS01400
OG0000341	NBX26_RS02445	DR095_RS02015
OG0000342	NBX26_RS00740	DR095_RS02105
OG0000343	NBX26_RS03305	DR095_RS01835
OG0000344	NBX26_RS00575	DR095_RS00060
OG0000345	NBX26_RS01160	DR095_RS02305
OG0000346	NBX26_RS03605	DR095_RS03945
OG0000347	NBX26_RS01535	DR095_RS01490
OG0000348	NBX26_RS00815	DR095_RS03905
OG0000349	NBX26_RS03665	DR095_RS02540
OG0000350	NBX26_RS02930	DR095_RS00295
OG0000351	NBX26_RS00485	DR095_RS00660
OG0000352	NBX26_RS02165	DR095_RS02755
OG0000353	NBX26_RS01500	DR095_RS01460
OG0000354	NBX26_RS00635	DR095_RS00110
OG0000355	NBX26_RS02190	DR095_RS03980
OG0000356	NBX26_RS02110	DR095_RS03985
OG0000357	NBX26_RS03260	DR095_RS03860
