Orthogroup	MHP_131B_genes	MHP_KM014_genes
OG0000190	NB627_RS02460	CIB43_RS03195
OG0000191	NB627_RS02435	CIB43_RS03180
OG0000192	NB627_RS01335	CIB43_RS02085
OG0000193	NB627_RS01315	CIB43_RS02075
OG0000194	NB627_RS00800	CIB43_RS01560
OG0000195	NB627_RS00805	CIB43_RS01565
OG0000196	NB627_RS00830	CIB43_RS01585
OG0000197	NB627_RS00840	CIB43_RS01590
OG0000198	NB627_RS00850	CIB43_RS01605
OG0000199	NB627_RS00855	CIB43_RS01615
OG0000200	NB627_RS00875	CIB43_RS01630
OG0000201	NB627_RS00880	CIB43_RS01635
OG0000202	NB627_RS00940	CIB43_RS01690
OG0000203	NB627_RS00945	CIB43_RS01695
OG0000204	NB627_RS00950	CIB43_RS01700
OG0000205	NB627_RS00955	CIB43_RS01705
OG0000206	NB627_RS00975	CIB43_RS01735
OG0000207	NB627_RS00990	CIB43_RS01740
OG0000208	NB627_RS00995	CIB43_RS01745
OG0000209	NB627_RS01000	CIB43_RS01750
OG0000210	NB627_RS01045	CIB43_RS01800
OG0000211	NB627_RS01055	CIB43_RS01805
OG0000212	NB627_RS01065	CIB43_RS01815
OG0000213	NB627_RS01070	CIB43_RS01820
OG0000214	NB627_RS01075	CIB43_RS01825
OG0000215	NB627_RS01080	CIB43_RS01830
OG0000216	NB627_RS01085	CIB43_RS01835
OG0000217	NB627_RS01090	CIB43_RS01845
OG0000218	NB627_RS01100	CIB43_RS01850
OG0000219	NB627_RS01105	CIB43_RS01855
OG0000220	NB627_RS01110	CIB43_RS01860
OG0000221	NB627_RS01115	CIB43_RS01865
OG0000222	NB627_RS01120	CIB43_RS01870
OG0000223	NB627_RS01125	CIB43_RS01875
OG0000225	NB627_RS01145	CIB43_RS01895
OG0000226	NB627_RS01150	CIB43_RS01900
OG0000227	NB627_RS01155	CIB43_RS01905
OG0000228	NB627_RS01160	CIB43_RS01910
OG0000229	NB627_RS01165	CIB43_RS01915
OG0000230	NB627_RS01170	CIB43_RS01920
OG0000231	NB627_RS01180	CIB43_RS01935
OG0000232	NB627_RS01190	CIB43_RS01940
OG0000233	NB627_RS01210	CIB43_RS01965
OG0000234	NB627_RS01245	CIB43_RS02000
OG0000235	NB627_RS01255	CIB43_RS02005
OG0000236	NB627_RS01260	CIB43_RS02010
OG0000237	NB627_RS01265	CIB43_RS02015
OG0000238	NB627_RS01270	CIB43_RS02025
OG0000239	NB627_RS03130	CIB43_RS03860
OG0000240	NB627_RS03135	CIB43_RS03870
OG0000241	NB627_RS03145	CIB43_RS03875
OG0000242	NB627_RS03150	CIB43_RS03880
OG0000243	NB627_RS03155	CIB43_RS03885
OG0000244	NB627_RS03165	CIB43_RS03900
OG0000245	NB627_RS03175	CIB43_RS03905
OG0000246	NB627_RS00140	CIB43_RS00845
OG0000247	NB627_RS00150	CIB43_RS00850
OG0000248	NB627_RS00160	CIB43_RS00875
OG0000250	NB627_RS00180	CIB43_RS00885
OG0000251	NB627_RS00215	CIB43_RS00925
OG0000252	NB627_RS00220	CIB43_RS00930
OG0000253	NB627_RS00225	CIB43_RS00940
OG0000254	NB627_RS00235	CIB43_RS00950
OG0000255	NB627_RS00240	CIB43_RS00955
OG0000256	NB627_RS00245	CIB43_RS00960
OG0000257	NB627_RS00270	CIB43_RS00985
OG0000258	NB627_RS00280	CIB43_RS01015
OG0000259	NB627_RS00310	CIB43_RS01030
OG0000260	NB627_RS00320	CIB43_RS01045
OG0000262	NB627_RS00360	CIB43_RS01075
OG0000263	NB627_RS00375	CIB43_RS01080
OG0000264	NB627_RS00395	CIB43_RS01100
OG0000265	NB627_RS00400	CIB43_RS01110
OG0000266	NB627_RS00415	CIB43_RS01120
OG0000267	NB627_RS00430	CIB43_RS01135
OG0000268	NB627_RS00530	CIB43_RS01305
OG0000269	NB627_RS00545	CIB43_RS01320
OG0000270	NB627_RS03700	CIB43_RS00575
OG0000271	NB627_RS03690	CIB43_RS00570
OG0000272	NB627_RS03685	CIB43_RS00565
OG0000273	NB627_RS03680	CIB43_RS00560
OG0000274	NB627_RS03665	CIB43_RS00545
OG0000275	NB627_RS03655	CIB43_RS00535
OG0000276	NB627_RS03650	CIB43_RS00530
OG0000277	NB627_RS03640	CIB43_RS00525
OG0000278	NB627_RS03635	CIB43_RS00515
OG0000279	NB627_RS03625	CIB43_RS00510
OG0000280	NB627_RS03620	CIB43_RS00500
OG0000281	NB627_RS03615	CIB43_RS00495
OG0000283	NB627_RS03585	CIB43_RS00475
OG0000284	NB627_RS03580	CIB43_RS00460
OG0000285	NB627_RS03575	CIB43_RS00455
OG0000286	NB627_RS02605	CIB43_RS03345
OG0000287	NB627_RS02705	CIB43_RS03440
OG0000288	NB627_RS02715	CIB43_RS03450
