Orthogroup	MHP_131B_genes	MFC_MF33_genes
OG0000170	NB627_RS03255	DR085_RS01420
OG0000171	NB627_RS03265	DR085_RS01430
OG0000172	NB627_RS03270	DR085_RS01435
OG0000173	NB627_RS03275	DR085_RS01440
OG0000174	NB627_RS03280	DR085_RS01445
OG0000175	NB627_RS03295	DR085_RS01460
OG0000176	NB627_RS03350	DR085_RS01500
OG0000177	NB627_RS03355	DR085_RS01505
OG0000178	NB627_RS03365	DR085_RS01510
OG0000179	NB627_RS03370	DR085_RS01520
OG0000180	NB627_RS03375	DR085_RS01525
OG0000181	NB627_RS03415	DR085_RS03715
OG0000182	NB627_RS03425	DR085_RS01550
OG0000183	NB627_RS03460	DR085_RS01585
OG0000184	NB627_RS03505	DR085_RS02950
OG0000185	NB627_RS03490	DR085_RS02935
OG0000186	NB627_RS01655	DR085_RS02180
OG0000187	NB627_RS01670	DR085_RS02165
OG0000188	NB627_RS01680	DR085_RS02155
OG0000189	NB627_RS02465	DR085_RS03775
OG0000190	NB627_RS02460	DR085_RS02140
OG0000191	NB627_RS02435	DR085_RS02120
OG0000192	NB627_RS01335	DR085_RS02110
OG0000193	NB627_RS01315	DR085_RS02095
OG0000194	NB627_RS00800	DR085_RS02085
OG0000195	NB627_RS00805	DR085_RS02080
OG0000196	NB627_RS00830	DR085_RS03770
OG0000197	NB627_RS00840	DR085_RS02055
OG0000198	NB627_RS00850	DR085_RS02040
OG0000199	NB627_RS00855	DR085_RS02035
OG0000200	NB627_RS00875	DR085_RS02020
OG0000201	NB627_RS00880	DR085_RS02010
OG0000202	NB627_RS00940	DR085_RS01955
OG0000203	NB627_RS00945	DR085_RS01950
OG0000204	NB627_RS00950	DR085_RS03675
OG0000205	NB627_RS00955	DR085_RS00995
OG0000206	NB627_RS00975	DR085_RS01015
OG0000207	NB627_RS00990	DR085_RS01030
OG0000208	NB627_RS00995	DR085_RS01035
OG0000209	NB627_RS01000	DR085_RS01040
OG0000210	NB627_RS01045	DR085_RS01085
OG0000211	NB627_RS01055	DR085_RS01095
OG0000212	NB627_RS01065	DR085_RS01105
OG0000213	NB627_RS01070	DR085_RS01110
OG0000214	NB627_RS01075	DR085_RS01115
OG0000215	NB627_RS01080	DR085_RS01120
OG0000216	NB627_RS01085	DR085_RS01125
OG0000217	NB627_RS01090	DR085_RS01130
OG0000218	NB627_RS01100	DR085_RS03695
OG0000219	NB627_RS01105	DR085_RS01145
OG0000220	NB627_RS01110	DR085_RS01150
OG0000221	NB627_RS01115	DR085_RS01155
OG0000222	NB627_RS01120	DR085_RS01160
OG0000223	NB627_RS01125	DR085_RS01165
OG0000224	NB627_RS01135	DR085_RS01175
OG0000225	NB627_RS01145	DR085_RS01185
OG0000226	NB627_RS01150	DR085_RS01190
OG0000227	NB627_RS01155	DR085_RS01195
OG0000228	NB627_RS01160	DR085_RS03930
OG0000229	NB627_RS01165	DR085_RS01205
OG0000230	NB627_RS01170	DR085_RS01210
OG0000231	NB627_RS01180	DR085_RS01220
OG0000232	NB627_RS01190	DR085_RS01230
OG0000233	NB627_RS01210	DR085_RS01240
OG0000234	NB627_RS01245	DR085_RS01270
OG0000235	NB627_RS01255	DR085_RS01280
OG0000236	NB627_RS01260	DR085_RS01285
OG0000237	NB627_RS01265	DR085_RS01305
OG0000238	NB627_RS01270	DR085_RS01310
OG0000239	NB627_RS03130	DR085_RS01340
OG0000240	NB627_RS03135	DR085_RS01345
OG0000241	NB627_RS03145	DR085_RS01355
OG0000242	NB627_RS03150	DR085_RS01360
OG0000243	NB627_RS03155	DR085_RS01365
OG0000244	NB627_RS03165	DR085_RS01375
OG0000245	NB627_RS03175	DR085_RS01385
OG0000246	NB627_RS00140	DR085_RS02350
OG0000247	NB627_RS00150	DR085_RS02360
OG0000248	NB627_RS00160	DR085_RS02385
OG0000249	NB627_RS00165	DR085_RS02390
OG0000250	NB627_RS00180	DR085_RS00015
OG0000251	NB627_RS00215	DR085_RS00045
OG0000252	NB627_RS00220	DR085_RS00055
OG0000253	NB627_RS00225	DR085_RS00060
OG0000254	NB627_RS00235	DR085_RS00070
OG0000255	NB627_RS00240	DR085_RS00075
OG0000256	NB627_RS00245	DR085_RS00080
OG0000257	NB627_RS00270	DR085_RS00105
OG0000258	NB627_RS00280	DR085_RS00115
OG0000259	NB627_RS00310	DR085_RS00145
OG0000260	NB627_RS00320	DR085_RS00155
OG0000261	NB627_RS00330	DR085_RS03635
OG0000262	NB627_RS00360	DR085_RS00180
OG0000263	NB627_RS00375	DR085_RS00195
OG0000264	NB627_RS00395	DR085_RS00210
OG0000265	NB627_RS00400	DR085_RS00220
OG0000266	NB627_RS00415	DR085_RS00235
OG0000267	NB627_RS00430	DR085_RS00250
OG0000268	NB627_RS00530	DR085_RS00255
OG0000269	NB627_RS00545	DR085_RS00270
OG0000270	NB627_RS03700	DR085_RS03815
OG0000271	NB627_RS03690	DR085_RS02505
OG0000272	NB627_RS03685	DR085_RS02510
OG0000273	NB627_RS03680	DR085_RS02515
OG0000274	NB627_RS03665	DR085_RS02530
OG0000275	NB627_RS03655	DR085_RS03820
OG0000276	NB627_RS03650	DR085_RS02540
OG0000277	NB627_RS03640	DR085_RS03825
OG0000278	NB627_RS03635	DR085_RS02555
OG0000279	NB627_RS03625	DR085_RS02565
OG0000280	NB627_RS03620	DR085_RS02570
OG0000281	NB627_RS03615	DR085_RS02575
OG0000282	NB627_RS03590	DR085_RS02600
OG0000283	NB627_RS03585	DR085_RS02605
OG0000284	NB627_RS03580	DR085_RS02610
OG0000285	NB627_RS03575	DR085_RS03840
OG0000286	NB627_RS02605	DR085_RS00925
OG0000287	NB627_RS02705	DR085_RS00900
OG0000288	NB627_RS02715	DR085_RS00890
OG0000289	NB627_RS02720	DR085_RS00885
OG0000290	NB627_RS02840	DR085_RS03270
OG0000291	NB627_RS02825	DR085_RS00785
OG0000292	NB627_RS02820	DR085_RS00790
OG0000293	NB627_RS02815	DR085_RS00795
OG0000294	NB627_RS02805	DR085_RS00805
OG0000295	NB627_RS02800	DR085_RS00810
OG0000296	NB627_RS02755	DR085_RS00850
OG0000297	NB627_RS02750	DR085_RS00855
OG0000298	NB627_RS00175	DR085_RS00010
OG0000299	NB627_RS00195	DR085_RS00030
OG0000300	NB627_RS00385	DR085_RS00205
OG0000301	NB627_RS00420	DR085_RS00240
OG0000302	NB627_RS00425	DR085_RS00245
OG0000303	NB627_RS00670	DR085_RS00380
OG0000304	NB627_RS01195	DR085_RS00415
