Orthogroup	MHP_ES2L_genes	MHP_UFV02_genes
OG0000125	HZK19_RS01385	FEF31_RS01080
OG0000126	HZK19_RS01395	FEF31_RS01090
OG0000127	HZK19_RS01405	FEF31_RS01100
OG0000128	HZK19_RS01420	FEF31_RS01115
OG0000129	HZK19_RS01425	FEF31_RS01120
OG0000130	HZK19_RS01435	FEF31_RS01130
OG0000131	HZK19_RS01465	FEF31_RS01160
OG0000132	HZK19_RS01480	FEF31_RS04430
OG0000133	HZK19_RS00520	FEF31_RS00190
OG0000134	HZK19_RS00525	FEF31_RS00195
OG0000135	HZK19_RS00540	FEF31_RS00210
OG0000136	HZK19_RS00545	FEF31_RS00215
OG0000137	HZK19_RS00575	FEF31_RS00245
OG0000138	HZK19_RS00610	FEF31_RS00280
OG0000139	HZK19_RS00640	FEF31_RS00310
OG0000140	HZK19_RS00645	FEF31_RS00315
OG0000141	HZK19_RS02895	FEF31_RS02670
OG0000142	HZK19_RS02890	FEF31_RS04555
OG0000143	HZK19_RS02870	FEF31_RS02645
OG0000144	HZK19_RS02860	FEF31_RS02635
OG0000145	HZK19_RS02850	FEF31_RS02625
OG0000146	HZK19_RS02840	FEF31_RS02615
OG0000147	HZK19_RS02835	FEF31_RS02610
OG0000148	HZK19_RS02820	FEF31_RS02595
OG0000149	HZK19_RS02810	FEF31_RS02585
OG0000150	HZK19_RS02795	FEF31_RS02570
OG0000151	HZK19_RS02750	FEF31_RS02525
OG0000152	HZK19_RS02745	FEF31_RS02520
OG0000153	HZK19_RS02740	FEF31_RS02515
OG0000154	HZK19_RS02730	FEF31_RS02505
OG0000155	HZK19_RS02690	FEF31_RS02465
OG0000156	HZK19_RS02680	FEF31_RS02455
OG0000157	HZK19_RS02675	FEF31_RS04545
OG0000158	HZK19_RS03895	FEF31_RS04540
OG0000159	HZK19_RS03970	FEF31_RS02195
OG0000160	HZK19_RS02425	FEF31_RS02190
OG0000161	HZK19_RS02420	FEF31_RS02185
OG0000162	HZK19_RS02410	FEF31_RS02175
OG0000163	HZK19_RS02405	FEF31_RS02170
OG0000164	HZK19_RS01575	FEF31_RS01270
OG0000165	HZK19_RS01905	FEF31_RS01685
OG0000166	HZK19_RS01925	FEF31_RS01705
OG0000167	HZK19_RS01940	FEF31_RS01720
OG0000168	HZK19_RS01945	FEF31_RS01725
OG0000169	HZK19_RS02990	FEF31_RS03615
OG0000170	HZK19_RS03005	FEF31_RS04785, FEF31_RS04795
OG0000171	HZK19_RS03110	FEF31_RS03640
OG0000172	HZK19_RS03115	FEF31_RS03645
OG0000173	HZK19_RS03120	FEF31_RS03650
OG0000174	HZK19_RS03125	FEF31_RS03655
OG0000175	HZK19_RS03140	FEF31_RS03670
OG0000176	HZK19_RS03190	FEF31_RS03715
OG0000177	HZK19_RS03195	FEF31_RS03720
OG0000178	HZK19_RS03200	FEF31_RS03725
OG0000179	HZK19_RS03210	FEF31_RS03735
OG0000180	HZK19_RS03215	FEF31_RS03740
OG0000181	HZK19_RS03265	FEF31_RS04690
OG0000182	HZK19_RS03275	FEF31_RS03795
OG0000183	HZK19_RS03310	FEF31_RS03830
OG0000184	HZK19_RS03355	FEF31_RS02980
OG0000185	HZK19_RS03340	FEF31_RS02965
OG0000186	HZK19_RS01490	FEF31_RS04435
OG0000187	HZK19_RS01505	FEF31_RS01200
OG0000188	HZK19_RS01515	FEF31_RS01210
OG0000189	HZK19_RS02270	FEF31_RS04520
OG0000190	HZK19_RS02265	FEF31_RS02035
OG0000191	HZK19_RS02245	FEF31_RS02015
OG0000192	HZK19_RS01180	FEF31_RS00875
OG0000193	HZK19_RS01175	FEF31_RS00860
OG0000194	HZK19_RS00665	FEF31_RS00345
OG0000195	HZK19_RS00670	FEF31_RS00350
OG0000196	HZK19_RS00690	FEF31_RS00370
OG0000197	HZK19_RS00695	FEF31_RS00375
OG0000198	HZK19_RS00710	FEF31_RS00390
OG0000199	HZK19_RS00715	FEF31_RS00395
OG0000200	HZK19_RS00730	FEF31_RS00410
OG0000201	HZK19_RS00740	FEF31_RS00420
OG0000202	HZK19_RS00795	FEF31_RS00475
OG0000203	HZK19_RS00800	FEF31_RS00480
OG0000204	HZK19_RS00805	FEF31_RS00485
OG0000205	HZK19_RS00810	FEF31_RS00490
OG0000206	HZK19_RS00830	FEF31_RS00510
OG0000207	HZK19_RS00845	FEF31_RS00525
OG0000208	HZK19_RS00850	FEF31_RS00530
OG0000209	HZK19_RS00855	FEF31_RS00535
OG0000210	HZK19_RS00900	FEF31_RS00580
OG0000211	HZK19_RS00910	FEF31_RS00590
OG0000212	HZK19_RS00920	FEF31_RS00600
OG0000213	HZK19_RS00925	FEF31_RS00605
OG0000214	HZK19_RS00930	FEF31_RS00610
OG0000215	HZK19_RS00935	FEF31_RS00615
OG0000216	HZK19_RS00940	FEF31_RS00620
OG0000217	HZK19_RS00945	FEF31_RS00625
OG0000218	HZK19_RS00955	FEF31_RS00635
OG0000219	HZK19_RS00960	FEF31_RS00640
OG0000220	HZK19_RS00965	FEF31_RS00645
OG0000221	HZK19_RS00970	FEF31_RS00650
OG0000222	HZK19_RS00975	FEF31_RS00655
OG0000223	HZK19_RS00980	FEF31_RS00660
OG0000224	HZK19_RS00990	FEF31_RS00670
OG0000225	HZK19_RS01000	FEF31_RS00680
