Orthogroup	MHP_ES2L_genes	MHP_MHP679_genes
OG0000460	HZK19_RS02520	DR086_RS00960
OG0000461	HZK19_RS02560	DR086_RS00915
OG0000462	HZK19_RS02555	DR086_RS00920
OG0000463	HZK19_RS02550	DR086_RS00925
OG0000465	HZK19_RS02545	DR086_RS00935
OG0000466	HZK19_RS00380	DR086_RS00265
OG0000467	HZK19_RS02645	DR086_RS04810
OG0000468	HZK19_RS01930	DR086_RS00465
OG0000469	HZK19_RS01990	DR086_RS00525
OG0000470	HZK19_RS00815	DR086_RS03975
OG0000471	HZK19_RS00895	DR086_RS02890
OG0000472	HZK19_RS03370	DR086_RS03165
OG0000473	HZK19_RS03545	DR086_RS02420
OG0000474	HZK19_RS03550	DR086_RS02425
OG0000475	HZK19_RS03555	DR086_RS02430
OG0000476	HZK19_RS01520	DR086_RS01775
OG0000477	HZK19_RS02585	DR086_RS00890
OG0000478	HZK19_RS03490	DR086_RS01465
OG0000479	HZK19_RS01295	DR086_RS02005
OG0000480	HZK19_RS01995	DR086_RS03935
OG0000481	HZK19_RS00790	DR086_RS03350
OG0000483	HZK19_RS02040	DR086_RS00570
OG0000484	HZK19_RS00185	DR086_RS04740
OG0000485	HZK19_RS01140	DR086_RS01755
OG0000486	HZK19_RS02275	DR086_RS02025
OG0000487	HZK19_RS01970	DR086_RS04765
OG0000488	HZK19_RS02010	DR086_RS00540
OG0000489	HZK19_RS00050	DR086_RS01175
OG0000490	HZK19_RS03655	DR086_RS01235
OG0000491	HZK19_RS01315	DR086_RS01985
OG0000492	HZK19_RS01390	DR086_RS01910
OG0000493	HZK19_RS00570	DR086_RS02295
OG0000494	HZK19_RS00630	DR086_RS02755
OG0000495	HZK19_RS02800	DR086_RS01045
OG0000496	HZK19_RS02790	DR086_RS01035
OG0000497	HZK19_RS02785	DR086_RS01030
OG0000498	HZK19_RS02705	DR086_RS03185
OG0000499	HZK19_RS02670	DR086_RS02985
OG0000500	HZK19_RS01890	DR086_RS00430
OG0000501	HZK19_RS03010	DR086_RS01415
OG0000502	HZK19_RS01165	DR086_RS02495
OG0000503	HZK19_RS00735	DR086_RS03095
OG0000504	HZK19_RS00870	DR086_RS02865
OG0000505	HZK19_RS00905	DR086_RS02575
OG0000506	HZK19_RS00915	DR086_RS02585
OG0000507	HZK19_RS00950	DR086_RS02620
OG0000508	HZK19_RS00235	DR086_RS00120
OG0000509	HZK19_RS00270	DR086_RS00155
OG0000510	HZK19_RS00280	DR086_RS00165
OG0000511	HZK19_RS00415	DR086_RS00300
OG0000513	HZK19_RS03475	DR086_RS01480
OG0000514	HZK19_RS02825	DR086_RS01070
OG0000516	HZK19_RS01975	DR086_RS04770
OG0000517	HZK19_RS00065	DR086_RS01160
OG0000518	HZK19_RS03145	DR086_RS01375
OG0000519	HZK19_RS00760	DR086_RS03380
OG0000520	HZK19_RS00885	DR086_RS02880
OG0000521	HZK19_RS00250	DR086_RS00135
OG0000522	HZK19_RS00285	DR086_RS00170
OG0000523	HZK19_RS03410	DR086_RS01545
OG0000524	HZK19_RS02640	DR086_RS00840
OG0000525	HZK19_RS03375	DR086_RS05020
OG0000526	HZK19_RS03755	DR086_RS04135
OG0000527	HZK19_RS01730	DR086_RS00635
OG0000528	HZK19_RS01980	DR086_RS04775
OG0000529	HZK19_RS02210	DR086_RS02090
OG0000530	HZK19_RS02315	DR086_RS03450
OG0000531	HZK19_RS01365	DR086_RS01935
OG0000532	HZK19_RS01590	DR086_RS03285
OG0000533	HZK19_RS00590	DR086_RS02795
OG0000534	HZK19_RS00365	DR086_RS00250
OG0000535	HZK19_RS00045	DR086_RS04825
