Orthogroup	MFC_Ms42_genes	MHP_ES2L_genes
OG0000180	MYF_RS02695	HZK19_RS03215
OG0000181	MYF_RS02710	HZK19_RS03265
OG0000182	MYF_RS02720	HZK19_RS03275
OG0000183	MYF_RS02755	HZK19_RS03310
OG0000184	MYF_RS02785	HZK19_RS03355
OG0000185	MYF_RS02800	HZK19_RS03340
OG0000186	MYF_RS01895	HZK19_RS01490
OG0000187	MYF_RS01910	HZK19_RS01505
OG0000188	MYF_RS01920	HZK19_RS01515
OG0000189	MYF_RS01930	HZK19_RS02270
OG0000190	MYF_RS01935	HZK19_RS02265
OG0000191	MYF_RS01955	HZK19_RS02245
OG0000192	MYF_RS01965	HZK19_RS01180
OG0000193	MYF_RS01980	HZK19_RS01175
OG0000194	MYF_RS01990	HZK19_RS00665
OG0000195	MYF_RS01995	HZK19_RS00670
OG0000196	MYF_RS02015	HZK19_RS00690
OG0000197	MYF_RS02020	HZK19_RS00695
OG0000198	MYF_RS02035	HZK19_RS00710
OG0000199	MYF_RS02040	HZK19_RS00715
OG0000200	MYF_RS02050	HZK19_RS00730
OG0000201	MYF_RS02060	HZK19_RS00740
OG0000202	MYF_RS02115	HZK19_RS00795
OG0000203	MYF_RS02120	HZK19_RS00800
OG0000204	MYF_RS02125	HZK19_RS00805
OG0000205	MYF_RS02130	HZK19_RS00810
OG0000206	MYF_RS02150	HZK19_RS00830
OG0000207	MYF_RS02165	HZK19_RS00845
OG0000208	MYF_RS02170	HZK19_RS00850
OG0000209	MYF_RS02175	HZK19_RS00855
OG0000210	MYF_RS02220	HZK19_RS00900
OG0000211	MYF_RS02230	HZK19_RS00910
OG0000212	MYF_RS02240	HZK19_RS00920
OG0000213	MYF_RS02245	HZK19_RS00925
OG0000214	MYF_RS02250	HZK19_RS00930
OG0000215	MYF_RS02255	HZK19_RS00935
OG0000216	MYF_RS02260	HZK19_RS00940
OG0000217	MYF_RS02265	HZK19_RS00945
OG0000218	MYF_RS02275	HZK19_RS00955
OG0000219	MYF_RS02280	HZK19_RS00960
OG0000220	MYF_RS02285	HZK19_RS00965
OG0000221	MYF_RS02290	HZK19_RS00970
OG0000222	MYF_RS03240	HZK19_RS00975
OG0000223	MYF_RS02295	HZK19_RS00980
OG0000224	MYF_RS02305	HZK19_RS00990
OG0000225	MYF_RS02315	HZK19_RS01000
OG0000226	MYF_RS02320	HZK19_RS01005
OG0000227	MYF_RS02325	HZK19_RS01010
OG0000228	MYF_RS03530	HZK19_RS03950
OG0000229	MYF_RS02335	HZK19_RS01020
OG0000230	MYF_RS02340	HZK19_RS01025
OG0000231	MYF_RS02350	HZK19_RS01035
OG0000232	MYF_RS02360	HZK19_RS01045
OG0000233	MYF_RS02370	HZK19_RS01070
OG0000234	MYF_RS02400	HZK19_RS01105
OG0000235	MYF_RS02410	HZK19_RS01115
OG0000236	MYF_RS02415	HZK19_RS01120
OG0000237	MYF_RS02430	HZK19_RS01125
OG0000238	MYF_RS02435	HZK19_RS01130
OG0000239	MYF_RS02465	HZK19_RS02905
OG0000240	MYF_RS02470	HZK19_RS02910
OG0000241	MYF_RS02480	HZK19_RS02920
OG0000242	MYF_RS02485	HZK19_RS02925
OG0000243	MYF_RS02490	HZK19_RS02930
OG0000244	MYF_RS02500	HZK19_RS02940
OG0000245	MYF_RS02510	HZK19_RS02950
OG0000246	MYF_RS00085	HZK19_RS00125
OG0000247	MYF_RS00095	HZK19_RS00135
OG0000248	MYF_RS00120	HZK19_RS00145
OG0000249	MYF_RS00125	HZK19_RS00150
OG0000250	MYF_RS00140	HZK19_RS00165
OG0000251	MYF_RS00170	HZK19_RS00195
OG0000252	MYF_RS00180	HZK19_RS00205
OG0000253	MYF_RS00185	HZK19_RS00210
OG0000254	MYF_RS00195	HZK19_RS00220
OG0000255	MYF_RS00205	HZK19_RS00225
OG0000256	MYF_RS00210	HZK19_RS00230
OG0000257	MYF_RS00235	HZK19_RS00255
OG0000258	MYF_RS00245	HZK19_RS00265
OG0000259	MYF_RS00275	HZK19_RS00295
OG0000260	MYF_RS00285	HZK19_RS00305
OG0000261	MYF_RS00295	HZK19_RS00315
OG0000262	MYF_RS00310	HZK19_RS00330
OG0000263	MYF_RS00325	HZK19_RS00345
OG0000264	MYF_RS00340	HZK19_RS00360
OG0000265	MYF_RS00350	HZK19_RS00370
OG0000266	MYF_RS00365	HZK19_RS00385
OG0000267	MYF_RS00380	HZK19_RS00400
OG0000268	MYF_RS00385	HZK19_RS00405
OG0000269	MYF_RS00400	HZK19_RS00420
OG0000270	MYF_RS02955	HZK19_RS03540
OG0000271	MYF_RS02950	HZK19_RS03535
OG0000272	MYF_RS02945	HZK19_RS03530
OG0000273	MYF_RS02940	HZK19_RS03525
OG0000274	MYF_RS02920	HZK19_RS03505
OG0000275	MYF_RS02915	HZK19_RS03500
OG0000276	MYF_RS02910	HZK19_RS03495
OG0000277	MYF_RS02900	HZK19_RS03485
OG0000278	MYF_RS02895	HZK19_RS03480
OG0000279	MYF_RS02885	HZK19_RS03470
OG0000280	MYF_RS02880	HZK19_RS03465
OG0000281	MYF_RS03275	HZK19_RS03460
OG0000282	MYF_RS02855	HZK19_RS03435
OG0000283	MYF_RS02850	HZK19_RS03430
OG0000284	MYF_RS02845	HZK19_RS03425
OG0000285	MYF_RS02840	HZK19_RS03420
OG0000286	MYF_RS01115	HZK19_RS02390
OG0000287	MYF_RS01090	HZK19_RS02485
OG0000288	MYF_RS01080	HZK19_RS02495
OG0000289	MYF_RS01075	HZK19_RS02500
OG0000290	MYF_RS00905	HZK19_RS02610
OG0000291	MYF_RS00915	HZK19_RS02600
OG0000292	MYF_RS00920	HZK19_RS02595
OG0000293	MYF_RS00925	HZK19_RS02590
OG0000294	MYF_RS00935	HZK19_RS02580
OG0000295	MYF_RS00940	HZK19_RS02575
OG0000296	MYF_RS01040	HZK19_RS02535
OG0000297	MYF_RS01045	HZK19_RS02530
OG0000298	MYF_RS00135	HZK19_RS00160
OG0000299	MYF_RS00155	HZK19_RS00180
OG0000300	MYF_RS00335	HZK19_RS00355
OG0000301	MYF_RS00370	HZK19_RS00390
OG0000302	MYF_RS00375	HZK19_RS00395
OG0000303	MYF_RS00515	HZK19_RS00550
OG0000304	MYF_RS00545	HZK19_RS01055
OG0000305	MYF_RS00690	HZK19_RS02845
OG0000306	MYF_RS00770	HZK19_RS02770
OG0000307	MYF_RS00810	HZK19_RS02735
OG0000308	MYF_RS00895	HZK19_RS02635
OG0000309	MYF_RS01005	HZK19_RS02565
OG0000310	MYF_RS01085	HZK19_RS02490
OG0000311	MYF_RS01140	HZK19_RS02450
OG0000312	MYF_RS01160	HZK19_RS02435
OG0000313	MYF_RS01210	HZK19_RS01565
OG0000314	MYF_RS01280	HZK19_RS01920
OG0000315	MYF_RS01310	HZK19_RS01950
OG0000316	MYF_RS01320	HZK19_RS01960
OG0000317	MYF_RS01360	HZK19_RS02055
OG0000318	MYF_RS01450	HZK19_RS01965
OG0000319	MYF_RS01555	HZK19_RS02200
OG0000320	MYF_RS01620	HZK19_RS02330
OG0000321	MYF_RS01685	HZK19_RS01300
OG0000322	MYF_RS01730	HZK19_RS01345
OG0000323	MYF_RS01860	HZK19_RS01475
OG0000324	MYF_RS01960	HZK19_RS02240
OG0000325	MYF_RS02000	HZK19_RS00675
OG0000326	MYF_RS02090	HZK19_RS00770
OG0000327	MYF_RS02095	HZK19_RS00775
OG0000328	MYF_RS02180	HZK19_RS00860
OG0000329	MYF_RS02200	HZK19_RS00880
OG0000330	MYF_RS02380	HZK19_RS01080
OG0000331	MYF_RS02495	HZK19_RS02935
OG0000332	MYF_RS02635	HZK19_RS03150
OG0000333	MYF_RS02645	HZK19_RS03160
OG0000334	MYF_RS02715	HZK19_RS03270
OG0000335	MYF_RS02725	HZK19_RS03280
OG0000336	MYF_RS02870	HZK19_RS03450
OG0000337	MYF_RS03105	HZK19_RS03620
OG0000338	MYF_RS03145	HZK19_RS03660
OG0000339	MYF_RS01640	HZK19_RS02305
OG0000340	MYF_RS01665	HZK19_RS01280
OG0000341	MYF_RS01940	HZK19_RS02260
OG0000342	MYF_RS02030	HZK19_RS00705
OG0000343	MYF_RS02655	HZK19_RS03170
OG0000344	MYF_RS00530	HZK19_RS00565
OG0000345	MYF_RS02310	HZK19_RS00995
OG0000346	MYF_RS02875	HZK19_RS03455
OG0000347	MYF_RS01755	HZK19_RS01370
OG0000348	MYF_RS02100	HZK19_RS00780
OG0000349	MYF_RS02930	HZK19_RS03515
OG0000350	MYF_RS03360	HZK19_RS02725
OG0000351	MYF_RS00465	HZK19_RS00480
OG0000352	MYF_RS01260	HZK19_RS01895
OG0000353	MYF_RS01725	HZK19_RS01340
OG0000354	MYF_RS00580	HZK19_RS00625
OG0000355	MYF_RS01235	HZK19_RS01870
OG0000356	MYF_RS01315	HZK19_RS01955
OG0000357	MYF_RS02615	HZK19_RS03130
OG0000358	MYF_RS02620	HZK19_RS03135
OG0000359	MYF_RS02070	HZK19_RS00750
OG0000360	MYF_RS00240	HZK19_RS00260
OG0000361	MYF_RS00270	HZK19_RS00290
OG0000362	MYF_RS01065	HZK19_RS02510
OG0000363	MYF_RS01795	HZK19_RS03730
OG0000365	MYF_RS01420	HZK19_RS02000
OG0000366	MYF_RS01390	HZK19_RS02025
OG0000367	MYF_RS01380	HZK19_RS02035
OG0000368	MYF_RS00060	HZK19_RS00060
OG0000369	MYF_RS00025	HZK19_RS00025
OG0000370	MYF_RS00020	HZK19_RS00020
OG0000371	MYF_RS00015	HZK19_RS00015
OG0000372	MYF_RS00010	HZK19_RS00010
OG0000373	MYF_RS03135	HZK19_RS03650
OG0000374	MYF_RS03125	HZK19_RS03640
OG0000375	MYF_RS01550	HZK19_RS02195
OG0000376	MYF_RS01605	HZK19_RS02345
OG0000377	MYF_RS01615	HZK19_RS02335
OG0000378	MYF_RS01650	HZK19_RS01260
OG0000379	MYF_RS01720	HZK19_RS01335
OG0000380	MYF_RS01745	HZK19_RS01360
OG0000381	MYF_RS01785	HZK19_RS01400
OG0000382	MYF_RS01815	HZK19_RS01430
OG0000383	MYF_RS01855	HZK19_RS01470
OG0000384	MYF_RS00470	HZK19_RS00505
OG0000385	MYF_RS00475	HZK19_RS00510
OG0000386	MYF_RS00495	HZK19_RS00530
OG0000387	MYF_RS00520	HZK19_RS00555
OG0000388	MYF_RS00525	HZK19_RS00560
OG0000389	MYF_RS00560	HZK19_RS00605
OG0000390	MYF_RS00670	HZK19_RS02865
OG0000391	MYF_RS00680	HZK19_RS02855
OG0000392	MYF_RS00705	HZK19_RS02830
OG0000393	MYF_RS00760	HZK19_RS02775
OG0000394	MYF_RS00825	HZK19_RS02700
OG0000395	MYF_RS00830	HZK19_RS02695
OG0000396	MYF_RS01200	HZK19_RS02395
OG0000397	MYF_RS01245	HZK19_RS01880
OG0000398	MYF_RS01250	HZK19_RS01885
OG0000399	MYF_RS01295	HZK19_RS01935
OG0000400	MYF_RS02580	HZK19_RS03000
OG0000401	MYF_RS02640	HZK19_RS03155
OG0000402	MYF_RS02650	HZK19_RS03165
OG0000403	MYF_RS02660	HZK19_RS03175
OG0000404	MYF_RS02685	HZK19_RS03205
OG0000405	MYF_RS02700	HZK19_RS03220
OG0000406	MYF_RS02730	HZK19_RS03285
OG0000407	MYF_RS02735	HZK19_RS03290
OG0000408	MYF_RS02740	HZK19_RS03295
OG0000409	MYF_RS02745	HZK19_RS03300
OG0000410	MYF_RS02780	HZK19_RS03360
OG0000411	MYF_RS02790	HZK19_RS03350
OG0000412	MYF_RS02795	HZK19_RS03345
OG0000413	MYF_RS01890	HZK19_RS01485
OG0000414	MYF_RS01900	HZK19_RS01495
OG0000415	MYF_RS01905	HZK19_RS01500
OG0000416	MYF_RS01915	HZK19_RS01510
OG0000417	MYF_RS01945	HZK19_RS02255
OG0000418	MYF_RS01950	HZK19_RS02250
OG0000419	MYF_RS02010	HZK19_RS00685
OG0000420	MYF_RS02045	HZK19_RS00720
OG0000421	MYF_RS02075	HZK19_RS00755
OG0000422	MYF_RS02085	HZK19_RS00765
OG0000423	MYF_RS02140	HZK19_RS00820
OG0000424	MYF_RS02145	HZK19_RS00825
OG0000425	MYF_RS02155	HZK19_RS00835
OG0000426	MYF_RS02160	HZK19_RS00840
OG0000427	MYF_RS02185	HZK19_RS00865
OG0000428	MYF_RS02210	HZK19_RS00890
OG0000429	MYF_RS02300	HZK19_RS00985
OG0000430	MYF_RS02345	HZK19_RS01030
OG0000431	MYF_RS02355	HZK19_RS01040
OG0000432	MYF_RS02375	HZK19_RS01075
OG0000433	MYF_RS02385	HZK19_RS01090
OG0000434	MYF_RS02390	HZK19_RS01095
OG0000435	MYF_RS02405	HZK19_RS01110
OG0000436	MYF_RS02440	HZK19_RS01135
OG0000437	MYF_RS02450	HZK19_RS01145
OG0000438	MYF_RS02455	HZK19_RS01150
