NZ_CP079799.1	-	218930	219622
NZ_CP079799.1	-	219624	219944
NZ_CP079799.1	+	220529	220957
NZ_CP079799.1	+	221371	224622
NZ_CP079799.1	+	224643	227357
NZ_CP079799.1	+	227728	229386
NZ_CP079799.1	-	229659	230342
NZ_CP079799.1	+	230417	233068
NZ_CP079799.1	+	233044	233475
NZ_CP079799.1	+	233481	233909
NZ_CP079799.1	+	233943	234497
NZ_CP079799.1	+	234475	235368
NZ_CP079799.1	+	235408	237555
NZ_CP079799.1	+	237676	239142
NZ_CP079799.1	+	239144	239974
NZ_CP079799.1	-	239963	241291
NZ_CP079799.1	-	241335	242951
NZ_CP079799.1	+	243112	244509
NZ_CP079799.1	+	244527	244970
NZ_CP079799.1	+	244986	246020
NZ_CP079799.1	+	246046	246234
NZ_CP079799.1	+	246227	247330
NZ_CP079799.1	+	247952	250192
NZ_CP079799.1	+	250220	251281
NZ_CP079799.1	+	251404	251595
NZ_CP079799.1	+	251597	251986
NZ_CP079799.1	+	252005	253705
NZ_CP079799.1	+	253683	256382
NZ_CP079799.1	+	256375	257247
NZ_CP079799.1	+	257225	260869
NZ_CP079799.1	-	260917	262566
NZ_CP079799.1	-	262547	262753
NZ_CP079799.1	-	262767	263915
NZ_CP079799.1	+	264038	265255
NZ_CP079799.1	+	265710	266762
NZ_CP079799.1	+	267221	268321
NZ_CP079799.1	+	268321	269286
NZ_CP079799.1	+	269288	270700
NZ_CP079799.1	+	270690	272021
NZ_CP079799.1	+	272008	278151
NZ_CP079799.1	+	278162	280840
NZ_CP079799.1	-	281779	281937
NZ_CP079799.1	-	282661	284823
NZ_CP079799.1	-	284878	285330
NZ_CP079799.1	-	285332	286411
NZ_CP079799.1	+	286781	286927
NZ_CP079799.1	-	287068	288324
NZ_CP079799.1	+	288848	290317
NZ_CP079799.1	+	290317	291333
NZ_CP079799.1	+	291317	292123
NZ_CP079799.1	+	292113	293132
NZ_CP079799.1	+	293132	295102
NZ_CP079799.1	+	295102	296004
NZ_CP079799.1	+	296016	297545
NZ_CP079799.1	+	297558	299372
NZ_CP079799.1	+	299395	300600
NZ_CP079799.1	+	300623	301666
NZ_CP079799.1	-	301777	302835
NZ_CP079799.1	-	302839	303456
NZ_CP079799.1	-	303651	304229
NZ_CP079799.1	-	304210	304761
NZ_CP079799.1	+	305658	308255
NZ_CP079799.1	+	308348	309634
NZ_CP079799.1	+	309627	311330
NZ_CP079799.1	+	311405	311860
NZ_CP079799.1	+	312017	312289
NZ_CP079799.1	-	312453	316085
NZ_CP079799.1	-	316085	318727
NZ_CP079799.1	-	318761	321007
NZ_CP079799.1	-	321007	321315
NZ_CP079799.1	-	321315	322094
NZ_CP079799.1	+	322387	323745
NZ_CP079799.1	+	323754	324995
NZ_CP079799.1	+	325099	325635
NZ_CP079799.1	-	325638	326438
NZ_CP079799.1	-	326439	327437
NZ_CP079799.1	-	327454	327789
NZ_CP079799.1	+	327911	330076
NZ_CP079799.1	+	330138	330419
NZ_CP079799.1	+	330422	331006
NZ_CP079799.1	+	331009	331644
NZ_CP079799.1	+	331625	332497
NZ_CP079799.1	+	332501	333235
NZ_CP079799.1	+	333267	333803
NZ_CP079799.1	+	333833	334651
NZ_CP079799.1	+	334624	335526
NZ_CP079799.1	+	335516	336478
NZ_CP079799.1	+	336482	338560
NZ_CP079799.1	+	338630	339583
NZ_CP079799.1	-	339580	342195
NZ_CP079799.1	+	342285	342722
NZ_CP079799.1	+	342995	343348
NZ_CP079799.1	-	343479	346532
NZ_CP079799.1	-	346583	349681
NZ_CP079799.1	+	350183	350863
NZ_CP079799.1	+	350874	353030
NZ_CP079799.1	+	353089	353286
NZ_CP079799.1	+	353407	353481
NZ_CP079799.1	+	353485	353560
