Orthogroup	MHP_Ue273_genes	MHP_131B_genes
OG0000238	VQY17_RS01190	NB627_RS01270
OG0000239	VQY17_RS02930	NB627_RS03130
OG0000240	VQY17_RS02935	NB627_RS03135
OG0000241	VQY17_RS02945	NB627_RS03145
OG0000242	VQY17_RS02950	NB627_RS03150
OG0000243	VQY17_RS02955	NB627_RS03155
OG0000244	VQY17_RS02965	NB627_RS03165
OG0000245	VQY17_RS02970	NB627_RS03175
OG0000246	VQY17_RS00140	NB627_RS00140
OG0000247	VQY17_RS00150	NB627_RS00150
OG0000248	VQY17_RS00160	NB627_RS00160
OG0000249	VQY17_RS00165	NB627_RS00165
OG0000250	VQY17_RS00180	NB627_RS00180
OG0000251	VQY17_RS00210	NB627_RS00215
OG0000252	VQY17_RS00220	NB627_RS00220
OG0000253	VQY17_RS00225	NB627_RS00225
OG0000254	VQY17_RS00235	NB627_RS00235
OG0000255	VQY17_RS00245	NB627_RS00240
OG0000256	VQY17_RS00250	NB627_RS00245
OG0000257	VQY17_RS00275	NB627_RS00270
OG0000258	VQY17_RS00285	NB627_RS00280
OG0000259	VQY17_RS00315	NB627_RS00310
OG0000260	VQY17_RS00325	NB627_RS00320
OG0000261	VQY17_RS00335	NB627_RS00330, NB627_RS00335
OG0000262	VQY17_RS00350	NB627_RS00360
OG0000263	VQY17_RS00365	NB627_RS00375
OG0000264	VQY17_RS00380	NB627_RS00395
OG0000265	VQY17_RS00390	NB627_RS00400
OG0000266	VQY17_RS00405	NB627_RS00415
OG0000267	VQY17_RS00420	NB627_RS00430
OG0000268	VQY17_RS00425	NB627_RS00530
OG0000269	VQY17_RS00440	NB627_RS00545
OG0000270	VQY17_RS03495	NB627_RS03700
OG0000271	VQY17_RS03490	NB627_RS03690
OG0000272	VQY17_RS03485	NB627_RS03685
OG0000273	VQY17_RS03480	NB627_RS03680
OG0000274	VQY17_RS03460	NB627_RS03665
OG0000275	VQY17_RS03455	NB627_RS03655
OG0000276	VQY17_RS03450	NB627_RS03650
OG0000277	VQY17_RS03435	NB627_RS03640
OG0000278	VQY17_RS03430	NB627_RS03635
OG0000279	VQY17_RS03420	NB627_RS03625
OG0000280	VQY17_RS03415	NB627_RS03620
OG0000281	VQY17_RS03410	NB627_RS03615
OG0000282	VQY17_RS03380	NB627_RS03590
OG0000283	VQY17_RS03375	NB627_RS03585
OG0000284	VQY17_RS03370	NB627_RS03580
OG0000285	VQY17_RS03365	NB627_RS03575
OG0000286	VQY17_RS02420	NB627_RS02605
OG0000287	VQY17_RS02510	NB627_RS02705
OG0000288	VQY17_RS02520	NB627_RS02715
OG0000289	VQY17_RS02525	NB627_RS02720
OG0000290	VQY17_RS02635	NB627_RS02840
OG0000291	VQY17_RS02625	NB627_RS02825
OG0000292	VQY17_RS02620	NB627_RS02820
OG0000293	VQY17_RS02615	NB627_RS02815
OG0000294	VQY17_RS02605	NB627_RS02805
OG0000295	VQY17_RS02600	NB627_RS02800
OG0000296	VQY17_RS02560	NB627_RS02755
OG0000297	VQY17_RS02555	NB627_RS02750
OG0000298	VQY17_RS00175	NB627_RS00175
OG0000299	VQY17_RS00195	NB627_RS00195
OG0000300	VQY17_RS00375	NB627_RS00385
OG0000301	VQY17_RS00410	NB627_RS00420
OG0000302	VQY17_RS00415	NB627_RS00425
OG0000303	VQY17_RS00560	NB627_RS00670
OG0000304	VQY17_RS01110	NB627_RS01195
OG0000305	VQY17_RS02860	NB627_RS03070
OG0000306	VQY17_RS02785	NB627_RS02995
OG0000307	VQY17_RS02745	NB627_RS02955
OG0000308	VQY17_RS02655	NB627_RS02855
OG0000309	VQY17_RS02590	NB627_RS02790
OG0000310	VQY17_RS02515	NB627_RS02710
OG0000311	VQY17_RS02480	NB627_RS02665
OG0000312	VQY17_RS02465	NB627_RS02650
OG0000313	VQY17_RS01630	NB627_RS01725
