Orthogroup	MFC_ATCC27716_genes	MHP_UFV02_genes
OG0000269	MFC_RS02660	FEF31_RS00100
OG0000270	MFC_RS02720	FEF31_RS04635
OG0000271	MFC_RS02725	FEF31_RS03160
OG0000272	MFC_RS02730	FEF31_RS03155
OG0000273	MFC_RS02735	FEF31_RS03150
OG0000274	MFC_RS02755	FEF31_RS03130
OG0000275	MFC_RS03455	FEF31_RS04625
OG0000276	MFC_RS02765	FEF31_RS03120
OG0000277	MFC_RS02775	FEF31_RS03110
OG0000278	MFC_RS02780	FEF31_RS03105
OG0000279	MFC_RS02790	FEF31_RS03095
OG0000280	MFC_RS02795	FEF31_RS03090
OG0000281	MFC_RS03255	FEF31_RS03085
OG0000282	MFC_RS02820	FEF31_RS04615
OG0000283	MFC_RS02825	FEF31_RS03055
OG0000284	MFC_RS02830	FEF31_RS03050
OG0000285	MFC_RS02835	FEF31_RS04610
OG0000286	MFC_RS02865	FEF31_RS02155
OG0000287	MFC_RS02890	FEF31_RS02260
OG0000288	MFC_RS02900	FEF31_RS02270
OG0000289	MFC_RS02905	FEF31_RS02275
OG0000290	MFC_RS03030	FEF31_RS02385
OG0000291	MFC_RS03040	FEF31_RS02375
OG0000292	MFC_RS03045	FEF31_RS02370
OG0000293	MFC_RS03050	FEF31_RS02365
OG0000294	MFC_RS03060	FEF31_RS02355
OG0000295	MFC_RS03065	FEF31_RS02350
OG0000296	MFC_RS03110	FEF31_RS02310
OG0000297	MFC_RS03115	FEF31_RS02305
OG0000298	MFC_RS02395	FEF31_RS03445
OG0000299	MFC_RS02415	FEF31_RS03465
OG0000300	MFC_RS02595	FEF31_RS00035
OG0000301	MFC_RS02630	FEF31_RS00070
OG0000302	MFC_RS02635	FEF31_RS00075
OG0000303	MFC_RS00835	FEF31_RS00220
OG0000304	MFC_RS00865	FEF31_RS00730
OG0000305	MFC_RS01010	FEF31_RS02620
OG0000306	MFC_RS01090	FEF31_RS02545
OG0000307	MFC_RS01130	FEF31_RS02510
OG0000308	MFC_RS03020	FEF31_RS02405
OG0000309	MFC_RS03075	FEF31_RS02340
OG0000310	MFC_RS02895	FEF31_RS02265
OG0000311	MFC_RS01220	FEF31_RS02215
OG0000312	MFC_RS01240	FEF31_RS02200
OG0000313	MFC_RS01290	FEF31_RS01260
OG0000314	MFC_RS01360	FEF31_RS01700
OG0000315	MFC_RS01390	FEF31_RS01730
OG0000316	MFC_RS01400	FEF31_RS01740
OG0000317	MFC_RS00110	FEF31_RS01835
OG0000318	MFC_RS00020	FEF31_RS04480
OG0000319	MFC_RS00420	FEF31_RS01970
OG0000320	MFC_RS00485	FEF31_RS02095
OG0000321	MFC_RS00550	FEF31_RS00990
OG0000322	MFC_RS00595	FEF31_RS01040
OG0000323	MFC_RS00725	FEF31_RS01170
OG0000324	MFC_RS01775	FEF31_RS02010
OG0000325	MFC_RS01815	FEF31_RS00355
OG0000326	MFC_RS01905	FEF31_RS00450
OG0000327	MFC_RS01910	FEF31_RS00455
OG0000328	MFC_RS01995	FEF31_RS00540
OG0000329	MFC_RS02020	FEF31_RS00560
OG0000330	MFC_RS02200	FEF31_RS00760
OG0000331	MFC_RS02315	FEF31_RS02710
OG0000332	MFC_RS01505	FEF31_RS03680
OG0000333	MFC_RS01515	FEF31_RS03690
OG0000334	MFC_RS01585	FEF31_RS03790
OG0000335	MFC_RS01595	FEF31_RS03800
OG0000336	MFC_RS02805	FEF31_RS04620
OG0000337	MFC_RS00280	FEF31_RS03240
OG0000338	MFC_RS00240	FEF31_RS03280
OG0000339	MFC_RS00505	FEF31_RS02070
OG0000340	MFC_RS00530	FEF31_RS00970
OG0000341	MFC_RS01755	FEF31_RS02030
OG0000342	MFC_RS01845	FEF31_RS00385
OG0000343	MFC_RS01525	FEF31_RS03700
OG0000344	MFC_RS00850	FEF31_RS00235
OG0000345	MFC_RS02130	FEF31_RS00675
OG0000346	MFC_RS02800	FEF31_RS03080
OG0000347	MFC_RS00620	FEF31_RS01065
OG0000348	MFC_RS01915	FEF31_RS00460
OG0000349	MFC_RS02745	FEF31_RS04630
OG0000350	MFC_RS03345	FEF31_RS02500
OG0000351	MFC_RS00785	FEF31_RS00155
OG0000352	MFC_RS01340	FEF31_RS01680
OG0000353	MFC_RS00590	FEF31_RS01035
OG0000354	MFC_RS00900	FEF31_RS00295
OG0000355	MFC_RS01315	FEF31_RS04470
OG0000356	MFC_RS01395	FEF31_RS04475
OG0000357	MFC_RS01485	FEF31_RS04685
OG0000358	MFC_RS01490	FEF31_RS03665
OG0000359	MFC_RS01885	FEF31_RS04380
OG0000360	MFC_RS02500	FEF31_RS03545
OG0000361	MFC_RS02530	FEF31_RS03575
OG0000362	MFC_RS02915	FEF31_RS02285
OG0000363	MFC_RS00660	FEF31_RS01105
OG0000365	MFC_RS00050	FEF31_RS01785
OG0000366	MFC_RS00080	FEF31_RS01805
OG0000367	MFC_RS00090	FEF31_RS01815
OG0000368	MFC_RS00175	FEF31_RS03345
OG0000369	MFC_RS00210	FEF31_RS04650
OG0000370	MFC_RS00215	FEF31_RS03305
OG0000371	MFC_RS00220	FEF31_RS03300
OG0000372	MFC_RS00225	FEF31_RS03295
OG0000373	MFC_RS00250	FEF31_RS03270
OG0000374	MFC_RS00260	FEF31_RS03260
OG0000375	MFC_RS00415	FEF31_RS01965
OG0000376	MFC_RS00470	FEF31_RS02110
OG0000377	MFC_RS00480	FEF31_RS02100
OG0000378	MFC_RS00515	FEF31_RS00950
OG0000379	MFC_RS00585	FEF31_RS01030
OG0000380	MFC_RS00610	FEF31_RS01055
OG0000381	MFC_RS00650	FEF31_RS01095
OG0000382	MFC_RS00680	FEF31_RS01125
OG0000383	MFC_RS00720	FEF31_RS01165
OG0000384	MFC_RS00790	FEF31_RS00175
OG0000385	MFC_RS00795	FEF31_RS00180
OG0000386	MFC_RS00815	FEF31_RS00200
OG0000387	MFC_RS00840	FEF31_RS00225
OG0000388	MFC_RS00845	FEF31_RS04370
OG0000389	MFC_RS00880	FEF31_RS00275
OG0000390	MFC_RS00990	FEF31_RS02640
OG0000391	MFC_RS01000	FEF31_RS02630
OG0000392	MFC_RS01030	FEF31_RS02605
