Orthogroup	MFC_ATCC27716_genes	MFC_MF22_genes
OG0000215	MFC_RS02075	DR094_RS01545
OG0000216	MFC_RS02080	DR094_RS01550
OG0000217	MFC_RS02085	DR094_RS01555
OG0000218	MFC_RS02095	DR094_RS03690
OG0000219	MFC_RS02100	DR094_RS01570
OG0000220	MFC_RS02105	DR094_RS01575
OG0000221	MFC_RS02110	DR094_RS01580
OG0000222	MFC_RS03235	DR094_RS01585
OG0000223	MFC_RS02115	DR094_RS01590
OG0000224	MFC_RS02125	DR094_RS01600
OG0000225	MFC_RS02135	DR094_RS01610
OG0000226	MFC_RS02140	DR094_RS01615
OG0000227	MFC_RS02145	DR094_RS01620
OG0000228	MFC_RS03530	DR094_RS03855
OG0000229	MFC_RS02155	DR094_RS01630
OG0000230	MFC_RS02160	DR094_RS01635
OG0000231	MFC_RS02170	DR094_RS01645
OG0000232	MFC_RS02180	DR094_RS01655
OG0000233	MFC_RS02190	DR094_RS01665
OG0000234	MFC_RS02220	DR094_RS01695
OG0000235	MFC_RS02230	DR094_RS01705
OG0000236	MFC_RS02235	DR094_RS01710
OG0000237	MFC_RS02250	DR094_RS01730
OG0000238	MFC_RS02255	DR094_RS01735
OG0000239	MFC_RS02285	DR094_RS01765
OG0000240	MFC_RS02290	DR094_RS01770
OG0000241	MFC_RS02300	DR094_RS01780
OG0000242	MFC_RS02305	DR094_RS01785
OG0000243	MFC_RS02310	DR094_RS01790
OG0000244	MFC_RS02320	DR094_RS01800
OG0000245	MFC_RS02330	DR094_RS01810
OG0000246	MFC_RS02345	DR094_RS01005
OG0000247	MFC_RS02355	DR094_RS00995
OG0000248	MFC_RS02380	DR094_RS00970
OG0000249	MFC_RS02385	DR094_RS00965
OG0000250	MFC_RS02400	DR094_RS00950
OG0000251	MFC_RS02430	DR094_RS00920
OG0000252	MFC_RS02440	DR094_RS00910
OG0000253	MFC_RS02445	DR094_RS00905
OG0000254	MFC_RS02455	DR094_RS00895
OG0000255	MFC_RS02465	DR094_RS00890
OG0000256	MFC_RS02470	DR094_RS00885
OG0000257	MFC_RS02495	DR094_RS00860
OG0000258	MFC_RS02505	DR094_RS00850
OG0000259	MFC_RS02535	DR094_RS00820
OG0000260	MFC_RS02545	DR094_RS00810
OG0000261	MFC_RS02555	DR094_RS03570
OG0000262	MFC_RS02570	DR094_RS00785
OG0000263	MFC_RS02585	DR094_RS00770
OG0000264	MFC_RS02600	DR094_RS00755
OG0000265	MFC_RS02610	DR094_RS00745
OG0000266	MFC_RS02625	DR094_RS00730
OG0000267	MFC_RS02640	DR094_RS00715
OG0000268	MFC_RS02645	DR094_RS00710
OG0000269	MFC_RS02660	DR094_RS00695
OG0000270	MFC_RS02720	DR094_RS03620
OG0000271	MFC_RS02725	DR094_RS01250
OG0000272	MFC_RS02730	DR094_RS01255
OG0000273	MFC_RS02735	DR094_RS01260
OG0000274	MFC_RS02755	DR094_RS01280
OG0000275	MFC_RS03455	DR094_RS03625
OG0000276	MFC_RS02765	DR094_RS01290
OG0000277	MFC_RS02775	DR094_RS03630
OG0000278	MFC_RS02780	DR094_RS01305
OG0000279	MFC_RS02790	DR094_RS01315
OG0000280	MFC_RS02795	DR094_RS01320
OG0000281	MFC_RS03255	DR094_RS01325
OG0000282	MFC_RS02820	DR094_RS01350
OG0000283	MFC_RS02825	DR094_RS01355
OG0000284	MFC_RS02830	DR094_RS01360
OG0000285	MFC_RS02835	DR094_RS03645
OG0000286	MFC_RS02865	DR094_RS00065
OG0000287	MFC_RS02890	DR094_RS00090
OG0000288	MFC_RS02900	DR094_RS00100
OG0000289	MFC_RS02905	DR094_RS00105
OG0000290	MFC_RS03030	DR094_RS00215
OG0000291	MFC_RS03040	DR094_RS03090
OG0000292	MFC_RS03045	DR094_RS00200
OG0000293	MFC_RS03050	DR094_RS00195
OG0000294	MFC_RS03060	DR094_RS00185
OG0000295	MFC_RS03065	DR094_RS00180
OG0000296	MFC_RS03110	DR094_RS00140
OG0000297	MFC_RS03115	DR094_RS00135
OG0000298	MFC_RS02395	DR094_RS00955
OG0000299	MFC_RS02415	DR094_RS00935
OG0000300	MFC_RS02595	DR094_RS00760
