Orthogroup	MFC_ATCC27716_genes	MHP_111A_genes
OG0000321	MFC_RS00550	NB623_RS01450
OG0000322	MFC_RS00595	NB623_RS01500
OG0000323	MFC_RS00725	NB623_RS01630
OG0000324	MFC_RS01775	NB623_RS02410
OG0000325	MFC_RS01815	NB623_RS00705
OG0000326	MFC_RS01905	NB623_RS00805
OG0000327	MFC_RS01910	NB623_RS00810
OG0000328	MFC_RS01995	NB623_RS00895
OG0000329	MFC_RS02020	NB623_RS00915
OG0000330	MFC_RS02200	NB623_RS01235
OG0000331	MFC_RS02315	NB623_RS03135
OG0000332	MFC_RS01505	NB623_RS03270
OG0000333	MFC_RS01515	NB623_RS03280
OG0000334	MFC_RS01585	NB623_RS03380
OG0000335	MFC_RS01595	NB623_RS03390
OG0000336	MFC_RS02805	NB623_RS03590
OG0000337	MFC_RS00280	NB623_RS03765
OG0000338	MFC_RS00240	NB623_RS03805
OG0000339	MFC_RS00505	NB623_RS02475
OG0000340	MFC_RS00530	NB623_RS01430
OG0000341	MFC_RS01755	NB623_RS02435
OG0000342	MFC_RS01845	NB623_RS00735
OG0000343	MFC_RS01525	NB623_RS03290
OG0000344	MFC_RS00850	NB623_RS00570
OG0000345	MFC_RS02130	NB623_RS01155
OG0000346	MFC_RS02800	NB623_RS03595
OG0000347	MFC_RS00620	NB623_RS01525
OG0000348	MFC_RS01915	NB623_RS00815
OG0000349	MFC_RS02745	NB623_RS03655
OG0000350	MFC_RS03345	NB623_RS02920
OG0000351	MFC_RS00785	NB623_RS00480
OG0000352	MFC_RS01340	NB623_RS02160
OG0000353	MFC_RS00590	NB623_RS01490
OG0000354	MFC_RS00900	NB623_RS00630
OG0000355	MFC_RS01315	NB623_RS02185
OG0000356	MFC_RS01395	NB623_RS02105
OG0000357	MFC_RS01485	NB623_RS03245
OG0000358	MFC_RS01490	NB623_RS03250
OG0000359	MFC_RS01885	NB623_RS00780
OG0000360	MFC_RS02500	NB623_RS00265
OG0000361	MFC_RS02530	NB623_RS00295
OG0000362	MFC_RS02915	NB623_RS02705
OG0000363	MFC_RS00660	NB623_RS01565
OG0000365	MFC_RS00050	NB623_RS02060
OG0000366	MFC_RS00080	NB623_RS02035
OG0000367	MFC_RS00090	NB623_RS02025
OG0000368	MFC_RS00175	NB623_RS00060
OG0000369	MFC_RS00210	NB623_RS00025
OG0000370	MFC_RS00215	NB623_RS00020
OG0000371	MFC_RS00220	NB623_RS00015
OG0000372	MFC_RS00225	NB623_RS00010
OG0000373	MFC_RS00250	NB623_RS03795
OG0000374	MFC_RS00260	NB623_RS03785
OG0000375	MFC_RS00415	NB623_RS02365
OG0000376	MFC_RS00470	NB623_RS02515
OG0000377	MFC_RS00480	NB623_RS02505
OG0000378	MFC_RS00515	NB623_RS01410
OG0000379	MFC_RS00585	NB623_RS01485
OG0000380	MFC_RS00610	NB623_RS01515
OG0000381	MFC_RS00650	NB623_RS01555
OG0000382	MFC_RS00680	NB623_RS01585
OG0000383	MFC_RS00720	NB623_RS01625
OG0000384	MFC_RS00790	NB623_RS00510
OG0000385	MFC_RS00795	NB623_RS00520
OG0000386	MFC_RS00815	NB623_RS00535
OG0000387	MFC_RS00840	NB623_RS00560
OG0000388	MFC_RS00845	NB623_RS00565
OG0000389	MFC_RS00880	NB623_RS00610
OG0000390	MFC_RS00990	NB623_RS03065
OG0000391	MFC_RS01000	NB623_RS03055
OG0000392	MFC_RS01030	NB623_RS03030
OG0000393	MFC_RS01080	NB623_RS02975
OG0000394	MFC_RS01145	NB623_RS02895
OG0000395	MFC_RS01150	NB623_RS02890
OG0000396	MFC_RS01280	NB623_RS02580
OG0000397	MFC_RS01325	NB623_RS02175
OG0000398	MFC_RS01330	NB623_RS02170
