Orthogroup	MFC_ATCC27716_genes	MHP_ES2L_genes
OG0000243	MFC_RS02310	HZK19_RS02930
OG0000244	MFC_RS02320	HZK19_RS02940
OG0000245	MFC_RS02330	HZK19_RS02950
OG0000246	MFC_RS02345	HZK19_RS00125
OG0000247	MFC_RS02355	HZK19_RS00135
OG0000248	MFC_RS02380	HZK19_RS00145
OG0000249	MFC_RS02385	HZK19_RS00150
OG0000250	MFC_RS02400	HZK19_RS00165
OG0000251	MFC_RS02430	HZK19_RS00195
OG0000252	MFC_RS02440	HZK19_RS00205
OG0000253	MFC_RS02445	HZK19_RS00210
OG0000254	MFC_RS02455	HZK19_RS00220
OG0000255	MFC_RS02465	HZK19_RS00225
OG0000256	MFC_RS02470	HZK19_RS00230
OG0000257	MFC_RS02495	HZK19_RS00255
OG0000258	MFC_RS02505	HZK19_RS00265
OG0000259	MFC_RS02535	HZK19_RS00295
OG0000260	MFC_RS02545	HZK19_RS00305
OG0000261	MFC_RS02555	HZK19_RS00315
OG0000262	MFC_RS02570	HZK19_RS00330
OG0000263	MFC_RS02585	HZK19_RS00345
OG0000264	MFC_RS02600	HZK19_RS00360
OG0000265	MFC_RS02610	HZK19_RS00370
OG0000266	MFC_RS02625	HZK19_RS00385
OG0000267	MFC_RS02640	HZK19_RS00400
OG0000268	MFC_RS02645	HZK19_RS00405
OG0000269	MFC_RS02660	HZK19_RS00420
OG0000270	MFC_RS02720	HZK19_RS03540
OG0000271	MFC_RS02725	HZK19_RS03535
OG0000272	MFC_RS02730	HZK19_RS03530
OG0000273	MFC_RS02735	HZK19_RS03525
OG0000274	MFC_RS02755	HZK19_RS03505
OG0000275	MFC_RS03455	HZK19_RS03500
OG0000276	MFC_RS02765	HZK19_RS03495
OG0000277	MFC_RS02775	HZK19_RS03485
OG0000278	MFC_RS02780	HZK19_RS03480
OG0000279	MFC_RS02790	HZK19_RS03470
OG0000280	MFC_RS02795	HZK19_RS03465
OG0000281	MFC_RS03255	HZK19_RS03460
OG0000282	MFC_RS02820	HZK19_RS03435
OG0000283	MFC_RS02825	HZK19_RS03430
OG0000284	MFC_RS02830	HZK19_RS03425
OG0000285	MFC_RS02835	HZK19_RS03420
OG0000286	MFC_RS02865	HZK19_RS02390
OG0000287	MFC_RS02890	HZK19_RS02485
OG0000288	MFC_RS02900	HZK19_RS02495
OG0000289	MFC_RS02905	HZK19_RS02500
OG0000290	MFC_RS03030	HZK19_RS02610
OG0000291	MFC_RS03040	HZK19_RS02600
OG0000292	MFC_RS03045	HZK19_RS02595
OG0000293	MFC_RS03050	HZK19_RS02590
OG0000294	MFC_RS03060	HZK19_RS02580
OG0000295	MFC_RS03065	HZK19_RS02575
OG0000296	MFC_RS03110	HZK19_RS02535
OG0000297	MFC_RS03115	HZK19_RS02530
OG0000298	MFC_RS02395	HZK19_RS00160
OG0000299	MFC_RS02415	HZK19_RS00180
OG0000300	MFC_RS02595	HZK19_RS00355
OG0000301	MFC_RS02630	HZK19_RS00390
OG0000302	MFC_RS02635	HZK19_RS00395
OG0000303	MFC_RS00835	HZK19_RS00550
OG0000304	MFC_RS00865	HZK19_RS01055
OG0000305	MFC_RS01010	HZK19_RS02845
OG0000306	MFC_RS01090	HZK19_RS02770
OG0000307	MFC_RS01130	HZK19_RS02735
OG0000308	MFC_RS03020	HZK19_RS02635
OG0000309	MFC_RS03075	HZK19_RS02565
OG0000310	MFC_RS02895	HZK19_RS02490
OG0000311	MFC_RS01220	HZK19_RS02450
OG0000312	MFC_RS01240	HZK19_RS02435
OG0000313	MFC_RS01290	HZK19_RS01565
OG0000314	MFC_RS01360	HZK19_RS01920
OG0000315	MFC_RS01390	HZK19_RS01950
OG0000316	MFC_RS01400	HZK19_RS01960
OG0000317	MFC_RS00110	HZK19_RS02055
OG0000318	MFC_RS00020	HZK19_RS01965
OG0000319	MFC_RS00420	HZK19_RS02200
OG0000320	MFC_RS00485	HZK19_RS02330
OG0000321	MFC_RS00550	HZK19_RS01300
OG0000322	MFC_RS00595	HZK19_RS01345
OG0000323	MFC_RS00725	HZK19_RS01475
OG0000324	MFC_RS01775	HZK19_RS02240
OG0000325	MFC_RS01815	HZK19_RS00675
OG0000326	MFC_RS01905	HZK19_RS00770
OG0000327	MFC_RS01910	HZK19_RS00775
