Orthogroup	MHP_LH_genes	MHP_154B_genes
OG0000376	KUD10_RS02440	NB624_RS02515
OG0000377	KUD10_RS02430	NB624_RS02505
OG0000378	KUD10_RS01365	NB624_RS01285
OG0000379	KUD10_RS01440	NB624_RS01360
OG0000380	KUD10_RS01465	NB624_RS01390
OG0000381	KUD10_RS01505	NB624_RS01425
OG0000382	KUD10_RS01535	NB624_RS01455
OG0000383	KUD10_RS01575	NB624_RS01495
OG0000384	KUD10_RS00520	NB624_RS00510
OG0000385	KUD10_RS00525	NB624_RS00515
OG0000386	KUD10_RS00545	NB624_RS00535
OG0000387	KUD10_RS00570	NB624_RS00560
OG0000388	KUD10_RS00575	NB624_RS00565
OG0000389	KUD10_RS00625	NB624_RS01065
OG0000390	KUD10_RS02975	NB624_RS03060
OG0000391	KUD10_RS02965	NB624_RS03050
OG0000392	KUD10_RS02940	NB624_RS03025
OG0000393	KUD10_RS02885	NB624_RS02970
OG0000394	KUD10_RS02815	NB624_RS02900
OG0000395	KUD10_RS02810	NB624_RS02890
OG0000396	KUD10_RS02510	NB624_RS02575
OG0000397	KUD10_RS01970	NB624_RS01925
OG0000398	KUD10_RS01975	NB624_RS01930
OG0000399	KUD10_RS02020	NB624_RS01975
OG0000400	KUD10_RS03125	NB624_RS03215
OG0000401	KUD10_RS03185	NB624_RS03275
OG0000402	KUD10_RS03195	NB624_RS03285
OG0000403	KUD10_RS03205	NB624_RS03295
OG0000404	KUD10_RS03230	NB624_RS03330
OG0000405	KUD10_RS03245	NB624_RS03350
OG0000406	KUD10_RS03305	NB624_RS03400
OG0000407	KUD10_RS03310	NB624_RS03405
OG0000408	KUD10_RS03315	NB624_RS03410
OG0000409	KUD10_RS03320	NB624_RS03415
OG0000410	KUD10_RS03380	NB624_RS03480
OG0000411	KUD10_RS03370	NB624_RS03465
OG0000412	KUD10_RS03365	NB624_RS03460
OG0000413	KUD10_RS01590	NB624_RS01510
OG0000414	KUD10_RS01600	NB624_RS01520
OG0000415	KUD10_RS01605	NB624_RS01525
OG0000416	KUD10_RS01615	NB624_RS01535
OG0000417	KUD10_RS02350	NB624_RS02425
OG0000418	KUD10_RS02345	NB624_RS02415
OG0000419	KUD10_RS00705	NB624_RS00965
OG0000420	KUD10_RS00740	NB624_RS00930
OG0000421	KUD10_RS00775	NB624_RS00895
OG0000422	KUD10_RS00785	NB624_RS00885
OG0000423	KUD10_RS00840	NB624_RS00830
OG0000424	KUD10_RS00845	NB624_RS00825
OG0000425	KUD10_RS00855	NB624_RS00815
OG0000426	KUD10_RS00860	NB624_RS00810
OG0000427	KUD10_RS00885	NB624_RS00785
OG0000428	KUD10_RS00910	NB624_RS00760
OG0000429	KUD10_RS01005	NB624_RS00665
OG0000430	KUD10_RS01050	NB624_RS00620
OG0000431	KUD10_RS01060	NB624_RS00610
OG0000432	KUD10_RS01095	NB624_RS01100
OG0000433	KUD10_RS01110	NB624_RS01115
OG0000434	KUD10_RS01115	NB624_RS01125
OG0000435	KUD10_RS01130	NB624_RS01135
OG0000436	KUD10_RS01240	NB624_RS01160
OG0000437	KUD10_RS01250	NB624_RS01170
OG0000438	KUD10_RS01255	NB624_RS01175
OG0000439	KUD10_RS01260	NB624_RS01180
OG0000440	KUD10_RS03025	NB624_RS03110
OG0000441	KUD10_RS03060	NB624_RS03150
OG0000442	KUD10_RS00145	NB624_RS00145
OG0000443	KUD10_RS00190	NB624_RS00190
OG0000444	KUD10_RS00205	NB624_RS00205
OG0000445	KUD10_RS00230	NB624_RS00230
OG0000446	KUD10_RS00255	NB624_RS00255
OG0000447	KUD10_RS00260	NB624_RS00260
OG0000448	KUD10_RS00290	NB624_RS00290
OG0000449	KUD10_RS00315	NB624_RS00315
OG0000450	KUD10_RS00325	NB624_RS00325
OG0000451	KUD10_RS00365	NB624_RS00365
OG0000452	KUD10_RS00390	NB624_RS00390
OG0000453	KUD10_RS00425	NB624_RS00425
OG0000455	KUD10_RS03580	NB624_RS03655
OG0000456	KUD10_RS03460	NB624_RS03535
OG0000457	KUD10_RS03435	NB624_RS03510
OG0000458	KUD10_RS02595	NB624_RS02670
OG0000459	KUD10_RS02620	NB624_RS02695
OG0000460	KUD10_RS02630	NB624_RS02705
OG0000461	KUD10_RS02680	NB624_RS02755
OG0000462	KUD10_RS02670	NB624_RS02750
OG0000463	KUD10_RS02665	NB624_RS02745
OG0000464	KUD10_RS02660	NB624_RS02740
OG0000465	KUD10_RS02655	NB624_RS02735
OG0000466	KUD10_RS00395	NB624_RS00395
OG0000467	KUD10_RS02760	NB624_RS02845
OG0000468	KUD10_RS02015	NB624_RS01970
OG0000469	KUD10_RS02075	NB624_RS02030
OG0000470	KUD10_RS00835	NB624_RS00835
OG0000471	KUD10_RS00915	NB624_RS00755
OG0000472	KUD10_RS03390	NB624_RS03485
OG0000473	KUD10_RS03565	NB624_RS03640
OG0000474	KUD10_RS03570	NB624_RS03645
OG0000475	KUD10_RS03575	NB624_RS03650
OG0000476	KUD10_RS01625	NB624_RS01550
OG0000477	KUD10_RS02705	NB624_RS02785
OG0000478	KUD10_RS03510	NB624_RS03585
OG0000479	KUD10_RS01400	NB624_RS01320
OG0000480	KUD10_RS02080	NB624_RS02035
OG0000481	KUD10_RS00810	NB624_RS00860
OG0000482	KUD10_RS01280	NB624_RS01200
OG0000483	KUD10_RS02125	NB624_RS02180
OG0000484	KUD10_RS00200	NB624_RS00200
OG0000485	KUD10_RS01245	NB624_RS01165
OG0000486	KUD10_RS02370	NB624_RS02445
OG0000487	KUD10_RS02055	NB624_RS02015
OG0000488	KUD10_RS02095	NB624_RS02050
