Orthogroup	MHP_ES2L_genes	MHP_ES2_genes
OG0000195	HZK19_RS00670	E5E95_RS00695
OG0000196	HZK19_RS00690	E5E95_RS00715
OG0000197	HZK19_RS00695	E5E95_RS00720
OG0000198	HZK19_RS00710	E5E95_RS00735
OG0000199	HZK19_RS00715	E5E95_RS00740
OG0000200	HZK19_RS00730	E5E95_RS00755
OG0000201	HZK19_RS00740	E5E95_RS00765
OG0000202	HZK19_RS00795	E5E95_RS00820
OG0000203	HZK19_RS00800	E5E95_RS00825
OG0000204	HZK19_RS00805	E5E95_RS00830
OG0000205	HZK19_RS00810	E5E95_RS00835
OG0000206	HZK19_RS00830	E5E95_RS00855
OG0000207	HZK19_RS00845	E5E95_RS00870
OG0000208	HZK19_RS00850	E5E95_RS00875
OG0000209	HZK19_RS00855	E5E95_RS00880
OG0000210	HZK19_RS00900	E5E95_RS00925
OG0000211	HZK19_RS00910	E5E95_RS00955
OG0000212	HZK19_RS00920	E5E95_RS00965
OG0000213	HZK19_RS00925	E5E95_RS00970
OG0000214	HZK19_RS00930	E5E95_RS00975
OG0000215	HZK19_RS00935	E5E95_RS00980
OG0000216	HZK19_RS00940	E5E95_RS00985
OG0000217	HZK19_RS00945	E5E95_RS00995
OG0000218	HZK19_RS00955	E5E95_RS01000
OG0000219	HZK19_RS00960	E5E95_RS01005
OG0000220	HZK19_RS00965	E5E95_RS01010
OG0000221	HZK19_RS00970	E5E95_RS01015
OG0000222	HZK19_RS00975	E5E95_RS01020
OG0000223	HZK19_RS00980	E5E95_RS01025
OG0000224	HZK19_RS00990	E5E95_RS01035
OG0000225	HZK19_RS01000	E5E95_RS01045
OG0000226	HZK19_RS01005	E5E95_RS01050
OG0000227	HZK19_RS01010	E5E95_RS01055
OG0000228	HZK19_RS03950	E5E95_RS04285
OG0000229	HZK19_RS01020	E5E95_RS01065
OG0000230	HZK19_RS01025	E5E95_RS01070
OG0000231	HZK19_RS01035	E5E95_RS01080
OG0000232	HZK19_RS01045	E5E95_RS01090
OG0000233	HZK19_RS01070	E5E95_RS01110
OG0000234	HZK19_RS01105	E5E95_RS01145
OG0000235	HZK19_RS01115	E5E95_RS01155
OG0000236	HZK19_RS01120	E5E95_RS01160
OG0000237	HZK19_RS01125	E5E95_RS01165
OG0000238	HZK19_RS01130	E5E95_RS01175
OG0000239	HZK19_RS02905	E5E95_RS03145
OG0000240	HZK19_RS02910	E5E95_RS03150
OG0000241	HZK19_RS02920	E5E95_RS03160
OG0000242	HZK19_RS02925	E5E95_RS03165
OG0000243	HZK19_RS02930	E5E95_RS03170
OG0000244	HZK19_RS02940	E5E95_RS03180
OG0000245	HZK19_RS02950	E5E95_RS03190
OG0000246	HZK19_RS00125	E5E95_RS00130
OG0000247	HZK19_RS00135	E5E95_RS00140
OG0000248	HZK19_RS00145	E5E95_RS00150
OG0000249	HZK19_RS00150	E5E95_RS00155
OG0000250	HZK19_RS00165	E5E95_RS00170
OG0000251	HZK19_RS00195	E5E95_RS00205
OG0000252	HZK19_RS00205	E5E95_RS00215
OG0000253	HZK19_RS00210	E5E95_RS00220
OG0000254	HZK19_RS00220	E5E95_RS00230
OG0000255	HZK19_RS00225	E5E95_RS00240
OG0000256	HZK19_RS00230	E5E95_RS00245
OG0000257	HZK19_RS00255	E5E95_RS00270
OG0000258	HZK19_RS00265	E5E95_RS00280
OG0000259	HZK19_RS00295	E5E95_RS00310
OG0000260	HZK19_RS00305	E5E95_RS00320
OG0000261	HZK19_RS00315	E5E95_RS00330
OG0000262	HZK19_RS00330	E5E95_RS00350
OG0000263	HZK19_RS00345	E5E95_RS00360
OG0000264	HZK19_RS00360	E5E95_RS00375
OG0000265	HZK19_RS00370	E5E95_RS00385
OG0000266	HZK19_RS00385	E5E95_RS00400
OG0000267	HZK19_RS00400	E5E95_RS00415
OG0000268	HZK19_RS00405	E5E95_RS00420
OG0000269	HZK19_RS00420	E5E95_RS00435
OG0000270	HZK19_RS03540	E5E95_RS03710
OG0000271	HZK19_RS03535	E5E95_RS03705
OG0000272	HZK19_RS03530	E5E95_RS03700
OG0000273	HZK19_RS03525	E5E95_RS03695
OG0000274	HZK19_RS03505	E5E95_RS03675
OG0000275	HZK19_RS03500	E5E95_RS03670
OG0000276	HZK19_RS03495	E5E95_RS03665
OG0000277	HZK19_RS03485	E5E95_RS03655
OG0000278	HZK19_RS03480	E5E95_RS03650
OG0000279	HZK19_RS03470	E5E95_RS03640
OG0000280	HZK19_RS03465	E5E95_RS03635
OG0000281	HZK19_RS03460	E5E95_RS03630
OG0000282	HZK19_RS03435	E5E95_RS03605
OG0000283	HZK19_RS03430	E5E95_RS03600
OG0000284	HZK19_RS03425	E5E95_RS03595
OG0000285	HZK19_RS03420	E5E95_RS03590
OG0000286	HZK19_RS02390	E5E95_RS04305
OG0000287	HZK19_RS02485	E5E95_RS02720
OG0000288	HZK19_RS02495	E5E95_RS02730
OG0000289	HZK19_RS02500	E5E95_RS02735
OG0000290	HZK19_RS02610	E5E95_RS02845
OG0000291	HZK19_RS02600	E5E95_RS02835
OG0000292	HZK19_RS02595	E5E95_RS02830
OG0000293	HZK19_RS02590	E5E95_RS02825
OG0000294	HZK19_RS02580	E5E95_RS02815
OG0000295	HZK19_RS02575	E5E95_RS02810
OG0000296	HZK19_RS02535	E5E95_RS02770
OG0000297	HZK19_RS02530	E5E95_RS02765
OG0000298	HZK19_RS00160	E5E95_RS00165
OG0000299	HZK19_RS00180	E5E95_RS00190
OG0000300	HZK19_RS00355	E5E95_RS00370
OG0000301	HZK19_RS00390	E5E95_RS00405
OG0000302	HZK19_RS00395	E5E95_RS00410
OG0000303	HZK19_RS00550	E5E95_RS00560
OG0000304	HZK19_RS01055	E5E95_RS01095
OG0000305	HZK19_RS02845	E5E95_RS03080
OG0000306	HZK19_RS02770	E5E95_RS03005
OG0000307	HZK19_RS02735	E5E95_RS02970
OG0000308	HZK19_RS02635	E5E95_RS02875
OG0000309	HZK19_RS02565	E5E95_RS02800
OG0000310	HZK19_RS02490	E5E95_RS02725
OG0000311	HZK19_RS02450	E5E95_RS02690
OG0000312	HZK19_RS02435	E5E95_RS02675
OG0000313	HZK19_RS01565	E5E95_RS01620
OG0000314	HZK19_RS01920	E5E95_RS02075
OG0000315	HZK19_RS01950	E5E95_RS02105
OG0000316	HZK19_RS01960	E5E95_RS02115
OG0000317	HZK19_RS02055	E5E95_RS02205
OG0000318	HZK19_RS01965	E5E95_RS02120
OG0000319	HZK19_RS02200	E5E95_RS02345
OG0000320	HZK19_RS02330	E5E95_RS02570
OG0000321	HZK19_RS01300	E5E95_RS01350
OG0000322	HZK19_RS01345	E5E95_RS01395
OG0000323	HZK19_RS01475	E5E95_RS01525
OG0000324	HZK19_RS02240	E5E95_RS02385
OG0000325	HZK19_RS00675	E5E95_RS00700
OG0000326	HZK19_RS00770	E5E95_RS00795
OG0000327	HZK19_RS00775	E5E95_RS00800
OG0000328	HZK19_RS00860	E5E95_RS00885
OG0000329	HZK19_RS00880	E5E95_RS00905
OG0000330	HZK19_RS01080	E5E95_RS01120
OG0000331	HZK19_RS02935	E5E95_RS03175
OG0000332	HZK19_RS03150	E5E95_RS03320
OG0000333	HZK19_RS03160	E5E95_RS03330
OG0000334	HZK19_RS03270	E5E95_RS03440
OG0000335	HZK19_RS03280	E5E95_RS03450
OG0000336	HZK19_RS03450	E5E95_RS03620
OG0000337	HZK19_RS03620	E5E95_RS03795
OG0000338	HZK19_RS03660	E5E95_RS03835
OG0000339	HZK19_RS02305	E5E95_RS02540
OG0000340	HZK19_RS01280	E5E95_RS01330
OG0000341	HZK19_RS02260	E5E95_RS02405
OG0000342	HZK19_RS00705	E5E95_RS00730
OG0000343	HZK19_RS03170	E5E95_RS03340
OG0000344	HZK19_RS00565	E5E95_RS00575
OG0000345	HZK19_RS00995	E5E95_RS01040
