Orthogroup	MHP_KM014_genes	MHP_ES2L_genes
OG0000234	CIB43_RS02000	HZK19_RS01105
OG0000235	CIB43_RS02005	HZK19_RS01115
OG0000236	CIB43_RS02010	HZK19_RS01120
OG0000237	CIB43_RS02015	HZK19_RS01125
OG0000238	CIB43_RS02025	HZK19_RS01130
OG0000239	CIB43_RS03860	HZK19_RS02905
OG0000240	CIB43_RS03870	HZK19_RS02910
OG0000241	CIB43_RS03875	HZK19_RS02920
OG0000242	CIB43_RS03880	HZK19_RS02925
OG0000243	CIB43_RS03885	HZK19_RS02930
OG0000244	CIB43_RS03900	HZK19_RS02940
OG0000245	CIB43_RS03905	HZK19_RS02950
OG0000246	CIB43_RS00845	HZK19_RS00125
OG0000247	CIB43_RS00850	HZK19_RS00135
OG0000248	CIB43_RS00875	HZK19_RS00145
OG0000250	CIB43_RS00885	HZK19_RS00165
OG0000251	CIB43_RS00925	HZK19_RS00195
OG0000252	CIB43_RS00930	HZK19_RS00205
OG0000253	CIB43_RS00940	HZK19_RS00210
OG0000254	CIB43_RS00950	HZK19_RS00220
OG0000255	CIB43_RS00955	HZK19_RS00225
OG0000256	CIB43_RS00960	HZK19_RS00230
OG0000257	CIB43_RS00985	HZK19_RS00255
OG0000258	CIB43_RS01015	HZK19_RS00265
OG0000259	CIB43_RS01030	HZK19_RS00295
OG0000260	CIB43_RS01045	HZK19_RS00305
OG0000262	CIB43_RS01075	HZK19_RS00330
OG0000263	CIB43_RS01080	HZK19_RS00345
OG0000264	CIB43_RS01100	HZK19_RS00360
OG0000265	CIB43_RS01110	HZK19_RS00370
OG0000266	CIB43_RS01120	HZK19_RS00385
OG0000267	CIB43_RS01135	HZK19_RS00400
OG0000268	CIB43_RS01305	HZK19_RS00405
OG0000269	CIB43_RS01320	HZK19_RS00420
OG0000270	CIB43_RS00575	HZK19_RS03540
OG0000271	CIB43_RS00570	HZK19_RS03535
OG0000272	CIB43_RS00565	HZK19_RS03530
OG0000273	CIB43_RS00560	HZK19_RS03525
OG0000274	CIB43_RS00545	HZK19_RS03505
OG0000275	CIB43_RS00535	HZK19_RS03500
OG0000276	CIB43_RS00530	HZK19_RS03495
OG0000277	CIB43_RS00525	HZK19_RS03485
OG0000278	CIB43_RS00515	HZK19_RS03480
OG0000279	CIB43_RS00510	HZK19_RS03470
OG0000280	CIB43_RS00500	HZK19_RS03465
OG0000281	CIB43_RS00495	HZK19_RS03460
OG0000283	CIB43_RS00475	HZK19_RS03430
OG0000284	CIB43_RS00460	HZK19_RS03425
OG0000285	CIB43_RS00455	HZK19_RS03420
OG0000286	CIB43_RS03345	HZK19_RS02390
OG0000287	CIB43_RS03440	HZK19_RS02485
OG0000288	CIB43_RS03450	HZK19_RS02495
OG0000289	CIB43_RS03455	HZK19_RS02500
OG0000290	CIB43_RS03565	HZK19_RS02610
OG0000291	CIB43_RS03560	HZK19_RS02600
OG0000292	CIB43_RS03550	HZK19_RS02595
OG0000293	CIB43_RS03545	HZK19_RS02590
OG0000294	CIB43_RS03540	HZK19_RS02580
OG0000295	CIB43_RS03530	HZK19_RS02575
OG0000296	CIB43_RS03495	HZK19_RS02535
OG0000297	CIB43_RS03485	HZK19_RS02530
OG0000298	CIB43_RS00880	HZK19_RS00160
OG0000299	CIB43_RS00915	HZK19_RS00180
OG0000300	CIB43_RS01090	HZK19_RS00355
OG0000301	CIB43_RS01125	HZK19_RS00390
OG0000302	CIB43_RS01130	HZK19_RS00395
OG0000303	CIB43_RS01455	HZK19_RS00550
OG0000304	CIB43_RS01950	HZK19_RS01055
OG0000305	CIB43_RS03795	HZK19_RS02845
OG0000306	CIB43_RS03725	HZK19_RS02770
OG0000307	CIB43_RS03685	HZK19_RS02735
OG0000308	CIB43_RS03600	HZK19_RS02635
OG0000309	CIB43_RS03520	HZK19_RS02565
OG0000310	CIB43_RS03445	HZK19_RS02490
OG0000311	CIB43_RS03405	HZK19_RS02450
OG0000312	CIB43_RS03390	HZK19_RS02435
OG0000313	CIB43_RS02485	HZK19_RS01565
OG0000314	CIB43_RS02855	HZK19_RS01920
OG0000315	CIB43_RS02885	HZK19_RS01950
OG0000316	CIB43_RS02895	HZK19_RS01960
OG0000317	CIB43_RS02985	HZK19_RS02055
OG0000318	CIB43_RS02900	HZK19_RS01965
OG0000319	CIB43_RS03125	HZK19_RS02200
OG0000320	CIB43_RS03270	HZK19_RS02330
OG0000321	CIB43_RS02200	HZK19_RS01300
OG0000322	CIB43_RS02245	HZK19_RS01345
OG0000323	CIB43_RS02375	HZK19_RS01475
OG0000324	CIB43_RS03170	HZK19_RS02240
OG0000325	CIB43_RS01570	HZK19_RS00675
OG0000326	CIB43_RS01665	HZK19_RS00770
OG0000327	CIB43_RS01670	HZK19_RS00775
OG0000328	CIB43_RS01760	HZK19_RS00860
OG0000329	CIB43_RS01775	HZK19_RS00880
OG0000330	CIB43_RS01970	HZK19_RS01080
OG0000331	CIB43_RS03890	HZK19_RS02935
OG0000332	CIB43_RS00200	HZK19_RS03150
OG0000333	CIB43_RS00210	HZK19_RS03160
OG0000334	CIB43_RS00315	HZK19_RS03270
OG0000335	CIB43_RS00340	HZK19_RS03280
OG0000336	CIB43_RS00485	HZK19_RS03450
OG0000337	CIB43_RS00655	HZK19_RS03620
OG0000338	CIB43_RS00695	HZK19_RS03660
OG0000339	CIB43_RS03235	HZK19_RS02305
OG0000340	CIB43_RS02185	HZK19_RS01280
OG0000341	CIB43_RS03190	HZK19_RS02260
OG0000342	CIB43_RS01600	HZK19_RS00705
OG0000343	CIB43_RS00215	HZK19_RS03170
OG0000344	CIB43_RS01465	HZK19_RS00565
OG0000345	CIB43_RS01890	HZK19_RS00995
OG0000346	CIB43_RS00490	HZK19_RS03455
OG0000347	CIB43_RS02270	HZK19_RS01370
OG0000348	CIB43_RS01685	HZK19_RS00780
OG0000349	CIB43_RS00550	HZK19_RS03515
OG0000350	CIB43_RS03675	HZK19_RS02725
OG0000351	CIB43_RS01385	HZK19_RS00480
OG0000352	CIB43_RS02830	HZK19_RS01895
OG0000353	CIB43_RS02240	HZK19_RS01340
OG0000354	CIB43_RS01515	HZK19_RS00625
OG0000355	CIB43_RS02805	HZK19_RS01870
OG0000356	CIB43_RS02890	HZK19_RS01955
OG0000357	CIB43_RS00175	HZK19_RS03130
OG0000358	CIB43_RS00180	HZK19_RS03135
OG0000359	CIB43_RS01650	HZK19_RS00750
OG0000360	CIB43_RS00990	HZK19_RS00260
OG0000361	CIB43_RS01020	HZK19_RS00290
OG0000362	CIB43_RS03475	HZK19_RS02510
OG0000363	CIB43_RS02310	HZK19_RS03730
OG0000364	CIB43_RS02775	HZK19_RS01855
OG0000369	CIB43_RS00725	HZK19_RS00025
OG0000370	CIB43_RS00720	HZK19_RS00020
OG0000378	CIB43_RS02160	HZK19_RS01260
OG0000379	CIB43_RS02235	HZK19_RS01335
OG0000380	CIB43_RS02260	HZK19_RS01360
OG0000381	CIB43_RS02300	HZK19_RS01400
OG0000385	CIB43_RS01405	HZK19_RS00510
OG0000389	CIB43_RS01490	HZK19_RS00605
OG0000394	CIB43_RS03660	HZK19_RS02700
OG0000396	CIB43_RS03350	HZK19_RS02395
OG0000403	CIB43_RS00220	HZK19_RS03175
OG0000404	CIB43_RS00250	HZK19_RS03205
OG0000405	CIB43_RS00265	HZK19_RS03220
OG0000409	CIB43_RS00345	HZK19_RS03300
OG0000412	CIB43_RS00390	HZK19_RS03345
OG0000417	CIB43_RS03185	HZK19_RS02255
OG0000428	CIB43_RS01785	HZK19_RS00890
OG0000429	CIB43_RS01885	HZK19_RS00985
OG0000430	CIB43_RS01925	HZK19_RS01030
OG0000434	CIB43_RS01985	HZK19_RS01095
OG0000436	CIB43_RS02030	HZK19_RS01135
OG0000437	CIB43_RS02065	HZK19_RS01145
OG0000441	CIB43_RS03910	HZK19_RS02955
OG0000451	CIB43_RS01085	HZK19_RS00350
OG0000453	CIB43_RS01315	HZK19_RS00410
OG0000457	CIB43_RS00450	HZK19_RS03415
OG0000459	CIB43_RS03460	HZK19_RS02505
OG0000463	CIB43_RS03515	HZK19_RS02550
OG0000466	CIB43_RS01115	HZK19_RS00380
OG0000468	CIB43_RS02870	HZK19_RS01930
OG0000471	CIB43_RS01790	HZK19_RS00895
OG0000473	CIB43_RS00580	HZK19_RS03545
OG0000474	CIB43_RS00585	HZK19_RS03550
OG0000475	CIB43_RS00595	HZK19_RS03555
OG0000485	CIB43_RS02035	HZK19_RS01140
OG0000486	CIB43_RS03205	HZK19_RS02275
OG0000487	CIB43_RS02915	HZK19_RS01970
OG0000488	CIB43_RS02940	HZK19_RS02010
OG0000489	CIB43_RS00750	HZK19_RS00050
OG0000491	CIB43_RS02220	HZK19_RS01315
OG0000492	CIB43_RS02290	HZK19_RS01390
OG0000495	CIB43_RS03750	HZK19_RS02800
OG0000502	CIB43_RS02070	HZK19_RS01165
OG0000504	CIB43_RS01770	HZK19_RS00870
OG0000506	CIB43_RS01810	HZK19_RS00915
OG0000508	CIB43_RS00980	HZK19_RS00235
OG0000517	CIB43_RS00765	HZK19_RS00065
OG0000519	CIB43_RS01660	HZK19_RS00760
OG0000520	CIB43_RS01780	HZK19_RS00885
OG0000523	CIB43_RS00445	HZK19_RS03410
OG0000526	CIB43_RS02720	HZK19_RS03755
OG0000527	CIB43_RS02640	HZK19_RS01730
OG0000529	CIB43_RS03135	HZK19_RS02210
OG0000530	CIB43_RS03250	HZK19_RS02315
OG0000531	CIB43_RS02265	HZK19_RS01365
OG0000537	CIB43_RS01595	HZK19_RS00700
OG0000538	CIB43_RS01990	HZK19_RS01100
OG0000543	CIB43_RS01215	HZK19_RS01600, HZK19_RS03095
OG0000544	CIB43_RS02125	HZK19_RS01215
OG0000545	CIB43_RS02715	HZK19_RS01785
OG0000546	CIB43_RS03705	HZK19_RS02755
OG0000552	CIB43_RS00225	HZK19_RS03180
OG0000553	CIB43_RS03610	HZK19_RS02655
OG0000554	CIB43_RS03295	HZK19_RS02360
OG0000556	CIB43_RS01290	HZK19_RS03035
OG0000557	CIB43_RS02130	HZK19_RS01230
OG0000558	CIB43_RS02100	HZK19_RS01195
OG0000559	CIB43_RS02575	HZK19_RS01670
OG0000560	CIB43_RS02680	HZK19_RS01770
OG0000561	CIB43_RS01980	HZK19_RS01085
OG0000562	CIB43_RS02685	HZK19_RS01775
OG0000563	CIB43_RS02670	HZK19_RS01760
OG0000564	CIB43_RS02155	HZK19_RS03725
OG0000565	CIB43_RS02760	HZK19_RS01835
OG0000566	CIB43_RS02740	HZK19_RS01815
OG0000568	CIB43_RS01555	HZK19_RS00660
OG0000569	CIB43_RS02105	HZK19_RS01200
OG0000570	CIB43_RS02110	HZK19_RS01205
OG0000571	CIB43_RS02115	HZK19_RS01210
OG0000572	CIB43_RS02135	HZK19_RS01235
OG0000573	CIB43_RS02570	HZK19_RS01665
OG0000574	CIB43_RS02175	HZK19_RS01275
OG0000575	CIB43_RS02090	HZK19_RS01185
OG0000576	CIB43_RS02530	HZK19_RS01615
OG0000577	CIB43_RS03580	HZK19_RS02625
OG0000579	CIB43_RS02660	HZK19_RS01750
OG0000580	CIB43_RS03710	HZK19_RS02760
OG0000581	CIB43_RS02645	HZK19_RS01735
OG0000584	CIB43_RS01255	HZK19_RS03070
OG0000585	CIB43_RS03105	HZK19_RS02180
OG0000588	CIB43_RS02525	HZK19_RS01610
OG0000589	CIB43_RS03055	HZK19_RS02120
OG0000590	CIB43_RS01190	HZK19_RS03080
OG0000592	CIB43_RS03570	HZK19_RS02615
OG0000594	CIB43_RS02095	HZK19_RS01190
OG0000595	CIB43_RS03920	HZK19_RS02965
OG0000597	CIB43_RS03915	HZK19_RS02960
OG0000600	CIB43_RS01175	HZK19_RS03065
OG0000601	CIB43_RS02675	HZK19_RS01765
OG0000603	CIB43_RS00060, CIB43_RS01270, CIB43_RS01170	HZK19_RS03060
OG0000606	CIB43_RS02655	HZK19_RS01740
OG0000608	CIB43_RS02695, CIB43_RS02705, CIB43_RS02690	HZK19_RS01780
OG0000609	CIB43_RS02730	HZK19_RS01805
OG0000614	CIB43_RS03070	HZK19_RS02140
OG0000616	CIB43_RS01280	HZK19_RS03045
OG0000620	CIB43_RS04010	HZK19_RS01845
