Orthogroup	MHP_KM014_genes	MHP_Ue273_genes
OG0000273	CIB43_RS00560	VQY17_RS03480
OG0000274	CIB43_RS00545	VQY17_RS03460
OG0000275	CIB43_RS00535	VQY17_RS03455
OG0000276	CIB43_RS00530	VQY17_RS03450
OG0000277	CIB43_RS00525	VQY17_RS03435
OG0000278	CIB43_RS00515	VQY17_RS03430
OG0000279	CIB43_RS00510	VQY17_RS03420
OG0000280	CIB43_RS00500	VQY17_RS03415
OG0000281	CIB43_RS00495	VQY17_RS03410
OG0000283	CIB43_RS00475	VQY17_RS03375
OG0000284	CIB43_RS00460	VQY17_RS03370
OG0000285	CIB43_RS00455	VQY17_RS03365
OG0000286	CIB43_RS03345	VQY17_RS02420
OG0000287	CIB43_RS03440	VQY17_RS02510
OG0000288	CIB43_RS03450	VQY17_RS02520
OG0000289	CIB43_RS03455	VQY17_RS02525
OG0000290	CIB43_RS03565	VQY17_RS02635
OG0000291	CIB43_RS03560	VQY17_RS02625
OG0000292	CIB43_RS03550	VQY17_RS02620
OG0000293	CIB43_RS03545	VQY17_RS02615
OG0000294	CIB43_RS03540	VQY17_RS02605
OG0000295	CIB43_RS03530	VQY17_RS02600
OG0000296	CIB43_RS03495	VQY17_RS02560
OG0000297	CIB43_RS03485	VQY17_RS02555
OG0000298	CIB43_RS00880	VQY17_RS00175
OG0000299	CIB43_RS00915	VQY17_RS00195
OG0000300	CIB43_RS01090	VQY17_RS00375
OG0000301	CIB43_RS01125	VQY17_RS00410
OG0000302	CIB43_RS01130	VQY17_RS00415
OG0000303	CIB43_RS01455	VQY17_RS00560
OG0000304	CIB43_RS01950	VQY17_RS01110
OG0000305	CIB43_RS03795	VQY17_RS02860
OG0000306	CIB43_RS03725	VQY17_RS02785
OG0000307	CIB43_RS03685	VQY17_RS02745
OG0000308	CIB43_RS03600	VQY17_RS02655
OG0000309	CIB43_RS03520	VQY17_RS02590
OG0000310	CIB43_RS03445	VQY17_RS02515
OG0000311	CIB43_RS03405	VQY17_RS02480
OG0000312	CIB43_RS03390	VQY17_RS02465
OG0000313	CIB43_RS02485	VQY17_RS01630
OG0000314	CIB43_RS02855	VQY17_RS02030
OG0000315	CIB43_RS02885	VQY17_RS02060
OG0000316	CIB43_RS02895	VQY17_RS02070
OG0000317	CIB43_RS02985	VQY17_RS02170
OG0000318	CIB43_RS02900	VQY17_RS02075
OG0000319	CIB43_RS03125	VQY17_RS02235
OG0000320	CIB43_RS03270	VQY17_RS02365
OG0000321	CIB43_RS02200	VQY17_RS01350
OG0000322	CIB43_RS02245	VQY17_RS01400
OG0000323	CIB43_RS02375	VQY17_RS01530
OG0000324	CIB43_RS03170	VQY17_RS02275
OG0000325	CIB43_RS01570	VQY17_RS00700
OG0000326	CIB43_RS01665	VQY17_RS00800
OG0000327	CIB43_RS01670	VQY17_RS00805
OG0000328	CIB43_RS01760	VQY17_RS00890
OG0000329	CIB43_RS01775	VQY17_RS00915
OG0000330	CIB43_RS01970	VQY17_RS01135
OG0000331	CIB43_RS03890	VQY17_RS02960
OG0000332	CIB43_RS00200	VQY17_RS03100
OG0000333	CIB43_RS00210	VQY17_RS03110
OG0000334	CIB43_RS00315	VQY17_RS03215
OG0000335	CIB43_RS00340	VQY17_RS03225
OG0000336	CIB43_RS00485	VQY17_RS03400
OG0000337	CIB43_RS00655	VQY17_RS03575
OG0000338	CIB43_RS00695	VQY17_RS03615
OG0000339	CIB43_RS03235	VQY17_RS02340
OG0000340	CIB43_RS02185	VQY17_RS01330
OG0000341	CIB43_RS03190	VQY17_RS02295
OG0000342	CIB43_RS01600	VQY17_RS00730
OG0000343	CIB43_RS00215	VQY17_RS03120
OG0000344	CIB43_RS01465	VQY17_RS00575
OG0000345	CIB43_RS01890	VQY17_RS01055
OG0000346	CIB43_RS00490	VQY17_RS03405
OG0000347	CIB43_RS02270	VQY17_RS01425
OG0000348	CIB43_RS01685	VQY17_RS00810
OG0000349	CIB43_RS00550	VQY17_RS03470
OG0000350	CIB43_RS03675	VQY17_RS02735
OG0000351	CIB43_RS01385	VQY17_RS00495
OG0000352	CIB43_RS02830	VQY17_RS02010
OG0000353	CIB43_RS02240	VQY17_RS01390
OG0000354	CIB43_RS01515	VQY17_RS00635
OG0000355	CIB43_RS02805	VQY17_RS01985
OG0000356	CIB43_RS02890	VQY17_RS02065
OG0000357	CIB43_RS00175	VQY17_RS03080
OG0000358	CIB43_RS00180	VQY17_RS03085
OG0000359	CIB43_RS01650	VQY17_RS00780
OG0000360	CIB43_RS00990	VQY17_RS00280
OG0000361	CIB43_RS01020	VQY17_RS00310
OG0000362	CIB43_RS03475	VQY17_RS02535
OG0000363	CIB43_RS02310	VQY17_RS01465
OG0000364	CIB43_RS02775	VQY17_RS01960
OG0000369	CIB43_RS00725	VQY17_RS00025
OG0000370	CIB43_RS00720	VQY17_RS00020
OG0000378	CIB43_RS02160	VQY17_RS01310
OG0000379	CIB43_RS02235	VQY17_RS01385
OG0000380	CIB43_RS02260	VQY17_RS01415
OG0000385	CIB43_RS01405	VQY17_RS00520
OG0000389	CIB43_RS01490	VQY17_RS00615
OG0000394	CIB43_RS03660	VQY17_RS02715
OG0000396	CIB43_RS03350	VQY17_RS02425
OG0000403	CIB43_RS00220	VQY17_RS03125
OG0000404	CIB43_RS00250	VQY17_RS03150
OG0000405	CIB43_RS00265	VQY17_RS03165
OG0000409	CIB43_RS00345	VQY17_RS03245
OG0000412	CIB43_RS00390	VQY17_RS03295
OG0000417	CIB43_RS03185	VQY17_RS02290
OG0000428	CIB43_RS01785	VQY17_RS00925
OG0000429	CIB43_RS01885	VQY17_RS01045
OG0000430	CIB43_RS01925	VQY17_RS01090
OG0000434	CIB43_RS01985	VQY17_RS01150
OG0000436	CIB43_RS02030	VQY17_RS01195
OG0000441	CIB43_RS03910	VQY17_RS02975
OG0000451	CIB43_RS01085	VQY17_RS00370
OG0000453	CIB43_RS01315	VQY17_RS00430
OG0000459	CIB43_RS03460	VQY17_RS02530
OG0000463	CIB43_RS03515	VQY17_RS02575
OG0000464	CIB43_RS03500	VQY17_RS02570
OG0000466	CIB43_RS01115	VQY17_RS00400
OG0000468	CIB43_RS02870	VQY17_RS02040
OG0000471	CIB43_RS01790	VQY17_RS00930
OG0000473	CIB43_RS00580	VQY17_RS03500
OG0000474	CIB43_RS00585	VQY17_RS03505
OG0000475	CIB43_RS00595	VQY17_RS03510
OG0000482	CIB43_RS02080	VQY17_RS01235
OG0000485	CIB43_RS02035	VQY17_RS01205
OG0000486	CIB43_RS03205	VQY17_RS02310
OG0000487	CIB43_RS02915	VQY17_RS02080
OG0000488	CIB43_RS02940	VQY17_RS02120
OG0000489	CIB43_RS00750	VQY17_RS00050
OG0000491	CIB43_RS02220	VQY17_RS01365
OG0000492	CIB43_RS02290	VQY17_RS01445
OG0000495	CIB43_RS03750	VQY17_RS02815
OG0000502	CIB43_RS02070	VQY17_RS01225
OG0000504	CIB43_RS01770	VQY17_RS00905
OG0000506	CIB43_RS01810	VQY17_RS00975
OG0000508	CIB43_RS00980	VQY17_RS00255
OG0000517	CIB43_RS00765	VQY17_RS00065
OG0000519	CIB43_RS01660	VQY17_RS00790
OG0000520	CIB43_RS01780	VQY17_RS00920
OG0000523	CIB43_RS00445	VQY17_RS03360
OG0000526	CIB43_RS02720	VQY17_RS01905
OG0000527	CIB43_RS02640	VQY17_RS01825
OG0000529	CIB43_RS03135	VQY17_RS02245
OG0000530	CIB43_RS03250	VQY17_RS02350
OG0000531	CIB43_RS02265	VQY17_RS01420
OG0000537	CIB43_RS01595	VQY17_RS00725
OG0000538	CIB43_RS01990	VQY17_RS01160
OG0000543	CIB43_RS01215	VQY17_RS01600
OG0000544	CIB43_RS02125	VQY17_RS01275
OG0000545	CIB43_RS02715	VQY17_RS01895
OG0000546	CIB43_RS03705	VQY17_RS02765
OG0000553	CIB43_RS03610	VQY17_RS02675
OG0000554	CIB43_RS03295	VQY17_RS02395
OG0000557	CIB43_RS02130	VQY17_RS01285
OG0000558	CIB43_RS02100	VQY17_RS01255
OG0000559	CIB43_RS02575	VQY17_RS01745
OG0000560	CIB43_RS02680	VQY17_RS01880
OG0000561	CIB43_RS01980	VQY17_RS01140
OG0000562	CIB43_RS02685	VQY17_RS01885
OG0000563	CIB43_RS02670	VQY17_RS01870
OG0000564	CIB43_RS02155	VQY17_RS01305
OG0000565	CIB43_RS02760	VQY17_RS01945
OG0000566	CIB43_RS02740	VQY17_RS01925
OG0000568	CIB43_RS01555	VQY17_RS00685
OG0000569	CIB43_RS02105	VQY17_RS01260
OG0000570	CIB43_RS02110	VQY17_RS01265
OG0000571	CIB43_RS02115	VQY17_RS01270
OG0000572	CIB43_RS02135	VQY17_RS01290
OG0000573	CIB43_RS02570	VQY17_RS01740
OG0000574	CIB43_RS02175	VQY17_RS01325
OG0000575	CIB43_RS02090	VQY17_RS01245
OG0000576	CIB43_RS02530	VQY17_RS01690
OG0000577	CIB43_RS03580	VQY17_RS02650
OG0000579	CIB43_RS02660	VQY17_RS01845
OG0000580	CIB43_RS03710	VQY17_RS02770
OG0000581	CIB43_RS02645	VQY17_RS01830
OG0000585	CIB43_RS03105	VQY17_RS02215
OG0000588	CIB43_RS02525	VQY17_RS01680
OG0000592	CIB43_RS03570	VQY17_RS02640
OG0000594	CIB43_RS02095	VQY17_RS01250
OG0000601	CIB43_RS02675	VQY17_RS01875
OG0000606	CIB43_RS02655	VQY17_RS01840
OG0000608	CIB43_RS02695, CIB43_RS02705, CIB43_RS02690	VQY17_RS01890
OG0000609	CIB43_RS02730	VQY17_RS01915
OG0000613	CIB43_RS02785	VQY17_RS01965
