Orthogroup	MHP_KM014_genes	MHP_UFV02_genes
OG0000169	CIB43_RS00130	FEF31_RS03615
OG0000171	CIB43_RS00155	FEF31_RS03640
OG0000172	CIB43_RS00160	FEF31_RS03645
OG0000173	CIB43_RS00165	FEF31_RS03650
OG0000174	CIB43_RS00170	FEF31_RS03655
OG0000175	CIB43_RS00190	FEF31_RS03670
OG0000176	CIB43_RS00235	FEF31_RS03715
OG0000177	CIB43_RS00240	FEF31_RS03720
OG0000178	CIB43_RS00245	FEF31_RS03725
OG0000179	CIB43_RS00255	FEF31_RS03735
OG0000180	CIB43_RS00260	FEF31_RS03740
OG0000181	CIB43_RS00310	FEF31_RS04690
OG0000182	CIB43_RS00320	FEF31_RS03795
OG0000183	CIB43_RS00355	FEF31_RS03830
OG0000184	CIB43_RS00430	FEF31_RS02980
OG0000185	CIB43_RS00380	FEF31_RS02965
OG0000186	CIB43_RS02400	FEF31_RS04435
OG0000187	CIB43_RS02410	FEF31_RS01200
OG0000188	CIB43_RS02425	FEF31_RS01210
OG0000189	CIB43_RS03200	FEF31_RS04520
OG0000190	CIB43_RS03195	FEF31_RS02035
OG0000191	CIB43_RS03180	FEF31_RS02015
OG0000192	CIB43_RS02085	FEF31_RS00875
OG0000193	CIB43_RS02075	FEF31_RS00860
OG0000194	CIB43_RS01560	FEF31_RS00345
OG0000195	CIB43_RS01565	FEF31_RS00350
OG0000196	CIB43_RS01585	FEF31_RS00370
OG0000197	CIB43_RS01590	FEF31_RS00375
OG0000198	CIB43_RS01605	FEF31_RS00390
OG0000199	CIB43_RS01615	FEF31_RS00395
OG0000200	CIB43_RS01630	FEF31_RS00410
OG0000201	CIB43_RS01635	FEF31_RS00420
OG0000202	CIB43_RS01690	FEF31_RS00475
OG0000203	CIB43_RS01695	FEF31_RS00480
OG0000204	CIB43_RS01700	FEF31_RS00485
OG0000205	CIB43_RS01705	FEF31_RS00490
OG0000206	CIB43_RS01735	FEF31_RS00510
OG0000207	CIB43_RS01740	FEF31_RS00525
OG0000208	CIB43_RS01745	FEF31_RS00530
OG0000209	CIB43_RS01750	FEF31_RS00535
OG0000210	CIB43_RS01800	FEF31_RS00580
OG0000211	CIB43_RS01805	FEF31_RS00590
OG0000212	CIB43_RS01815	FEF31_RS00600
OG0000213	CIB43_RS01820	FEF31_RS00605
OG0000214	CIB43_RS01825	FEF31_RS00610
OG0000215	CIB43_RS01830	FEF31_RS00615
OG0000216	CIB43_RS01835	FEF31_RS00620
OG0000217	CIB43_RS01845	FEF31_RS00625
OG0000218	CIB43_RS01850	FEF31_RS00635
OG0000219	CIB43_RS01855	FEF31_RS00640
OG0000220	CIB43_RS01860	FEF31_RS00645
OG0000221	CIB43_RS01865	FEF31_RS00650
OG0000222	CIB43_RS01870	FEF31_RS00655
OG0000223	CIB43_RS01875	FEF31_RS00660
OG0000225	CIB43_RS01895	FEF31_RS00680
OG0000226	CIB43_RS01900	FEF31_RS00685
OG0000227	CIB43_RS01905	FEF31_RS00690
OG0000228	CIB43_RS01910	FEF31_RS04770
OG0000229	CIB43_RS01915	FEF31_RS00700
OG0000230	CIB43_RS01920	FEF31_RS00705
OG0000231	CIB43_RS01935	FEF31_RS00715
OG0000232	CIB43_RS01940	FEF31_RS00725
OG0000233	CIB43_RS01965	FEF31_RS00750
OG0000234	CIB43_RS02000	FEF31_RS00785
OG0000235	CIB43_RS02005	FEF31_RS00795
OG0000236	CIB43_RS02010	FEF31_RS00800
OG0000237	CIB43_RS02015	FEF31_RS00805
OG0000238	CIB43_RS02025	FEF31_RS00810
OG0000239	CIB43_RS03860	FEF31_RS02680
OG0000240	CIB43_RS03870	FEF31_RS02685
OG0000241	CIB43_RS03875	FEF31_RS02695
OG0000242	CIB43_RS03880	FEF31_RS02700
OG0000243	CIB43_RS03885	FEF31_RS02705
OG0000244	CIB43_RS03900	FEF31_RS02715
OG0000245	CIB43_RS03905	FEF31_RS02720
OG0000246	CIB43_RS00845	FEF31_RS03410
OG0000247	CIB43_RS00850	FEF31_RS03420
OG0000248	CIB43_RS00875	FEF31_RS03430
OG0000250	CIB43_RS00885	FEF31_RS03450
OG0000251	CIB43_RS00925	FEF31_RS03480
OG0000252	CIB43_RS00930	FEF31_RS03490
OG0000253	CIB43_RS00940	FEF31_RS03495
OG0000254	CIB43_RS00950	FEF31_RS03505
OG0000255	CIB43_RS00955	FEF31_RS03510
OG0000256	CIB43_RS00960	FEF31_RS03515
OG0000257	CIB43_RS00985	FEF31_RS03540
OG0000258	CIB43_RS01015	FEF31_RS03550
OG0000259	CIB43_RS01030	FEF31_RS03580
OG0000260	CIB43_RS01045	FEF31_RS03590
OG0000262	CIB43_RS01075	FEF31_RS00010
OG0000263	CIB43_RS01080	FEF31_RS00025
OG0000264	CIB43_RS01100	FEF31_RS00040
OG0000265	CIB43_RS01110	FEF31_RS00050
OG0000266	CIB43_RS01120	FEF31_RS00065
OG0000267	CIB43_RS01135	FEF31_RS00080
OG0000268	CIB43_RS01305	FEF31_RS00085
OG0000269	CIB43_RS01320	FEF31_RS00100
OG0000270	CIB43_RS00575	FEF31_RS04635
OG0000271	CIB43_RS00570	FEF31_RS03160
OG0000272	CIB43_RS00565	FEF31_RS03155
OG0000273	CIB43_RS00560	FEF31_RS03150
OG0000274	CIB43_RS00545	FEF31_RS03130
OG0000275	CIB43_RS00535	FEF31_RS04625
OG0000276	CIB43_RS00530	FEF31_RS03120
OG0000277	CIB43_RS00525	FEF31_RS03110
OG0000278	CIB43_RS00515	FEF31_RS03105
OG0000279	CIB43_RS00510	FEF31_RS03095
OG0000280	CIB43_RS00500	FEF31_RS03090
OG0000281	CIB43_RS00495	FEF31_RS03085
OG0000283	CIB43_RS00475	FEF31_RS03055
OG0000284	CIB43_RS00460	FEF31_RS03050
OG0000285	CIB43_RS00455	FEF31_RS04610
OG0000286	CIB43_RS03345	FEF31_RS02155
OG0000287	CIB43_RS03440	FEF31_RS02260
OG0000288	CIB43_RS03450	FEF31_RS02270
OG0000289	CIB43_RS03455	FEF31_RS02275
OG0000290	CIB43_RS03565	FEF31_RS02385
OG0000291	CIB43_RS03560	FEF31_RS02375
OG0000292	CIB43_RS03550	FEF31_RS02370
OG0000293	CIB43_RS03545	FEF31_RS02365
OG0000294	CIB43_RS03540	FEF31_RS02355
OG0000295	CIB43_RS03530	FEF31_RS02350
OG0000296	CIB43_RS03495	FEF31_RS02310
OG0000297	CIB43_RS03485	FEF31_RS02305
OG0000298	CIB43_RS00880	FEF31_RS03445
OG0000299	CIB43_RS00915	FEF31_RS03465
OG0000300	CIB43_RS01090	FEF31_RS00035
OG0000301	CIB43_RS01125	FEF31_RS00070
OG0000302	CIB43_RS01130	FEF31_RS00075
OG0000303	CIB43_RS01455	FEF31_RS00220
OG0000304	CIB43_RS01950	FEF31_RS00730
OG0000305	CIB43_RS03795	FEF31_RS02620
OG0000306	CIB43_RS03725	FEF31_RS02545
OG0000307	CIB43_RS03685	FEF31_RS02510
OG0000308	CIB43_RS03600	FEF31_RS02405
OG0000309	CIB43_RS03520	FEF31_RS02340
OG0000310	CIB43_RS03445	FEF31_RS02265
OG0000311	CIB43_RS03405	FEF31_RS02215
OG0000312	CIB43_RS03390	FEF31_RS02200
OG0000313	CIB43_RS02485	FEF31_RS01260
OG0000314	CIB43_RS02855	FEF31_RS01700
OG0000315	CIB43_RS02885	FEF31_RS01730
OG0000316	CIB43_RS02895	FEF31_RS01740
OG0000317	CIB43_RS02985	FEF31_RS01835
OG0000318	CIB43_RS02900	FEF31_RS04480
OG0000319	CIB43_RS03125	FEF31_RS01970
OG0000320	CIB43_RS03270	FEF31_RS02095
OG0000321	CIB43_RS02200	FEF31_RS00990
OG0000322	CIB43_RS02245	FEF31_RS01040
OG0000323	CIB43_RS02375	FEF31_RS01170
OG0000324	CIB43_RS03170	FEF31_RS02010
OG0000325	CIB43_RS01570	FEF31_RS00355
OG0000326	CIB43_RS01665	FEF31_RS00450
OG0000327	CIB43_RS01670	FEF31_RS00455
OG0000328	CIB43_RS01760	FEF31_RS00540
OG0000329	CIB43_RS01775	FEF31_RS00560
OG0000330	CIB43_RS01970	FEF31_RS00760
OG0000331	CIB43_RS03890	FEF31_RS02710
OG0000332	CIB43_RS00200	FEF31_RS03680
OG0000333	CIB43_RS00210	FEF31_RS03690
OG0000334	CIB43_RS00315	FEF31_RS03790
OG0000335	CIB43_RS00340	FEF31_RS03800
OG0000336	CIB43_RS00485	FEF31_RS04620
OG0000337	CIB43_RS00655	FEF31_RS03240
OG0000338	CIB43_RS00695	FEF31_RS03280
OG0000339	CIB43_RS03235	FEF31_RS02070
OG0000340	CIB43_RS02185	FEF31_RS00970
OG0000341	CIB43_RS03190	FEF31_RS02030
OG0000342	CIB43_RS01600	FEF31_RS00385
OG0000343	CIB43_RS00215	FEF31_RS03700
OG0000344	CIB43_RS01465	FEF31_RS00235
OG0000345	CIB43_RS01890	FEF31_RS00675
OG0000346	CIB43_RS00490	FEF31_RS03080
OG0000347	CIB43_RS02270	FEF31_RS01065
OG0000348	CIB43_RS01685	FEF31_RS00460
OG0000349	CIB43_RS00550	FEF31_RS04630
OG0000350	CIB43_RS03675	FEF31_RS02500
OG0000351	CIB43_RS01385	FEF31_RS00155
OG0000352	CIB43_RS02830	FEF31_RS01680
OG0000353	CIB43_RS02240	FEF31_RS01035
OG0000354	CIB43_RS01515	FEF31_RS00295
OG0000355	CIB43_RS02805	FEF31_RS04470
OG0000356	CIB43_RS02890	FEF31_RS04475
OG0000357	CIB43_RS00175	FEF31_RS04685
OG0000358	CIB43_RS00180	FEF31_RS03665
OG0000359	CIB43_RS01650	FEF31_RS04380
OG0000360	CIB43_RS00990	FEF31_RS03545
OG0000361	CIB43_RS01020	FEF31_RS03575
OG0000362	CIB43_RS03475	FEF31_RS02285
OG0000363	CIB43_RS02310	FEF31_RS01105
OG0000364	CIB43_RS02775	FEF31_RS01635
OG0000369	CIB43_RS00725	FEF31_RS04650
OG0000370	CIB43_RS00720	FEF31_RS03305
OG0000378	CIB43_RS02160	FEF31_RS00950
OG0000379	CIB43_RS02235	FEF31_RS01030
OG0000380	CIB43_RS02260	FEF31_RS01055
OG0000381	CIB43_RS02300	FEF31_RS01095
OG0000385	CIB43_RS01405	FEF31_RS00180
OG0000389	CIB43_RS01490	FEF31_RS00275
OG0000394	CIB43_RS03660	FEF31_RS02475
OG0000396	CIB43_RS03350	FEF31_RS02160
OG0000403	CIB43_RS00220	FEF31_RS03705
OG0000404	CIB43_RS00250	FEF31_RS03730
OG0000405	CIB43_RS00265	FEF31_RS04800
OG0000409	CIB43_RS00345	FEF31_RS03820
OG0000412	CIB43_RS00390	FEF31_RS02970
OG0000417	CIB43_RS03185	FEF31_RS02025
OG0000428	CIB43_RS01785	FEF31_RS00570
OG0000429	CIB43_RS01885	FEF31_RS00665
OG0000430	CIB43_RS01925	FEF31_RS00710
OG0000434	CIB43_RS01985	FEF31_RS00775
OG0000436	CIB43_RS02030	FEF31_RS00815
OG0000437	CIB43_RS02065	FEF31_RS00825
OG0000441	CIB43_RS03910	FEF31_RS02725
OG0000451	CIB43_RS01085	FEF31_RS00030
OG0000453	CIB43_RS01315	FEF31_RS00090
OG0000457	CIB43_RS00450	FEF31_RS03040
OG0000459	CIB43_RS03460	FEF31_RS02280
OG0000463	CIB43_RS03515	FEF31_RS02325
OG0000464	CIB43_RS03500	FEF31_RS02320
OG0000466	CIB43_RS01115	FEF31_RS00060
OG0000468	CIB43_RS02870	FEF31_RS01710
OG0000471	CIB43_RS01790	FEF31_RS00575
OG0000473	CIB43_RS00580	FEF31_RS03170
OG0000474	CIB43_RS00585	FEF31_RS03175
OG0000475	CIB43_RS00595	FEF31_RS03180
OG0000482	CIB43_RS02080	FEF31_RS00865
OG0000485	CIB43_RS02035	FEF31_RS00820
OG0000486	CIB43_RS03205	FEF31_RS02045
OG0000487	CIB43_RS02915	FEF31_RS04485
OG0000488	CIB43_RS02940	FEF31_RS01790
OG0000489	CIB43_RS00750	FEF31_RS03335
OG0000491	CIB43_RS02220	FEF31_RS01005
OG0000492	CIB43_RS02290	FEF31_RS01085
OG0000495	CIB43_RS03750	FEF31_RS02575
OG0000502	CIB43_RS02070	FEF31_RS00855
OG0000504	CIB43_RS01770	FEF31_RS00550
OG0000506	CIB43_RS01810	FEF31_RS00595
OG0000508	CIB43_RS00980	FEF31_RS03520
OG0000517	CIB43_RS00765	FEF31_RS03350
OG0000519	CIB43_RS01660	FEF31_RS00440
OG0000520	CIB43_RS01780	FEF31_RS00565
OG0000523	CIB43_RS00445	FEF31_RS03035
OG0000526	CIB43_RS02720	FEF31_RS01585
OG0000527	CIB43_RS02640	FEF31_RS01525
OG0000529	CIB43_RS03135	FEF31_RS01980
OG0000530	CIB43_RS03250	FEF31_RS02080
OG0000531	CIB43_RS02265	FEF31_RS01060
OG0000537	CIB43_RS01595	FEF31_RS00380
OG0000538	CIB43_RS01990	FEF31_RS00780
OG0000544	CIB43_RS02125	FEF31_RS04410
OG0000545	CIB43_RS02715	FEF31_RS01575, FEF31_RS01570
OG0000546	CIB43_RS03705	FEF31_RS02530
OG0000553	CIB43_RS03610	FEF31_RS04535
OG0000554	CIB43_RS03295	FEF31_RS02125
OG0000556	CIB43_RS01290	FEF31_RS04460
OG0000557	CIB43_RS02130	FEF31_RS00920
OG0000558	CIB43_RS02100	FEF31_RS00890
OG0000559	CIB43_RS02575	FEF31_RS01360
OG0000560	CIB43_RS02680	FEF31_RS01560
OG0000561	CIB43_RS01980	FEF31_RS00765
OG0000562	CIB43_RS02685	FEF31_RS01565
OG0000563	CIB43_RS02670	FEF31_RS01550
OG0000564	CIB43_RS02155	FEF31_RS00945
OG0000565	CIB43_RS02760	FEF31_RS01620
OG0000566	CIB43_RS02740	FEF31_RS01605
OG0000568	CIB43_RS01555	FEF31_RS00340
OG0000569	CIB43_RS02105	FEF31_RS00895
OG0000570	CIB43_RS02110	FEF31_RS04405
OG0000571	CIB43_RS02115	FEF31_RS00905
OG0000572	CIB43_RS02135	FEF31_RS00925
OG0000573	CIB43_RS02570	FEF31_RS01355
OG0000574	CIB43_RS02175	FEF31_RS00965
OG0000575	CIB43_RS02090	FEF31_RS00880
OG0000576	CIB43_RS02530	FEF31_RS01315
OG0000577	CIB43_RS03580	FEF31_RS02400
OG0000579	CIB43_RS02660	FEF31_RS01540
OG0000580	CIB43_RS03710	FEF31_RS02535
OG0000581	CIB43_RS02645	FEF31_RS01530
OG0000584	CIB43_RS01255	FEF31_RS01425
OG0000585	CIB43_RS03105	FEF31_RS01950
OG0000588	CIB43_RS02525	FEF31_RS01305
OG0000589	CIB43_RS03055	FEF31_RS01890
OG0000590	CIB43_RS00030	FEF31_RS01410
OG0000592	CIB43_RS03570	FEF31_RS02390
OG0000594	CIB43_RS02095	FEF31_RS00885
OG0000595	CIB43_RS03920	FEF31_RS02735
OG0000597	CIB43_RS03915	FEF31_RS02730
OG0000600	CIB43_RS01175, CIB43_RS00040	FEF31_RS01430
OG0000601	CIB43_RS02675	FEF31_RS01555
OG0000603	CIB43_RS00060	FEF31_RS01440
OG0000606	CIB43_RS02655	FEF31_RS01535
OG0000613	CIB43_RS02785	FEF31_RS01640
OG0000614	CIB43_RS03070	FEF31_RS01905
OG0000628	CIB43_RS00090	FEF31_RS01475
OG0000629	CIB43_RS00015	FEF31_RS01400
OG0000630	CIB43_RS00100	FEF31_RS01485
OG0000631	CIB43_RS00095	FEF31_RS01480
