Orthogroup	MHP_ES2_genes	MFC_MF30_genes
OG0000350	E5E95_RS02960	DR084_RS02995
OG0000351	E5E95_RS00495	DR084_RS00330
OG0000352	E5E95_RS02050	DR084_RS01045
OG0000353	E5E95_RS01390	DR084_RS01965
OG0000354	E5E95_RS00635	DR084_RS00445
OG0000355	E5E95_RS02020	DR084_RS03495
OG0000356	E5E95_RS02110	DR084_RS03500
OG0000357	E5E95_RS03300	DR084_RS03560
OG0000358	E5E95_RS03305	DR084_RS02095
OG0000359	E5E95_RS00775	DR084_RS03520
OG0000360	E5E95_RS00275	DR084_RS00110
OG0000361	E5E95_RS00305	DR084_RS00140
OG0000362	E5E95_RS02745	DR084_RS00850
OG0000363	E5E95_RS03985	DR084_RS02040
OG0000365	E5E95_RS02150	DR084_RS03695
OG0000366	E5E95_RS02175	DR084_RS02700
OG0000367	E5E95_RS02185	DR084_RS02710
OG0000368	E5E95_RS00060	DR084_RS02360
OG0000369	E5E95_RS00025	DR084_RS03595
OG0000370	E5E95_RS00020	DR084_RS02320
OG0000371	E5E95_RS00015	DR084_RS02315
OG0000372	E5E95_RS00010	DR084_RS02310
OG0000373	E5E95_RS03825	DR084_RS02285
OG0000374	E5E95_RS03815	DR084_RS02275
OG0000375	E5E95_RS02340	DR084_RS01790
OG0000376	E5E95_RS02585	DR084_RS01845
OG0000377	E5E95_RS02575	DR084_RS01855
OG0000378	E5E95_RS01310	DR084_RS01890
OG0000379	E5E95_RS01385	DR084_RS01960
OG0000380	E5E95_RS01410	DR084_RS01985
OG0000381	E5E95_RS01450	DR084_RS02025
OG0000382	E5E95_RS01480	DR084_RS02770
OG0000383	E5E95_RS01520	DR084_RS02810
OG0000384	E5E95_RS00515	DR084_RS00335
OG0000385	E5E95_RS00520	DR084_RS00340
OG0000386	E5E95_RS00540	DR084_RS00360
OG0000387	E5E95_RS00565	DR084_RS00385
OG0000388	E5E95_RS00570	DR084_RS03460
OG0000389	E5E95_RS00615	DR084_RS00425
OG0000390	E5E95_RS03100	DR084_RS00525
OG0000391	E5E95_RS03090	DR084_RS00535
OG0000392	E5E95_RS03065	DR084_RS00560
OG0000393	E5E95_RS03010	DR084_RS00615
OG0000394	E5E95_RS02940	DR084_RS00675
OG0000395	E5E95_RS02930	DR084_RS00680
OG0000397	E5E95_RS02035	DR084_RS01030
OG0000398	E5E95_RS02040	DR084_RS01035
OG0000399	E5E95_RS02090	DR084_RS01080
OG0000400	E5E95_RS03265	DR084_RS02055
