Orthogroup	MHP_TB1_genes	MFC_MF18_genes
OG0000106	B5M19_RS02930	DR082_RS01900
OG0000107	B5M19_RS04455	DR082_RS01910
OG0000108	B5M19_RS04620	DR082_RS01915
OG0000109	B5M19_RS02910	DR082_RS01920
OG0000110	B5M19_RS02660	DR082_RS01925
OG0000111	B5M19_RS02665	DR082_RS01930
OG0000112	B5M19_RS02675	DR082_RS01940
OG0000113	B5M19_RS02700	DR082_RS03785
OG0000114	B5M19_RS02710	DR082_RS01965
OG0000115	B5M19_RS03610	DR082_RS01975
OG0000116	B5M19_RS02580	DR082_RS01985
OG0000117	B5M19_RS02575	DR082_RS01990
OG0000118	B5M19_RS01235	DR082_RS02020
OG0000119	B5M19_RS01230	DR082_RS02025
OG0000120	B5M19_RS01215	DR082_RS02040
OG0000121	B5M19_RS01190	DR082_RS02065
OG0000122	B5M19_RS01185	DR082_RS02080
OG0000123	B5M19_RS01165	DR082_RS02870
OG0000124	B5M19_RS01160	DR082_RS02865
OG0000125	B5M19_RS01155	DR082_RS02860
OG0000126	B5M19_RS01145	DR082_RS02850
OG0000127	B5M19_RS01135	DR082_RS02840
OG0000128	B5M19_RS01115	DR082_RS02820
OG0000129	B5M19_RS01110	DR082_RS02815
OG0000130	B5M19_RS01100	DR082_RS02805
OG0000131	B5M19_RS01075	DR082_RS02775
OG0000132	B5M19_RS01060	DR082_RS03915
OG0000133	B5M19_RS02380	DR082_RS00535
OG0000134	B5M19_RS02385	DR082_RS03675
OG0000135	B5M19_RS02400	DR082_RS00555
OG0000136	B5M19_RS02405	DR082_RS00560
OG0000137	B5M19_RS02445	DR082_RS00590
OG0000138	B5M19_RS03090	DR082_RS00615
OG0000139	B5M19_RS03070	DR082_RS00645
OG0000140	B5M19_RS03065	DR082_RS00650
OG0000141	B5M19_RS01330	DR082_RS00675
OG0000142	B5M19_RS01335	DR082_RS03690
OG0000143	B5M19_RS01360	DR082_RS00705
OG0000144	B5M19_RS01370	DR082_RS00715
OG0000145	B5M19_RS01380	DR082_RS00725
OG0000146	B5M19_RS01390	DR082_RS00735
OG0000147	B5M19_RS01395	DR082_RS00740
OG0000148	B5M19_RS01410	DR082_RS00755
OG0000149	B5M19_RS01420	DR082_RS00765
OG0000150	B5M19_RS04180	DR082_RS00780
OG0000151	B5M19_RS02540	DR082_RS00840
OG0000152	B5M19_RS02535	DR082_RS00845
OG0000153	B5M19_RS02530	DR082_RS00850
OG0000154	B5M19_RS02520	DR082_RS00860
OG0000155	B5M19_RS02480	DR082_RS00880
OG0000156	B5M19_RS00860	DR082_RS00895
OG0000157	B5M19_RS00865	DR082_RS03695
OG0000158	B5M19_RS04580	DR082_RS03700
OG0000159	B5M19_RS02810	DR082_RS01145
OG0000160	B5M19_RS02815	DR082_RS01150
OG0000161	B5M19_RS02820	DR082_RS01155
OG0000162	B5M19_RS02830	DR082_RS01165
OG0000163	B5M19_RS02835	DR082_RS01170
OG0000164	B5M19_RS04495	DR082_RS03710
OG0000165	B5M19_RS00760	DR082_RS02620
OG0000166	B5M19_RS00785	DR082_RS02640
OG0000167	B5M19_RS00800	DR082_RS02655
OG0000168	B5M19_RS00805	DR082_RS02660
OG0000169	B5M19_RS01450	DR082_RS01635
OG0000170	B5M19_RS01465	DR082_RS01670
OG0000171	B5M19_RS01475	DR082_RS01680
OG0000172	B5M19_RS01480	DR082_RS01685
OG0000173	B5M19_RS01490	DR082_RS01690
OG0000174	B5M19_RS01495	DR082_RS01695
OG0000175	B5M19_RS01510	DR082_RS01710
OG0000176	B5M19_RS01560	DR082_RS01750
