Orthogroup	MHP_TB1_genes	MHP_MHP691_genes
OG0000221	B5M19_RS03355	DR087_RS02690
OG0000222	B5M19_RS03350	DR087_RS02695
OG0000223	B5M19_RS03345	DR087_RS02700
OG0000224	B5M19_RS03130	DR087_RS02710
OG0000225	B5M19_RS03140	DR087_RS02720
OG0000226	B5M19_RS03145	DR087_RS02725
OG0000227	B5M19_RS03150	DR087_RS02730
OG0000228	B5M19_RS04630	DR087_RS04810
OG0000229	B5M19_RS03160	DR087_RS02740
OG0000230	B5M19_RS03165	DR087_RS02745
OG0000231	B5M19_RS03175	DR087_RS02755
OG0000232	B5M19_RS03185	DR087_RS02765
OG0000233	B5M19_RS02225	DR087_RS02010
OG0000234	B5M19_RS04335	DR087_RS01970
OG0000235	B5M19_RS02175	DR087_RS01960
OG0000236	B5M19_RS02170	DR087_RS01955
OG0000237	B5M19_RS02165	DR087_RS01950
OG0000238	B5M19_RS02155	DR087_RS01940
OG0000239	B5M19_RS01315	DR087_RS03355
OG0000240	B5M19_RS01310	DR087_RS03350
OG0000241	B5M19_RS01300	DR087_RS03340
OG0000242	B5M19_RS04160	DR087_RS03365
OG0000243	B5M19_RS01290	DR087_RS03370
OG0000244	B5M19_RS01280	DR087_RS03380
OG0000245	B5M19_RS01270	DR087_RS03390
OG0000246	B5M19_RS00050	DR087_RS00560
OG0000247	B5M19_RS00060	DR087_RS02415
OG0000248	B5M19_RS00070	DR087_RS02405
OG0000249	B5M19_RS00075	DR087_RS02400
OG0000250	B5M19_RS03880	DR087_RS02385
OG0000251	B5M19_RS00125	DR087_RS02350
OG0000252	B5M19_RS00135	DR087_RS02340
OG0000253	B5M19_RS00140	DR087_RS02335
OG0000254	B5M19_RS00150	DR087_RS02325
OG0000255	B5M19_RS00160	DR087_RS01760
OG0000256	B5M19_RS00165	DR087_RS01765
OG0000257	B5M19_RS00190	DR087_RS01790
OG0000258	B5M19_RS04020	DR087_RS01800
OG0000259	B5M19_RS00230	DR087_RS01830
OG0000260	B5M19_RS00240	DR087_RS01840
OG0000261	B5M19_RS00250	DR087_RS04615
OG0000262	B5M19_RS00270	DR087_RS01865
OG0000263	B5M19_RS00285	DR087_RS01880
OG0000264	B5M19_RS04030	DR087_RS01895
OG0000265	B5M19_RS00315	DR087_RS01910
OG0000266	B5M19_RS00335	DR087_RS03015
OG0000267	B5M19_RS04035	DR087_RS03030
OG0000268	B5M19_RS00355	DR087_RS03035
OG0000269	B5M19_RS03680	DR087_RS03050
OG0000270	B5M19_RS00415	DR087_RS04505
OG0000271	B5M19_RS00420	DR087_RS00715
OG0000272	B5M19_RS00425	DR087_RS00710
OG0000273	B5M19_RS00430	DR087_RS00705
OG0000274	B5M19_RS00450	DR087_RS00685
OG0000275	B5M19_RS00455	DR087_RS04495
OG0000276	B5M19_RS00460	DR087_RS00675
OG0000277	B5M19_RS00470	DR087_RS00665
OG0000278	B5M19_RS00475	DR087_RS00660
OG0000279	B5M19_RS00485	DR087_RS00650
OG0000280	B5M19_RS00490	DR087_RS00645
OG0000281	B5M19_RS00495	DR087_RS00640
OG0000282	B5M19_RS00520	DR087_RS04485
OG0000283	B5M19_RS00525	DR087_RS00610
OG0000284	B5M19_RS00530	DR087_RS00605
OG0000285	B5M19_RS00535	DR087_RS04480
