Orthogroup	MHP_TB1_genes	MFC_ATCC27716_genes
OG0000088	B5M19_RS02725	MFC_RS00105
OG0000089	B5M19_RS03690	MFC_RS00115
OG0000090	B5M19_RS03775	MFC_RS00165
OG0000091	B5M19_RS04280	MFC_RS00180
OG0000092	B5M19_RS01895	MFC_RS00195
OG0000093	B5M19_RS01900	MFC_RS00200
OG0000094	B5M19_RS01905	MFC_RS00205
OG0000095	B5M19_RS04290	MFC_RS00230
OG0000096	B5M19_RS01935	MFC_RS00235
OG0000097	B5M19_RS01955	MFC_RS00255
OG0000098	B5M19_RS04295	MFC_RS00265
OG0000099	B5M19_RS00370	MFC_RS00320
OG0000100	B5M19_RS00385	MFC_RS00335
OG0000101	B5M19_RS00390	MFC_RS00340
OG0000102	B5M19_RS02080	MFC_RS00350
OG0000103	B5M19_RS02960	MFC_RS00405
OG0000104	B5M19_RS04460	MFC_RS00410
OG0000105	B5M19_RS02940	MFC_RS00425
OG0000106	B5M19_RS02930	MFC_RS00435
OG0000107	B5M19_RS04455	MFC_RS00445
OG0000108	B5M19_RS04620	MFC_RS00450
OG0000109	B5M19_RS02910	MFC_RS00455
OG0000110	B5M19_RS02660	MFC_RS00460
OG0000111	B5M19_RS02665	MFC_RS00465
OG0000112	B5M19_RS02675	MFC_RS00475
OG0000113	B5M19_RS02700	MFC_RS00490
OG0000114	B5M19_RS02710	MFC_RS00500
OG0000115	B5M19_RS03610	MFC_RS00510
OG0000116	B5M19_RS02580	MFC_RS00520
OG0000117	B5M19_RS02575	MFC_RS00525
OG0000118	B5M19_RS01235	MFC_RS00555
OG0000119	B5M19_RS01230	MFC_RS00560
OG0000120	B5M19_RS01215	MFC_RS00575
OG0000121	B5M19_RS01190	MFC_RS00600
OG0000122	B5M19_RS01185	MFC_RS00605
OG0000123	B5M19_RS01165	MFC_RS00625
OG0000124	B5M19_RS01160	MFC_RS00630
OG0000125	B5M19_RS01155	MFC_RS00635
OG0000126	B5M19_RS01145	MFC_RS00645
OG0000127	B5M19_RS01135	MFC_RS00655
OG0000128	B5M19_RS01115	MFC_RS00670
OG0000129	B5M19_RS01110	MFC_RS00675
OG0000130	B5M19_RS01100	MFC_RS00685
OG0000131	B5M19_RS01075	MFC_RS00715
OG0000132	B5M19_RS01060	MFC_RS00735
OG0000133	B5M19_RS02380	MFC_RS00805
OG0000134	B5M19_RS02385	MFC_RS00810
OG0000135	B5M19_RS02400	MFC_RS00825
OG0000136	B5M19_RS02405	MFC_RS00830
OG0000137	B5M19_RS02445	MFC_RS00860
OG0000138	B5M19_RS03090	MFC_RS00885
OG0000139	B5M19_RS03070	MFC_RS00915
OG0000140	B5M19_RS03065	MFC_RS00920
OG0000141	B5M19_RS01330	MFC_RS00955
OG0000142	B5M19_RS01335	MFC_RS00960
OG0000143	B5M19_RS01360	MFC_RS00985
OG0000144	B5M19_RS01370	MFC_RS00995
OG0000145	B5M19_RS01380	MFC_RS01005
OG0000146	B5M19_RS01390	MFC_RS01015
OG0000147	B5M19_RS01395	MFC_RS01020
OG0000148	B5M19_RS01410	MFC_RS01035
OG0000149	B5M19_RS01420	MFC_RS01045
OG0000150	B5M19_RS04180	MFC_RS01060
OG0000151	B5M19_RS02540	MFC_RS01115
OG0000152	B5M19_RS02535	MFC_RS01120
OG0000153	B5M19_RS02530	MFC_RS01125
OG0000154	B5M19_RS02520	MFC_RS01135
OG0000155	B5M19_RS02480	MFC_RS01155
OG0000156	B5M19_RS00860	MFC_RS01175
OG0000157	B5M19_RS00865	MFC_RS01180
OG0000158	B5M19_RS04580	MFC_RS01190
OG0000159	B5M19_RS02810	MFC_RS01245
OG0000160	B5M19_RS02815	MFC_RS01250
OG0000161	B5M19_RS02820	MFC_RS01255
OG0000162	B5M19_RS02830	MFC_RS01265
OG0000163	B5M19_RS02835	MFC_RS01270
OG0000164	B5M19_RS04495	MFC_RS01300
OG0000165	B5M19_RS00760	MFC_RS01345
OG0000166	B5M19_RS00785	MFC_RS01365
OG0000167	B5M19_RS00800	MFC_RS01380
OG0000168	B5M19_RS00805	MFC_RS01385
OG0000169	B5M19_RS01450	MFC_RS01430
OG0000170	B5M19_RS01465	MFC_RS01455
OG0000171	B5M19_RS01475	MFC_RS01465
