Orthogroup	MHP_112B_genes	MHP_J_genes
OG0000187	NBX26_RS01670	MHJ_RS01510
OG0000188	NBX26_RS01680	MHJ_RS01520
OG0000189	NBX26_RS02455	MHJ_RS02250
OG0000190	NBX26_RS02450	MHJ_RS02245
OG0000191	NBX26_RS02425	MHJ_RS02225
OG0000192	NBX26_RS01345	MHJ_RS01190
OG0000193	NBX26_RS01330	MHJ_RS01180
OG0000194	NBX26_RS00695	MHJ_RS00670
OG0000195	NBX26_RS00700	MHJ_RS00675
OG0000196	NBX26_RS00725	MHJ_RS00695
OG0000197	NBX26_RS00735	MHJ_RS00700
OG0000198	NBX26_RS00745	MHJ_RS00715
OG0000199	NBX26_RS00750	MHJ_RS00720
OG0000200	NBX26_RS00765	MHJ_RS00730
OG0000201	NBX26_RS00775	MHJ_RS00740
OG0000202	NBX26_RS00830	MHJ_RS00795
OG0000203	NBX26_RS00835	MHJ_RS00800
OG0000204	NBX26_RS00840	MHJ_RS00805
OG0000205	NBX26_RS00845	MHJ_RS00810
OG0000206	NBX26_RS00865	MHJ_RS00830
OG0000207	NBX26_RS00880	MHJ_RS00845
OG0000208	NBX26_RS00885	MHJ_RS00850
OG0000209	NBX26_RS00890	MHJ_RS00855
OG0000210	NBX26_RS00935	MHJ_RS00900
OG0000211	NBX26_RS01080	MHJ_RS00910
OG0000212	NBX26_RS01085	MHJ_RS00920
OG0000213	NBX26_RS01090	MHJ_RS00925
OG0000214	NBX26_RS01095	MHJ_RS00930
OG0000215	NBX26_RS01100	MHJ_RS00935
OG0000216	NBX26_RS01105	MHJ_RS00940
OG0000217	NBX26_RS01110	MHJ_RS00945
OG0000218	NBX26_RS01120	MHJ_RS00955
OG0000219	NBX26_RS01125	MHJ_RS00960
OG0000220	NBX26_RS01130	MHJ_RS00965
OG0000221	NBX26_RS01135	MHJ_RS00970
OG0000222	NBX26_RS01140	MHJ_RS00975
OG0000223	NBX26_RS01145	MHJ_RS00980
OG0000224	NBX26_RS01155	MHJ_RS00990
OG0000225	NBX26_RS01165	MHJ_RS01000
OG0000226	NBX26_RS01170	MHJ_RS01005
OG0000227	NBX26_RS01175	MHJ_RS01010
OG0000228	NBX26_RS01180	MHJ_RS04015
OG0000229	NBX26_RS01185	MHJ_RS01020
OG0000230	NBX26_RS01190	MHJ_RS01025
OG0000231	NBX26_RS01200	MHJ_RS01035
OG0000232	NBX26_RS01210	MHJ_RS01045
OG0000233	NBX26_RS01230	MHJ_RS01065
OG0000234	NBX26_RS01265	MHJ_RS01100
OG0000235	NBX26_RS01275	MHJ_RS01110
OG0000236	NBX26_RS01280	MHJ_RS01115
OG0000237	NBX26_RS01285	MHJ_RS01120
OG0000238	NBX26_RS01295	MHJ_RS01130
OG0000239	NBX26_RS03115	MHJ_RS02925
OG0000240	NBX26_RS03120	MHJ_RS02930
OG0000241	NBX26_RS03130	MHJ_RS02940
OG0000242	NBX26_RS03135	MHJ_RS02945
OG0000243	NBX26_RS03140	MHJ_RS02950
OG0000244	NBX26_RS03150	MHJ_RS02960
OG0000245	NBX26_RS03160	MHJ_RS02970
OG0000246	NBX26_RS00130	MHJ_RS00115
OG0000247	NBX26_RS00140	MHJ_RS00125
OG0000248	NBX26_RS00150	MHJ_RS00135
OG0000249	NBX26_RS00155	MHJ_RS00140
OG0000250	NBX26_RS00180	MHJ_RS00155
OG0000251	NBX26_RS00210	MHJ_RS00185
OG0000252	NBX26_RS00215	MHJ_RS00195
OG0000253	NBX26_RS00220	MHJ_RS00200
OG0000254	NBX26_RS00230	MHJ_RS00210
OG0000255	NBX26_RS00235	MHJ_RS00220
OG0000256	NBX26_RS00240	MHJ_RS00225
OG0000257	NBX26_RS00265	MHJ_RS00250
OG0000258	NBX26_RS00280	MHJ_RS00260
OG0000259	NBX26_RS00305	MHJ_RS00290
OG0000260	NBX26_RS00315	MHJ_RS00300
OG0000261	NBX26_RS00325	MHJ_RS00310
OG0000262	NBX26_RS00340	MHJ_RS00325
OG0000263	NBX26_RS00355	MHJ_RS00340
OG0000264	NBX26_RS00370	MHJ_RS00355
OG0000265	NBX26_RS00380	MHJ_RS00365
OG0000266	NBX26_RS00395	MHJ_RS00380
OG0000267	NBX26_RS00410	MHJ_RS00395
OG0000268	NBX26_RS00415	MHJ_RS00400
OG0000269	NBX26_RS00430	MHJ_RS00415
OG0000270	NBX26_RS03690	MHJ_RS03460
OG0000271	NBX26_RS03685	MHJ_RS03455
OG0000272	NBX26_RS03680	MHJ_RS03450
OG0000273	NBX26_RS03675	MHJ_RS03445
OG0000274	NBX26_RS03660	MHJ_RS03425
OG0000275	NBX26_RS03650	MHJ_RS03420
OG0000276	NBX26_RS03645	MHJ_RS03415
OG0000277	NBX26_RS03635	MHJ_RS03405
OG0000278	NBX26_RS03630	MHJ_RS03400
OG0000279	NBX26_RS03620	MHJ_RS03390
OG0000280	NBX26_RS03615	MHJ_RS03385
OG0000281	NBX26_RS03610	MHJ_RS03705
OG0000282	NBX26_RS03585	MHJ_RS03360
OG0000283	NBX26_RS03580	MHJ_RS03355
OG0000284	NBX26_RS03575	MHJ_RS03350
OG0000285	NBX26_RS03570	MHJ_RS03345
OG0000286	NBX26_RS02585	MHJ_RS02375
OG0000287	NBX26_RS02680	MHJ_RS02475
OG0000288	NBX26_RS02690	MHJ_RS02485
OG0000289	NBX26_RS02695	MHJ_RS02495
OG0000290	NBX26_RS02815	MHJ_RS02605
OG0000291	NBX26_RS02800	MHJ_RS02595
OG0000292	NBX26_RS02795	MHJ_RS02590
OG0000293	NBX26_RS02785	MHJ_RS02585
OG0000294	NBX26_RS02775	MHJ_RS02570
OG0000295	NBX26_RS02770	MHJ_RS02565
OG0000296	NBX26_RS02730	MHJ_RS02525
OG0000297	NBX26_RS02725	MHJ_RS02520
OG0000298	NBX26_RS00165	MHJ_RS00150
OG0000299	NBX26_RS00190	MHJ_RS00170
OG0000300	NBX26_RS00365	MHJ_RS00350
OG0000301	NBX26_RS00400	MHJ_RS00385
OG0000302	NBX26_RS00405	MHJ_RS00390
OG0000303	NBX26_RS00560	MHJ_RS00545
OG0000304	NBX26_RS01215	MHJ_RS01050
OG0000305	NBX26_RS03055	MHJ_RS02850
OG0000306	NBX26_RS02980	MHJ_RS02775
OG0000307	NBX26_RS02940	MHJ_RS02730
OG0000308	NBX26_RS02850	MHJ_RS02625
OG0000309	NBX26_RS02760	MHJ_RS02555
OG0000310	NBX26_RS02685	MHJ_RS02480
OG0000311	NBX26_RS02645	MHJ_RS02435
OG0000312	NBX26_RS02630	MHJ_RS02420
OG0000313	NBX26_RS01720	MHJ_RS01555
OG0000314	NBX26_RS02145	MHJ_RS01910
OG0000315	NBX26_RS02115	MHJ_RS01940
OG0000316	NBX26_RS02105	MHJ_RS01950
OG0000317	NBX26_RS02005	MHJ_RS02040
OG0000318	NBX26_RS02100	MHJ_RS01955
OG0000319	NBX26_RS02380	MHJ_RS02180
OG0000320	NBX26_RS02510	MHJ_RS02305
OG0000321	NBX26_RS01455	MHJ_RS01305
OG0000322	NBX26_RS01510	MHJ_RS01350
OG0000323	NBX26_RS01640	MHJ_RS01480
OG0000324	NBX26_RS02420	MHJ_RS02220
OG0000325	NBX26_RS00710	MHJ_RS00680
OG0000326	NBX26_RS00805	MHJ_RS00770
OG0000327	NBX26_RS00810	MHJ_RS00775
OG0000328	NBX26_RS00895	MHJ_RS00860
OG0000329	NBX26_RS00920	MHJ_RS00880
OG0000330	NBX26_RS01240	MHJ_RS01075
OG0000331	NBX26_RS03145	MHJ_RS02955
OG0000332	NBX26_RS03285	MHJ_RS03085
OG0000333	NBX26_RS03295	MHJ_RS03095
OG0000334	NBX26_RS03400	MHJ_RS03205
OG0000335	NBX26_RS03410	MHJ_RS03215
OG0000336	NBX26_RS03600	MHJ_RS03375
OG0000337	NBX26_RS03765	MHJ_RS03535
OG0000338	NBX26_RS03805	MHJ_RS03575
OG0000339	NBX26_RS02485	MHJ_RS02280
OG0000340	NBX26_RS01435	MHJ_RS01285
OG0000341	NBX26_RS02445	MHJ_RS02240
