Orthogroup	MHP_133A_genes	MHP_MHP691_genes
OG0000245	NB626_RS03170	DR087_RS03390
OG0000246	NB626_RS00140	DR087_RS00560
OG0000247	NB626_RS00150	DR087_RS02415
OG0000248	NB626_RS00160	DR087_RS02405
OG0000249	NB626_RS00165	DR087_RS02400
OG0000250	NB626_RS00180	DR087_RS02385
OG0000251	NB626_RS00215	DR087_RS02350
OG0000252	NB626_RS00220	DR087_RS02340
OG0000253	NB626_RS00225	DR087_RS02335
OG0000254	NB626_RS00235	DR087_RS02325
OG0000255	NB626_RS00240	DR087_RS01760
OG0000256	NB626_RS00250	DR087_RS01765
OG0000257	NB626_RS00270	DR087_RS01790
OG0000258	NB626_RS00280	DR087_RS01800
OG0000259	NB626_RS00310	DR087_RS01830
OG0000260	NB626_RS00320	DR087_RS01840
OG0000261	NB626_RS00330	DR087_RS04615
OG0000262	NB626_RS00350	DR087_RS01865
OG0000263	NB626_RS00365	DR087_RS01880
OG0000264	NB626_RS00380	DR087_RS01895
OG0000265	NB626_RS00390	DR087_RS01910
OG0000266	NB626_RS00405	DR087_RS03015
OG0000267	NB626_RS00420	DR087_RS03030
OG0000268	NB626_RS00520	DR087_RS03035
OG0000269	NB626_RS00535	DR087_RS03050
OG0000270	NB626_RS03700	DR087_RS04505
OG0000271	NB626_RS03695	DR087_RS00715
OG0000272	NB626_RS03690	DR087_RS00710
OG0000273	NB626_RS03685	DR087_RS00705
OG0000274	NB626_RS03670	DR087_RS00685
OG0000275	NB626_RS03660	DR087_RS04495
OG0000276	NB626_RS03655	DR087_RS00675
OG0000277	NB626_RS03645	DR087_RS00665
OG0000278	NB626_RS03640	DR087_RS00660
OG0000279	NB626_RS03630	DR087_RS00650
OG0000280	NB626_RS03620	DR087_RS00645
OG0000281	NB626_RS03615	DR087_RS00640
OG0000282	NB626_RS03590	DR087_RS04485
OG0000283	NB626_RS03585	DR087_RS00610
OG0000284	NB626_RS03580	DR087_RS00605
OG0000285	NB626_RS03575	DR087_RS04480
