Orthogroup	MHP_J_genes	MHP_TB1_genes
OG0000114	MHJ_RS02285	B5M19_RS02710
OG0000115	MHJ_RS02275	B5M19_RS03610
OG0000116	MHJ_RS01270	B5M19_RS02580
OG0000117	MHJ_RS01275	B5M19_RS02575
OG0000118	MHJ_RS01310	B5M19_RS01235
OG0000119	MHJ_RS01315	B5M19_RS01230
OG0000120	MHJ_RS01330	B5M19_RS01215
OG0000121	MHJ_RS01355	B5M19_RS01190
OG0000122	MHJ_RS01360	B5M19_RS01185
OG0000123	MHJ_RS01380	B5M19_RS01165
OG0000124	MHJ_RS01385	B5M19_RS01160
OG0000125	MHJ_RS01390	B5M19_RS01155
OG0000126	MHJ_RS01400	B5M19_RS01145
OG0000127	MHJ_RS01410	B5M19_RS01135
OG0000128	MHJ_RS01425	B5M19_RS01115
OG0000129	MHJ_RS01430	B5M19_RS01110
OG0000130	MHJ_RS01440	B5M19_RS01100
OG0000131	MHJ_RS01470	B5M19_RS01075
OG0000132	MHJ_RS01485	B5M19_RS01060
OG0000133	MHJ_RS00515	B5M19_RS02380
OG0000134	MHJ_RS00520	B5M19_RS02385
OG0000135	MHJ_RS00535	B5M19_RS02400
OG0000136	MHJ_RS00540	B5M19_RS02405
OG0000137	MHJ_RS00575	B5M19_RS02445
OG0000138	MHJ_RS00605	B5M19_RS03090
OG0000139	MHJ_RS00635	B5M19_RS03070
OG0000140	MHJ_RS00640	B5M19_RS03065
OG0000141	MHJ_RS02910	B5M19_RS01330
OG0000142	MHJ_RS02905	B5M19_RS01335
OG0000143	MHJ_RS02880	B5M19_RS01360
OG0000144	MHJ_RS02870	B5M19_RS01370
OG0000145	MHJ_RS02855	B5M19_RS01380
OG0000146	MHJ_RS02845	B5M19_RS01390
OG0000147	MHJ_RS02840	B5M19_RS01395
OG0000148	MHJ_RS02825	B5M19_RS01410
OG0000149	MHJ_RS02815	B5M19_RS01420
OG0000150	MHJ_RS02800	B5M19_RS04180
OG0000151	MHJ_RS02745	B5M19_RS02540
OG0000152	MHJ_RS02740	B5M19_RS02535
OG0000153	MHJ_RS02735	B5M19_RS02530
OG0000154	MHJ_RS02725	B5M19_RS02520
OG0000155	MHJ_RS02685	B5M19_RS02480
OG0000156	MHJ_RS02675	B5M19_RS00860
OG0000157	MHJ_RS02670	B5M19_RS00865
OG0000158	MHJ_RS04010	B5M19_RS04580
OG0000159	MHJ_RS04030	B5M19_RS02810
OG0000160	MHJ_RS02410	B5M19_RS02815
OG0000161	MHJ_RS02405	B5M19_RS02820
OG0000162	MHJ_RS02395	B5M19_RS02830
OG0000163	MHJ_RS02390	B5M19_RS02835
OG0000164	MHJ_RS01565	B5M19_RS04495
OG0000165	MHJ_RS01890	B5M19_RS00760
OG0000166	MHJ_RS01915	B5M19_RS00785
OG0000167	MHJ_RS01930	B5M19_RS00800
OG0000168	MHJ_RS01935	B5M19_RS00805
OG0000169	MHJ_RS03005	B5M19_RS01450
OG0000170	MHJ_RS03035	B5M19_RS01465
OG0000171	MHJ_RS03045	B5M19_RS01475
OG0000172	MHJ_RS03050	B5M19_RS01480
OG0000173	MHJ_RS03055	B5M19_RS01490
OG0000174	MHJ_RS03060	B5M19_RS01495
OG0000175	MHJ_RS03075	B5M19_RS01510
OG0000176	MHJ_RS03125	B5M19_RS01560
OG0000177	MHJ_RS03130	B5M19_RS01565
