Orthogroup	MHP_133A_genes	MHP_98_genes
OG0000270	NB626_RS03700	GOM18_RS04280
OG0000271	NB626_RS03695	GOM18_RS00450
OG0000272	NB626_RS03690	GOM18_RS00445
OG0000273	NB626_RS03685	GOM18_RS00440
OG0000274	NB626_RS03670	GOM18_RS00420
OG0000275	NB626_RS03660	GOM18_RS04270
OG0000276	NB626_RS03655	GOM18_RS00410
OG0000277	NB626_RS03645	GOM18_RS00400
OG0000278	NB626_RS03640	GOM18_RS00395
OG0000279	NB626_RS03630	GOM18_RS00385
OG0000280	NB626_RS03620	GOM18_RS00380
OG0000281	NB626_RS03615	GOM18_RS00375
OG0000282	NB626_RS03590	GOM18_RS04310
OG0000283	NB626_RS03585	GOM18_RS00705
OG0000284	NB626_RS03580	GOM18_RS00710
OG0000285	NB626_RS03575	GOM18_RS04315
OG0000286	NB626_RS02600	GOM18_RS01875
OG0000287	NB626_RS02700	GOM18_RS01965
OG0000288	NB626_RS02710	GOM18_RS01975
OG0000289	NB626_RS02715	GOM18_RS01980
OG0000290	NB626_RS02830	GOM18_RS02090
OG0000291	NB626_RS02820	GOM18_RS02080
OG0000292	NB626_RS02815	GOM18_RS02075
OG0000293	NB626_RS02810	GOM18_RS02070
OG0000294	NB626_RS02800	GOM18_RS02060
OG0000295	NB626_RS02795	GOM18_RS02055
OG0000296	NB626_RS02750	GOM18_RS02015
OG0000297	NB626_RS02745	GOM18_RS02010
OG0000298	NB626_RS00175	GOM18_RS01285
OG0000299	NB626_RS00195	GOM18_RS03940
OG0000300	NB626_RS00375	GOM18_RS01480
OG0000301	NB626_RS00410	GOM18_RS01515
OG0000302	NB626_RS00415	GOM18_RS01520
OG0000303	NB626_RS00660	GOM18_RS01665
OG0000304	NB626_RS01200	GOM18_RS01710
OG0000305	NB626_RS03065	GOM18_RS01175
OG0000306	NB626_RS02990	GOM18_RS03130
OG0000307	NB626_RS02950	GOM18_RS03100
OG0000308	NB626_RS02850	GOM18_RS02110
OG0000309	NB626_RS02785	GOM18_RS02045
OG0000310	NB626_RS02705	GOM18_RS01970
OG0000311	NB626_RS02660	GOM18_RS01935
OG0000312	NB626_RS02645	GOM18_RS01920
OG0000313	NB626_RS01705	GOM18_RS03620
OG0000314	NB626_RS02085	GOM18_RS03245
OG0000315	NB626_RS02115	GOM18_RS02210
OG0000316	NB626_RS02125	GOM18_RS02220
OG0000317	NB626_RS02225	GOM18_RS02315
OG0000318	NB626_RS02130	GOM18_RS04425
OG0000319	NB626_RS02385	GOM18_RS02375
OG0000320	NB626_RS02525	GOM18_RS02500
OG0000321	NB626_RS01450	GOM18_RS02820
OG0000322	NB626_RS01500	GOM18_RS02780
OG0000323	NB626_RS01630	GOM18_RS02625
OG0000324	NB626_RS02425	GOM18_RS02415
OG0000325	NB626_RS00805	GOM18_RS00130
OG0000326	NB626_RS00910	GOM18_RS00225
OG0000327	NB626_RS00915	GOM18_RS00230
OG0000328	NB626_RS01005	GOM18_RS00315
OG0000329	NB626_RS01035	GOM18_RS00335
OG0000330	NB626_RS01225	GOM18_RS02890
OG0000331	NB626_RS03155	GOM18_RS01085
OG0000332	NB626_RS03300	GOM18_RS00975
OG0000333	NB626_RS03310	GOM18_RS00965
OG0000334	NB626_RS03415	GOM18_RS00865
OG0000335	NB626_RS03425	GOM18_RS00855
OG0000336	NB626_RS03605	GOM18_RS04265
OG0000337	NB626_RS03780	GOM18_RS00535
OG0000338	NB626_RS03820	GOM18_RS00575
OG0000339	NB626_RS02495	GOM18_RS02475
OG0000340	NB626_RS01430	GOM18_RS02840
OG0000341	NB626_RS02450	GOM18_RS02435
OG0000342	NB626_RS00835	GOM18_RS00160
OG0000343	NB626_RS03320	GOM18_RS00955
OG0000344	NB626_RS00675	GOM18_RS01680
OG0000345	NB626_RS01145	GOM18_RS01770
OG0000346	NB626_RS03610	GOM18_RS00370
OG0000347	NB626_RS01525	GOM18_RS02755
OG0000348	NB626_RS00920	GOM18_RS00235
OG0000349	NB626_RS03675	GOM18_RS04275
OG0000350	NB626_RS02940	GOM18_RS03090
OG0000351	NB626_RS00590	GOM18_RS01600
OG0000352	NB626_RS02065	GOM18_RS03265
OG0000353	NB626_RS01490	GOM18_RS02785
OG0000354	NB626_RS00735	GOM18_RS03455
OG0000355	NB626_RS02040	GOM18_RS04535
OG0000356	NB626_RS02120	GOM18_RS04420
OG0000357	NB626_RS03275	GOM18_RS04370
OG0000358	NB626_RS03280	GOM18_RS00990
OG0000359	NB626_RS00880	GOM18_RS04245
OG0000360	NB626_RS00275	GOM18_RS01385
OG0000361	NB626_RS00305	GOM18_RS01415
OG0000362	NB626_RS02725	GOM18_RS01990
OG0000363	NB626_RS01565	GOM18_RS04485
OG0000364	NB626_RS02015	GOM18_RS04185
OG0000365	NB626_RS02175	GOM18_RS04440
OG0000366	NB626_RS02195	GOM18_RS02285
OG0000367	NB626_RS02205	GOM18_RS02295
OG0000368	NB626_RS00060	GOM18_RS00640
OG0000369	NB626_RS00025	GOM18_RS04300
OG0000370	NB626_RS00020	GOM18_RS00600
OG0000371	NB626_RS00015	GOM18_RS00595
OG0000372	NB626_RS00010	GOM18_RS00590
OG0000373	NB626_RS03810	GOM18_RS00565
OG0000374	NB626_RS03800	GOM18_RS00555
OG0000375	NB626_RS02380	GOM18_RS02370
OG0000376	NB626_RS02540	GOM18_RS02515
OG0000377	NB626_RS02530	GOM18_RS02505
OG0000380	NB626_RS01520	GOM18_RS02765
OG0000381	NB626_RS01555	GOM18_RS02725
OG0000382	NB626_RS01585	GOM18_RS02695
OG0000383	NB626_RS01625	GOM18_RS02630
OG0000384	NB626_RS00615	GOM18_RS01620
OG0000385	NB626_RS00625	GOM18_RS01625
OG0000386	NB626_RS00640	GOM18_RS01645
OG0000387	NB626_RS00665	GOM18_RS01670
OG0000388	NB626_RS00670	GOM18_RS04395
OG0000389	NB626_RS00715	GOM18_RS03480
OG0000390	NB626_RS03085	GOM18_RS01155
OG0000391	NB626_RS03075	GOM18_RS01165
OG0000392	NB626_RS03050	GOM18_RS01190
OG0000393	NB626_RS02995	GOM18_RS04515
OG0000395	NB626_RS02910	GOM18_RS02165
OG0000396	NB626_RS02605	GOM18_RS01880
OG0000397	NB626_RS02050	GOM18_RS03280
OG0000398	NB626_RS02060	GOM18_RS03275
OG0000399	NB626_RS02100	GOM18_RS02195
OG0000400	NB626_RS03240	GOM18_RS01030
OG0000401	NB626_RS03305	GOM18_RS00970
OG0000402	NB626_RS03315	GOM18_RS00960
OG0000403	NB626_RS03325	GOM18_RS00950
OG0000404	NB626_RS03360	GOM18_RS00920
OG0000405	NB626_RS03375	GOM18_RS00905
OG0000406	NB626_RS03430	GOM18_RS00850
OG0000407	NB626_RS03435	GOM18_RS04360
OG0000408	NB626_RS03440	GOM18_RS00840
OG0000409	NB626_RS03445	GOM18_RS00835
OG0000410	NB626_RS03510	GOM18_RS00775
OG0000411	NB626_RS03495	GOM18_RS00785
OG0000412	NB626_RS03490	GOM18_RS00790
OG0000413	NB626_RS01640	GOM18_RS02615
OG0000414	NB626_RS01650	GOM18_RS02605
OG0000415	NB626_RS01655	GOM18_RS02600
OG0000416	NB626_RS01665	GOM18_RS02590
OG0000417	NB626_RS02445	GOM18_RS02430
OG0000418	NB626_RS02435	GOM18_RS02425
OG0000419	NB626_RS00815	GOM18_RS00140
OG0000420	NB626_RS00850	GOM18_RS00175
OG0000421	NB626_RS00895	GOM18_RS00210
OG0000422	NB626_RS00905	GOM18_RS00220
OG0000423	NB626_RS00965	GOM18_RS00275
OG0000424	NB626_RS00970	GOM18_RS00280
OG0000425	NB626_RS00980	GOM18_RS00290
OG0000426	NB626_RS00985	GOM18_RS04250
OG0000427	NB626_RS01010	GOM18_RS04255
OG0000428	NB626_RS01040	GOM18_RS00345
OG0000429	NB626_RS01135	GOM18_RS01780
OG0000431	NB626_RS01190	GOM18_RS01725
OG0000432	NB626_RS01220	GOM18_RS02885
OG0000433	NB626_RS01235	GOM18_RS02900
OG0000434	NB626_RS01245	GOM18_RS02905
OG0000435	NB626_RS01255	GOM18_RS02920
OG0000436	NB626_RS01280	GOM18_RS02945
OG0000437	NB626_RS01290	GOM18_RS02955
OG0000438	NB626_RS01295	GOM18_RS02960
OG0000439	NB626_RS01300	GOM18_RS04495
OG0000440	NB626_RS03135	GOM18_RS04375
OG0000441	NB626_RS03180	GOM18_RS01065
OG0000442	NB626_RS00145	GOM18_RS01255
OG0000443	NB626_RS00190	GOM18_RS01300
OG0000444	NB626_RS00205	GOM18_RS01315
OG0000445	NB626_RS00230	GOM18_RS03665
OG0000446	NB626_RS00255	GOM18_RS01365
OG0000447	NB626_RS00265	GOM18_RS01370
OG0000448	NB626_RS00290	GOM18_RS01400
OG0000449	NB626_RS00315	GOM18_RS01425
OG0000450	NB626_RS00325	GOM18_RS01435
OG0000451	NB626_RS00370	GOM18_RS01475
OG0000452	NB626_RS00395	GOM18_RS01500
OG0000453	NB626_RS00525	GOM18_RS01535
OG0000455	NB626_RS03720	GOM18_RS00475
OG0000456	NB626_RS03595	GOM18_RS00695
OG0000457	NB626_RS03565	GOM18_RS00720
OG0000458	NB626_RS02695	GOM18_RS01960
OG0000459	NB626_RS02720	GOM18_RS01985
OG0000460	NB626_RS02730	GOM18_RS01995
OG0000461	NB626_RS02775	GOM18_RS02040
OG0000462	NB626_RS02770	GOM18_RS02035
OG0000463	NB626_RS02765	GOM18_RS02030
OG0000464	NB626_RS02760	GOM18_RS02025
OG0000465	NB626_RS02755	GOM18_RS02020
OG0000466	NB626_RS00400	GOM18_RS01505
OG0000467	NB626_RS02860	GOM18_RS04400
OG0000468	NB626_RS02095	GOM18_RS02190
OG0000469	NB626_RS02160	GOM18_RS02250
OG0000470	NB626_RS00960	GOM18_RS00270
OG0000471	NB626_RS01045	GOM18_RS00350
OG0000472	NB626_RS03515	GOM18_RS00765
OG0000473	NB626_RS03705	GOM18_RS00460
OG0000474	NB626_RS03710	GOM18_RS00465
OG0000475	NB626_RS03715	GOM18_RS00470
OG0000476	NB626_RS01675	GOM18_RS02580
OG0000477	NB626_RS02805	GOM18_RS02065
OG0000478	NB626_RS03650	GOM18_RS00405
OG0000479	NB626_RS01445	GOM18_RS02825
OG0000480	NB626_RS02165	GOM18_RS02255
OG0000481	NB626_RS00935	GOM18_RS00245
OG0000482	NB626_RS01325	GOM18_RS03160
OG0000483	NB626_RS02210	GOM18_RS02300
OG0000484	NB626_RS00200	GOM18_RS04385
OG0000485	NB626_RS01285	GOM18_RS02950
OG0000486	NB626_RS02465	GOM18_RS02450
OG0000487	NB626_RS02150	GOM18_RS04430
OG0000488	NB626_RS02180	GOM18_RS02270
OG0000489	NB626_RS00050	GOM18_RS00630
OG0000490	NB626_RS03815	GOM18_RS00570
OG0000491	NB626_RS01465	GOM18_RS02805
OG0000492	NB626_RS01545	GOM18_RS02735
OG0000493	NB626_RS00680	GOM18_RS01685
OG0000494	NB626_RS00740	GOM18_RS03450
OG0000496	NB626_RS03010	GOM18_RS01230
OG0000497	NB626_RS03005	GOM18_RS01235
OG0000498	NB626_RS02920	GOM18_RS03070
OG0000499	NB626_RS02885	GOM18_RS02140
OG0000501	NB626_RS03250	GOM18_RS01020
OG0000502	NB626_RS01315	GOM18_RS03150
OG0000503	NB626_RS00865	GOM18_RS00190
OG0000504	NB626_RS01015	GOM18_RS00325
OG0000505	NB626_RS01055	GOM18_RS01860
OG0000507	NB626_RS01100	GOM18_RS01815
OG0000509	NB626_RS00285	GOM18_RS01395
OG0000510	NB626_RS00295	GOM18_RS01405
OG0000511	NB626_RS00530	GOM18_RS01540
OG0000512	NB626_RS02735	GOM18_RS02000
OG0000513	NB626_RS03635	GOM18_RS00390
OG0000514	NB626_RS03045	GOM18_RS01195
OG0000517	NB626_RS00065	GOM18_RS00645
OG0000518	NB626_RS03295	GOM18_RS00980
OG0000519	NB626_RS00900	GOM18_RS00215
OG0000522	NB626_RS00300	GOM18_RS01410
OG0000523	NB626_RS03560	GOM18_RS00725
OG0000524	NB626_RS02855	GOM18_RS02115
OG0000525	NB626_RS03520	GOM18_RS04345
OG0000527	NB626_RS01900	GOM18_RS03490
OG0000530	NB626_RS02505	GOM18_RS02485
OG0000532	NB626_RS01730, NB626_RS01735	GOM18_RS03550
OG0000534	NB626_RS00385	GOM18_RS01490
OG0000536	NB626_RS03750	GOM18_RS00505
OG0000540	NB626_RS02825	GOM18_RS02085
OG0000541	NB626_RS02900	GOM18_RS02155
OG0000543	NB626_RS00510	GOM18_RS00010
OG0000544	NB626_RS01370	GOM18_RS04525
OG0000545	NB626_RS01945	GOM18_RS03390
OG0000546	NB626_RS02970	GOM18_RS03120
OG0000551	NB626_RS03165	GOM18_RS01075
OG0000553	NB626_RS02870	GOM18_RS04405
OG0000554	NB626_RS02560	GOM18_RS02530
OG0000555	NB626_RS03100	GOM18_RS03930
OG0000556	NB626_RS00450	GOM18_RS00060
OG0000557	NB626_RS01380	GOM18_RS03215
