Orthogroup	MHP_UFV02_genes	MFC_MF11_genes
OG0000265	FEF31_RS00050	DR093_RS00405
OG0000266	FEF31_RS00065	DR093_RS00420
OG0000267	FEF31_RS00080	DR093_RS00435
OG0000268	FEF31_RS00085	DR093_RS00440
OG0000269	FEF31_RS00100	DR093_RS00455
OG0000270	FEF31_RS04635	DR093_RS03855
OG0000271	FEF31_RS03160	DR093_RS01280
OG0000272	FEF31_RS03155	DR093_RS01285
OG0000273	FEF31_RS03150	DR093_RS01290
OG0000274	FEF31_RS03130	DR093_RS01310
OG0000275	FEF31_RS04625	DR093_RS03860
OG0000276	FEF31_RS03120	DR093_RS01320
OG0000277	FEF31_RS03110	DR093_RS03865
OG0000278	FEF31_RS03105	DR093_RS01335
OG0000279	FEF31_RS03095	DR093_RS01345
OG0000280	FEF31_RS03090	DR093_RS01350
OG0000281	FEF31_RS03085	DR093_RS01355
OG0000282	FEF31_RS04615	DR093_RS01380
OG0000283	FEF31_RS03055	DR093_RS01385
OG0000284	FEF31_RS03050	DR093_RS01390
OG0000285	FEF31_RS04610	DR093_RS03880
OG0000286	FEF31_RS02155	DR093_RS01105
OG0000287	FEF31_RS02260	DR093_RS01080
OG0000288	FEF31_RS02270	DR093_RS01070
OG0000289	FEF31_RS02275	DR093_RS01065
OG0000290	FEF31_RS02385	DR093_RS03410
OG0000291	FEF31_RS02375	DR093_RS00965
OG0000292	FEF31_RS02370	DR093_RS00970
OG0000293	FEF31_RS02365	DR093_RS00975
OG0000294	FEF31_RS02355	DR093_RS00985
OG0000295	FEF31_RS02350	DR093_RS00990
OG0000296	FEF31_RS02310	DR093_RS01030
OG0000297	FEF31_RS02305	DR093_RS01035
OG0000298	FEF31_RS03445	DR093_RS00195
OG0000299	FEF31_RS03465	DR093_RS00215
OG0000300	FEF31_RS00035	DR093_RS00390
OG0000301	FEF31_RS00070	DR093_RS00425
OG0000302	FEF31_RS00075	DR093_RS00430
OG0000303	FEF31_RS00220	DR093_RS00565
OG0000304	FEF31_RS00730	DR093_RS00600
OG0000305	FEF31_RS02620	DR093_RS00730
OG0000306	FEF31_RS02545	DR093_RS00815
OG0000307	FEF31_RS02510	DR093_RS00860
OG0000308	FEF31_RS02405	DR093_RS00945
OG0000309	FEF31_RS02340	DR093_RS01000
