Orthogroup	MHP_UFV02_genes	MFC_ATCC27716_genes
OG0000144	FEF31_RS02635	MFC_RS00995
OG0000145	FEF31_RS02625	MFC_RS01005
OG0000146	FEF31_RS02615	MFC_RS01015
OG0000147	FEF31_RS02610	MFC_RS01020
OG0000148	FEF31_RS02595	MFC_RS01035
OG0000149	FEF31_RS02585	MFC_RS01045
OG0000150	FEF31_RS02570	MFC_RS01060
OG0000151	FEF31_RS02525	MFC_RS01115
OG0000152	FEF31_RS02520	MFC_RS01120
OG0000153	FEF31_RS02515	MFC_RS01125
OG0000154	FEF31_RS02505	MFC_RS01135
OG0000155	FEF31_RS02465	MFC_RS01155
OG0000156	FEF31_RS02455	MFC_RS01175
OG0000157	FEF31_RS04545	MFC_RS01180
OG0000158	FEF31_RS04540	MFC_RS01190
OG0000159	FEF31_RS02195	MFC_RS01245
OG0000160	FEF31_RS02190	MFC_RS01250
OG0000161	FEF31_RS02185	MFC_RS01255
OG0000162	FEF31_RS02175	MFC_RS01265
OG0000163	FEF31_RS02170	MFC_RS01270
OG0000164	FEF31_RS01270	MFC_RS01300
OG0000165	FEF31_RS01685	MFC_RS01345
OG0000166	FEF31_RS01705	MFC_RS01365
OG0000167	FEF31_RS01720	MFC_RS01380
OG0000168	FEF31_RS01725	MFC_RS01385
OG0000169	FEF31_RS03615	MFC_RS01430
OG0000170	FEF31_RS04785, FEF31_RS04795	MFC_RS01455
OG0000171	FEF31_RS03640	MFC_RS01465
OG0000172	FEF31_RS03645	MFC_RS01470
OG0000173	FEF31_RS03650	MFC_RS01475
OG0000174	FEF31_RS03655	MFC_RS01480
OG0000175	FEF31_RS03670	MFC_RS01495
OG0000176	FEF31_RS03715	MFC_RS01540
OG0000177	FEF31_RS03720	MFC_RS01545
OG0000178	FEF31_RS03725	MFC_RS01550
OG0000179	FEF31_RS03735	MFC_RS01560
OG0000180	FEF31_RS03740	MFC_RS01565
OG0000181	FEF31_RS04690	MFC_RS01580
OG0000182	FEF31_RS03795	MFC_RS01590
OG0000183	FEF31_RS03830	MFC_RS01625
OG0000184	FEF31_RS02980	MFC_RS01655
OG0000185	FEF31_RS02965	MFC_RS01670
OG0000186	FEF31_RS04435	MFC_RS01710
OG0000187	FEF31_RS01200	MFC_RS01725
OG0000188	FEF31_RS01210	MFC_RS01735
OG0000189	FEF31_RS04520	MFC_RS03385
OG0000190	FEF31_RS02035	MFC_RS01750
OG0000191	FEF31_RS02015	MFC_RS01770
