Orthogroup	MHP_UFV02_genes	MHP_J_genes
OG0000286	FEF31_RS02155	MHJ_RS02375
OG0000287	FEF31_RS02260	MHJ_RS02475
OG0000288	FEF31_RS02270	MHJ_RS02485
OG0000289	FEF31_RS02275	MHJ_RS02495
OG0000290	FEF31_RS02385	MHJ_RS02605
OG0000291	FEF31_RS02375	MHJ_RS02595
OG0000292	FEF31_RS02370	MHJ_RS02590
OG0000293	FEF31_RS02365	MHJ_RS02585
OG0000294	FEF31_RS02355	MHJ_RS02570
OG0000295	FEF31_RS02350	MHJ_RS02565
OG0000296	FEF31_RS02310	MHJ_RS02525
OG0000297	FEF31_RS02305	MHJ_RS02520
OG0000298	FEF31_RS03445	MHJ_RS00150
OG0000299	FEF31_RS03465	MHJ_RS00170
OG0000300	FEF31_RS00035	MHJ_RS00350
OG0000301	FEF31_RS00070	MHJ_RS00385
OG0000302	FEF31_RS00075	MHJ_RS00390
OG0000303	FEF31_RS00220	MHJ_RS00545
OG0000304	FEF31_RS00730	MHJ_RS01050
OG0000305	FEF31_RS02620	MHJ_RS02850
OG0000306	FEF31_RS02545	MHJ_RS02775
OG0000307	FEF31_RS02510	MHJ_RS02730
OG0000308	FEF31_RS02405	MHJ_RS02625
OG0000309	FEF31_RS02340	MHJ_RS02555
OG0000310	FEF31_RS02265	MHJ_RS02480
OG0000311	FEF31_RS02215	MHJ_RS02435
OG0000312	FEF31_RS02200	MHJ_RS02420
OG0000313	FEF31_RS01260	MHJ_RS01555
OG0000314	FEF31_RS01700	MHJ_RS01910
OG0000315	FEF31_RS01730	MHJ_RS01940
OG0000316	FEF31_RS01740	MHJ_RS01950
OG0000317	FEF31_RS01835	MHJ_RS02040
OG0000318	FEF31_RS04480	MHJ_RS01955
OG0000319	FEF31_RS01970	MHJ_RS02180
OG0000320	FEF31_RS02095	MHJ_RS02305
OG0000321	FEF31_RS00990	MHJ_RS01305
OG0000322	FEF31_RS01040	MHJ_RS01350
OG0000323	FEF31_RS01170	MHJ_RS01480
OG0000324	FEF31_RS02010	MHJ_RS02220
OG0000325	FEF31_RS00355	MHJ_RS00680
OG0000326	FEF31_RS00450	MHJ_RS00770
OG0000327	FEF31_RS00455	MHJ_RS00775
OG0000328	FEF31_RS00540	MHJ_RS00860
OG0000329	FEF31_RS00560	MHJ_RS00880
OG0000330	FEF31_RS00760	MHJ_RS01075
OG0000331	FEF31_RS02710	MHJ_RS02955
OG0000332	FEF31_RS03680	MHJ_RS03085
OG0000333	FEF31_RS03690	MHJ_RS03095
OG0000334	FEF31_RS03790	MHJ_RS03205
OG0000335	FEF31_RS03800	MHJ_RS03215
OG0000336	FEF31_RS04620	MHJ_RS03375
OG0000337	FEF31_RS03240	MHJ_RS03535
OG0000338	FEF31_RS03280	MHJ_RS03575
OG0000339	FEF31_RS02070	MHJ_RS02280
OG0000340	FEF31_RS00970	MHJ_RS01285
OG0000341	FEF31_RS02030	MHJ_RS02240
