Orthogroup	MHP_MHP709_genes	MHP_MHP691_genes
OG0000273	DR088_RS02060	DR087_RS00705
OG0000274	DR088_RS02160	DR087_RS00685
OG0000275	DR088_RS04480	DR087_RS04495
OG0000276	DR088_RS02170	DR087_RS00675
OG0000277	DR088_RS02180	DR087_RS00665
OG0000278	DR088_RS02185	DR087_RS00660
OG0000279	DR088_RS02195	DR087_RS00650
OG0000280	DR088_RS02200	DR087_RS00645
OG0000281	DR088_RS02205	DR087_RS00640
OG0000282	DR088_RS04490	DR087_RS04485
OG0000283	DR088_RS02235	DR087_RS00610
OG0000284	DR088_RS02240	DR087_RS00605
OG0000285	DR088_RS04495	DR087_RS04480
OG0000286	DR088_RS02955	DR087_RS02425
OG0000287	DR088_RS03170	DR087_RS02940
OG0000288	DR088_RS03160	DR087_RS02950
OG0000289	DR088_RS03155	DR087_RS02955
OG0000290	DR088_RS00070	DR087_RS01285
OG0000291	DR088_RS00060	DR087_RS01295
OG0000292	DR088_RS00055	DR087_RS01300
OG0000293	DR088_RS00050	DR087_RS01305
OG0000294	DR088_RS00040	DR087_RS01315
OG0000295	DR088_RS00035	DR087_RS01320
OG0000296	DR088_RS03120	DR087_RS02990
OG0000297	DR088_RS03125	DR087_RS02985
OG0000298	DR088_RS01350	DR087_RS02390
OG0000299	DR088_RS01325	DR087_RS02365
OG0000300	DR088_RS01145	DR087_RS01890
OG0000301	DR088_RS01110	DR087_RS03020
OG0000302	DR088_RS01105	DR087_RS03025
OG0000303	DR088_RS03070	DR087_RS02895
OG0000304	DR088_RS01550	DR087_RS02770
OG0000305	DR088_RS00295	DR087_RS01440
OG0000306	DR088_RS00220	DR087_RS01365
OG0000307	DR088_RS00185	DR087_RS03275
OG0000308	DR088_RS00090	DR087_RS01265
OG0000309	DR088_RS00025	DR087_RS01330
OG0000310	DR088_RS03165	DR087_RS02945
OG0000311	DR088_RS03015	DR087_RS02485
OG0000312	DR088_RS03000	DR087_RS02470
OG0000313	DR088_RS03340	DR087_RS03215
OG0000314	DR088_RS00565	DR087_RS01500
OG0000315	DR088_RS00595	DR087_RS00030
OG0000316	DR088_RS00605	DR087_RS00040
OG0000317	DR088_RS00695	DR087_RS00130
OG0000318	DR088_RS04330	DR087_RS04400
OG0000319	DR088_RS02870	DR087_RS00195
OG0000320	DR088_RS02420	DR087_RS01720
OG0000321	DR088_RS02610	DR087_RS01195
OG0000322	DR088_RS02655	DR087_RS01150
OG0000323	DR088_RS02545	DR087_RS01020
OG0000324	DR088_RS02910	DR087_RS00235
OG0000325	DR088_RS02830	DR087_RS02195
OG0000326	DR088_RS02735	DR087_RS02290
