Orthogroup	MHP_F72C_genes	MHP_TB1_genes
OG0000205	EHI52_RS00835	B5M19_RS01710
OG0000206	EHI52_RS00855	B5M19_RS01690
OG0000207	EHI52_RS00870	B5M19_RS01675
OG0000208	EHI52_RS00875	B5M19_RS01670
OG0000209	EHI52_RS00880	B5M19_RS01665
OG0000210	EHI52_RS00925	B5M19_RS01620
OG0000211	EHI52_RS01005	B5M19_RS03415
OG0000212	EHI52_RS01015	B5M19_RS03405
OG0000213	EHI52_RS01020	B5M19_RS03400
OG0000214	EHI52_RS01025	B5M19_RS03395
OG0000215	EHI52_RS01030	B5M19_RS03390
OG0000216	EHI52_RS01035	B5M19_RS03385
OG0000217	EHI52_RS01040	B5M19_RS03380
OG0000218	EHI52_RS01050	B5M19_RS03370
OG0000219	EHI52_RS01055	B5M19_RS03365
OG0000220	EHI52_RS01060	B5M19_RS03360
OG0000221	EHI52_RS01065	B5M19_RS03355
OG0000222	EHI52_RS01070	B5M19_RS03350
OG0000223	EHI52_RS01075	B5M19_RS03345
OG0000224	EHI52_RS01085	B5M19_RS03130
OG0000225	EHI52_RS01095	B5M19_RS03140
OG0000226	EHI52_RS01100	B5M19_RS03145
OG0000227	EHI52_RS01105	B5M19_RS03150
OG0000228	EHI52_RS03905	B5M19_RS04630
OG0000229	EHI52_RS01115	B5M19_RS03160
OG0000230	EHI52_RS01120	B5M19_RS03165
OG0000231	EHI52_RS01130	B5M19_RS03175
OG0000232	EHI52_RS01140	B5M19_RS03185
OG0000233	EHI52_RS01165	B5M19_RS02225
OG0000234	EHI52_RS01200	B5M19_RS04335
OG0000235	EHI52_RS01210	B5M19_RS02175
OG0000236	EHI52_RS01215	B5M19_RS02170
OG0000237	EHI52_RS01220	B5M19_RS02165
OG0000238	EHI52_RS01230	B5M19_RS02155
OG0000239	EHI52_RS02935	B5M19_RS01315
OG0000240	EHI52_RS02940	B5M19_RS01310
OG0000241	EHI52_RS02950	B5M19_RS01300
OG0000242	EHI52_RS02955	B5M19_RS04160
OG0000243	EHI52_RS02960	B5M19_RS01290
OG0000244	EHI52_RS02970	B5M19_RS01280
OG0000245	EHI52_RS02980	B5M19_RS01270
OG0000246	EHI52_RS00140	B5M19_RS00050
OG0000247	EHI52_RS00150	B5M19_RS00060
OG0000248	EHI52_RS00160	B5M19_RS00070
OG0000249	EHI52_RS00165	B5M19_RS00075
OG0000250	EHI52_RS00180	B5M19_RS03880
OG0000251	EHI52_RS00215	B5M19_RS00125
OG0000252	EHI52_RS00225	B5M19_RS00135
OG0000253	EHI52_RS00230	B5M19_RS00140
OG0000254	EHI52_RS00240	B5M19_RS00150
OG0000255	EHI52_RS00250	B5M19_RS00160
OG0000256	EHI52_RS00255	B5M19_RS00165
OG0000257	EHI52_RS00280	B5M19_RS00190
OG0000258	EHI52_RS00290	B5M19_RS04020
OG0000259	EHI52_RS00320	B5M19_RS00230
OG0000260	EHI52_RS00330	B5M19_RS00240
OG0000261	EHI52_RS00340	B5M19_RS00250
OG0000262	EHI52_RS00360	B5M19_RS00270
OG0000263	EHI52_RS00375	B5M19_RS00285
OG0000264	EHI52_RS00390	B5M19_RS04030
OG0000265	EHI52_RS00400	B5M19_RS00315
OG0000266	EHI52_RS00415	B5M19_RS00335
OG0000267	EHI52_RS00430	B5M19_RS04035
OG0000268	EHI52_RS00435	B5M19_RS00355
OG0000269	EHI52_RS00450	B5M19_RS03680
OG0000270	EHI52_RS03490	B5M19_RS00415
OG0000271	EHI52_RS03485	B5M19_RS00420
OG0000272	EHI52_RS03480	B5M19_RS00425
OG0000273	EHI52_RS03475	B5M19_RS00430
OG0000274	EHI52_RS03455	B5M19_RS00450
OG0000275	EHI52_RS03450	B5M19_RS00455
OG0000276	EHI52_RS03445	B5M19_RS00460
OG0000277	EHI52_RS03435	B5M19_RS00470
OG0000278	EHI52_RS03430	B5M19_RS00475
OG0000279	EHI52_RS03420	B5M19_RS00485
OG0000280	EHI52_RS03415	B5M19_RS00490
OG0000281	EHI52_RS03410	B5M19_RS00495
OG0000282	EHI52_RS03385	B5M19_RS00520
