Orthogroup	MHP_168L_genes	MHP_UFV02_genes
OG0000245	MHP168L_RS03020	FEF31_RS02720
OG0000246	MHP168L_RS00120	FEF31_RS03410
OG0000247	MHP168L_RS00130	FEF31_RS03420
OG0000248	MHP168L_RS00140	FEF31_RS03430
OG0000249	MHP168L_RS00145	FEF31_RS03435
OG0000250	MHP168L_RS00160	FEF31_RS03450
OG0000251	MHP168L_RS00185	FEF31_RS03480
OG0000252	MHP168L_RS00195	FEF31_RS03490
OG0000253	MHP168L_RS00200	FEF31_RS03495
OG0000254	MHP168L_RS00210	FEF31_RS03505
OG0000255	MHP168L_RS00220	FEF31_RS03510
OG0000256	MHP168L_RS00225	FEF31_RS03515
OG0000257	MHP168L_RS00250	FEF31_RS03540
OG0000258	MHP168L_RS00260	FEF31_RS03550
OG0000259	MHP168L_RS00290	FEF31_RS03580
OG0000260	MHP168L_RS00300	FEF31_RS03590
OG0000261	MHP168L_RS00310	FEF31_RS04680
OG0000262	MHP168L_RS00325	FEF31_RS00010
OG0000263	MHP168L_RS00340	FEF31_RS00025
OG0000264	MHP168L_RS00355	FEF31_RS00040
OG0000265	MHP168L_RS00365	FEF31_RS00050
OG0000266	MHP168L_RS00380	FEF31_RS00065
OG0000267	MHP168L_RS00395	FEF31_RS00080
OG0000268	MHP168L_RS00400	FEF31_RS00085
OG0000269	MHP168L_RS00415	FEF31_RS00100
OG0000270	MHP168L_RS03475	FEF31_RS04635
OG0000271	MHP168L_RS03470	FEF31_RS03160
OG0000272	MHP168L_RS03465	FEF31_RS03155
OG0000273	MHP168L_RS03460	FEF31_RS03150
OG0000274	MHP168L_RS03440	FEF31_RS03130
OG0000275	MHP168L_RS03435	FEF31_RS04625
OG0000276	MHP168L_RS03430	FEF31_RS03120
OG0000277	MHP168L_RS03420	FEF31_RS03110
OG0000278	MHP168L_RS03415	FEF31_RS03105
OG0000279	MHP168L_RS03405	FEF31_RS03095
OG0000280	MHP168L_RS03400	FEF31_RS03090
OG0000281	MHP168L_RS03780	FEF31_RS03085
OG0000282	MHP168L_RS03375	FEF31_RS04615
OG0000283	MHP168L_RS03370	FEF31_RS03055
OG0000284	MHP168L_RS03365	FEF31_RS03050
OG0000285	MHP168L_RS03360	FEF31_RS04610
OG0000286	MHP168L_RS02450	FEF31_RS02155
OG0000287	MHP168L_RS02550	FEF31_RS02260
OG0000288	MHP168L_RS02560	FEF31_RS02270
OG0000289	MHP168L_RS02565	FEF31_RS02275
OG0000290	MHP168L_RS02675	FEF31_RS02385
OG0000291	MHP168L_RS02665	FEF31_RS02375
OG0000292	MHP168L_RS02660	FEF31_RS02370
OG0000293	MHP168L_RS02655	FEF31_RS02365
OG0000294	MHP168L_RS02645	FEF31_RS02355
OG0000295	MHP168L_RS02640	FEF31_RS02350
OG0000296	MHP168L_RS02600	FEF31_RS02310
OG0000297	MHP168L_RS02595	FEF31_RS02305
OG0000298	MHP168L_RS00155	FEF31_RS03445
OG0000299	MHP168L_RS03690	FEF31_RS03465
OG0000300	MHP168L_RS00350	FEF31_RS00035
OG0000301	MHP168L_RS00385	FEF31_RS00070
OG0000302	MHP168L_RS00390	FEF31_RS00075
OG0000303	MHP168L_RS00545	FEF31_RS00220
OG0000304	MHP168L_RS00585	FEF31_RS00730
OG0000305	MHP168L_RS02910	FEF31_RS02620
OG0000306	MHP168L_RS02835	FEF31_RS02545
OG0000307	MHP168L_RS02800	FEF31_RS02510
OG0000308	MHP168L_RS02700	FEF31_RS02405
OG0000309	MHP168L_RS02630	FEF31_RS02340
OG0000310	MHP168L_RS02555	FEF31_RS02265
OG0000311	MHP168L_RS02510	FEF31_RS02215
OG0000312	MHP168L_RS02495	FEF31_RS02200
OG0000313	MHP168L_RS01835	FEF31_RS01260
OG0000314	MHP168L_RS02045	FEF31_RS01700
OG0000315	MHP168L_RS02075	FEF31_RS01730
OG0000316	MHP168L_RS02085	FEF31_RS01740
OG0000317	MHP168L_RS02225	FEF31_RS01835
OG0000318	MHP168L_RS02090	FEF31_RS04480
OG0000319	MHP168L_RS02160	FEF31_RS01970
OG0000320	MHP168L_RS02385	FEF31_RS02095
OG0000321	MHP168L_RS01425	FEF31_RS00990
OG0000322	MHP168L_RS01470	FEF31_RS01040
OG0000323	MHP168L_RS01600	FEF31_RS01170
OG0000324	MHP168L_RS02290	FEF31_RS02010
OG0000325	MHP168L_RS00960	FEF31_RS00355
OG0000326	MHP168L_RS00870	FEF31_RS00450
OG0000327	MHP168L_RS00865	FEF31_RS00455
OG0000328	MHP168L_RS00780	FEF31_RS00540
OG0000329	MHP168L_RS00755	FEF31_RS00560
OG0000330	MHP168L_RS01085	FEF31_RS00760
OG0000331	MHP168L_RS03005	FEF31_RS02710
OG0000332	MHP168L_RS03110	FEF31_RS03680
OG0000333	MHP168L_RS03120	FEF31_RS03690
OG0000334	MHP168L_RS03220	FEF31_RS03790
OG0000335	MHP168L_RS03230	FEF31_RS03800
OG0000336	MHP168L_RS03390	FEF31_RS04620
OG0000337	MHP168L_RS03620	FEF31_RS03240
OG0000338	MHP168L_RS03660	FEF31_RS03280
OG0000339	MHP168L_RS02355	FEF31_RS02070
OG0000340	MHP168L_RS01400	FEF31_RS00970
OG0000341	MHP168L_RS02310	FEF31_RS02030
OG0000342	MHP168L_RS00930	FEF31_RS00385
OG0000343	MHP168L_RS03130	FEF31_RS03700
OG0000344	MHP168L_RS00560	FEF31_RS00235
OG0000345	MHP168L_RS00640	FEF31_RS00675
OG0000346	MHP168L_RS03395	FEF31_RS03080
OG0000347	MHP168L_RS01495	FEF31_RS01065
OG0000348	MHP168L_RS00860	FEF31_RS00460
OG0000349	MHP168L_RS03450	FEF31_RS04630
OG0000350	MHP168L_RS02790	FEF31_RS02500
OG0000351	MHP168L_RS00475	FEF31_RS00155
OG0000352	MHP168L_RS02025	FEF31_RS01680
OG0000353	MHP168L_RS01465	FEF31_RS01035
OG0000354	MHP168L_RS01015	FEF31_RS00295
OG0000355	MHP168L_RS01995	FEF31_RS04470
OG0000356	MHP168L_RS02080	FEF31_RS04475
OG0000357	MHP168L_RS03090	FEF31_RS04685
OG0000358	MHP168L_RS03095	FEF31_RS03665
OG0000359	MHP168L_RS00890	FEF31_RS04380
OG0000360	MHP168L_RS00255	FEF31_RS03545
OG0000361	MHP168L_RS00285	FEF31_RS03575
OG0000362	MHP168L_RS02575	FEF31_RS02285
OG0000363	MHP168L_RS03960	FEF31_RS01105
OG0000364	MHP168L_RS01970	FEF31_RS01635
OG0000365	MHP168L_RS02280	FEF31_RS01785
OG0000366	MHP168L_RS02255	FEF31_RS01805
OG0000367	MHP168L_RS02245	FEF31_RS01815
OG0000368	MHP168L_RS00060	FEF31_RS03345
OG0000369	MHP168L_RS00025	FEF31_RS04650
OG0000370	MHP168L_RS00020	FEF31_RS03305
OG0000371	MHP168L_RS00015	FEF31_RS03300
OG0000372	MHP168L_RS00010	FEF31_RS03295
OG0000373	MHP168L_RS03650	FEF31_RS03270
OG0000374	MHP168L_RS03640	FEF31_RS03260
OG0000375	MHP168L_RS02165	FEF31_RS01965
OG0000376	MHP168L_RS02400	FEF31_RS02110
OG0000377	MHP168L_RS02390	FEF31_RS02100
OG0000378	MHP168L_RS01380	FEF31_RS00950
OG0000379	MHP168L_RS01460	FEF31_RS01030
OG0000380	MHP168L_RS01485	FEF31_RS01055
OG0000381	MHP168L_RS01525	FEF31_RS01095
OG0000382	MHP168L_RS01555	FEF31_RS01125
OG0000383	MHP168L_RS01595	FEF31_RS01165
OG0000384	MHP168L_RS00500	FEF31_RS00175
OG0000385	MHP168L_RS00505	FEF31_RS00180
OG0000386	MHP168L_RS00525	FEF31_RS00200
OG0000387	MHP168L_RS00550	FEF31_RS00225
OG0000388	MHP168L_RS00555	FEF31_RS04370
OG0000389	MHP168L_RS01035	FEF31_RS00275
OG0000390	MHP168L_RS02930	FEF31_RS02640
OG0000391	MHP168L_RS02920	FEF31_RS02630
OG0000392	MHP168L_RS02895	FEF31_RS02605
OG0000393	MHP168L_RS02840	FEF31_RS04550
OG0000394	MHP168L_RS02765	FEF31_RS02475
OG0000395	MHP168L_RS02760	FEF31_RS02470
OG0000396	MHP168L_RS02455	FEF31_RS02160
OG0000397	MHP168L_RS02010	FEF31_RS01665
OG0000398	MHP168L_RS02015	FEF31_RS01670
OG0000399	MHP168L_RS02060	FEF31_RS01715
OG0000400	MHP168L_RS03055	FEF31_RS03625
