Orthogroup	MHP_111A_genes	MHP_TB1_genes
OG0000170	NB623_RS03215	B5M19_RS01465
OG0000171	NB623_RS03225	B5M19_RS01475
OG0000172	NB623_RS03230	B5M19_RS01480
OG0000173	NB623_RS03235	B5M19_RS01490
OG0000174	NB623_RS03240	B5M19_RS01495
OG0000175	NB623_RS03265	B5M19_RS01510
OG0000176	NB623_RS03310	B5M19_RS01560
OG0000177	NB623_RS03315	B5M19_RS01565
OG0000178	NB623_RS03320	B5M19_RS04200
OG0000179	NB623_RS03330	B5M19_RS01580
OG0000180	NB623_RS03335	B5M19_RS01585
OG0000181	NB623_RS03375	B5M19_RS03045
OG0000182	NB623_RS03385	B5M19_RS03035
OG0000183	NB623_RS03420	B5M19_RS03000
OG0000184	NB623_RS03485	B5M19_RS03105
OG0000185	NB623_RS03475	B5M19_RS03120
OG0000186	NB623_RS01645	B5M19_RS03550
OG0000187	NB623_RS01660	B5M19_RS03535
OG0000188	NB623_RS01670	B5M19_RS03525
OG0000189	NB623_RS02445	B5M19_RS03210
OG0000190	NB623_RS02440	B5M19_RS03215
OG0000191	NB623_RS02415	B5M19_RS03235
OG0000192	NB623_RS01340	B5M19_RS03675
OG0000193	NB623_RS01325	B5M19_RS02360
OG0000194	NB623_RS00690	B5M19_RS01855
OG0000195	NB623_RS00695	B5M19_RS01850
OG0000196	NB623_RS00720	B5M19_RS01830
OG0000197	NB623_RS00730	B5M19_RS01825
OG0000198	NB623_RS00740	B5M19_RS01810
OG0000199	NB623_RS00745	B5M19_RS01805
OG0000200	NB623_RS00760	B5M19_RS01790
OG0000201	NB623_RS00770	B5M19_RS01780
OG0000202	NB623_RS00830	B5M19_RS01725
OG0000203	NB623_RS00835	B5M19_RS01720
OG0000204	NB623_RS00840	B5M19_RS01715
OG0000205	NB623_RS00845	B5M19_RS01710
OG0000206	NB623_RS00865	B5M19_RS01690
OG0000207	NB623_RS00880	B5M19_RS01675
OG0000208	NB623_RS00885	B5M19_RS01670
OG0000209	NB623_RS00890	B5M19_RS01665
OG0000210	NB623_RS00935	B5M19_RS01620
OG0000211	NB623_RS01070	B5M19_RS03415
OG0000212	NB623_RS01080	B5M19_RS03405
OG0000213	NB623_RS01085	B5M19_RS03400
OG0000214	NB623_RS01090	B5M19_RS03395
OG0000215	NB623_RS01095	B5M19_RS03390
OG0000216	NB623_RS01100	B5M19_RS03385
OG0000217	NB623_RS01105	B5M19_RS03380
OG0000218	NB623_RS01115	B5M19_RS03370
OG0000219	NB623_RS01120	B5M19_RS03365
