Orthogroup	MHP_UFV01_genes	MHP_F72C_genes
OG0000389	FEF30_RS00930	EHI52_RS00630
OG0000390	FEF30_RS03280	EHI52_RS02890
OG0000391	FEF30_RS03270	EHI52_RS02880
OG0000392	FEF30_RS03245	EHI52_RS02855
OG0000393	FEF30_RS04380	EHI52_RS02800
OG0000394	FEF30_RS03110	EHI52_RS02725
OG0000395	FEF30_RS03105	EHI52_RS02720
OG0000396	FEF30_RS02800	EHI52_RS02430
OG0000397	FEF30_RS02300	EHI52_RS02015
OG0000398	FEF30_RS02305	EHI52_RS02010
OG0000399	FEF30_RS02350	EHI52_RS01965
OG0000400	FEF30_RS03405	EHI52_RS03070
OG0000401	FEF30_RS03465	EHI52_RS03135
OG0000402	FEF30_RS03475	EHI52_RS03145
OG0000403	FEF30_RS03485	EHI52_RS03155
OG0000404	FEF30_RS03510	EHI52_RS03185
OG0000405	FEF30_RS04480	EHI52_RS03200
OG0000406	FEF30_RS03580	EHI52_RS03255
OG0000407	FEF30_RS04400	EHI52_RS03260
OG0000408	FEF30_RS03590	EHI52_RS03265
OG0000409	FEF30_RS03595	EHI52_RS03270
OG0000410	FEF30_RS00030	EHI52_RS03330
OG0000411	FEF30_RS00020	EHI52_RS03320
OG0000412	FEF30_RS00015	EHI52_RS03315
OG0000413	FEF30_RS01835	EHI52_RS01580
OG0000414	FEF30_RS01845	EHI52_RS01590
OG0000415	FEF30_RS01850	EHI52_RS01595
OG0000416	FEF30_RS01860	EHI52_RS01605
OG0000417	FEF30_RS02660	EHI52_RS02295
OG0000418	FEF30_RS02655	EHI52_RS02290
OG0000419	FEF30_RS01020	EHI52_RS00710
OG0000420	FEF30_RS01055	EHI52_RS00745
OG0000421	FEF30_RS01090	EHI52_RS00780
OG0000422	FEF30_RS01100	EHI52_RS00790
OG0000423	FEF30_RS01155	EHI52_RS00845
OG0000424	FEF30_RS01160	EHI52_RS00850
OG0000425	FEF30_RS01170	EHI52_RS00860
OG0000426	FEF30_RS04220	EHI52_RS00865
OG0000427	FEF30_RS04225	EHI52_RS00890
OG0000428	FEF30_RS01225	EHI52_RS00915
OG0000429	FEF30_RS01320	EHI52_RS01080
OG0000430	FEF30_RS01365	EHI52_RS01125
OG0000431	FEF30_RS01375	EHI52_RS01135
OG0000432	FEF30_RS01410	EHI52_RS01170
OG0000433	FEF30_RS01425	EHI52_RS01185
OG0000434	FEF30_RS01430	EHI52_RS01190
OG0000435	FEF30_RS01445	EHI52_RS01205
OG0000436	FEF30_RS01470	EHI52_RS01235
OG0000437	FEF30_RS01480	EHI52_RS01245
OG0000438	FEF30_RS01485	EHI52_RS01250
OG0000439	FEF30_RS04235	EHI52_RS01255
OG0000440	FEF30_RS03330	EHI52_RS02945
OG0000441	FEF30_RS03370	EHI52_RS02985
OG0000442	FEF30_RS00460	EHI52_RS00145
OG0000443	FEF30_RS00505	EHI52_RS00195
OG0000444	FEF30_RS00520	EHI52_RS00210
OG0000445	FEF30_RS00545	EHI52_RS00235
OG0000446	FEF30_RS00570	EHI52_RS00265
OG0000447	FEF30_RS00575	EHI52_RS00270
OG0000448	FEF30_RS00605	EHI52_RS00300
OG0000449	FEF30_RS00630	EHI52_RS00325
OG0000450	FEF30_RS00640	EHI52_RS00335
OG0000451	FEF30_RS00680	EHI52_RS00380
OG0000452	FEF30_RS00705	EHI52_RS00405
OG0000453	FEF30_RS00740	EHI52_RS00440
OG0000455	FEF30_RS00230	EHI52_RS03510
OG0000456	FEF30_RS00110	EHI52_RS03390
OG0000457	FEF30_RS00085	EHI52_RS03365
OG0000458	FEF30_RS02890	EHI52_RS02510
OG0000459	FEF30_RS02915	EHI52_RS02535
OG0000460	FEF30_RS02925	EHI52_RS02545
OG0000461	FEF30_RS02970	EHI52_RS02590
OG0000462	FEF30_RS02965	EHI52_RS02585
OG0000463	FEF30_RS02960	EHI52_RS02580
OG0000464	FEF30_RS02955	EHI52_RS02575
OG0000465	FEF30_RS02950	EHI52_RS02570
OG0000466	FEF30_RS00710	EHI52_RS00410
OG0000467	FEF30_RS04360	EHI52_RS02670
OG0000468	FEF30_RS02345	EHI52_RS01970
OG0000469	FEF30_RS02405	EHI52_RS01910
OG0000470	FEF30_RS01150	EHI52_RS03650
OG0000471	FEF30_RS01230	EHI52_RS00920
OG0000472	FEF30_RS00040	EHI52_RS03340
OG0000473	FEF30_RS00215	EHI52_RS03495
OG0000474	FEF30_RS00220	EHI52_RS03500
OG0000475	FEF30_RS00225	EHI52_RS03505
OG0000476	FEF30_RS01870	EHI52_RS01615
OG0000477	FEF30_RS02995	EHI52_RS02615
OG0000478	FEF30_RS00160	EHI52_RS03440
OG0000479	FEF30_RS01640	EHI52_RS01390
OG0000480	FEF30_RS02410	EHI52_RS03665
OG0000481	FEF30_RS01125	EHI52_RS00815
OG0000482	FEF30_RS01520	EHI52_RS01275
OG0000483	FEF30_RS02455	EHI52_RS01865
OG0000484	FEF30_RS04190	EHI52_RS00205
OG0000485	FEF30_RS01475	EHI52_RS01240
OG0000486	FEF30_RS02680	EHI52_RS02315
OG0000487	FEF30_RS04325	EHI52_RS01930
OG0000488	FEF30_RS02425	EHI52_RS01895
OG0000489	FEF30_RS00380	EHI52_RS00050
OG0000490	FEF30_RS00320	EHI52_RS03610
OG0000491	FEF30_RS01660	EHI52_RS01410
OG0000492	FEF30_RS01740	EHI52_RS01485
OG0000493	FEF30_RS00890	EHI52_RS00595
OG0000494	FEF30_RS00955	EHI52_RS00655
OG0000495	FEF30_RS03215	EHI52_RS02825
OG0000496	FEF30_RS03205	EHI52_RS02815
OG0000497	FEF30_RS03200	EHI52_RS02810
OG0000498	FEF30_RS03115	EHI52_RS02730
OG0000499	FEF30_RS03080	EHI52_RS02695
OG0000500	FEF30_RS02310	EHI52_RS02005
OG0000502	FEF30_RS01510	EHI52_RS01265
OG0000503	FEF30_RS01070	EHI52_RS00760
OG0000504	FEF30_RS01205	EHI52_RS00895
OG0000505	FEF30_RS01240	EHI52_RS01000
OG0000506	FEF30_RS01250	EHI52_RS01010
OG0000507	FEF30_RS01285	EHI52_RS01045
OG0000508	FEF30_RS00565	EHI52_RS00260
OG0000509	FEF30_RS00600	EHI52_RS00295
OG0000510	FEF30_RS00610	EHI52_RS00305
OG0000511	FEF30_RS00745	EHI52_RS00445
OG0000512	FEF30_RS02930	EHI52_RS02550
OG0000513	FEF30_RS00145	EHI52_RS03425
