Orthogroup	MHP_UFV01_genes	MHP_ES2L_genes
OG0000239	FEF30_RS03320	HZK19_RS02905
OG0000240	FEF30_RS03325	HZK19_RS02910
OG0000241	FEF30_RS03335	HZK19_RS02920
OG0000242	FEF30_RS03340	HZK19_RS02925
OG0000243	FEF30_RS03345	HZK19_RS02930
OG0000244	FEF30_RS03355	HZK19_RS02940
OG0000245	FEF30_RS03365	HZK19_RS02950
OG0000246	FEF30_RS00455	HZK19_RS00125
OG0000247	FEF30_RS00465	HZK19_RS00135
OG0000248	FEF30_RS00475	HZK19_RS00145
OG0000249	FEF30_RS03675, FEF30_RS00480	HZK19_RS00150
OG0000250	FEF30_RS00495	HZK19_RS00165
OG0000251	FEF30_RS00525	HZK19_RS00195
OG0000252	FEF30_RS00535	HZK19_RS00205
OG0000253	FEF30_RS00540	HZK19_RS00210
OG0000254	FEF30_RS00550	HZK19_RS00220
OG0000255	FEF30_RS00555	HZK19_RS00225
OG0000256	FEF30_RS00560	HZK19_RS00230
OG0000257	FEF30_RS00585	HZK19_RS00255
OG0000258	FEF30_RS00595	HZK19_RS00265
OG0000259	FEF30_RS00625	HZK19_RS00295
OG0000260	FEF30_RS00635	HZK19_RS00305
OG0000261	FEF30_RS04195	HZK19_RS00315
OG0000262	FEF30_RS00660	HZK19_RS00330
OG0000263	FEF30_RS00675	HZK19_RS00345
OG0000264	FEF30_RS00690	HZK19_RS00360
OG0000265	FEF30_RS00700	HZK19_RS00370
OG0000266	FEF30_RS00715	HZK19_RS00385
OG0000267	FEF30_RS00730	HZK19_RS00400
OG0000268	FEF30_RS00735	HZK19_RS00405
OG0000269	FEF30_RS00750	HZK19_RS00420
OG0000270	FEF30_RS04155	HZK19_RS03540
OG0000271	FEF30_RS00205	HZK19_RS03535
OG0000272	FEF30_RS00200	HZK19_RS03530
OG0000273	FEF30_RS00195	HZK19_RS03525
OG0000274	FEF30_RS00175	HZK19_RS03505
OG0000275	FEF30_RS04145	HZK19_RS03500
OG0000276	FEF30_RS00165	HZK19_RS03495
OG0000277	FEF30_RS00155	HZK19_RS03485
OG0000278	FEF30_RS00150	HZK19_RS03480
OG0000279	FEF30_RS00140	HZK19_RS03470
OG0000280	FEF30_RS00135	HZK19_RS03465
OG0000281	FEF30_RS00130	HZK19_RS03460
OG0000282	FEF30_RS04135	HZK19_RS03435
OG0000283	FEF30_RS00100	HZK19_RS03430
OG0000284	FEF30_RS00095	HZK19_RS03425
OG0000285	FEF30_RS04130	HZK19_RS03420
OG0000286	FEF30_RS02795	HZK19_RS02390
OG0000287	FEF30_RS02895	HZK19_RS02485
OG0000288	FEF30_RS02905	HZK19_RS02495
OG0000289	FEF30_RS02910	HZK19_RS02500
OG0000290	FEF30_RS03020	HZK19_RS02610
OG0000291	FEF30_RS03010	HZK19_RS02600
OG0000292	FEF30_RS03005	HZK19_RS02595
OG0000293	FEF30_RS03000	HZK19_RS02590
OG0000294	FEF30_RS02990	HZK19_RS02580
OG0000295	FEF30_RS02985	HZK19_RS02575
OG0000296	FEF30_RS02945	HZK19_RS02535
OG0000297	FEF30_RS02940	HZK19_RS02530
OG0000298	FEF30_RS00490	HZK19_RS00160
OG0000299	FEF30_RS00510	HZK19_RS00180
OG0000300	FEF30_RS00685	HZK19_RS00355
OG0000301	FEF30_RS00720	HZK19_RS00390
OG0000302	FEF30_RS00725	HZK19_RS00395
OG0000303	FEF30_RS00870	HZK19_RS00550
OG0000304	FEF30_RS01385	HZK19_RS01055
OG0000305	FEF30_RS03260	HZK19_RS02845
OG0000306	FEF30_RS03185	HZK19_RS02770
OG0000307	FEF30_RS03145	HZK19_RS02735
OG0000308	FEF30_RS03040	HZK19_RS02635
OG0000309	FEF30_RS02975	HZK19_RS02565
OG0000310	FEF30_RS02900	HZK19_RS02490
OG0000311	FEF30_RS02855	HZK19_RS02450
OG0000312	FEF30_RS02840	HZK19_RS02435
OG0000313	FEF30_RS01915	HZK19_RS01565
OG0000314	FEF30_RS02335	HZK19_RS01920
OG0000315	FEF30_RS02365	HZK19_RS01950
OG0000316	FEF30_RS02375	HZK19_RS01960
OG0000317	FEF30_RS02470	HZK19_RS02055
OG0000318	FEF30_RS04320	HZK19_RS01965
OG0000319	FEF30_RS02605	HZK19_RS02200
OG0000320	FEF30_RS02735	HZK19_RS02330
OG0000321	FEF30_RS01645	HZK19_RS01300
OG0000322	FEF30_RS01695	HZK19_RS01345
OG0000323	FEF30_RS01825	HZK19_RS01475
OG0000324	FEF30_RS02645	HZK19_RS02240
OG0000325	FEF30_RS01010	HZK19_RS00675
OG0000326	FEF30_RS01105	HZK19_RS00770
OG0000327	FEF30_RS01110	HZK19_RS00775
OG0000328	FEF30_RS01195	HZK19_RS00860
OG0000329	FEF30_RS01215	HZK19_RS00880
OG0000330	FEF30_RS01415	HZK19_RS01080
OG0000331	FEF30_RS03350	HZK19_RS02935
OG0000332	FEF30_RS03460	HZK19_RS03150
OG0000333	FEF30_RS03470	HZK19_RS03160
OG0000334	FEF30_RS03565	HZK19_RS03270
OG0000335	FEF30_RS03575	HZK19_RS03280
OG0000336	FEF30_RS04140	HZK19_RS03450
OG0000337	FEF30_RS00285	HZK19_RS03620
OG0000338	FEF30_RS00325	HZK19_RS03660
OG0000339	FEF30_RS02710	HZK19_RS02305
OG0000340	FEF30_RS01625	HZK19_RS01280
OG0000341	FEF30_RS02665	HZK19_RS02260
OG0000342	FEF30_RS01040	HZK19_RS00705
OG0000343	FEF30_RS03480	HZK19_RS03170
OG0000344	FEF30_RS00885	HZK19_RS00565
OG0000345	FEF30_RS01330	HZK19_RS00995
OG0000346	FEF30_RS00125	HZK19_RS03455
OG0000347	FEF30_RS01720	HZK19_RS01370
OG0000348	FEF30_RS01115	HZK19_RS00780
OG0000349	FEF30_RS04150	HZK19_RS03515
OG0000350	FEF30_RS03135	HZK19_RS02725
OG0000351	FEF30_RS00805	HZK19_RS00480
OG0000352	FEF30_RS02315	HZK19_RS01895
OG0000353	FEF30_RS01690	HZK19_RS01340
OG0000354	FEF30_RS00950	HZK19_RS00625
OG0000355	FEF30_RS04310	HZK19_RS01870
OG0000356	FEF30_RS04315	HZK19_RS01955
OG0000357	FEF30_RS04390	HZK19_RS03130
OG0000358	FEF30_RS03445	HZK19_RS03135
OG0000359	FEF30_RS04215	HZK19_RS00750
OG0000360	FEF30_RS00590	HZK19_RS00260
OG0000361	FEF30_RS00620	HZK19_RS00290
OG0000362	FEF30_RS02920	HZK19_RS02510
OG0000363	FEF30_RS01760	HZK19_RS03730
OG0000364	FEF30_RS02275	HZK19_RS01855
OG0000365	FEF30_RS04335	HZK19_RS02000
OG0000366	FEF30_RS02440	HZK19_RS02025
OG0000367	FEF30_RS02450	HZK19_RS02035
OG0000368	FEF30_RS00390	HZK19_RS00060
OG0000369	FEF30_RS04170	HZK19_RS00025
OG0000370	FEF30_RS00350	HZK19_RS00020
OG0000371	FEF30_RS00345	HZK19_RS00015
OG0000372	FEF30_RS00340	HZK19_RS00010
OG0000373	FEF30_RS00315	HZK19_RS03650
OG0000374	FEF30_RS00305	HZK19_RS03640
OG0000375	FEF30_RS02600	HZK19_RS02195
OG0000376	FEF30_RS02750	HZK19_RS02345
OG0000377	FEF30_RS02740	HZK19_RS02335
OG0000378	FEF30_RS01605	HZK19_RS01260
OG0000379	FEF30_RS01685	HZK19_RS01335
OG0000380	FEF30_RS01710	HZK19_RS01360
OG0000381	FEF30_RS01750	HZK19_RS01400
OG0000382	FEF30_RS01780	HZK19_RS01430
OG0000383	FEF30_RS01820	HZK19_RS01470
OG0000384	FEF30_RS00825	HZK19_RS00505
OG0000385	FEF30_RS00830	HZK19_RS00510
OG0000386	FEF30_RS00850	HZK19_RS00530
OG0000387	FEF30_RS00875	HZK19_RS00555
OG0000388	FEF30_RS04205	HZK19_RS00560
OG0000389	FEF30_RS00930	HZK19_RS00605
OG0000390	FEF30_RS03280	HZK19_RS02865
OG0000391	FEF30_RS03270	HZK19_RS02855
OG0000392	FEF30_RS03245	HZK19_RS02830
OG0000393	FEF30_RS04380	HZK19_RS02775
OG0000394	FEF30_RS03110	HZK19_RS02700
OG0000395	FEF30_RS03105	HZK19_RS02695
OG0000396	FEF30_RS02800	HZK19_RS02395
OG0000397	FEF30_RS02300	HZK19_RS01880
OG0000398	FEF30_RS02305	HZK19_RS01885
OG0000399	FEF30_RS02350	HZK19_RS01935
OG0000400	FEF30_RS03405	HZK19_RS03000
OG0000401	FEF30_RS03465	HZK19_RS03155
OG0000402	FEF30_RS03475	HZK19_RS03165
OG0000403	FEF30_RS03485	HZK19_RS03175
OG0000404	FEF30_RS03510	HZK19_RS03205
OG0000405	FEF30_RS04480	HZK19_RS03220
OG0000406	FEF30_RS03580	HZK19_RS03285
OG0000407	FEF30_RS04400	HZK19_RS03290
OG0000408	FEF30_RS03590	HZK19_RS03295
OG0000409	FEF30_RS03595	HZK19_RS03300
OG0000410	FEF30_RS00030	HZK19_RS03360
OG0000411	FEF30_RS00020	HZK19_RS03350
OG0000412	FEF30_RS00015	HZK19_RS03345
OG0000413	FEF30_RS01835	HZK19_RS01485
OG0000414	FEF30_RS01845	HZK19_RS01495
OG0000415	FEF30_RS01850	HZK19_RS01500
OG0000416	FEF30_RS01860	HZK19_RS01510
OG0000417	FEF30_RS02660	HZK19_RS02255
OG0000418	FEF30_RS02655	HZK19_RS02250
OG0000419	FEF30_RS01020	HZK19_RS00685
OG0000420	FEF30_RS01055	HZK19_RS00720
OG0000421	FEF30_RS01090	HZK19_RS00755
OG0000422	FEF30_RS01100	HZK19_RS00765
OG0000423	FEF30_RS01155	HZK19_RS00820
OG0000424	FEF30_RS01160	HZK19_RS00825
OG0000425	FEF30_RS01170	HZK19_RS00835
OG0000426	FEF30_RS04220	HZK19_RS00840
OG0000427	FEF30_RS04225	HZK19_RS00865
OG0000428	FEF30_RS01225	HZK19_RS00890
OG0000429	FEF30_RS01320	HZK19_RS00985
OG0000430	FEF30_RS01365	HZK19_RS01030
OG0000431	FEF30_RS01375	HZK19_RS01040
OG0000432	FEF30_RS01410	HZK19_RS01075
OG0000433	FEF30_RS01425	HZK19_RS01090
OG0000434	FEF30_RS01430	HZK19_RS01095
OG0000435	FEF30_RS01445	HZK19_RS01110
OG0000436	FEF30_RS01470	HZK19_RS01135
OG0000437	FEF30_RS01480	HZK19_RS01145
OG0000438	FEF30_RS01485	HZK19_RS01150
OG0000439	FEF30_RS04235	HZK19_RS01155
OG0000440	FEF30_RS03330	HZK19_RS02915
OG0000441	FEF30_RS03370	HZK19_RS02955
OG0000442	FEF30_RS00460	HZK19_RS00130
OG0000443	FEF30_RS00505	HZK19_RS00175
OG0000444	FEF30_RS00520	HZK19_RS00190
OG0000445	FEF30_RS00545	HZK19_RS00215
OG0000446	FEF30_RS00570	HZK19_RS00240
OG0000447	FEF30_RS00575	HZK19_RS00245
OG0000448	FEF30_RS00605	HZK19_RS00275
OG0000449	FEF30_RS00630	HZK19_RS00300
OG0000450	FEF30_RS00640	HZK19_RS00310
OG0000451	FEF30_RS00680	HZK19_RS00350
OG0000452	FEF30_RS00705	HZK19_RS00375
OG0000453	FEF30_RS00740	HZK19_RS00410
OG0000455	FEF30_RS00230	HZK19_RS03560
OG0000456	FEF30_RS00110	HZK19_RS03440
OG0000457	FEF30_RS00085	HZK19_RS03415
OG0000458	FEF30_RS02890	HZK19_RS02480
OG0000459	FEF30_RS02915	HZK19_RS02505
OG0000460	FEF30_RS02925	HZK19_RS02520
OG0000461	FEF30_RS02970	HZK19_RS02560
OG0000462	FEF30_RS02965	HZK19_RS02555
OG0000463	FEF30_RS02960	HZK19_RS02550
OG0000465	FEF30_RS02950	HZK19_RS02545
OG0000466	FEF30_RS00710	HZK19_RS00380
OG0000467	FEF30_RS04360	HZK19_RS02645
OG0000468	FEF30_RS02345	HZK19_RS01930
OG0000469	FEF30_RS02405	HZK19_RS01990
OG0000470	FEF30_RS01150	HZK19_RS00815
OG0000471	FEF30_RS01230	HZK19_RS00895
OG0000472	FEF30_RS00040	HZK19_RS03370
OG0000473	FEF30_RS00215	HZK19_RS03545
OG0000474	FEF30_RS00220	HZK19_RS03550
OG0000475	FEF30_RS00225	HZK19_RS03555
OG0000476	FEF30_RS01870	HZK19_RS01520
OG0000477	FEF30_RS02995	HZK19_RS02585
OG0000478	FEF30_RS00160	HZK19_RS03490
OG0000479	FEF30_RS01640	HZK19_RS01295
