Orthogroup	MHP_F72C_genes	MHP_UFV01_genes
OG0000254	EHI52_RS00240	FEF30_RS00550
OG0000255	EHI52_RS00250	FEF30_RS00555
OG0000256	EHI52_RS00255	FEF30_RS00560
OG0000257	EHI52_RS00280	FEF30_RS00585
OG0000258	EHI52_RS00290	FEF30_RS00595
OG0000259	EHI52_RS00320	FEF30_RS00625
OG0000260	EHI52_RS00330	FEF30_RS00635
OG0000261	EHI52_RS00340	FEF30_RS04195
OG0000262	EHI52_RS00360	FEF30_RS00660
OG0000263	EHI52_RS00375	FEF30_RS00675
OG0000264	EHI52_RS00390	FEF30_RS00690
OG0000265	EHI52_RS00400	FEF30_RS00700
OG0000266	EHI52_RS00415	FEF30_RS00715
OG0000267	EHI52_RS00430	FEF30_RS00730
OG0000268	EHI52_RS00435	FEF30_RS00735
OG0000269	EHI52_RS00450	FEF30_RS00750
OG0000270	EHI52_RS03490	FEF30_RS04155
OG0000271	EHI52_RS03485	FEF30_RS00205
OG0000272	EHI52_RS03480	FEF30_RS00200
OG0000273	EHI52_RS03475	FEF30_RS00195
OG0000274	EHI52_RS03455	FEF30_RS00175
OG0000275	EHI52_RS03450	FEF30_RS04145
OG0000276	EHI52_RS03445	FEF30_RS00165
OG0000277	EHI52_RS03435	FEF30_RS00155
OG0000278	EHI52_RS03430	FEF30_RS00150
OG0000279	EHI52_RS03420	FEF30_RS00140
OG0000280	EHI52_RS03415	FEF30_RS00135
OG0000281	EHI52_RS03410	FEF30_RS00130
OG0000282	EHI52_RS03385	FEF30_RS04135
OG0000283	EHI52_RS03380	FEF30_RS00100
OG0000284	EHI52_RS03375	FEF30_RS00095
OG0000285	EHI52_RS03370	FEF30_RS04130
OG0000286	EHI52_RS02425	FEF30_RS02795
OG0000287	EHI52_RS02515	FEF30_RS02895
OG0000288	EHI52_RS02525	FEF30_RS02905
OG0000289	EHI52_RS02530	FEF30_RS02910
OG0000290	EHI52_RS02640	FEF30_RS03020
OG0000291	EHI52_RS02630	FEF30_RS03010
OG0000292	EHI52_RS02625	FEF30_RS03005
OG0000293	EHI52_RS02620	FEF30_RS03000
OG0000294	EHI52_RS02610	FEF30_RS02990
OG0000295	EHI52_RS02605	FEF30_RS02985
OG0000296	EHI52_RS02565	FEF30_RS02945
OG0000297	EHI52_RS02560	FEF30_RS02940
OG0000298	EHI52_RS00175	FEF30_RS00490
OG0000299	EHI52_RS00200	FEF30_RS00510
OG0000300	EHI52_RS00385	FEF30_RS00685
OG0000301	EHI52_RS00420	FEF30_RS00720
OG0000302	EHI52_RS00425	FEF30_RS00725
OG0000303	EHI52_RS00575	FEF30_RS00870
OG0000304	EHI52_RS01145	FEF30_RS01385
OG0000305	EHI52_RS02870	FEF30_RS03260
OG0000306	EHI52_RS02795	FEF30_RS03185
OG0000307	EHI52_RS02760	FEF30_RS03145
OG0000308	EHI52_RS02660	FEF30_RS03040
OG0000309	EHI52_RS02595	FEF30_RS02975
OG0000310	EHI52_RS02520	FEF30_RS02900
OG0000311	EHI52_RS02485	FEF30_RS02855
OG0000312	EHI52_RS02470	FEF30_RS02840
OG0000313	EHI52_RS01655	FEF30_RS01915
OG0000314	EHI52_RS01980	FEF30_RS02335
OG0000315	EHI52_RS01950	FEF30_RS02365
OG0000316	EHI52_RS01940	FEF30_RS02375
OG0000317	EHI52_RS01850	FEF30_RS02470
OG0000318	EHI52_RS01935	FEF30_RS04320
OG0000319	EHI52_RS02240	FEF30_RS02605
OG0000320	EHI52_RS02370	FEF30_RS02735
OG0000321	EHI52_RS01395	FEF30_RS01645
OG0000322	EHI52_RS01440	FEF30_RS01695
OG0000323	EHI52_RS01570	FEF30_RS01825
OG0000324	EHI52_RS02280	FEF30_RS02645
OG0000325	EHI52_RS00700	FEF30_RS01010
OG0000326	EHI52_RS00795	FEF30_RS01105
OG0000327	EHI52_RS00800	FEF30_RS01110
OG0000328	EHI52_RS00885	FEF30_RS01195
OG0000329	EHI52_RS00905	FEF30_RS01215
OG0000330	EHI52_RS01175	FEF30_RS01415
OG0000331	EHI52_RS02965	FEF30_RS03350
OG0000332	EHI52_RS03130	FEF30_RS03460
OG0000333	EHI52_RS03140	FEF30_RS03470
OG0000334	EHI52_RS03240	FEF30_RS03565
OG0000335	EHI52_RS03250	FEF30_RS03575
OG0000336	EHI52_RS03400	FEF30_RS04140
OG0000337	EHI52_RS03575	FEF30_RS00285
OG0000338	EHI52_RS03615	FEF30_RS00325
OG0000339	EHI52_RS02340	FEF30_RS02710
OG0000340	EHI52_RS01375	FEF30_RS01625
OG0000341	EHI52_RS02300	FEF30_RS02665
OG0000342	EHI52_RS00730	FEF30_RS01040
OG0000343	EHI52_RS03150	FEF30_RS03480
OG0000344	EHI52_RS00590	FEF30_RS00885
OG0000345	EHI52_RS01090	FEF30_RS01330
OG0000346	EHI52_RS03405	FEF30_RS00125
OG0000347	EHI52_RS01465	FEF30_RS01720
OG0000348	EHI52_RS00805	FEF30_RS01115
OG0000349	EHI52_RS03465	FEF30_RS04150
OG0000350	EHI52_RS02750	FEF30_RS03135
OG0000351	EHI52_RS00510	FEF30_RS00805
OG0000352	EHI52_RS02000	FEF30_RS02315
OG0000353	EHI52_RS01435	FEF30_RS01690
OG0000354	EHI52_RS00650	FEF30_RS00950
OG0000355	EHI52_RS02030	FEF30_RS04310
OG0000356	EHI52_RS01945	FEF30_RS04315
OG0000357	EHI52_RS03110	FEF30_RS04390
OG0000358	EHI52_RS03115	FEF30_RS03445
OG0000359	EHI52_RS00775	FEF30_RS04215
OG0000360	EHI52_RS00285	FEF30_RS00590
OG0000361	EHI52_RS00315	FEF30_RS00620
OG0000362	EHI52_RS02540	FEF30_RS02920
OG0000363	EHI52_RS01505	FEF30_RS01760
OG0000365	EHI52_RS01905	FEF30_RS04335
OG0000366	EHI52_RS01880	FEF30_RS02440
OG0000367	EHI52_RS01870	FEF30_RS02450
OG0000368	EHI52_RS00060	FEF30_RS00390
OG0000369	EHI52_RS00025	FEF30_RS04170
OG0000370	EHI52_RS00020	FEF30_RS00350
OG0000371	EHI52_RS00015	FEF30_RS00345
OG0000372	EHI52_RS00010	FEF30_RS00340
OG0000373	EHI52_RS03605	FEF30_RS00315
OG0000374	EHI52_RS03595	FEF30_RS00305
OG0000375	EHI52_RS02235	FEF30_RS02600
OG0000376	EHI52_RS02385	FEF30_RS02750
OG0000377	EHI52_RS02375	FEF30_RS02740
OG0000378	EHI52_RS01355	FEF30_RS01605
OG0000379	EHI52_RS01430	FEF30_RS01685
OG0000380	EHI52_RS01455	FEF30_RS01710
OG0000381	EHI52_RS01495	FEF30_RS01750
OG0000382	EHI52_RS01525	FEF30_RS01780
OG0000383	EHI52_RS01565	FEF30_RS01820
OG0000384	EHI52_RS00530	FEF30_RS00825
OG0000385	EHI52_RS00535	FEF30_RS00830
