Orthogroup	MHP_F72C_genes	MHP_111A_genes
OG0000167	EHI52_RS01960	NB623_RS02120
OG0000168	EHI52_RS01955	NB623_RS02115
OG0000169	EHI52_RS03055	NB623_RS03200
OG0000170	EHI52_RS03075	NB623_RS03215
OG0000171	EHI52_RS03085	NB623_RS03225
OG0000172	EHI52_RS03095	NB623_RS03230
OG0000173	EHI52_RS03100	NB623_RS03235
OG0000174	EHI52_RS03105	NB623_RS03240
OG0000175	EHI52_RS03120	NB623_RS03265
OG0000176	EHI52_RS03170	NB623_RS03310
OG0000177	EHI52_RS03175	NB623_RS03315
OG0000178	EHI52_RS03180	NB623_RS03320
OG0000179	EHI52_RS03190	NB623_RS03330
OG0000180	EHI52_RS03195	NB623_RS03335
OG0000181	EHI52_RS03235	NB623_RS03375
OG0000182	EHI52_RS03245	NB623_RS03385
OG0000183	EHI52_RS03280	NB623_RS03420
OG0000184	EHI52_RS03325	NB623_RS03485
OG0000185	EHI52_RS03310	NB623_RS03475
OG0000186	EHI52_RS01585	NB623_RS01645
OG0000187	EHI52_RS01600	NB623_RS01660
OG0000188	EHI52_RS01610	NB623_RS01670
OG0000189	EHI52_RS02310	NB623_RS02445
OG0000190	EHI52_RS02305	NB623_RS02440
OG0000191	EHI52_RS02285	NB623_RS02415
OG0000192	EHI52_RS01280	NB623_RS01340
OG0000193	EHI52_RS01270	NB623_RS01325
OG0000194	EHI52_RS00690	NB623_RS00690
OG0000195	EHI52_RS00695	NB623_RS00695
OG0000196	EHI52_RS00715	NB623_RS00720
OG0000197	EHI52_RS00720	NB623_RS00730
OG0000198	EHI52_RS00735	NB623_RS00740
OG0000199	EHI52_RS00740	NB623_RS00745
OG0000200	EHI52_RS00755	NB623_RS00760
OG0000201	EHI52_RS00765	NB623_RS00770
OG0000202	EHI52_RS00820	NB623_RS00830
OG0000203	EHI52_RS00825	NB623_RS00835
OG0000204	EHI52_RS00830	NB623_RS00840
OG0000205	EHI52_RS00835	NB623_RS00845
OG0000206	EHI52_RS00855	NB623_RS00865
OG0000207	EHI52_RS00870	NB623_RS00880
OG0000208	EHI52_RS00875	NB623_RS00885
OG0000209	EHI52_RS00880	NB623_RS00890
OG0000210	EHI52_RS00925	NB623_RS00935
OG0000211	EHI52_RS01005	NB623_RS01070
OG0000212	EHI52_RS01015	NB623_RS01080
OG0000213	EHI52_RS01020	NB623_RS01085
OG0000214	EHI52_RS01025	NB623_RS01090
OG0000215	EHI52_RS01030	NB623_RS01095
OG0000216	EHI52_RS01035	NB623_RS01100
OG0000217	EHI52_RS01040	NB623_RS01105
OG0000218	EHI52_RS01050	NB623_RS01115
OG0000219	EHI52_RS01055	NB623_RS01120
OG0000220	EHI52_RS01060	NB623_RS01125
OG0000221	EHI52_RS01065	NB623_RS01130
OG0000222	EHI52_RS01070	NB623_RS01135
OG0000223	EHI52_RS01075	NB623_RS01140
OG0000224	EHI52_RS01085	NB623_RS01150
OG0000225	EHI52_RS01095	NB623_RS01160
OG0000226	EHI52_RS01100	NB623_RS01165
OG0000227	EHI52_RS01105	NB623_RS01170
OG0000228	EHI52_RS03905	NB623_RS01175
OG0000229	EHI52_RS01115	NB623_RS01180
OG0000230	EHI52_RS01120	NB623_RS01185
OG0000231	EHI52_RS01130	NB623_RS01195
OG0000232	EHI52_RS01140	NB623_RS01205
OG0000233	EHI52_RS01165	NB623_RS01225
OG0000234	EHI52_RS01200	NB623_RS01260
OG0000235	EHI52_RS01210	NB623_RS01270
OG0000236	EHI52_RS01215	NB623_RS01275
OG0000237	EHI52_RS01220	NB623_RS01280
OG0000238	EHI52_RS01230	NB623_RS01285
OG0000239	EHI52_RS02935	NB623_RS03105
OG0000240	EHI52_RS02940	NB623_RS03110
OG0000241	EHI52_RS02950	NB623_RS03120
OG0000242	EHI52_RS02955	NB623_RS03125
OG0000243	EHI52_RS02960	NB623_RS03130
OG0000244	EHI52_RS02970	NB623_RS03140
OG0000245	EHI52_RS02980	NB623_RS03145
OG0000246	EHI52_RS00140	NB623_RS00130
OG0000247	EHI52_RS00150	NB623_RS00140
OG0000248	EHI52_RS00160	NB623_RS00150
OG0000249	EHI52_RS00165	NB623_RS00155
OG0000250	EHI52_RS00180	NB623_RS00175
OG0000251	EHI52_RS00215	NB623_RS00205
OG0000252	EHI52_RS00225	NB623_RS00210
OG0000253	EHI52_RS00230	NB623_RS00215
OG0000254	EHI52_RS00240	NB623_RS00225
OG0000255	EHI52_RS00250	NB623_RS00230
OG0000256	EHI52_RS00255	NB623_RS00240
OG0000257	EHI52_RS00280	NB623_RS00260
OG0000258	EHI52_RS00290	NB623_RS00270
OG0000259	EHI52_RS00320	NB623_RS00300
OG0000260	EHI52_RS00330	NB623_RS00310
OG0000261	EHI52_RS00340	NB623_RS00320
OG0000262	EHI52_RS00360	NB623_RS00340
OG0000263	EHI52_RS00375	NB623_RS00350
OG0000264	EHI52_RS00390	NB623_RS00365
OG0000265	EHI52_RS00400	NB623_RS00375
OG0000266	EHI52_RS00415	NB623_RS00390
OG0000267	EHI52_RS00430	NB623_RS00405
OG0000268	EHI52_RS00435	NB623_RS00410
OG0000269	EHI52_RS00450	NB623_RS00425
OG0000270	EHI52_RS03490	NB623_RS03685
OG0000271	EHI52_RS03485	NB623_RS03675
OG0000272	EHI52_RS03480	NB623_RS03670
OG0000273	EHI52_RS03475	NB623_RS03665
OG0000274	EHI52_RS03455	NB623_RS03650
OG0000275	EHI52_RS03450	NB623_RS03640
OG0000276	EHI52_RS03445	NB623_RS03635
OG0000277	EHI52_RS03435	NB623_RS03625
OG0000278	EHI52_RS03430	NB623_RS03620
OG0000279	EHI52_RS03420	NB623_RS03615
OG0000280	EHI52_RS03415	NB623_RS03605
OG0000281	EHI52_RS03410	NB623_RS03600
OG0000282	EHI52_RS03385	NB623_RS03570, NB623_RS03575
OG0000283	EHI52_RS03380	NB623_RS03565
OG0000284	EHI52_RS03375	NB623_RS03560
OG0000285	EHI52_RS03370	NB623_RS03555
OG0000286	EHI52_RS02425	NB623_RS02575
OG0000287	EHI52_RS02515	NB623_RS02675
OG0000288	EHI52_RS02525	NB623_RS02685
OG0000289	EHI52_RS02530	NB623_RS02690
OG0000290	EHI52_RS02640	NB623_RS02810
OG0000291	EHI52_RS02630	NB623_RS02800
OG0000292	EHI52_RS02625	NB623_RS02795
OG0000293	EHI52_RS02620	NB623_RS02790
OG0000294	EHI52_RS02610	NB623_RS02780
OG0000295	EHI52_RS02605	NB623_RS02775
OG0000296	EHI52_RS02565	NB623_RS02730
OG0000297	EHI52_RS02560	NB623_RS02725
OG0000298	EHI52_RS00175	NB623_RS00165
OG0000299	EHI52_RS00200	NB623_RS00185
OG0000300	EHI52_RS00385	NB623_RS00360
OG0000301	EHI52_RS00420	NB623_RS00395
OG0000302	EHI52_RS00425	NB623_RS00400
OG0000303	EHI52_RS00575	NB623_RS00555
OG0000304	EHI52_RS01145	NB623_RS01210
OG0000305	EHI52_RS02870	NB623_RS03045
OG0000306	EHI52_RS02795	NB623_RS02970
OG0000307	EHI52_RS02760	NB623_RS02930
OG0000308	EHI52_RS02660	NB623_RS02835
OG0000309	EHI52_RS02595	NB623_RS02765
OG0000310	EHI52_RS02520	NB623_RS02680
OG0000311	EHI52_RS02485	NB623_RS02635
OG0000312	EHI52_RS02470	NB623_RS02620
OG0000313	EHI52_RS01655	NB623_RS01715
OG0000314	EHI52_RS01980	NB623_RS02140
OG0000315	EHI52_RS01950	NB623_RS02110
OG0000316	EHI52_RS01940	NB623_RS02100
OG0000317	EHI52_RS01850	NB623_RS02005
OG0000318	EHI52_RS01935	NB623_RS02095
OG0000319	EHI52_RS02240	NB623_RS02370
OG0000320	EHI52_RS02370	NB623_RS02500
OG0000321	EHI52_RS01395	NB623_RS01450
OG0000322	EHI52_RS01440	NB623_RS01500
OG0000323	EHI52_RS01570	NB623_RS01630
OG0000324	EHI52_RS02280	NB623_RS02410
OG0000325	EHI52_RS00700	NB623_RS00705
OG0000326	EHI52_RS00795	NB623_RS00805
OG0000327	EHI52_RS00800	NB623_RS00810
OG0000328	EHI52_RS00885	NB623_RS00895
OG0000329	EHI52_RS00905	NB623_RS00915
OG0000330	EHI52_RS01175	NB623_RS01235
OG0000331	EHI52_RS02965	NB623_RS03135
OG0000332	EHI52_RS03130	NB623_RS03270
OG0000333	EHI52_RS03140	NB623_RS03280
OG0000334	EHI52_RS03240	NB623_RS03380
OG0000335	EHI52_RS03250	NB623_RS03390
OG0000336	EHI52_RS03400	NB623_RS03590
OG0000337	EHI52_RS03575	NB623_RS03765
