Orthogroup	MHP_F72C_genes	MHP_J_genes
OG0000409	EHI52_RS03270	MHJ_RS03235
OG0000410	EHI52_RS03330	MHJ_RS03290
OG0000411	EHI52_RS03320	MHJ_RS03280
OG0000412	EHI52_RS03315	MHJ_RS03275
OG0000413	EHI52_RS01580	MHJ_RS01490
OG0000414	EHI52_RS01590	MHJ_RS01500
OG0000415	EHI52_RS01595	MHJ_RS01505
OG0000416	EHI52_RS01605	MHJ_RS01515
OG0000417	EHI52_RS02295	MHJ_RS02235
OG0000418	EHI52_RS02290	MHJ_RS02230
OG0000419	EHI52_RS00710	MHJ_RS00690
OG0000420	EHI52_RS00745	MHJ_RS00725
OG0000421	EHI52_RS00780	MHJ_RS00755
OG0000422	EHI52_RS00790	MHJ_RS00765
OG0000423	EHI52_RS00845	MHJ_RS00820
OG0000424	EHI52_RS00850	MHJ_RS00825
OG0000425	EHI52_RS00860	MHJ_RS00835
OG0000426	EHI52_RS00865	MHJ_RS00840
OG0000427	EHI52_RS00890	MHJ_RS00865
OG0000428	EHI52_RS00915	MHJ_RS00890
OG0000429	EHI52_RS01080	MHJ_RS00985
OG0000430	EHI52_RS01125	MHJ_RS01030
OG0000431	EHI52_RS01135	MHJ_RS01040
OG0000432	EHI52_RS01170	MHJ_RS01070
OG0000433	EHI52_RS01185	MHJ_RS01085
OG0000434	EHI52_RS01190	MHJ_RS01090
OG0000435	EHI52_RS01205	MHJ_RS01105
OG0000436	EHI52_RS01235	MHJ_RS01135
OG0000437	EHI52_RS01245	MHJ_RS01145
OG0000438	EHI52_RS01250	MHJ_RS01150
OG0000439	EHI52_RS01255	MHJ_RS01155
OG0000440	EHI52_RS02945	MHJ_RS02935
OG0000441	EHI52_RS02985	MHJ_RS02975
OG0000442	EHI52_RS00145	MHJ_RS00120
OG0000443	EHI52_RS00195	MHJ_RS00165
OG0000444	EHI52_RS00210	MHJ_RS00180
OG0000445	EHI52_RS00235	MHJ_RS00205
OG0000446	EHI52_RS00265	MHJ_RS00235
OG0000447	EHI52_RS00270	MHJ_RS00240
OG0000448	EHI52_RS00300	MHJ_RS00270
OG0000449	EHI52_RS00325	MHJ_RS00295
OG0000450	EHI52_RS00335	MHJ_RS00305
OG0000451	EHI52_RS00380	MHJ_RS00345
OG0000452	EHI52_RS00405	MHJ_RS00370
OG0000453	EHI52_RS00440	MHJ_RS00405
OG0000455	EHI52_RS03510	MHJ_RS03480
OG0000456	EHI52_RS03390	MHJ_RS03365
OG0000457	EHI52_RS03365	MHJ_RS03340
OG0000458	EHI52_RS02510	MHJ_RS02470
OG0000460	EHI52_RS02545	MHJ_RS02505
OG0000461	EHI52_RS02590	MHJ_RS02550
OG0000462	EHI52_RS02585	MHJ_RS02545
OG0000463	EHI52_RS02580	MHJ_RS02540
OG0000464	EHI52_RS02575	MHJ_RS02535
OG0000465	EHI52_RS02570	MHJ_RS02530
OG0000466	EHI52_RS00410	MHJ_RS00375
OG0000467	EHI52_RS02670	MHJ_RS02640
OG0000468	EHI52_RS01970	MHJ_RS01920
OG0000469	EHI52_RS01910	MHJ_RS01980
OG0000470	EHI52_RS03650	MHJ_RS03785
OG0000471	EHI52_RS00920	MHJ_RS00895
OG0000472	EHI52_RS03340	MHJ_RS03300
OG0000473	EHI52_RS03495	MHJ_RS03465
OG0000474	EHI52_RS03500	MHJ_RS03470
OG0000475	EHI52_RS03505	MHJ_RS03475
OG0000476	EHI52_RS01615	MHJ_RS01525
OG0000477	EHI52_RS02615	MHJ_RS02580
OG0000478	EHI52_RS03440	MHJ_RS03410
OG0000479	EHI52_RS01390	MHJ_RS01300
OG0000480	EHI52_RS03665	MHJ_RS03770
OG0000481	EHI52_RS00815	MHJ_RS00790
OG0000482	EHI52_RS01275	MHJ_RS01185
OG0000483	EHI52_RS01865	MHJ_RS02025
OG0000484	EHI52_RS00205	MHJ_RS00175
OG0000485	EHI52_RS01240	MHJ_RS01140
OG0000486	EHI52_RS02315	MHJ_RS02255
OG0000487	EHI52_RS01930	MHJ_RS01960
OG0000488	EHI52_RS01895	MHJ_RS01995
OG0000489	EHI52_RS00050	MHJ_RS00050
OG0000490	EHI52_RS03610	MHJ_RS03570
OG0000491	EHI52_RS01410	MHJ_RS01320
OG0000492	EHI52_RS01485	MHJ_RS01395
OG0000493	EHI52_RS00595	MHJ_RS00565
OG0000494	EHI52_RS00655	MHJ_RS00625
OG0000495	EHI52_RS02825	MHJ_RS02805
OG0000496	EHI52_RS02815	MHJ_RS02795
OG0000497	EHI52_RS02810	MHJ_RS02790
OG0000498	EHI52_RS02730	MHJ_RS02700
OG0000499	EHI52_RS02695	MHJ_RS02665
OG0000500	EHI52_RS02005	MHJ_RS01880
OG0000501	EHI52_RS03080	MHJ_RS03040
OG0000502	EHI52_RS01265	MHJ_RS01175
OG0000503	EHI52_RS00760	MHJ_RS00735
OG0000504	EHI52_RS00895	MHJ_RS00870
OG0000505	EHI52_RS01000	MHJ_RS00905
OG0000506	EHI52_RS01010	MHJ_RS00915
OG0000507	EHI52_RS01045	MHJ_RS00950
OG0000508	EHI52_RS00260	MHJ_RS00230
OG0000509	EHI52_RS00295	MHJ_RS00265
OG0000510	EHI52_RS00305	MHJ_RS00275
