ABLE99_RS02700 WP_406823160.1
ABLE99_RS02705 WP_406823161.1
ABLE99_RS02710 WP_011206373.1
ABLE99_RS02715 WP_406823162.1
ABLE99_RS02720 WP_011206375.1
ABLE99_RS02725 WP_011206376.1
ABLE99_RS02730 WP_011284272.1
ABLE99_RS02735 WP_020835836.1
ABLE99_RS02740 WP_011290331.1
ABLE99_RS02745 WP_020835837.1
ABLE99_RS02750 WP_135619012.1
ABLE99_RS02755 WP_406823163.1
ABLE99_RS02760 WP_406823164.1
ABLE99_RS02765 WP_011206384.1
ABLE99_RS02770 WP_011206385.1
ABLE99_RS02775 WP_404924282.1
ABLE99_RS02780 WP_225972996.1
ABLE99_RS02785 WP_020835843.1
ABLE99_RS02790 WP_406823165.1
ABLE99_RS02795 WP_011290340.1
ABLE99_RS02800 WP_011206391.1
ABLE99_RS02805 WP_348571811.1
ABLE99_RS02810 WP_348571811.1
ABLE99_RS02815 WP_020835847.1
ABLE99_RS02820 WP_406823166.1
ABLE99_RS02825 WP_406823167.1
ABLE99_RS02830 WP_406823168.1
ABLE99_RS02835 WP_011290347.1
ABLE99_RS02840 WP_020835851.1
ABLE99_RS02845 WP_406823169.1
ABLE99_RS02850 WP_160585231.1
ABLE99_RS02855 WP_348571822.1
ABLE99_RS02860 WP_348602596.1
ABLE99_RS02865 WP_146379704.1
ABLE99_RS02870 WP_041361690.1
ABLE99_RS02875 WP_011206407.1
ABLE99_RS02880 WP_406823170.1
ABLE99_RS02885 WP_044272591.1
ABLE99_RS02890 WP_406823171.1
ABLE99_RS02895 WP_406823298.1
ABLE99_RS02900 WP_406823172.1
ABLE99_RS02905 WP_406823299.1
ABLE99_RS02910 WP_406823173.1
ABLE99_RS02915 WP_406823173.1
ABLE99_RS02920 WP_406823174.1
ABLE99_RS02925 WP_404924499.1
ABLE99_RS02930 WP_406823175.1
ABLE99_RS02935 WP_002557698.1
ABLE99_RS02940 WP_020835860.1
ABLE99_RS02945 WP_044272610.1
ABLE99_RS02950 WP_020835862.1
ABLE99_RS02955 WP_220190663.1
ABLE99_RS02960 WP_011290367.1
ABLE99_RS02965 WP_011206424.1
ABLE99_RS02970 WP_011206425.1
ABLE99_RS02975 WP_406823176.1
ABLE99_RS02980 WP_228366113.1
ABLE99_RS02985 WP_160606709.1
ABLE99_RS02990 WP_160606707.1
ABLE99_RS02995 WP_160585644.1
ABLE99_RS03000 WP_011290372.1
ABLE99_RS03005 WP_135619070.1
ABLE99_RS03010 WP_011206433.1
ABLE99_RS03015 WP_406823177.1
ABLE99_RS03020 WP_011206435.1
ABLE99_RS03025 WP_220200714.1
ABLE99_RS03030 WP_044284704.1
ABLE99_RS03035 WP_044284705.1
ABLE99_RS03040 WP_406823178.1
ABLE99_RS03045 WP_160585273.1
ABLE99_RS03050 WP_044272620.1
ABLE99_RS03055 WP_406823179.1
ABLE99_RS03060 WP_020835880.1
ABLE99_RS03065 WP_081642895.1
ABLE99_RS03070 WP_406823180.1
ABLE99_RS03075 WP_406823180.1
ABLE99_RS03080 WP_406823181.1
ABLE99_RS03085 WP_406823182.1
ABLE99_RS03090 WP_406823183.1
ABLE99_RS03095 WP_406823184.1
ABLE99_RS03105 WP_020835888.1
ABLE99_RS03110 WP_020835889.1
ABLE99_RS03115 WP_011206453.1
ABLE99_RS03120 WP_348571841.1
ABLE99_RS03125 WP_406823185.1
ABLE99_RS03130 WP_406823186.1
ABLE99_RS03135 WP_044284717.1
ABLE99_RS03140 WP_011206458.1
ABLE99_RS03150 WP_011206459.1
ABLE99_RS03155 WP_406823187.1
ABLE99_RS03160 WP_406823188.1
ABLE99_RS03165 WP_406823189.1
ABLE99_RS03170 WP_406823190.1
ABLE99_RS03175 WP_011206468.1
ABLE99_RS03180 WP_406823191.1
ABLE99_RS03185 WP_406823192.1
ABLE99_RS03190 WP_146379740.1
ABLE99_RS03195 WP_406823193.1
ABLE99_RS03200 WP_406823194.1
ABLE99_RS03205 WP_406823195.1
ABLE99_RS03210 WP_160585255.1
ABLE99_RS03215 WP_240536353.1
ABLE99_RS03220 WP_406823196.1
ABLE99_RS03225 WP_406823197.1
ABLE99_RS03230 WP_406823198.1
ABLE99_RS03235 WP_011290413.1
ABLE99_RS03240 WP_011206484.1
ABLE99_RS03245 WP_014580009.1
ABLE99_RS03250 WP_160590212.1
ABLE99_RS03255 WP_011206487.1
ABLE99_RS03265 WP_011206488.1
ABLE99_RS03270 WP_232039558.1
ABLE99_RS03275 WP_014580012.1
ABLE99_RS03280 WP_094521520.1
ABLE99_RS03285 WP_011290418.1
ABLE99_RS03290 WP_348571873.1
ABLE99_RS03295 WP_160588182.1
ABLE99_RS03300 WP_011206494.1
ABLE99_RS03305 WP_146379753.1
ABLE99_RS03310 WP_011290421.1
ABLE99_RS03315 WP_238374142.1
ABLE99_RS03320 WP_011290423.1
ABLE99_RS03325 WP_406823199.1
ABLE99_RS03330 WP_348571875.1
ABLE99_RS03340 WP_011206502.1
ABLE99_RS03345 WP_011284373.1
ABLE99_RS03350 WP_404924334.1
ABLE99_RS03355 WP_348571879.1
ABLE99_RS03360 WP_044272671.1
ABLE99_RS03365 WP_348571881.1
ABLE99_RS03370 WP_160584892.1
ABLE99_RS03375 WP_348571882.1
ABLE99_RS03380 WP_011206510.1
ABLE99_RS03385 WP_404924338.1
ABLE99_RS03390 WP_348602653.1
ABLE99_RS03395 WP_348571887.1
ABLE99_RS03400 WP_406823200.1
ABLE99_RS03405 WP_406823201.1
ABLE99_RS03410 WP_406823202.1
ABLE99_RS03415 WP_406823203.1
ABLE99_RS03430 WP_011290440.1
ABLE99_RS03435 WP_050195472.1
ABLE99_RS03440 WP_406823204.1
ABLE99_RS03445 WP_011206522.1
ABLE99_RS03450 WP_404924345.1
ABLE99_RS03455 WP_406823205.1
ABLE99_RS03460 WP_406823206.1
ABLE99_RS03465 WP_406823207.1
ABLE99_RS03470 WP_160606487.1
ABLE99_RS03475 WP_014580051.1
ABLE99_RS03480 WP_011206529.1
