E5E95_RS01950 WP_240536393.1
E5E95_RS04020 WP_240536396.1
E5E95_RS03910 WP_228729174.1
E5E95_RS03860 WP_158520147.1
E5E95_RS01965 WP_014579793.1
E5E95_RS01970 WP_135618816.1
E5E95_RS01975 WP_094521668.1
E5E95_RS01980 WP_135618818.1
E5E95_RS01985 WP_135618820.1
E5E95_RS04025 WP_240536398.1
E5E95_RS04030 WP_318026027.1
E5E95_RS01995 WP_135618822.1
E5E95_RS04035 WP_240536401.1
E5E95_RS04205 WP_276310469.1
E5E95_RS02020 WP_011206194.1
E5E95_RS02030 WP_014579804.1
E5E95_RS02035 WP_011206196.1
E5E95_RS02040 WP_011290187.1
E5E95_RS02045 WP_135618828.1
E5E95_RS02050 WP_135618830.1
E5E95_RS02055 WP_011206200.1
E5E95_RS02060 WP_135618832.1
E5E95_RS02065 WP_240536403.1
E5E95_RS02070 WP_135618836.1
E5E95_RS02075 WP_135618838.1
E5E95_RS02080 WP_135618840.1
E5E95_RS02085 WP_135618841.1
E5E95_RS02090 WP_135618843.1
E5E95_RS02095 WP_135618846.1
E5E95_RS02100 WP_135618848.1
E5E95_RS02105 WP_135618850.1
E5E95_RS02110 WP_240536306.1
E5E95_RS02115 WP_014579818.1
E5E95_RS02120 WP_240536307.1
E5E95_RS02125 WP_220200502.1
E5E95_RS02130 WP_240536308.1
E5E95_RS02135 WP_135618852.1
E5E95_RS02140 WP_011206216.1
E5E95_RS02145 WP_014579824.1
E5E95_RS03865 WP_011206218.1
E5E95_RS02150 WP_135618854.1
E5E95_RS02155 WP_135619202.1
E5E95_RS02160 WP_135618856.1
E5E95_RS02165 WP_011206222.1
E5E95_RS02170 WP_011206223.1
E5E95_RS02175 WP_135618858.1
E5E95_RS02180 WP_135618860.1
E5E95_RS02185 WP_220190703.1
E5E95_RS02190 WP_011206227.1
E5E95_RS02195 WP_044272477.1
E5E95_RS02200 WP_044272480.1
E5E95_RS02205 WP_135618864.1
E5E95_RS02210 WP_011206231.1
E5E95_RS02215 WP_135618866.1
E5E95_RS02230 WP_094521686.1
E5E95_RS02235 WP_135618868.1
E5E95_RS03920 WP_228729165.1
E5E95_RS02240 WP_240536413.1
E5E95_RS04040 WP_215773932.1
E5E95_RS02245 WP_240536415.1
E5E95_RS02250 WP_135618870.1
E5E95_RS02255 WP_002557988.1
E5E95_RS02260 WP_002557988.1
E5E95_RS04045 WP_233688423.1
E5E95_RS04050 WP_233688424.1
E5E95_RS04055 WP_020835740.1
E5E95_RS02285 WP_020835740.1
E5E95_RS02290 WP_135618872.1
E5E95_RS02295 WP_002557993.1
E5E95_RS02300 WP_011284157.1
E5E95_RS04060 WP_240536309.1
E5E95_RS04065 WP_240536310.1
E5E95_RS04070 WP_237697199.1
E5E95_RS04075 WP_240536311.1
E5E95_RS02310 WP_240536417.1
E5E95_RS02315 WP_081430767.1
E5E95_RS02320 WP_237697200.1
E5E95_RS02325 WP_135618874.1
E5E95_RS02330 WP_135618876.1
E5E95_RS02335 WP_011206239.1
E5E95_RS02340 WP_135618878.1
E5E95_RS02345 WP_135618880.1
E5E95_RS02350 WP_135618882.1
E5E95_RS02355 WP_011206243.1
E5E95_RS02360 WP_135618884.1
E5E95_RS02365 WP_011290219.1
E5E95_RS02370 WP_011284169.1
E5E95_RS02375 WP_011206247.1
E5E95_RS02380 WP_014579826.1
E5E95_RS02385 WP_135618886.1
E5E95_RS02390 WP_135619204.1
E5E95_RS02395 WP_240536314.1
E5E95_RS02400 WP_135618890.1
E5E95_RS02405 WP_135618892.1
E5E95_RS02410 WP_011206256.1
E5E95_RS02415 WP_135618893.1
E5E95_RS02420 WP_135618895.1
E5E95_RS03925 WP_240536315.1
E5E95_RS04080 WP_011206260.1
E5E95_RS02430 WP_135618898.1
E5E95_RS02435 WP_135618900.1
E5E95_RS04235 WP_318026031.1
E5E95_RS04240 WP_318026010.1
E5E95_RS02445 WP_240536317.1
E5E95_RS02450 WP_135618902.1
E5E95_RS02455 WP_135618904.1
E5E95_RS02460 WP_135618906.1
E5E95_RS04085 WP_240536318.1
E5E95_RS04090 WP_240536319.1
E5E95_RS04095 WP_240536320.1
E5E95_RS04100 WP_240536321.1
E5E95_RS04105 WP_240536322.1
E5E95_RS04110 WP_240536323.1
E5E95_RS02475 WP_135618908.1
E5E95_RS04210 WP_276310459.1
E5E95_RS02480 WP_135618751.1
E5E95_RS02485 WP_135618910.1
E5E95_RS02490 WP_135618747.1
E5E95_RS02495 WP_135618745.1
E5E95_RS02500 WP_240536324.1
E5E95_RS02510 WP_240536325.1
E5E95_RS02515 WP_135618743.1
E5E95_RS02520 WP_135618742.1
E5E95_RS02525 WP_135618741.1
E5E95_RS02530 WP_135618911.1
E5E95_RS02535 WP_011206264.1
E5E95_RS02540 WP_135618913.1
E5E95_RS02550 WP_225972979.1
E5E95_RS04300 WP_225972979.1
E5E95_RS02560 WP_011206268.1
E5E95_RS04115 WP_240536326.1
E5E95_RS04120 WP_240536328.1
E5E95_RS02570 WP_135618919.1
E5E95_RS02575 WP_135618921.1
E5E95_RS02580 WP_240536330.1
E5E95_RS02585 WP_011206273.1
E5E95_RS02590 WP_240536331.1
E5E95_RS02595 WP_135618926.1
E5E95_RS02600 WP_135618928.1
E5E95_RS02605 WP_240536332.1
E5E95_RS02610 WP_240536333.1
E5E95_RS04125 WP_240536334.1
E5E95_RS04130 WP_240536336.1
E5E95_RS02620 WP_135618930.1
E5E95_RS02625 WP_135618932.1
E5E95_RS02630 WP_135618934.1
E5E95_RS04305 WP_135618934.1
E5E95_RS02645 WP_135618936.1
