MHL_RS01745 WP_041361620.1
MHL_RS01750 WP_020835672.1
MHL_RS04220 WP_225973034.1
MHL_RS01755 WP_020835673.1
MHL_RS01760 WP_020835674.1
MHL_RS01765 WP_020835674.1
MHL_RS01770 WP_020835676.1
MHL_RS01775 WP_020835677.1
MHL_RS01780 WP_020835678.1
MHL_RS01785 WP_020835679.1
MHL_RS01790 WP_020835680.1
MHL_RS03710 WP_020835681.1
MHL_RS01800 WP_020835682.1
MHL_RS01805 WP_020835683.1
MHL_RS01810 WP_020835684.1
MHL_RS01815 WP_041361623.1
MHL_RS04005 WP_041361626.1
MHL_RS01825 WP_041361626.1
MHL_RS01830 WP_041361626.1
MHL_RS01835 WP_041361759.1
MHL_RS01840 WP_020835689.1
MHL_RS01845 WP_020835690.1
MHL_RS01850 WP_020835691.1
MHL_RS01860 WP_020835692.1
MHL_RS04225 WP_308704619.1
MHL_RS04015 WP_041361634.1
MHL_RS01870 WP_041361636.1
MHL_RS01875 WP_041361639.1
MHL_RS01880 WP_011290172.1
MHL_RS01885 WP_020835695.1
MHL_RS01890 WP_011284100.1
MHL_RS01895 WP_020835696.1
MHL_RS01900 WP_020835697.1
MHL_RS01905 WP_020835698.1
MHL_RS01910 WP_020835699.1
MHL_RS04020 WP_236607970.1
MHL_RS03835 WP_051129928.1
MHL_RS03840 WP_158520147.1
MHL_RS01925 WP_014579793.1
MHL_RS01930 WP_020835701.1
MHL_RS01935 WP_236607971.1
MHL_RS01940 WP_020835703.1
MHL_RS03845 WP_179221115.1
MHL_RS01945 WP_011290181.1
MHL_RS03795 WP_143826160.1
MHL_RS04145 WP_258555257.1
MHL_RS04025 WP_236607972.1
MHL_RS01955 WP_020835705.1
MHL_RS04030 WP_225972966.1
MHL_RS04150 WP_258555396.1
MHL_RS01980 WP_020835708.1
MHL_RS01990 WP_014579804.1
MHL_RS01995 WP_011206196.1
MHL_RS02000 WP_020835709.1
MHL_RS02005 WP_020835710.1
MHL_RS02010 WP_020835711.1
MHL_RS02015 WP_020835712.1
MHL_RS02020 WP_020835713.1
MHL_RS02025 WP_020835714.1
MHL_RS04185 WP_020835715.1
MHL_RS02030 WP_020835716.1
MHL_RS02035 WP_020835717.1
MHL_RS02040 WP_011290194.1
