Orthogroup	MFC_MF33_genes	MHP_NCTC10127_genes
OG0000189	DR085_RS03775	EXC50_RS01150
OG0000190	DR085_RS02140	EXC50_RS01145
OG0000191	DR085_RS02120	EXC50_RS01125
OG0000192	DR085_RS02110	EXC50_RS02870
OG0000193	DR085_RS02095	EXC50_RS02880
OG0000194	DR085_RS02085	EXC50_RS03395
OG0000195	DR085_RS02080	EXC50_RS03390
OG0000196	DR085_RS03770	EXC50_RS03370
OG0000197	DR085_RS02055	EXC50_RS03365
OG0000198	DR085_RS02040	EXC50_RS03350
OG0000199	DR085_RS02035	EXC50_RS03345
OG0000200	DR085_RS02020	EXC50_RS03330
OG0000201	DR085_RS02010	EXC50_RS03320
OG0000202	DR085_RS01955	EXC50_RS03265
OG0000203	DR085_RS01950	EXC50_RS03260
OG0000204	DR085_RS03675	EXC50_RS03255
OG0000205	DR085_RS00995	EXC50_RS03250
OG0000206	DR085_RS01015	EXC50_RS03230
OG0000207	DR085_RS01030	EXC50_RS03215
OG0000208	DR085_RS01035	EXC50_RS03210
OG0000209	DR085_RS01040	EXC50_RS03205
OG0000210	DR085_RS01085	EXC50_RS03160
OG0000211	DR085_RS01095	EXC50_RS03150
OG0000212	DR085_RS01105	EXC50_RS03140
OG0000213	DR085_RS01110	EXC50_RS03135
OG0000214	DR085_RS01115	EXC50_RS03130
OG0000215	DR085_RS01120	EXC50_RS03125
OG0000216	DR085_RS01125	EXC50_RS03120
OG0000217	DR085_RS01130	EXC50_RS03115
OG0000218	DR085_RS03695	EXC50_RS03105
OG0000219	DR085_RS01145	EXC50_RS03100
OG0000220	DR085_RS01150	EXC50_RS03095
OG0000221	DR085_RS01155	EXC50_RS03090
OG0000222	DR085_RS01160	EXC50_RS03085
OG0000223	DR085_RS01165	EXC50_RS03080
OG0000224	DR085_RS01175	EXC50_RS03070
OG0000225	DR085_RS01185	EXC50_RS03060
OG0000226	DR085_RS01190	EXC50_RS03055
OG0000227	DR085_RS01195	EXC50_RS03050
OG0000228	DR085_RS03930	EXC50_RS03045
OG0000229	DR085_RS01205	EXC50_RS03040
OG0000230	DR085_RS01210	EXC50_RS03035
OG0000231	DR085_RS01220	EXC50_RS03025
OG0000232	DR085_RS01230	EXC50_RS03015
OG0000233	DR085_RS01240	EXC50_RS02995
OG0000234	DR085_RS01270	EXC50_RS02960
OG0000235	DR085_RS01280	EXC50_RS02950
OG0000236	DR085_RS01285	EXC50_RS02945
OG0000237	DR085_RS01305	EXC50_RS02940
OG0000238	DR085_RS01310	EXC50_RS02930
OG0000239	DR085_RS01340	EXC50_RS01785
OG0000240	DR085_RS01345	EXC50_RS01790
OG0000241	DR085_RS01355	EXC50_RS01800
OG0000242	DR085_RS01360	EXC50_RS01805
OG0000243	DR085_RS01365	EXC50_RS01810
OG0000244	DR085_RS01375	EXC50_RS01820
OG0000245	DR085_RS01385	EXC50_RS01830
OG0000246	DR085_RS02350	EXC50_RS00140
OG0000247	DR085_RS02360	EXC50_RS00150
