Orthogroup	MHP_MHP691_genes	MHP_111A_genes
OG0000371	DR087_RS04765	NB623_RS00015
OG0000372	DR087_RS00440	NB623_RS00010
OG0000373	DR087_RS00415	NB623_RS03795
OG0000374	DR087_RS00405	NB623_RS03785
OG0000375	DR087_RS00190	NB623_RS02365
OG0000376	DR087_RS01705	NB623_RS02515
OG0000377	DR087_RS01715	NB623_RS02505
OG0000378	DR087_RS03315	NB623_RS01410
OG0000379	DR087_RS01160	NB623_RS01485
OG0000380	DR087_RS01135	NB623_RS01515
OG0000381	DR087_RS01095	NB623_RS01555
OG0000382	DR087_RS01065	NB623_RS01585
OG0000383	DR087_RS01025	NB623_RS01625
OG0000384	DR087_RS03460	NB623_RS00510
OG0000385	DR087_RS03455	NB623_RS00520
OG0000386	DR087_RS02875	NB623_RS00535
OG0000387	DR087_RS02900	NB623_RS00560
OG0000388	DR087_RS04720	NB623_RS00565
OG0000389	DR087_RS03170	NB623_RS00610
OG0000390	DR087_RS01460	NB623_RS03065
OG0000391	DR087_RS01450	NB623_RS03055
OG0000392	DR087_RS01425	NB623_RS03030
OG0000393	DR087_RS04575	NB623_RS02975
OG0000394	DR087_RS03560	NB623_RS02895
OG0000395	DR087_RS03550	NB623_RS02890
OG0000396	DR087_RS02430	NB623_RS02580
OG0000397	DR087_RS01540	NB623_RS02175
OG0000398	DR087_RS01535	NB623_RS02170
OG0000399	DR087_RS00015	NB623_RS02125
OG0000400	DR087_RS00995	NB623_RS03210
OG0000401	DR087_RS00935	NB623_RS03275
OG0000402	DR087_RS00925	NB623_RS03285
OG0000403	DR087_RS00915	NB623_RS03295
OG0000404	DR087_RS00885	NB623_RS03325
OG0000405	DR087_RS00870	NB623_RS03340
OG0000406	DR087_RS00810	NB623_RS03395
OG0000407	DR087_RS04515	NB623_RS03400
OG0000408	DR087_RS00800	NB623_RS03405
OG0000409	DR087_RS00795	NB623_RS03410
OG0000410	DR087_RS02135	NB623_RS03495
OG0000411	DR087_RS02145	NB623_RS03480
OG0000413	DR087_RS00355	NB623_RS01640
OG0000414	DR087_RS03435	NB623_RS01650
OG0000415	DR087_RS03430	NB623_RS01655
OG0000416	DR087_RS03420	NB623_RS01665
OG0000417	DR087_RS00250	NB623_RS02430
OG0000418	DR087_RS00245	NB623_RS02420
OG0000419	DR087_RS02205	NB623_RS00715
OG0000420	DR087_RS02240	NB623_RS00750
OG0000421	DR087_RS02275	NB623_RS00790
OG0000422	DR087_RS02285	NB623_RS00800
OG0000423	DR087_RS02600	NB623_RS00855
OG0000424	DR087_RS02595	NB623_RS00860
OG0000425	DR087_RS02585	NB623_RS00870
OG0000426	DR087_RS04695	NB623_RS00875
OG0000427	DR087_RS04690	NB623_RS00900
OG0000428	DR087_RS02530	NB623_RS00925
OG0000429	DR087_RS02705	NB623_RS01145
OG0000430	DR087_RS02750	NB623_RS01190
OG0000431	DR087_RS02760	NB623_RS01200
OG0000432	DR087_RS02000	NB623_RS01230
OG0000433	DR087_RS01985	NB623_RS01245
