Orthogroup	MHP_MHP691_genes	MHP_168L_genes
OG0000251	DR087_RS02350	MHP168L_RS00185
OG0000252	DR087_RS02340	MHP168L_RS00195
OG0000253	DR087_RS02335	MHP168L_RS00200
OG0000254	DR087_RS02325	MHP168L_RS00210
OG0000255	DR087_RS01760	MHP168L_RS00220
OG0000256	DR087_RS01765	MHP168L_RS00225
OG0000257	DR087_RS01790	MHP168L_RS00250
OG0000258	DR087_RS01800	MHP168L_RS00260
OG0000259	DR087_RS01830	MHP168L_RS00290
OG0000260	DR087_RS01840	MHP168L_RS00300
OG0000261	DR087_RS04615	MHP168L_RS00310
OG0000262	DR087_RS01865	MHP168L_RS00325
OG0000263	DR087_RS01880	MHP168L_RS00340
OG0000264	DR087_RS01895	MHP168L_RS00355
OG0000265	DR087_RS01910	MHP168L_RS00365
OG0000266	DR087_RS03015	MHP168L_RS00380
OG0000267	DR087_RS03030	MHP168L_RS00395
OG0000268	DR087_RS03035	MHP168L_RS00400
OG0000269	DR087_RS03050	MHP168L_RS00415
OG0000270	DR087_RS04505	MHP168L_RS03475
OG0000271	DR087_RS00715	MHP168L_RS03470
OG0000272	DR087_RS00710	MHP168L_RS03465
OG0000273	DR087_RS00705	MHP168L_RS03460
OG0000274	DR087_RS00685	MHP168L_RS03440
OG0000275	DR087_RS04495	MHP168L_RS03435
OG0000276	DR087_RS00675	MHP168L_RS03430
OG0000277	DR087_RS00665	MHP168L_RS03420
OG0000278	DR087_RS00660	MHP168L_RS03415
OG0000279	DR087_RS00650	MHP168L_RS03405
OG0000280	DR087_RS00645	MHP168L_RS03400
OG0000281	DR087_RS00640	MHP168L_RS03780
OG0000282	DR087_RS04485	MHP168L_RS03375
OG0000283	DR087_RS00610	MHP168L_RS03370
OG0000284	DR087_RS00605	MHP168L_RS03365
OG0000285	DR087_RS04480	MHP168L_RS03360
OG0000286	DR087_RS02425	MHP168L_RS02450
OG0000287	DR087_RS02940	MHP168L_RS02550
OG0000288	DR087_RS02950	MHP168L_RS02560
OG0000289	DR087_RS02955	MHP168L_RS02565
OG0000290	DR087_RS01285	MHP168L_RS02675
OG0000291	DR087_RS01295	MHP168L_RS02665
OG0000292	DR087_RS01300	MHP168L_RS02660
OG0000293	DR087_RS01305	MHP168L_RS02655
OG0000294	DR087_RS01315	MHP168L_RS02645
OG0000295	DR087_RS01320	MHP168L_RS02640
OG0000296	DR087_RS02990	MHP168L_RS02600
OG0000297	DR087_RS02985	MHP168L_RS02595
OG0000298	DR087_RS02390	MHP168L_RS00155
OG0000299	DR087_RS02365	MHP168L_RS03690
OG0000300	DR087_RS01890	MHP168L_RS00350
OG0000301	DR087_RS03020	MHP168L_RS00385
OG0000302	DR087_RS03025	MHP168L_RS00390
OG0000303	DR087_RS02895	MHP168L_RS00545
OG0000304	DR087_RS02770	MHP168L_RS00585
OG0000305	DR087_RS01440	MHP168L_RS02910
OG0000306	DR087_RS01365	MHP168L_RS02835
OG0000307	DR087_RS03275	MHP168L_RS02800
OG0000308	DR087_RS01265	MHP168L_RS02700
OG0000309	DR087_RS01330	MHP168L_RS02630
OG0000310	DR087_RS02945	MHP168L_RS02555
OG0000311	DR087_RS02485	MHP168L_RS02510
OG0000312	DR087_RS02470	MHP168L_RS02495
OG0000313	DR087_RS03215	MHP168L_RS01835
OG0000314	DR087_RS01500	MHP168L_RS02045
OG0000315	DR087_RS00030	MHP168L_RS02075
OG0000316	DR087_RS00040	MHP168L_RS02085
OG0000317	DR087_RS00130	MHP168L_RS02225
OG0000318	DR087_RS04400	MHP168L_RS02090
OG0000319	DR087_RS00195	MHP168L_RS02160
OG0000320	DR087_RS01720	MHP168L_RS02385
OG0000321	DR087_RS01195	MHP168L_RS01425
OG0000322	DR087_RS01150	MHP168L_RS01470
OG0000323	DR087_RS01020	MHP168L_RS01600
OG0000324	DR087_RS00235	MHP168L_RS02290
OG0000325	DR087_RS02195	MHP168L_RS00960
OG0000326	DR087_RS02290	MHP168L_RS00870
OG0000327	DR087_RS02295	MHP168L_RS00865
OG0000328	DR087_RS02560	MHP168L_RS00780
OG0000329	DR087_RS02540	MHP168L_RS00755
OG0000330	DR087_RS01995	MHP168L_RS01085
OG0000331	DR087_RS03375	MHP168L_RS03005
OG0000332	DR087_RS00940	MHP168L_RS03110
OG0000333	DR087_RS00930	MHP168L_RS03120
OG0000334	DR087_RS00825	MHP168L_RS03220
OG0000335	DR087_RS00815	MHP168L_RS03230
OG0000336	DR087_RS04490	MHP168L_RS03390
OG0000337	DR087_RS00385	MHP168L_RS03620
OG0000338	DR087_RS00425	MHP168L_RS03660
OG0000339	DR087_RS01745	MHP168L_RS02355
OG0000340	DR087_RS01215	MHP168L_RS01400
OG0000341	DR087_RS00255	MHP168L_RS02310
OG0000342	DR087_RS02225	MHP168L_RS00930
OG0000343	DR087_RS00920	MHP168L_RS03130
OG0000344	DR087_RS02910	MHP168L_RS00560
OG0000345	DR087_RS02715	MHP168L_RS00640
OG0000346	DR087_RS00635	MHP168L_RS03395
OG0000347	DR087_RS01125	MHP168L_RS01495
OG0000348	DR087_RS02300	MHP168L_RS00860
OG0000349	DR087_RS04500	MHP168L_RS03450
OG0000350	DR087_RS03265	MHP168L_RS02790
OG0000351	DR087_RS03115	MHP168L_RS00475
OG0000352	DR087_RS01525	MHP168L_RS02025
OG0000353	DR087_RS01155	MHP168L_RS01465
OG0000354	DR087_RS03150	MHP168L_RS01015
OG0000355	DR087_RS04595	MHP168L_RS01995
OG0000356	DR087_RS04395	MHP168L_RS02080
OG0000357	DR087_RS04525	MHP168L_RS03090
OG0000358	DR087_RS00955	MHP168L_RS03095
OG0000359	DR087_RS04665	MHP168L_RS00890
