Orthogroup	MHP_J_genes	MHP_F72C_genes
OG0000153	MHJ_RS02735	EHI52_RS02765
OG0000154	MHJ_RS02725	EHI52_RS02755
OG0000155	MHJ_RS02685	EHI52_RS02715
OG0000156	MHJ_RS02675	EHI52_RS02705
OG0000157	MHJ_RS02670	EHI52_RS02700
OG0000158	MHJ_RS04010	EHI52_RS03885
OG0000159	MHJ_RS04030	EHI52_RS03925
OG0000160	MHJ_RS02410	EHI52_RS02460
OG0000161	MHJ_RS02405	EHI52_RS02455
OG0000162	MHJ_RS02395	EHI52_RS02445
OG0000163	MHJ_RS02390	EHI52_RS02440
OG0000164	MHJ_RS01565	EHI52_RS01665
OG0000165	MHJ_RS01890	EHI52_RS01995
OG0000166	MHJ_RS01915	EHI52_RS01975
OG0000167	MHJ_RS01930	EHI52_RS01960
OG0000168	MHJ_RS01935	EHI52_RS01955
OG0000169	MHJ_RS03005	EHI52_RS03055
OG0000170	MHJ_RS03035	EHI52_RS03075
OG0000171	MHJ_RS03045	EHI52_RS03085
OG0000172	MHJ_RS03050	EHI52_RS03095
OG0000173	MHJ_RS03055	EHI52_RS03100
OG0000174	MHJ_RS03060	EHI52_RS03105
OG0000175	MHJ_RS03075	EHI52_RS03120
OG0000176	MHJ_RS03125	EHI52_RS03170
OG0000177	MHJ_RS03130	EHI52_RS03175
OG0000178	MHJ_RS03135	EHI52_RS03180
OG0000179	MHJ_RS03145	EHI52_RS03190
OG0000180	MHJ_RS03150	EHI52_RS03195
OG0000181	MHJ_RS03200	EHI52_RS03235
OG0000182	MHJ_RS03210	EHI52_RS03245
OG0000183	MHJ_RS03245	EHI52_RS03280
OG0000184	MHJ_RS03285	EHI52_RS03325
OG0000185	MHJ_RS03270	EHI52_RS03310
OG0000186	MHJ_RS01495	EHI52_RS01585
OG0000187	MHJ_RS01510	EHI52_RS01600
OG0000188	MHJ_RS01520	EHI52_RS01610
OG0000189	MHJ_RS02250	EHI52_RS02310
OG0000190	MHJ_RS02245	EHI52_RS02305
OG0000191	MHJ_RS02225	EHI52_RS02285
OG0000192	MHJ_RS01190	EHI52_RS01280
OG0000193	MHJ_RS01180	EHI52_RS01270
OG0000194	MHJ_RS00670	EHI52_RS00690
OG0000195	MHJ_RS00675	EHI52_RS00695
OG0000196	MHJ_RS00695	EHI52_RS00715
OG0000197	MHJ_RS00700	EHI52_RS00720
OG0000198	MHJ_RS00715	EHI52_RS00735
OG0000199	MHJ_RS00720	EHI52_RS00740
OG0000200	MHJ_RS00730	EHI52_RS00755
OG0000201	MHJ_RS00740	EHI52_RS00765
OG0000202	MHJ_RS00795	EHI52_RS00820
OG0000203	MHJ_RS00800	EHI52_RS00825
OG0000204	MHJ_RS00805	EHI52_RS00830
OG0000205	MHJ_RS00810	EHI52_RS00835
OG0000206	MHJ_RS00830	EHI52_RS00855
OG0000207	MHJ_RS00845	EHI52_RS00870
OG0000208	MHJ_RS00850	EHI52_RS00875
OG0000209	MHJ_RS00855	EHI52_RS00880
OG0000210	MHJ_RS00900	EHI52_RS00925
OG0000211	MHJ_RS00910	EHI52_RS01005
OG0000212	MHJ_RS00920	EHI52_RS01015
OG0000213	MHJ_RS00925	EHI52_RS01020
OG0000214	MHJ_RS00930	EHI52_RS01025
OG0000215	MHJ_RS00935	EHI52_RS01030
OG0000216	MHJ_RS00940	EHI52_RS01035
OG0000217	MHJ_RS00945	EHI52_RS01040
OG0000218	MHJ_RS00955	EHI52_RS01050
OG0000219	MHJ_RS00960	EHI52_RS01055
OG0000220	MHJ_RS00965	EHI52_RS01060
OG0000221	MHJ_RS00970	EHI52_RS01065
OG0000222	MHJ_RS00975	EHI52_RS01070
OG0000223	MHJ_RS00980	EHI52_RS01075
OG0000224	MHJ_RS00990	EHI52_RS01085
OG0000225	MHJ_RS01000	EHI52_RS01095
OG0000226	MHJ_RS01005	EHI52_RS01100
OG0000227	MHJ_RS01010	EHI52_RS01105
OG0000228	MHJ_RS04015	EHI52_RS03905
OG0000229	MHJ_RS01020	EHI52_RS01115
OG0000230	MHJ_RS01025	EHI52_RS01120
OG0000231	MHJ_RS01035	EHI52_RS01130
OG0000232	MHJ_RS01045	EHI52_RS01140
OG0000233	MHJ_RS01065	EHI52_RS01165
OG0000234	MHJ_RS01100	EHI52_RS01200
OG0000235	MHJ_RS01110	EHI52_RS01210
OG0000236	MHJ_RS01115	EHI52_RS01215
OG0000237	MHJ_RS01120	EHI52_RS01220
OG0000238	MHJ_RS01130	EHI52_RS01230
OG0000239	MHJ_RS02925	EHI52_RS02935
OG0000240	MHJ_RS02930	EHI52_RS02940
OG0000241	MHJ_RS02940	EHI52_RS02950
OG0000242	MHJ_RS02945	EHI52_RS02955
OG0000243	MHJ_RS02950	EHI52_RS02960
OG0000244	MHJ_RS02960	EHI52_RS02970
OG0000245	MHJ_RS02970	EHI52_RS02980
OG0000246	MHJ_RS00115	EHI52_RS00140
OG0000247	MHJ_RS00125	EHI52_RS00150
OG0000248	MHJ_RS00135	EHI52_RS00160
OG0000249	MHJ_RS00140	EHI52_RS00165
OG0000250	MHJ_RS00155	EHI52_RS00180
OG0000251	MHJ_RS00185	EHI52_RS00215
OG0000252	MHJ_RS00195	EHI52_RS00225
OG0000253	MHJ_RS00200	EHI52_RS00230
OG0000254	MHJ_RS00210	EHI52_RS00240
OG0000255	MHJ_RS00220	EHI52_RS00250
OG0000256	MHJ_RS00225	EHI52_RS00255
OG0000257	MHJ_RS00250	EHI52_RS00280
OG0000258	MHJ_RS00260	EHI52_RS00290
OG0000259	MHJ_RS00290	EHI52_RS00320
OG0000260	MHJ_RS00300	EHI52_RS00330
OG0000261	MHJ_RS00310	EHI52_RS00340
OG0000262	MHJ_RS00325	EHI52_RS00360
OG0000263	MHJ_RS00340	EHI52_RS00375
OG0000264	MHJ_RS00355	EHI52_RS00390
OG0000265	MHJ_RS00365	EHI52_RS00400
OG0000266	MHJ_RS00380	EHI52_RS00415
OG0000267	MHJ_RS00395	EHI52_RS00430
OG0000268	MHJ_RS00400	EHI52_RS00435
OG0000269	MHJ_RS00415	EHI52_RS00450
OG0000270	MHJ_RS03460	EHI52_RS03490
OG0000271	MHJ_RS03455	EHI52_RS03485
OG0000272	MHJ_RS03450	EHI52_RS03480
OG0000273	MHJ_RS03445	EHI52_RS03475
OG0000274	MHJ_RS03425	EHI52_RS03455
OG0000275	MHJ_RS03420	EHI52_RS03450
OG0000276	MHJ_RS03415	EHI52_RS03445
OG0000277	MHJ_RS03405	EHI52_RS03435
OG0000278	MHJ_RS03400	EHI52_RS03430
OG0000279	MHJ_RS03390	EHI52_RS03420
OG0000280	MHJ_RS03385	EHI52_RS03415
OG0000281	MHJ_RS03705	EHI52_RS03410
OG0000282	MHJ_RS03360	EHI52_RS03385
OG0000283	MHJ_RS03355	EHI52_RS03380
OG0000284	MHJ_RS03350	EHI52_RS03375
OG0000285	MHJ_RS03345	EHI52_RS03370
OG0000286	MHJ_RS02375	EHI52_RS02425
OG0000287	MHJ_RS02475	EHI52_RS02515
OG0000288	MHJ_RS02485	EHI52_RS02525
OG0000289	MHJ_RS02495	EHI52_RS02530
OG0000290	MHJ_RS02605	EHI52_RS02640
OG0000291	MHJ_RS02595	EHI52_RS02630
OG0000292	MHJ_RS02590	EHI52_RS02625
OG0000293	MHJ_RS02585	EHI52_RS02620
OG0000294	MHJ_RS02570	EHI52_RS02610
OG0000295	MHJ_RS02565	EHI52_RS02605
OG0000296	MHJ_RS02525	EHI52_RS02565
OG0000297	MHJ_RS02520	EHI52_RS02560
OG0000298	MHJ_RS00150	EHI52_RS00175
OG0000299	MHJ_RS00170	EHI52_RS00200
OG0000300	MHJ_RS00350	EHI52_RS00385
OG0000301	MHJ_RS00385	EHI52_RS00420
OG0000302	MHJ_RS00390	EHI52_RS00425
OG0000303	MHJ_RS00545	EHI52_RS00575
OG0000304	MHJ_RS01050	EHI52_RS01145
OG0000305	MHJ_RS02850	EHI52_RS02870
OG0000306	MHJ_RS02775	EHI52_RS02795
OG0000307	MHJ_RS02730	EHI52_RS02760
OG0000308	MHJ_RS02625	EHI52_RS02660
OG0000309	MHJ_RS02555	EHI52_RS02595
OG0000310	MHJ_RS02480	EHI52_RS02520
OG0000311	MHJ_RS02435	EHI52_RS02485
OG0000312	MHJ_RS02420	EHI52_RS02470
OG0000313	MHJ_RS01555	EHI52_RS01655
OG0000314	MHJ_RS01910	EHI52_RS01980
OG0000315	MHJ_RS01940	EHI52_RS01950
OG0000316	MHJ_RS01950	EHI52_RS01940
OG0000317	MHJ_RS02040	EHI52_RS01850
OG0000318	MHJ_RS01955	EHI52_RS01935
OG0000319	MHJ_RS02180	EHI52_RS02240
OG0000320	MHJ_RS02305	EHI52_RS02370
OG0000321	MHJ_RS01305	EHI52_RS01395
OG0000322	MHJ_RS01350	EHI52_RS01440
OG0000323	MHJ_RS01480	EHI52_RS01570
OG0000324	MHJ_RS02220	EHI52_RS02280
OG0000325	MHJ_RS00680	EHI52_RS00700
OG0000326	MHJ_RS00770	EHI52_RS00795
OG0000327	MHJ_RS00775	EHI52_RS00800
OG0000328	MHJ_RS00860	EHI52_RS00885
OG0000329	MHJ_RS00880	EHI52_RS00905
OG0000330	MHJ_RS01075	EHI52_RS01175
OG0000331	MHJ_RS02955	EHI52_RS02965
OG0000332	MHJ_RS03085	EHI52_RS03130
OG0000333	MHJ_RS03095	EHI52_RS03140
OG0000334	MHJ_RS03205	EHI52_RS03240
OG0000335	MHJ_RS03215	EHI52_RS03250
OG0000336	MHJ_RS03375	EHI52_RS03400
OG0000337	MHJ_RS03535	EHI52_RS03575
OG0000338	MHJ_RS03575	EHI52_RS03615
OG0000339	MHJ_RS02280	EHI52_RS02340
OG0000340	MHJ_RS01285	EHI52_RS01375
OG0000341	MHJ_RS02240	EHI52_RS02300
OG0000342	MHJ_RS00710	EHI52_RS00730
OG0000343	MHJ_RS03105	EHI52_RS03150
OG0000344	MHJ_RS00560	EHI52_RS00590
OG0000345	MHJ_RS00995	EHI52_RS01090
OG0000346	MHJ_RS03380	EHI52_RS03405
OG0000347	MHJ_RS01375	EHI52_RS01465
OG0000348	MHJ_RS00780	EHI52_RS00805
