Orthogroup	MHP_NCTC10127_genes	MFC_Ms42_genes
OG0000307	EXC50_RS01610	MYF_RS00810
OG0000308	EXC50_RS01510	MYF_RS00895
OG0000309	EXC50_RS01445	MYF_RS01005
OG0000310	EXC50_RS01370	MYF_RS01085
OG0000311	EXC50_RS01330	MYF_RS01140
OG0000312	EXC50_RS01315	MYF_RS01160
OG0000313	EXC50_RS00540	MYF_RS01210
OG0000314	EXC50_RS00900	MYF_RS01280
OG0000315	EXC50_RS00930	MYF_RS01310
OG0000316	EXC50_RS00940	MYF_RS01320
OG0000317	EXC50_RS01030	MYF_RS01360
OG0000318	EXC50_RS00945	MYF_RS01450
OG0000319	EXC50_RS01080	MYF_RS01555
OG0000320	EXC50_RS01215	MYF_RS01620
OG0000321	EXC50_RS02755	MYF_RS01685
OG0000322	EXC50_RS02710	MYF_RS01730
OG0000323	EXC50_RS02580	MYF_RS01860
OG0000324	EXC50_RS01120	MYF_RS01960
OG0000325	EXC50_RS03385	MYF_RS02000
OG0000326	EXC50_RS03290	MYF_RS02090
OG0000327	EXC50_RS03285	MYF_RS02095
OG0000328	EXC50_RS03200	MYF_RS02180
OG0000329	EXC50_RS03180	MYF_RS02200
OG0000330	EXC50_RS02985	MYF_RS02380
OG0000331	EXC50_RS01815	MYF_RS02495
OG0000332	EXC50_RS01950	MYF_RS02635
OG0000333	EXC50_RS01960	MYF_RS02645
OG0000334	EXC50_RS02065	MYF_RS02715
OG0000335	EXC50_RS02075	MYF_RS02725
OG0000336	EXC50_RS02245	MYF_RS02870
OG0000337	EXC50_RS02415	MYF_RS03105
OG0000338	EXC50_RS02455	MYF_RS03145
OG0000339	EXC50_RS01185	MYF_RS01640
OG0000340	EXC50_RS02775	MYF_RS01665
OG0000341	EXC50_RS01140	MYF_RS01940
OG0000342	EXC50_RS03355	MYF_RS02030
OG0000343	EXC50_RS01970	MYF_RS02655
OG0000344	EXC50_RS03510	MYF_RS00530
OG0000345	EXC50_RS03065	MYF_RS02310
OG0000346	EXC50_RS02250	MYF_RS02875
OG0000347	EXC50_RS02685	MYF_RS01755
OG0000348	EXC50_RS03280	MYF_RS02100
OG0000349	EXC50_RS02310	MYF_RS02930
OG0000350	EXC50_RS01600	MYF_RS03360
OG0000351	EXC50_RS03590	MYF_RS00465
OG0000352	EXC50_RS00880	MYF_RS01260
OG0000353	EXC50_RS02715	MYF_RS01725
OG0000354	EXC50_RS03450	MYF_RS00580
OG0000355	EXC50_RS00850	MYF_RS01235
OG0000356	EXC50_RS00935	MYF_RS01315
OG0000357	EXC50_RS01930	MYF_RS02615
OG0000358	EXC50_RS01935	MYF_RS02620
OG0000359	EXC50_RS03310	MYF_RS02070
OG0000360	EXC50_RS00285	MYF_RS00240
OG0000361	EXC50_RS00315	MYF_RS00270
OG0000362	EXC50_RS01390	MYF_RS01065
OG0000363	EXC50_RS02645	MYF_RS01795
OG0000365	EXC50_RS00975	MYF_RS01420
OG0000366	EXC50_RS01000	MYF_RS01390
OG0000367	EXC50_RS01010	MYF_RS01380
OG0000368	EXC50_RS00060	MYF_RS00060
OG0000369	EXC50_RS00025	MYF_RS00025
OG0000370	EXC50_RS00020	MYF_RS00020
OG0000371	EXC50_RS00015	MYF_RS00015
OG0000372	EXC50_RS00010	MYF_RS00010
OG0000373	EXC50_RS02445	MYF_RS03135
OG0000374	EXC50_RS02435	MYF_RS03125
OG0000375	EXC50_RS01075	MYF_RS01550
OG0000376	EXC50_RS01230	MYF_RS01605
OG0000377	EXC50_RS01220	MYF_RS01615
OG0000378	EXC50_RS02795	MYF_RS01650
OG0000379	EXC50_RS02720	MYF_RS01720
OG0000380	EXC50_RS02695	MYF_RS01745
OG0000381	EXC50_RS02655	MYF_RS01785
OG0000382	EXC50_RS02625	MYF_RS01815
OG0000383	EXC50_RS02585	MYF_RS01855
OG0000384	EXC50_RS03570	MYF_RS00470
OG0000385	EXC50_RS03565	MYF_RS00475
OG0000386	EXC50_RS03545	MYF_RS00495
OG0000387	EXC50_RS03520	MYF_RS00520
OG0000388	EXC50_RS03515	MYF_RS00525
OG0000389	EXC50_RS03470	MYF_RS00560
OG0000390	EXC50_RS01740	MYF_RS00670
OG0000391	EXC50_RS01730	MYF_RS00680
OG0000392	EXC50_RS01705	MYF_RS00705
OG0000393	EXC50_RS01650	MYF_RS00760
OG0000394	EXC50_RS01575	MYF_RS00825
OG0000395	EXC50_RS01570	MYF_RS00830
OG0000396	EXC50_RS01275	MYF_RS01200
OG0000397	EXC50_RS00865	MYF_RS01245
OG0000398	EXC50_RS00870	MYF_RS01250
OG0000399	EXC50_RS00915	MYF_RS01295
OG0000400	EXC50_RS01895	MYF_RS02580
OG0000401	EXC50_RS01955	MYF_RS02640
OG0000402	EXC50_RS01965	MYF_RS02650
OG0000403	EXC50_RS01975	MYF_RS02660
OG0000404	EXC50_RS02005	MYF_RS02685
OG0000405	EXC50_RS02020	MYF_RS02700
OG0000406	EXC50_RS02080	MYF_RS02730
OG0000407	EXC50_RS02085	MYF_RS02735
OG0000408	EXC50_RS02090	MYF_RS02740
OG0000409	EXC50_RS02095	MYF_RS02745
OG0000410	EXC50_RS02155	MYF_RS02780
OG0000411	EXC50_RS02145	MYF_RS02790
OG0000412	EXC50_RS02140	MYF_RS02795
OG0000413	EXC50_RS02570	MYF_RS01890
OG0000414	EXC50_RS02560	MYF_RS01900
OG0000415	EXC50_RS02555	MYF_RS01905
OG0000416	EXC50_RS02545	MYF_RS01915
OG0000417	EXC50_RS01135	MYF_RS01945
OG0000418	EXC50_RS01130	MYF_RS01950
OG0000419	EXC50_RS03375	MYF_RS02010
OG0000420	EXC50_RS03340	MYF_RS02045
OG0000421	EXC50_RS03305	MYF_RS02075
OG0000422	EXC50_RS03295	MYF_RS02085
OG0000423	EXC50_RS03240	MYF_RS02140
OG0000424	EXC50_RS03235	MYF_RS02145
OG0000425	EXC50_RS03225	MYF_RS02155
OG0000426	EXC50_RS03220	MYF_RS02160
OG0000427	EXC50_RS03195	MYF_RS02185
OG0000428	EXC50_RS03170	MYF_RS02210
OG0000429	EXC50_RS03075	MYF_RS02300
OG0000430	EXC50_RS03030	MYF_RS02345
OG0000431	EXC50_RS03020	MYF_RS02355
OG0000432	EXC50_RS02990	MYF_RS02375
OG0000433	EXC50_RS02975	MYF_RS02385
OG0000434	EXC50_RS02970	MYF_RS02390
OG0000435	EXC50_RS02955	MYF_RS02405
OG0000436	EXC50_RS02925	MYF_RS02440
OG0000437	EXC50_RS02915	MYF_RS02450
OG0000438	EXC50_RS02910	MYF_RS02455
OG0000439	EXC50_RS02905	MYF_RS02460
OG0000440	EXC50_RS01795	MYF_RS02475
OG0000441	EXC50_RS01835	MYF_RS02515
OG0000442	EXC50_RS00145	MYF_RS00090
OG0000443	EXC50_RS00195	MYF_RS00150
OG0000444	EXC50_RS00210	MYF_RS00165
OG0000445	EXC50_RS00235	MYF_RS00190
OG0000446	EXC50_RS00265	MYF_RS00220
OG0000447	EXC50_RS00270	MYF_RS00225
OG0000448	EXC50_RS00300	MYF_RS00255
OG0000449	EXC50_RS00325	MYF_RS00280
OG0000450	EXC50_RS00335	MYF_RS00290
OG0000451	EXC50_RS00380	MYF_RS00330
OG0000452	EXC50_RS00410	MYF_RS00355
OG0000453	EXC50_RS03660	MYF_RS00390
OG0000454	EXC50_RS03725, EXC50_RS03855, EXC50_RS03675	MYF_RS03480, MYF_RS03485
OG0000455	EXC50_RS02355	MYF_RS02975
OG0000456	EXC50_RS02235	MYF_RS02860
OG0000457	EXC50_RS02210	MYF_RS02835
OG0000458	EXC50_RS01360	MYF_RS01095
OG0000459	EXC50_RS01385	MYF_RS01070
OG0000460	EXC50_RS01395	MYF_RS01060
OG0000461	EXC50_RS01440	MYF_RS01010
OG0000462	EXC50_RS01435	MYF_RS01015
OG0000463	EXC50_RS01430	MYF_RS01020
OG0000464	EXC50_RS01425	MYF_RS01030
OG0000465	EXC50_RS01420	MYF_RS01035
OG0000466	EXC50_RS00415	MYF_RS00360
OG0000467	EXC50_RS01520	MYF_RS03505
OG0000468	EXC50_RS00910	MYF_RS01290
OG0000469	EXC50_RS00970	MYF_RS01425
OG0000470	EXC50_RS03950	MYF_RS02135
OG0000471	EXC50_RS03165	MYF_RS02215
OG0000472	EXC50_RS02165	MYF_RS03535
OG0000473	EXC50_RS02340	MYF_RS02960
OG0000474	EXC50_RS02345	MYF_RS02965
OG0000475	EXC50_RS02350	MYF_RS02970
OG0000476	EXC50_RS02535	MYF_RS03040
OG0000477	EXC50_RS01465	MYF_RS00930
OG0000478	EXC50_RS02285	MYF_RS02905
OG0000479	EXC50_RS02760	MYF_RS01680
OG0000480	EXC50_RS03895	MYF_RS03350
OG0000481	EXC50_RS03270	MYF_RS02110
OG0000482	EXC50_RS02875	MYF_RS01975
OG0000483	EXC50_RS01015	MYF_RS01375
OG0000484	EXC50_RS00205	MYF_RS00160
OG0000485	EXC50_RS02920	MYF_RS02445
OG0000486	EXC50_RS01155	MYF_RS01925
OG0000487	EXC50_RS00950	MYF_RS01445
OG0000488	EXC50_RS00985	MYF_RS01405
OG0000489	EXC50_RS00050	MYF_RS00050
OG0000490	EXC50_RS02450	MYF_RS03140
OG0000491	EXC50_RS02740	MYF_RS01700
OG0000492	EXC50_RS02665	MYF_RS01775
OG0000493	EXC50_RS03505	MYF_RS00535
OG0000494	EXC50_RS03445	MYF_RS00585
OG0000495	EXC50_RS01675	MYF_RS00735
