Orthogroup	MHP_NCTC10127_genes	MHP_MHP709_genes
OG0000381	EXC50_RS02655	DR088_RS02470
OG0000382	EXC50_RS02625	DR088_RS02500
OG0000383	EXC50_RS02585	DR088_RS02540
OG0000384	EXC50_RS03570	DR088_RS03375
OG0000385	EXC50_RS03565	DR088_RS03380
OG0000386	EXC50_RS03545	DR088_RS03090
OG0000387	EXC50_RS03520	DR088_RS03065
OG0000388	EXC50_RS03515	DR088_RS04570
OG0000389	EXC50_RS03470	DR088_RS00765
OG0000390	EXC50_RS01740	DR088_RS00315
OG0000391	EXC50_RS01730	DR088_RS00305
OG0000392	EXC50_RS01705	DR088_RS00280
OG0000393	EXC50_RS01650	DR088_RS04310
OG0000394	EXC50_RS01575	DR088_RS00150
OG0000395	EXC50_RS01570	DR088_RS00145
OG0000396	EXC50_RS01275	DR088_RS02960
OG0000397	EXC50_RS00865	DR088_RS00530
OG0000398	EXC50_RS00870	DR088_RS00535
OG0000399	EXC50_RS00915	DR088_RS00580
OG0000400	EXC50_RS01895	DR088_RS01395
OG0000401	EXC50_RS01955	DR088_RS01460
OG0000402	EXC50_RS01965	DR088_RS01470
OG0000403	EXC50_RS01975	DR088_RS01480
OG0000404	EXC50_RS02005	DR088_RS01510
OG0000405	EXC50_RS02020	DR088_RS01525
OG0000406	EXC50_RS02080	DR088_RS01960
OG0000407	EXC50_RS02085	DR088_RS04425
OG0000408	EXC50_RS02090	DR088_RS01970
OG0000409	EXC50_RS02095	DR088_RS01975
OG0000410	EXC50_RS02155	DR088_RS02030
OG0000411	EXC50_RS02145	DR088_RS02020
OG0000412	EXC50_RS02140	DR088_RS02015
OG0000413	EXC50_RS02570	DR088_RS02555
OG0000414	EXC50_RS02560	DR088_RS02565
OG0000415	EXC50_RS02555	DR088_RS02570
OG0000416	EXC50_RS02545	DR088_RS02580
OG0000417	EXC50_RS01135	DR088_RS02925
OG0000418	EXC50_RS01130	DR088_RS02920
OG0000419	EXC50_RS03375	DR088_RS02820
OG0000420	EXC50_RS03340	DR088_RS02785
OG0000421	EXC50_RS03305	DR088_RS02750
OG0000422	EXC50_RS03295	DR088_RS02740
OG0000423	EXC50_RS03240	DR088_RS01780
OG0000424	EXC50_RS03235	DR088_RS01775
OG0000425	EXC50_RS03225	DR088_RS01765
OG0000426	EXC50_RS03220	DR088_RS04405
OG0000427	EXC50_RS03195	DR088_RS04400
OG0000428	EXC50_RS03170	DR088_RS01710
OG0000429	EXC50_RS03075	DR088_RS01615
OG0000430	EXC50_RS03030	DR088_RS01570
OG0000431	EXC50_RS03020	DR088_RS01560
OG0000432	EXC50_RS02990	DR088_RS00795
OG0000433	EXC50_RS02975	DR088_RS00810
OG0000434	EXC50_RS02970	DR088_RS00815
OG0000435	EXC50_RS02955	DR088_RS00830
OG0000436	EXC50_RS02925	DR088_RS00860
OG0000437	EXC50_RS02915	DR088_RS00870
OG0000438	EXC50_RS02910	DR088_RS00875
