Orthogroup	MHP_KM014_genes	MFC_Ms42_genes
OG0000293	CIB43_RS03545	MYF_RS00925
OG0000294	CIB43_RS03540	MYF_RS00935
OG0000295	CIB43_RS03530	MYF_RS00940
OG0000296	CIB43_RS03495	MYF_RS01040
OG0000297	CIB43_RS03485	MYF_RS01045
OG0000298	CIB43_RS00880	MYF_RS00135
OG0000299	CIB43_RS00915	MYF_RS00155
OG0000300	CIB43_RS01090	MYF_RS00335
OG0000301	CIB43_RS01125	MYF_RS00370
OG0000302	CIB43_RS01130	MYF_RS00375
OG0000303	CIB43_RS01455	MYF_RS00515
OG0000304	CIB43_RS01950	MYF_RS00545
OG0000305	CIB43_RS03795	MYF_RS00690
OG0000306	CIB43_RS03725	MYF_RS00770
OG0000307	CIB43_RS03685	MYF_RS00810
OG0000308	CIB43_RS03600	MYF_RS00895
OG0000309	CIB43_RS03520	MYF_RS01005
OG0000310	CIB43_RS03445	MYF_RS01085
OG0000311	CIB43_RS03405	MYF_RS01140
OG0000312	CIB43_RS03390	MYF_RS01160
OG0000313	CIB43_RS02485	MYF_RS01210
OG0000314	CIB43_RS02855	MYF_RS01280
OG0000315	CIB43_RS02885	MYF_RS01310
OG0000316	CIB43_RS02895	MYF_RS01320
OG0000317	CIB43_RS02985	MYF_RS01360
OG0000318	CIB43_RS02900	MYF_RS01450
OG0000319	CIB43_RS03125	MYF_RS01555
OG0000320	CIB43_RS03270	MYF_RS01620
OG0000321	CIB43_RS02200	MYF_RS01685
OG0000322	CIB43_RS02245	MYF_RS01730
OG0000323	CIB43_RS02375	MYF_RS01860
OG0000324	CIB43_RS03170	MYF_RS01960
OG0000325	CIB43_RS01570	MYF_RS02000
OG0000326	CIB43_RS01665	MYF_RS02090
OG0000327	CIB43_RS01670	MYF_RS02095
OG0000328	CIB43_RS01760	MYF_RS02180
OG0000329	CIB43_RS01775	MYF_RS02200
OG0000330	CIB43_RS01970	MYF_RS02380
OG0000331	CIB43_RS03890	MYF_RS02495
OG0000332	CIB43_RS00200	MYF_RS02635
OG0000333	CIB43_RS00210	MYF_RS02645
OG0000334	CIB43_RS00315	MYF_RS02715
OG0000335	CIB43_RS00340	MYF_RS02725
OG0000336	CIB43_RS00485	MYF_RS02870
OG0000337	CIB43_RS00655	MYF_RS03105
OG0000338	CIB43_RS00695	MYF_RS03145
OG0000339	CIB43_RS03235	MYF_RS01640
OG0000340	CIB43_RS02185	MYF_RS01665
OG0000341	CIB43_RS03190	MYF_RS01940
OG0000342	CIB43_RS01600	MYF_RS02030
OG0000343	CIB43_RS00215	MYF_RS02655
OG0000344	CIB43_RS01465	MYF_RS00530
OG0000345	CIB43_RS01890	MYF_RS02310
OG0000346	CIB43_RS00490	MYF_RS02875
OG0000347	CIB43_RS02270	MYF_RS01755
OG0000348	CIB43_RS01685	MYF_RS02100
OG0000349	CIB43_RS00550	MYF_RS02930
OG0000350	CIB43_RS03675	MYF_RS03360
OG0000351	CIB43_RS01385	MYF_RS00465
OG0000352	CIB43_RS02830	MYF_RS01260
OG0000353	CIB43_RS02240	MYF_RS01725
OG0000354	CIB43_RS01515	MYF_RS00580
OG0000355	CIB43_RS02805	MYF_RS01235
OG0000356	CIB43_RS02890	MYF_RS01315
OG0000357	CIB43_RS00175	MYF_RS02615
OG0000358	CIB43_RS00180	MYF_RS02620
OG0000359	CIB43_RS01650	MYF_RS02070
OG0000360	CIB43_RS00990	MYF_RS00240
OG0000361	CIB43_RS01020	MYF_RS00270
OG0000362	CIB43_RS03475	MYF_RS01065
OG0000363	CIB43_RS02310	MYF_RS01795
OG0000369	CIB43_RS00725	MYF_RS00025
OG0000370	CIB43_RS00720	MYF_RS00020
OG0000378	CIB43_RS02160	MYF_RS01650
OG0000379	CIB43_RS02235	MYF_RS01720
OG0000380	CIB43_RS02260	MYF_RS01745
OG0000381	CIB43_RS02300	MYF_RS01785
OG0000385	CIB43_RS01405	MYF_RS00475
OG0000389	CIB43_RS01490	MYF_RS00560
OG0000394	CIB43_RS03660	MYF_RS00825
OG0000396	CIB43_RS03350	MYF_RS01200
OG0000403	CIB43_RS00220	MYF_RS02660
