Orthogroup	MHP_KM014_genes	MHP_133A_genes
OG0000274	CIB43_RS00545	NB626_RS03670
OG0000275	CIB43_RS00535	NB626_RS03660
OG0000276	CIB43_RS00530	NB626_RS03655
OG0000277	CIB43_RS00525	NB626_RS03645
OG0000278	CIB43_RS00515	NB626_RS03640
OG0000279	CIB43_RS00510	NB626_RS03630
OG0000280	CIB43_RS00500	NB626_RS03620
OG0000281	CIB43_RS00495	NB626_RS03615
OG0000283	CIB43_RS00475	NB626_RS03585
OG0000284	CIB43_RS00460	NB626_RS03580
OG0000285	CIB43_RS00455	NB626_RS03575
OG0000286	CIB43_RS03345	NB626_RS02600
OG0000287	CIB43_RS03440	NB626_RS02700
OG0000288	CIB43_RS03450	NB626_RS02710
OG0000289	CIB43_RS03455	NB626_RS02715
OG0000290	CIB43_RS03565	NB626_RS02830
OG0000291	CIB43_RS03560	NB626_RS02820
OG0000292	CIB43_RS03550	NB626_RS02815
OG0000293	CIB43_RS03545	NB626_RS02810
OG0000294	CIB43_RS03540	NB626_RS02800
OG0000295	CIB43_RS03530	NB626_RS02795
OG0000296	CIB43_RS03495	NB626_RS02750
OG0000297	CIB43_RS03485	NB626_RS02745
OG0000298	CIB43_RS00880	NB626_RS00175
OG0000299	CIB43_RS00915	NB626_RS00195
OG0000300	CIB43_RS01090	NB626_RS00375
OG0000301	CIB43_RS01125	NB626_RS00410
OG0000302	CIB43_RS01130	NB626_RS00415
OG0000303	CIB43_RS01455	NB626_RS00660
OG0000304	CIB43_RS01950	NB626_RS01200
OG0000305	CIB43_RS03795	NB626_RS03065
OG0000306	CIB43_RS03725	NB626_RS02990
OG0000307	CIB43_RS03685	NB626_RS02950
OG0000308	CIB43_RS03600	NB626_RS02850
OG0000309	CIB43_RS03520	NB626_RS02785
OG0000310	CIB43_RS03445	NB626_RS02705
OG0000311	CIB43_RS03405	NB626_RS02660
OG0000312	CIB43_RS03390	NB626_RS02645
OG0000313	CIB43_RS02485	NB626_RS01705
OG0000314	CIB43_RS02855	NB626_RS02085
OG0000315	CIB43_RS02885	NB626_RS02115
OG0000316	CIB43_RS02895	NB626_RS02125
OG0000317	CIB43_RS02985	NB626_RS02225
OG0000318	CIB43_RS02900	NB626_RS02130
OG0000319	CIB43_RS03125	NB626_RS02385
OG0000320	CIB43_RS03270	NB626_RS02525
OG0000321	CIB43_RS02200	NB626_RS01450
OG0000322	CIB43_RS02245	NB626_RS01500
OG0000323	CIB43_RS02375	NB626_RS01630
OG0000324	CIB43_RS03170	NB626_RS02425
OG0000325	CIB43_RS01570	NB626_RS00805
OG0000326	CIB43_RS01665	NB626_RS00910
