Orthogroup	MHP_KM014_genes	MHP_MHP699_genes
OG0000280	CIB43_RS00500	DR100_RS01385
OG0000281	CIB43_RS00495	DR100_RS01390
OG0000283	CIB43_RS00475	DR100_RS01420
OG0000284	CIB43_RS00460	DR100_RS01425
OG0000285	CIB43_RS00455	DR100_RS04685
OG0000286	CIB43_RS03345	DR100_RS02690
OG0000287	CIB43_RS03440	DR100_RS01950
OG0000288	CIB43_RS03450	DR100_RS01940
OG0000289	CIB43_RS03455	DR100_RS01935
OG0000290	CIB43_RS03565	DR100_RS01825
OG0000291	CIB43_RS03560	DR100_RS01835
OG0000292	CIB43_RS03550	DR100_RS01840
OG0000293	CIB43_RS03545	DR100_RS01845
OG0000294	CIB43_RS03540	DR100_RS01855
OG0000295	CIB43_RS03530	DR100_RS01860
OG0000296	CIB43_RS03495	DR100_RS01900
OG0000297	CIB43_RS03485	DR100_RS01905
OG0000298	CIB43_RS00880	DR100_RS00680
OG0000299	CIB43_RS00915	DR100_RS00655
OG0000300	CIB43_RS01090	DR100_RS00475
OG0000301	CIB43_RS01125	DR100_RS00440
OG0000302	CIB43_RS01130	DR100_RS00435
OG0000303	CIB43_RS01455	DR100_RS02635
OG0000304	CIB43_RS01950	DR100_RS03515
OG0000305	CIB43_RS03795	DR100_RS01710
OG0000306	CIB43_RS03725	DR100_RS01785
OG0000307	CIB43_RS03685	DR100_RS03300
OG0000308	CIB43_RS03600	DR100_RS01805
OG0000309	CIB43_RS03520	DR100_RS01870
OG0000310	CIB43_RS03445	DR100_RS01945
OG0000311	CIB43_RS03405	DR100_RS02750
OG0000312	CIB43_RS03390	DR100_RS02735
OG0000313	CIB43_RS02485	DR100_RS03420
OG0000314	CIB43_RS02855	DR100_RS01965
OG0000315	CIB43_RS02885	DR100_RS02805
OG0000316	CIB43_RS02895	DR100_RS02795
OG0000317	CIB43_RS02985	DR100_RS02550
OG0000318	CIB43_RS02900	DR100_RS04815
OG0000319	CIB43_RS03125	DR100_RS03005
OG0000320	CIB43_RS03270	DR100_RS02255
OG0000321	CIB43_RS02200	DR100_RS00255
OG0000322	CIB43_RS02245	DR100_RS00300
OG0000323	CIB43_RS02375	DR100_RS02395
OG0000324	CIB43_RS03170	DR100_RS03205
OG0000325	CIB43_RS01570	DR100_RS00800
OG0000326	CIB43_RS01665	DR100_RS00895
OG0000327	CIB43_RS01670	DR100_RS00900
OG0000328	CIB43_RS01760	DR100_RS00985
OG0000329	CIB43_RS01775	DR100_RS01005
OG0000330	CIB43_RS01970	DR100_RS00020
OG0000331	CIB43_RS03890	DR100_RS03150
OG0000332	CIB43_RS00200	DR100_RS01525
OG0000333	CIB43_RS00210	DR100_RS01535
OG0000334	CIB43_RS00315	DR100_RS03055
OG0000335	CIB43_RS00340	DR100_RS03065
OG0000336	CIB43_RS00485	DR100_RS04675
OG0000337	CIB43_RS00655	DR100_RS01235
OG0000338	CIB43_RS00695	DR100_RS01195
OG0000339	CIB43_RS03235	DR100_RS03470
OG0000340	CIB43_RS02185	DR100_RS00235
OG0000341	CIB43_RS03190	DR100_RS03225
OG0000342	CIB43_RS01600	DR100_RS00830
OG0000343	CIB43_RS00215	DR100_RS01545
OG0000344	CIB43_RS01465	DR100_RS02620
OG0000345	CIB43_RS01890	DR100_RS02880
OG0000346	CIB43_RS00490	DR100_RS01395
OG0000347	CIB43_RS02270	DR100_RS00325
OG0000348	CIB43_RS01685	DR100_RS00905
OG0000349	CIB43_RS00550	DR100_RS04665
OG0000350	CIB43_RS03675	DR100_RS03290
OG0000351	CIB43_RS01385	DR100_RS00350
OG0000352	CIB43_RS02830	DR100_RS01985
OG0000353	CIB43_RS02240	DR100_RS00295
OG0000354	CIB43_RS01515	DR100_RS00750
OG0000355	CIB43_RS02805	DR100_RS04730
OG0000356	CIB43_RS02890	DR100_RS04820
OG0000357	CIB43_RS00175	DR100_RS04705
OG0000358	CIB43_RS00180	DR100_RS01510
OG0000359	CIB43_RS01650	DR100_RS04590
OG0000360	CIB43_RS00990	DR100_RS00570
OG0000361	CIB43_RS01020	DR100_RS00540
OG0000362	CIB43_RS03475	DR100_RS01925
OG0000363	CIB43_RS02310	DR100_RS02330
OG0000364	CIB43_RS02775	DR100_RS02040
OG0000369	CIB43_RS00725	DR100_RS04640
OG0000370	CIB43_RS00720	DR100_RS01170
OG0000378	CIB43_RS02160	DR100_RS00215
OG0000379	CIB43_RS02235	DR100_RS00290
OG0000380	CIB43_RS02260	DR100_RS00315
OG0000381	CIB43_RS02300	DR100_RS02320
OG0000385	CIB43_RS01405	DR100_RS02675
OG0000389	CIB43_RS01490	DR100_RS00730
OG0000394	CIB43_RS03660	DR100_RS02510
OG0000396	CIB43_RS03350	DR100_RS02695
OG0000403	CIB43_RS00220	DR100_RS01550
OG0000404	CIB43_RS00250	DR100_RS03345
OG0000405	CIB43_RS00265	DR100_RS03365
OG0000409	CIB43_RS00345	DR100_RS03085
OG0000412	CIB43_RS00390	DR100_RS03190
OG0000417	CIB43_RS03185	DR100_RS03220
OG0000428	CIB43_RS01785	DR100_RS01015
OG0000429	CIB43_RS01885	DR100_RS02890
OG0000430	CIB43_RS01925	DR100_RS02845
OG0000434	CIB43_RS01985	DR100_RS00035
OG0000436	CIB43_RS02030	DR100_RS00080
OG0000437	CIB43_RS02065	DR100_RS00090
OG0000441	CIB43_RS03910	DR100_RS03170
OG0000451	CIB43_RS01085	DR100_RS00480
OG0000453	CIB43_RS01315	DR100_RS00420
OG0000457	CIB43_RS00450	DR100_RS01435
OG0000459	CIB43_RS03460	DR100_RS01930
OG0000463	CIB43_RS03515	DR100_RS01885
OG0000464	CIB43_RS03500	DR100_RS01890
OG0000466	CIB43_RS01115	DR100_RS00450
OG0000468	CIB43_RS02870	DR100_RS02825
OG0000471	CIB43_RS01790	DR100_RS01020
OG0000473	CIB43_RS00580	DR100_RS01305
OG0000474	CIB43_RS00585	DR100_RS01300
OG0000475	CIB43_RS00595	DR100_RS01295
OG0000482	CIB43_RS02080	DR100_RS00130
OG0000485	CIB43_RS02035	DR100_RS00085
OG0000486	CIB43_RS03205	DR100_RS03240
OG0000487	CIB43_RS02915	DR100_RS04810
OG0000488	CIB43_RS02940	DR100_RS02600
OG0000489	CIB43_RS00750	DR100_RS01140
OG0000491	CIB43_RS02220	DR100_RS00270
OG0000495	CIB43_RS03750	DR100_RS01755
OG0000502	CIB43_RS02070	DR100_RS00120
OG0000504	CIB43_RS01770	DR100_RS00995
OG0000506	CIB43_RS01810	DR100_RS02960
OG0000508	CIB43_RS00980	DR100_RS00595
OG0000517	CIB43_RS00765	DR100_RS01125
OG0000519	CIB43_RS01660	DR100_RS00885
OG0000520	CIB43_RS01780	DR100_RS01010
OG0000523	CIB43_RS00445	DR100_RS01440
OG0000526	CIB43_RS02720	DR100_RS04195
OG0000527	CIB43_RS02640	DR100_RS04455
OG0000529	CIB43_RS03135	DR100_RS03015
OG0000530	CIB43_RS03250	DR100_RS03460
OG0000531	CIB43_RS02265	DR100_RS00320
OG0000537	CIB43_RS01595	DR100_RS00825
OG0000538	CIB43_RS01990	DR100_RS00040
OG0000543	CIB43_RS01215	DR100_RS01640
OG0000544	CIB43_RS02125	DR100_RS04560
OG0000545	CIB43_RS02715	DR100_RS02100
OG0000546	CIB43_RS03705	DR100_RS04445
OG0000552	CIB43_RS00225	DR100_RS01555
OG0000553	CIB43_RS03610	DR100_RS04780
OG0000554	CIB43_RS03295	DR100_RS02285
OG0000556	CIB43_RS01290	DR100_RS04710
OG0000557	CIB43_RS02130	DR100_RS00185
OG0000558	CIB43_RS02100	DR100_RS00155
OG0000559	CIB43_RS02575	DR100_RS02180
OG0000560	CIB43_RS02680	DR100_RS02115
OG0000561	CIB43_RS01980	DR100_RS00025
OG0000562	CIB43_RS02685	DR100_RS02110
OG0000563	CIB43_RS02670	DR100_RS02125
OG0000564	CIB43_RS02155	DR100_RS03935
OG0000565	CIB43_RS02760	DR100_RS02050
OG0000566	CIB43_RS02740	DR100_RS02065
OG0000568	CIB43_RS01555	DR100_RS00785
OG0000569	CIB43_RS02105	DR100_RS00160
OG0000570	CIB43_RS02110	DR100_RS04555
OG0000571	CIB43_RS02115	DR100_RS00170
OG0000572	CIB43_RS02135	DR100_RS00190
OG0000573	CIB43_RS02570	DR100_RS02185
OG0000574	CIB43_RS02175	DR100_RS00230
OG0000575	CIB43_RS02090	DR100_RS00145
OG0000576	CIB43_RS02530	DR100_RS02230
OG0000577	CIB43_RS03580	DR100_RS01810
OG0000579	CIB43_RS02660	DR100_RS03380
OG0000580	CIB43_RS03710	DR100_RS04170
OG0000581	CIB43_RS02645	DR100_RS03395
OG0000584	CIB43_RS01255	DR100_RS01610
OG0000585	CIB43_RS03105	DR100_RS03870
OG0000588	CIB43_RS02525	DR100_RS02235
OG0000589	CIB43_RS03055	DR100_RS03530
OG0000590	CIB43_RS01190	DR100_RS01620
OG0000594	CIB43_RS02095	DR100_RS00150
OG0000595	CIB43_RS03920	DR100_RS03575
OG0000597	CIB43_RS03915	DR100_RS03565
OG0000600	CIB43_RS01175, CIB43_RS00040	DR100_RS01605
OG0000601	CIB43_RS02675	DR100_RS02120
OG0000603	CIB43_RS00060, CIB43_RS01270, CIB43_RS01170	DR100_RS01600
OG0000606	CIB43_RS02655	DR100_RS03390
OG0000608	CIB43_RS02700, CIB43_RS02695, CIB43_RS02705, CIB43_RS02690	DR100_RS02105
OG0000614	CIB43_RS03070	DR100_RS04525
OG0000616	CIB43_RS01280	DR100_RS01580
OG0000642	CIB43_RS03975	DR100_RS01630
