Orthogroup	MFC_MF33_genes	MFC_ATCC27716_genes
OG0000112	DR085_RS01860	MFC_RS00475
OG0000113	DR085_RS03750	MFC_RS00490
OG0000114	DR085_RS01835	MFC_RS00500
OG0000115	DR085_RS01825	MFC_RS00510
OG0000116	DR085_RS01815	MFC_RS00520
OG0000117	DR085_RS01810	MFC_RS00525
OG0000118	DR085_RS01780	MFC_RS00555
OG0000119	DR085_RS01775	MFC_RS00560
OG0000120	DR085_RS01760	MFC_RS00575
OG0000121	DR085_RS01735	MFC_RS00600
OG0000122	DR085_RS01730	MFC_RS00605
OG0000123	DR085_RS01710	MFC_RS00625
OG0000124	DR085_RS01705	MFC_RS00630
OG0000125	DR085_RS01700	MFC_RS00635
OG0000126	DR085_RS01690	MFC_RS00645
OG0000127	DR085_RS01680	MFC_RS00655
OG0000128	DR085_RS01665	MFC_RS00670
OG0000129	DR085_RS01660	MFC_RS00675
OG0000130	DR085_RS01650	MFC_RS00685
OG0000131	DR085_RS01620	MFC_RS00715
OG0000132	DR085_RS03735	MFC_RS00735
OG0000133	DR085_RS00350	MFC_RS00805
OG0000134	DR085_RS03640	MFC_RS00810
OG0000135	DR085_RS00370	MFC_RS00825
OG0000136	DR085_RS00375	MFC_RS00830
OG0000137	DR085_RS00405	MFC_RS00860
OG0000138	DR085_RS00435	MFC_RS00885
OG0000139	DR085_RS00465	MFC_RS00915
OG0000140	DR085_RS00470	MFC_RS00920
OG0000141	DR085_RS00510	MFC_RS00955
OG0000142	DR085_RS03655	MFC_RS00960
OG0000143	DR085_RS00540	MFC_RS00985
OG0000144	DR085_RS00550	MFC_RS00995
OG0000145	DR085_RS00560	MFC_RS01005
OG0000146	DR085_RS00570	MFC_RS01015
OG0000147	DR085_RS00575	MFC_RS01020
OG0000148	DR085_RS00590	MFC_RS01035
OG0000149	DR085_RS00600	MFC_RS01045
OG0000150	DR085_RS00615	MFC_RS01060
OG0000151	DR085_RS00670	MFC_RS01115
OG0000152	DR085_RS00675	MFC_RS01120
OG0000153	DR085_RS00680	MFC_RS01125
OG0000154	DR085_RS00690	MFC_RS01135
OG0000155	DR085_RS00710	MFC_RS01155
OG0000156	DR085_RS00730	MFC_RS01175
OG0000157	DR085_RS03660	MFC_RS01180
OG0000158	DR085_RS03665	MFC_RS01190
OG0000159	DR085_RS00970	MFC_RS01245
