Orthogroup	MHP_ES2_genes	MHP_NCTC10127_genes
OG0000304	E5E95_RS01095	EXC50_RS03010
OG0000305	E5E95_RS03080	EXC50_RS01720
OG0000306	E5E95_RS03005	EXC50_RS01645
OG0000307	E5E95_RS02970	EXC50_RS01610
OG0000308	E5E95_RS02875	EXC50_RS01510
OG0000309	E5E95_RS02800	EXC50_RS01445
OG0000310	E5E95_RS02725	EXC50_RS01370
OG0000311	E5E95_RS02690	EXC50_RS01330
OG0000312	E5E95_RS02675	EXC50_RS01315
OG0000313	E5E95_RS01620	EXC50_RS00540
OG0000314	E5E95_RS02075	EXC50_RS00900
OG0000315	E5E95_RS02105	EXC50_RS00930
OG0000316	E5E95_RS02115	EXC50_RS00940
OG0000317	E5E95_RS02205	EXC50_RS01030
OG0000318	E5E95_RS02120	EXC50_RS00945
OG0000319	E5E95_RS02345	EXC50_RS01080
OG0000320	E5E95_RS02570	EXC50_RS01215
OG0000321	E5E95_RS01350	EXC50_RS02755
OG0000322	E5E95_RS01395	EXC50_RS02710
OG0000323	E5E95_RS01525	EXC50_RS02580
OG0000324	E5E95_RS02385	EXC50_RS01120
OG0000325	E5E95_RS00700	EXC50_RS03385
OG0000326	E5E95_RS00795	EXC50_RS03290
OG0000327	E5E95_RS00800	EXC50_RS03285
OG0000328	E5E95_RS00885	EXC50_RS03200
OG0000329	E5E95_RS00905	EXC50_RS03180
OG0000330	E5E95_RS01120	EXC50_RS02985
OG0000331	E5E95_RS03175	EXC50_RS01815
OG0000332	E5E95_RS03320	EXC50_RS01950
OG0000333	E5E95_RS03330	EXC50_RS01960
OG0000334	E5E95_RS03440	EXC50_RS02065
OG0000335	E5E95_RS03450	EXC50_RS02075
OG0000336	E5E95_RS03620	EXC50_RS02245
OG0000337	E5E95_RS03795	EXC50_RS02415
OG0000338	E5E95_RS03835	EXC50_RS02455
OG0000339	E5E95_RS02540	EXC50_RS01185
OG0000340	E5E95_RS01330	EXC50_RS02775
OG0000341	E5E95_RS02405	EXC50_RS01140
OG0000342	E5E95_RS00730	EXC50_RS03355
OG0000343	E5E95_RS03340	EXC50_RS01970
OG0000344	E5E95_RS00575	EXC50_RS03510
OG0000345	E5E95_RS01040	EXC50_RS03065
OG0000346	E5E95_RS03625	EXC50_RS02250
OG0000347	E5E95_RS01420	EXC50_RS02685
OG0000348	E5E95_RS00805	EXC50_RS03280
OG0000349	E5E95_RS03685	EXC50_RS02310
OG0000350	E5E95_RS02960	EXC50_RS01600
OG0000351	E5E95_RS00495	EXC50_RS03590
OG0000352	E5E95_RS02050	EXC50_RS00880
OG0000353	E5E95_RS01390	EXC50_RS02715
OG0000354	E5E95_RS00635	EXC50_RS03450
OG0000355	E5E95_RS02020	EXC50_RS00850
OG0000356	E5E95_RS02110	EXC50_RS00935
OG0000357	E5E95_RS03300	EXC50_RS01930
OG0000358	E5E95_RS03305	EXC50_RS01935
OG0000359	E5E95_RS00775	EXC50_RS03310
OG0000360	E5E95_RS00275	EXC50_RS00285
OG0000361	E5E95_RS00305	EXC50_RS00315
OG0000362	E5E95_RS02745	EXC50_RS01390
OG0000363	E5E95_RS03985	EXC50_RS02645
OG0000364	E5E95_RS01995	EXC50_RS03915, EXC50_RS03920
OG0000365	E5E95_RS02150	EXC50_RS00975
OG0000366	E5E95_RS02175	EXC50_RS01000
OG0000367	E5E95_RS02185	EXC50_RS01010
OG0000368	E5E95_RS00060	EXC50_RS00060
OG0000369	E5E95_RS00025	EXC50_RS00025
OG0000370	E5E95_RS00020	EXC50_RS00020
OG0000371	E5E95_RS00015	EXC50_RS00015
OG0000372	E5E95_RS00010	EXC50_RS00010
OG0000373	E5E95_RS03825	EXC50_RS02445
OG0000374	E5E95_RS03815	EXC50_RS02435
OG0000375	E5E95_RS02340	EXC50_RS01075
OG0000376	E5E95_RS02585	EXC50_RS01230
OG0000377	E5E95_RS02575	EXC50_RS01220
OG0000378	E5E95_RS01310	EXC50_RS02795
OG0000379	E5E95_RS01385	EXC50_RS02720
OG0000380	E5E95_RS01410	EXC50_RS02695
OG0000381	E5E95_RS01450	EXC50_RS02655
OG0000382	E5E95_RS01480	EXC50_RS02625
OG0000383	E5E95_RS01520	EXC50_RS02585
OG0000384	E5E95_RS00515	EXC50_RS03570
OG0000385	E5E95_RS00520	EXC50_RS03565
OG0000386	E5E95_RS00540	EXC50_RS03545
OG0000387	E5E95_RS00565	EXC50_RS03520
OG0000388	E5E95_RS00570	EXC50_RS03515
OG0000389	E5E95_RS00615	EXC50_RS03470
OG0000390	E5E95_RS03100	EXC50_RS01740
OG0000391	E5E95_RS03090	EXC50_RS01730
OG0000392	E5E95_RS03065	EXC50_RS01705
OG0000393	E5E95_RS03010	EXC50_RS01650
OG0000394	E5E95_RS02940	EXC50_RS01575
OG0000395	E5E95_RS02930	EXC50_RS01570
OG0000397	E5E95_RS02035	EXC50_RS00865
OG0000398	E5E95_RS02040	EXC50_RS00870
OG0000399	E5E95_RS02090	EXC50_RS00915
OG0000400	E5E95_RS03265	EXC50_RS01895
OG0000401	E5E95_RS03325	EXC50_RS01955
OG0000402	E5E95_RS03335	EXC50_RS01965
OG0000403	E5E95_RS03345	EXC50_RS01975
OG0000404	E5E95_RS03375	EXC50_RS02005
OG0000405	E5E95_RS03390	EXC50_RS02020
OG0000406	E5E95_RS03455	EXC50_RS02080
OG0000407	E5E95_RS03460	EXC50_RS02085
OG0000408	E5E95_RS03465	EXC50_RS02090
OG0000409	E5E95_RS03470	EXC50_RS02095
OG0000410	E5E95_RS03530	EXC50_RS02155
OG0000411	E5E95_RS03520	EXC50_RS02145
