Orthogroup	MHP_154B_genes	MHP_112B_genes
OG0000224	NB624_RS00660	NBX26_RS01155
OG0000225	NB624_RS00650	NBX26_RS01165
OG0000226	NB624_RS00645	NBX26_RS01170
OG0000227	NB624_RS00640	NBX26_RS01175
OG0000228	NB624_RS00635	NBX26_RS01180
OG0000229	NB624_RS00630	NBX26_RS01185
OG0000230	NB624_RS00625	NBX26_RS01190
OG0000231	NB624_RS00615	NBX26_RS01200
OG0000232	NB624_RS00605	NBX26_RS01210
OG0000233	NB624_RS01095	NBX26_RS01230
OG0000234	NB624_RS01130	NBX26_RS01265
OG0000235	NB624_RS01140	NBX26_RS01275
OG0000236	NB624_RS01145	NBX26_RS01280
OG0000237	NB624_RS01150	NBX26_RS01285
OG0000238	NB624_RS01155	NBX26_RS01295
OG0000239	NB624_RS03100	NBX26_RS03115
OG0000240	NB624_RS03105	NBX26_RS03120
OG0000241	NB624_RS03115	NBX26_RS03130
OG0000242	NB624_RS03120	NBX26_RS03135
OG0000243	NB624_RS03125	NBX26_RS03140
OG0000244	NB624_RS03135	NBX26_RS03150
OG0000245	NB624_RS03145	NBX26_RS03160
OG0000246	NB624_RS00140	NBX26_RS00130
OG0000247	NB624_RS00150	NBX26_RS00140
OG0000248	NB624_RS00160	NBX26_RS00150
OG0000249	NB624_RS00165	NBX26_RS00155
OG0000250	NB624_RS00180	NBX26_RS00180
OG0000251	NB624_RS00210	NBX26_RS00210
OG0000252	NB624_RS00220	NBX26_RS00215
OG0000253	NB624_RS00225	NBX26_RS00220
OG0000254	NB624_RS00235	NBX26_RS00230
OG0000255	NB624_RS00240	NBX26_RS00235
OG0000256	NB624_RS00245	NBX26_RS00240
OG0000257	NB624_RS00270	NBX26_RS00265
OG0000258	NB624_RS00280	NBX26_RS00280
OG0000259	NB624_RS00310	NBX26_RS00305
OG0000260	NB624_RS00320	NBX26_RS00315
OG0000261	NB624_RS00330	NBX26_RS00325
OG0000262	NB624_RS00350	NBX26_RS00340
OG0000263	NB624_RS00360	NBX26_RS00355
OG0000264	NB624_RS00375	NBX26_RS00370
OG0000265	NB624_RS00385	NBX26_RS00380
OG0000266	NB624_RS00400	NBX26_RS00395
OG0000267	NB624_RS00415	NBX26_RS00410
OG0000268	NB624_RS00420	NBX26_RS00415
OG0000269	NB624_RS00435	NBX26_RS00430
OG0000270	NB624_RS03635	NBX26_RS03690
OG0000271	NB624_RS03630	NBX26_RS03685
OG0000272	NB624_RS03625	NBX26_RS03680
OG0000273	NB624_RS03620	NBX26_RS03675
OG0000274	NB624_RS03605	NBX26_RS03660
OG0000275	NB624_RS03595	NBX26_RS03650
OG0000276	NB624_RS03590	NBX26_RS03645
OG0000277	NB624_RS03580	NBX26_RS03635
OG0000278	NB624_RS03575	NBX26_RS03630
OG0000279	NB624_RS03565	NBX26_RS03620
OG0000280	NB624_RS03560	NBX26_RS03615
OG0000281	NB624_RS03555	NBX26_RS03610
OG0000282	NB624_RS03530	NBX26_RS03585
OG0000283	NB624_RS03525	NBX26_RS03580
OG0000284	NB624_RS03520	NBX26_RS03575
OG0000285	NB624_RS03515	NBX26_RS03570
OG0000286	NB624_RS02570	NBX26_RS02585
OG0000287	NB624_RS02675	NBX26_RS02680
OG0000288	NB624_RS02685	NBX26_RS02690
OG0000289	NB624_RS02690	NBX26_RS02695
OG0000290	NB624_RS02815	NBX26_RS02815
OG0000291	NB624_RS02800	NBX26_RS02800
OG0000292	NB624_RS02795	NBX26_RS02795
OG0000293	NB624_RS02790	NBX26_RS02785
OG0000294	NB624_RS02780	NBX26_RS02775
OG0000295	NB624_RS02775	NBX26_RS02770
OG0000296	NB624_RS02725	NBX26_RS02730
OG0000297	NB624_RS02720	NBX26_RS02725
OG0000298	NB624_RS00175	NBX26_RS00165
OG0000299	NB624_RS00195	NBX26_RS00190
OG0000300	NB624_RS00370	NBX26_RS00365
OG0000301	NB624_RS00405	NBX26_RS00400
OG0000302	NB624_RS00410	NBX26_RS00405
OG0000303	NB624_RS00555	NBX26_RS00560
OG0000304	NB624_RS00600	NBX26_RS01215
OG0000305	NB624_RS03040	NBX26_RS03055
OG0000306	NB624_RS02965	NBX26_RS02980
OG0000307	NB624_RS02930	NBX26_RS02940
OG0000308	NB624_RS02835	NBX26_RS02850
OG0000309	NB624_RS02765	NBX26_RS02760
OG0000310	NB624_RS02680	NBX26_RS02685
OG0000311	NB624_RS02630	NBX26_RS02645
OG0000312	NB624_RS02615	NBX26_RS02630
OG0000313	NB624_RS01590	NBX26_RS01720
OG0000314	NB624_RS01960	NBX26_RS02145
